Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Canada R32,W vsCoric,37.7%,49.1%,64.5%,39.8%,61.5%,65.4%,60.0%,65.8%,66.7%,57.1%,-,16.0%,36.0%,66.7%,33
2024 Wimbledon QF,L vsMedvedev,35.3%,44.7%,57.0%,40.9%,49.5%,61.9%,61.2%,58.1%,48.9%,51.9%,100.0%,10.2%,14.3%,52.3%,-14
2024 Wimbledon R16,W vsShelton,30.0%,47.8%,63.5%,39.3%,34.9%,54.0%,63.4%,48.3%,25.0%,48.7%,-,18.5%,33.3%,63.6%,-79
2024 Wimbledon R32,W vsKecmanovic,40.6%,55.1%,66.7%,49.1%,47.6%,64.3%,72.7%,61.7%,55.6%,50.0%,-,32.0%,44.0%,58.8%,33
2024 Wimbledon R64,W vsBerrettini,31.1%,43.7%,60.4%,39.0%,42.0%,58.0%,68.6%,54.1%,29.7%,49.0%,100.0%,11.1%,17.8%,50.0%,-15
2024 Wimbledon R128,W vsHanfmann,31.0%,45.2%,53.6%,40.2%,42.5%,63.0%,64.3%,58.5%,45.7%,42.1%,83.3%,16.0%,22.0%,42.9%,7
2024 Halle F,W vsHurkacz,41.7%,55.6%,75.6%,48.9%,59.6%,76.6%,84.2%,70.6%,36.4%,56.0%,-,8.3%,16.7%,68.2%,-30
2024 Halle SF,W vsZhang,30.3%,47.0%,64.4%,38.2%,41.9%,60.5%,68.0%,54.0%,66.7%,52.0%,-,9.1%,22.7%,60.0%,-22
2024 Roland Garros SF,L vsAlcaraz,26.7%,34.1%,51.6%,32.4%,34.2%,43.4%,60.0%,44.3%,38.2%,57.1%,33.3%,19.6%,25.5%,41.5%,68
2024 Roland Garros QF,W vsDimitrov,29.2%,44.9%,63.5%,36.1%,28.3%,49.1%,73.7%,39.8%,25.0%,48.3%,-,30.6%,38.9%,48.0%,-79
2024 Roland Garros R16,W vsMoutet,23.2%,33.7%,54.4%,34.7%,27.4%,43.5%,62.2%,45.2%,75.9%,39.4%,50.0%,17.9%,17.9%,39.1%,49
2024 Roland Garros R32,W vsKotov,30.1%,45.8%,64.9%,37.0%,40.4%,57.7%,64.5%,51.3%,45.8%,67.9%,-,13.3%,26.7%,65.4%,-30
2024 Roland Garros R64,W vsGasquet,34.2%,46.1%,61.7%,43.4%,41.4%,55.2%,64.7%,53.4%,44.0%,57.6%,50.0%,13.3%,20.0%,53.8%,4
2024 Roland Garros R128,W vsEubanks,22.5%,34.8%,59.6%,29.1%,35.6%,51.1%,65.5%,48.7%,26.3%,73.1%,50.0%,14.8%,29.6%,52.2%,24
2024 Madrid R16,W vsKhachanov,32.9%,54.1%,61.1%,43.1%,40.7%,67.8%,65.7%,55.3%,44.0%,44.1%,75.0%,17.4%,26.1%,52.6%,51
2024 Madrid R64,W vsSonego,21.4%,45.2%,72.7%,33.8%,27.6%,55.2%,81.0%,45.5%,30.8%,62.5%,-,7.7%,23.1%,58.3%,-79
2024 Monte Carlo SF,L vsTsitsipas,21.6%,29.4%,53.8%,25.8%,37.3%,45.8%,59.5%,44.6%,25.0%,90.3%,100.0%,0.0%,7.3%,48.8%,-118
2024 Monte Carlo QF,W vsRune,33.3%,47.8%,70.7%,40.4%,46.3%,61.1%,75.9%,58.1%,32.0%,48.3%,0.0%,14.7%,29.4%,65.5%,5
2024 Monte Carlo R16,W vsStruff,39.1%,52.2%,60.7%,47.2%,50.0%,69.2%,69.2%,64.2%,58.3%,71.4%,-,25.0%,30.0%,53.3%,-79
2024 Monte Carlo R32,W vsKorda,27.9%,34.9%,66.7%,27.9%,52.4%,52.4%,90.0%,52.4%,37.5%,69.2%,66.7%,4.8%,19.0%,55.0%,-68
2024 Miami F,W vsDimitrov,34.9%,46.5%,66.7%,42.1%,50.0%,70.8%,75.0%,62.9%,9.1%,46.2%,0.0%,16.7%,16.7%,60.0%,1
2024 Miami SF,W vsMedvedev,44.7%,53.2%,52.0%,47.9%,56.7%,66.7%,53.8%,61.7%,42.9%,56.3%,50.0%,25.0%,31.3%,50.0%,10
2024 Miami QF,W vsMachac,34.0%,48.0%,61.3%,39.4%,48.3%,58.6%,53.3%,57.6%,33.3%,64.3%,100.0%,15.8%,36.8%,68.8%,39
2024 Miami R16,W vsOconnell,20.4%,31.5%,70.7%,26.3%,24.2%,36.4%,68.0%,33.9%,57.1%,63.2%,100.0%,15.8%,26.3%,75.0%,39
2024 Miami R32,W vsGriekspoor,46.7%,56.0%,69.2%,51.5%,56.9%,68.6%,77.3%,63.9%,56.0%,65.4%,-,26.1%,30.4%,58.8%,-16
2024 Miami R64,W vsVavassori,34.6%,57.7%,71.0%,48.7%,43.2%,73.0%,85.7%,63.0%,46.7%,63.6%,-,16.7%,25.0%,40.0%,29
2024 Indian Wells SF,L vsAlcaraz,20.3%,33.8%,52.6%,28.6%,19.6%,41.3%,56.8%,33.0%,61.9%,48.0%,0.0%,23.1%,23.1%,45.0%,29
2024 Indian Wells QF,W vsLehecka,23.5%,33.3%,70.3%,31.0%,37.0%,51.9%,76.5%,51.1%,50.0%,73.3%,0.0%,9.1%,13.6%,65.0%,-26
2024 Indian Wells R16,W vsShelton,36.9%,44.6%,57.5%,42.0%,45.5%,52.3%,58.3%,53.0%,65.0%,50.0%,75.0%,20.0%,30.0%,56.3%,-7
2024 Indian Wells R32,W vsStruff,44.2%,57.7%,70.4%,52.3%,51.4%,68.6%,64.7%,63.4%,43.8%,52.6%,0.0%,33.3%,40.0%,80.0%,99
2024 Indian Wells R64,W vsKokkinakis,27.7%,36.2%,64.7%,32.1%,41.4%,51.7%,58.8%,48.6%,46.7%,64.3%,-,5.6%,11.1%,70.6%,-79
2024 Rotterdam F,W vsDe Minaur,23.5%,33.3%,49.2%,29.9%,33.3%,51.1%,66.7%,44.9%,44.0%,40.0%,66.7%,11.4%,11.4%,32.3%,-37
2024 Rotterdam R32,W vsVan De Zandschulp,34.0%,53.2%,72.4%,44.0%,46.9%,68.8%,76.5%,61.6%,52.9%,33.3%,50.0%,7.7%,23.1%,66.7%,-45
2024 Australian Open F,W vsMedvedev,23.6%,36.1%,58.1%,32.1%,28.4%,46.6%,63.5%,42.3%,64.3%,47.8%,40.0%,17.6%,21.6%,50.0%,56
2024 Australian Open SF,W vsDjokovic,33.6%,43.6%,62.5%,38.8%,48.4%,62.5%,66.7%,57.3%,59.3%,51.4%,-,13.3%,17.8%,59.0%,-46
2024 Australian Open QF,W vsRublev,33.3%,44.4%,53.3%,41.0%,40.0%,56.0%,60.0%,52.0%,61.3%,52.3%,33.3%,23.1%,25.6%,43.3%,29
2024 Australian Open R16,W vsKhachanov,26.8%,36.1%,60.3%,31.6%,38.5%,51.9%,65.6%,47.5%,57.7%,50.0%,40.0%,14.3%,19.0%,55.6%,22
2024 Australian Open R32,W vsBaez,31.4%,38.6%,54.2%,34.4%,46.7%,53.3%,58.3%,51.3%,61.1%,66.7%,50.0%,4.0%,12.0%,50.0%,-79
2024 Australian Open R64,W vsDe Jong,34.5%,50.0%,75.7%,42.8%,37.8%,54.1%,78.3%,50.8%,35.3%,40.0%,-,30.0%,45.0%,71.4%,-7
2024 Australian Open R128,W vsVan De Zandschulp,30.7%,40.9%,54.2%,35.9%,33.3%,49.0%,52.9%,42.4%,45.5%,55.2%,66.7%,28.6%,31.4%,56.0%,3
2023 Davis Cup RR,W vsDe Minaur,20.8%,27.1%,59.5%,27.9%,29.4%,35.3%,62.5%,39.4%,43.8%,38.9%,100.0%,0.0%,7.7%,53.8%,-118
2023 Davis Cup RR,W vsDjokovic,27.6%,36.2%,50.0%,33.1%,41.5%,53.8%,50.0%,50.5%,46.7%,42.9%,33.3%,5.9%,8.8%,50.0%,-62
2023 Davis Cup RR,W vsGriekspoor,48.0%,58.0%,80.0%,53.2%,54.5%,66.7%,80.0%,62.4%,33.3%,50.0%,-,37.5%,43.8%,80.0%,10
2023 Tour Finals F,L vsDjokovic,25.7%,37.8%,38.9%,29.1%,34.7%,44.9%,34.4%,39.8%,40.0%,58.3%,100.0%,8.3%,25.0%,45.5%,-30
2023 Tour Finals SF,W vsMedvedev,28.8%,41.3%,56.9%,35.1%,46.7%,68.3%,68.8%,57.5%,48.3%,61.3%,100.0%,7.0%,7.0%,47.5%,-45
2023 Tour Finals RR,W vsTsitsipas,41.2%,56.9%,71.4%,48.4%,55.6%,69.4%,75.0%,65.8%,18.8%,70.0%,-,7.7%,30.8%,66.7%,-45
2023 Tour Finals RR,W vsDjokovic,34.7%,39.8%,54.7%,38.4%,45.1%,52.1%,61.5%,51.1%,59.4%,46.2%,50.0%,20.0%,22.2%,47.2%,-15
2023 Paris R32,W vsMcdonald,21.7%,41.0%,73.0%,30.5%,29.2%,52.1%,79.4%,44.4%,37.5%,68.8%,-,12.1%,27.3%,65.5%,7
2023 Vienna F,W vsMedvedev,21.2%,34.7%,49.5%,28.6%,29.1%,45.3%,49.2%,39.3%,64.3%,47.7%,57.1%,0.0%,6.3%,50.0%,-118
2023 Vienna R32,W vsShelton,32.4%,54.9%,70.2%,44.1%,35.7%,58.9%,75.0%,50.5%,61.5%,46.7%,50.0%,21.4%,42.9%,54.5%,22
2023 Shanghai R32,W vsBaez,25.9%,42.4%,57.1%,33.4%,38.8%,55.1%,70.0%,51.8%,39.1%,42.3%,50.0%,8.3%,25.0%,45.5%,-79
