Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Indian Wells QF,L vsPaul,19.1%,31.9%,43.4%,27.7%,19.7%,34.8%,49.1%,31.8%,57.1%,42.1%,40.0%,17.9%,25.0%,30.4%,-79
2024 Indian Wells R32,W vsFils,44.2%,55.8%,73.9%,51.4%,58.1%,74.2%,69.2%,68.1%,46.7%,75.0%,-,9.1%,9.1%,80.0%,-26
2024 Acapulco F,L vsDe Minaur,22.2%,28.4%,42.9%,26.2%,25.0%,32.1%,38.1%,30.7%,52.0%,51.6%,50.0%,16.0%,20.0%,52.4%,-79
2024 Acapulco R16,W vsLajovic,24.6%,49.2%,72.7%,36.4%,33.3%,64.1%,84.6%,51.8%,31.6%,60.0%,100.0%,10.0%,25.0%,55.6%,-18
2024 Acapulco R32,W vsEubanks,35.6%,50.0%,66.1%,40.6%,43.9%,59.6%,68.8%,51.8%,32.0%,56.3%,-,22.6%,35.5%,62.5%,13
2024 Los Cabos F,L vsThompson,15.4%,33.8%,53.8%,26.9%,17.5%,40.0%,57.6%,36.3%,75.0%,45.8%,50.0%,13.6%,27.3%,47.4%,14
2024 Los Cabos SF,W vsTsitsipas,18.6%,34.3%,68.4%,29.3%,30.0%,52.5%,82.1%,48.8%,22.2%,63.6%,100.0%,3.3%,10.0%,55.2%,-81
2024 Los Cabos QF,W vsBorges,32.7%,44.2%,61.8%,40.0%,36.1%,47.2%,65.2%,46.7%,56.3%,65.0%,-,26.7%,40.0%,54.5%,16
2024 Australian Open R32,L vsNorrie,33.6%,46.7%,51.9%,41.8%,41.7%,58.3%,57.1%,53.6%,41.7%,45.8%,50.0%,17.6%,23.5%,42.9%,56
2024 Australian Open R64,W vsPurcell,36.6%,42.9%,59.4%,41.2%,44.4%,51.6%,61.4%,50.9%,43.1%,34.7%,25.0%,18.2%,22.7%,55.6%,61
2024 United Cup QF,W vsMannarino,38.0%,50.0%,63.3%,44.2%,51.5%,66.7%,75.0%,60.9%,40.0%,55.6%,-,12.5%,18.8%,50.0%,10
2024 United Cup RR,W vsGriekspoor,46.3%,53.7%,51.9%,55.7%,51.3%,59.0%,63.2%,64.4%,47.1%,50.0%,100.0%,38.5%,46.2%,25.0%,123
2023 Paris R32,L vsCerundolo,32.8%,41.0%,43.6%,37.2%,39.5%,47.4%,47.8%,46.6%,28.6%,54.2%,0.0%,23.8%,33.3%,37.5%,53
2023 Shanghai R16,L vsMarozsan,29.3%,43.9%,48.8%,37.4%,39.5%,56.8%,55.1%,51.9%,48.7%,50.0%,60.0%,10.3%,20.5%,40.0%,-13
2023 Shanghai R32,W vsEubanks,30.4%,41.3%,76.7%,37.2%,32.3%,48.4%,76.2%,42.3%,21.4%,70.6%,100.0%,30.8%,30.8%,77.8%,123
2023 Shanghai R64,W vsNishioka,35.9%,56.4%,72.0%,49.2%,41.2%,64.7%,75.0%,56.5%,47.1%,58.8%,100.0%,0.0%,0.0%,60.0%,-118
2023 Beijing QF,L vsAlcaraz,18.2%,23.4%,42.4%,22.5%,24.0%,30.0%,50.0%,30.6%,46.2%,50.0%,55.6%,8.7%,13.0%,28.6%,-37
2023 Beijing R32,W vsStruff,26.7%,34.7%,57.7%,32.4%,37.5%,47.9%,56.7%,46.5%,45.0%,42.9%,33.3%,8.3%,12.5%,59.1%,-37
2023 US Open R64,L vsZhang,26.9%,34.5%,48.1%,32.1%,34.4%,44.1%,54.1%,42.5%,41.9%,56.0%,42.9%,14.0%,18.0%,39.5%,-21
2023 US Open R128,W vsNava,32.6%,42.0%,54.4%,39.1%,36.8%,51.7%,58.2%,47.0%,63.2%,44.9%,42.9%,27.1%,27.1%,48.6%,10
2023 Cincinnati R32,L vsPurcell,32.5%,37.3%,56.6%,35.1%,42.4%,47.5%,61.8%,45.9%,57.7%,54.5%,0.0%,9.5%,14.3%,47.4%,-26
2023 Hamburg QF,L vsFils,19.6%,26.8%,37.8%,23.4%,18.4%,26.3%,38.7%,23.9%,42.1%,63.2%,66.7%,22.2%,27.8%,35.7%,-79
2023 Bastad F,L vsRublev,27.8%,34.7%,38.8%,31.4%,35.4%,43.8%,38.7%,40.8%,47.6%,51.9%,80.0%,14.3%,19.0%,38.9%,19
2023 Bastad SF,W vsMusetti,22.2%,31.9%,61.8%,28.9%,27.7%,40.4%,64.7%,37.9%,32.0%,45.5%,100.0%,12.5%,16.7%,57.1%,-19
2023 Bastad QF,W vsOfner,34.4%,40.6%,60.0%,37.0%,57.6%,60.6%,57.1%,62.7%,56.3%,58.8%,33.3%,10.3%,20.7%,61.5%,-12
2023 Bastad R16,W vsShevchenko,25.9%,43.1%,64.1%,35.7%,41.9%,71.0%,66.7%,60.3%,38.5%,38.9%,-,8.7%,13.0%,61.9%,-37
2023 Wimbledon R128,W vsLokoli,31.8%,43.9%,65.2%,38.7%,41.5%,56.9%,63.2%,52.9%,46.9%,39.4%,0.0%,20.0%,28.6%,67.9%,65
2023 Roland Garros F,L vsDjokovic,16.0%,24.5%,53.4%,21.7%,23.5%,32.4%,44.2%,32.4%,46.4%,55.0%,50.0%,2.7%,10.8%,66.7%,-89
2023 Roland Garros SF,W vsZverev,22.5%,36.0%,54.4%,30.1%,27.8%,46.3%,59.0%,40.4%,60.7%,50.0%,0.0%,14.7%,20.6%,48.3%,-36
2023 Roland Garros QF,W vsRune,26.4%,34.5%,59.2%,34.5%,27.5%,37.7%,62.0%,40.4%,53.3%,38.5%,75.0%,27.8%,33.3%,53.8%,106
2023 Roland Garros R16,W vsJarry,27.8%,38.1%,51.9%,34.0%,34.2%,48.7%,58.0%,44.6%,51.4%,43.6%,57.1%,25.0%,30.6%,40.7%,106
2023 Rome SF,L vsRune,25.0%,39.8%,53.3%,30.5%,35.4%,47.9%,58.1%,45.4%,66.7%,48.1%,0.0%,14.7%,35.3%,48.3%,19
2023 Rome R16,W vsDjere,47.6%,54.8%,50.0%,54.0%,55.2%,65.5%,61.5%,64.5%,58.3%,41.2%,-,36.4%,36.4%,28.6%,154
2023 Rome R64,W vsRinderknech,22.2%,37.8%,70.0%,35.3%,16.1%,38.7%,76.9%,35.2%,7.1%,82.4%,-,55.6%,55.6%,25.0%,196
2023 Monte Carlo R32,W vsVan De Zandschulp,22.9%,36.1%,49.2%,29.9%,33.3%,51.1%,53.3%,46.2%,55.6%,66.7%,66.7%,11.4%,20.0%,45.2%,-2
2023 Estoril F,W vsKecmanovic,22.7%,37.9%,69.4%,29.1%,33.3%,50.0%,75.0%,45.0%,66.7%,71.4%,100.0%,10.7%,25.0%,64.0%,-8
2023 Estoril SF,W vsHalys,28.9%,45.6%,66.1%,39.7%,29.8%,49.1%,70.0%,46.8%,52.0%,65.6%,100.0%,29.0%,41.9%,59.1%,13
2023 Miami R32,L vsVan De Zandschulp,35.5%,44.1%,52.6%,39.6%,43.8%,50.0%,55.6%,49.7%,62.1%,48.6%,66.7%,19.2%,34.6%,47.6%,72
2023 Miami R64,W vsIvashka,24.5%,32.7%,61.1%,27.8%,31.3%,37.5%,72.7%,36.3%,30.8%,57.9%,50.0%,12.5%,25.0%,42.9%,10
2023 Indian Wells R32,L vsGarin,31.3%,38.8%,47.2%,36.8%,40.8%,49.0%,48.3%,49.8%,55.6%,35.5%,16.7%,17.2%,24.1%,45.8%,19
2023 Indian Wells R64,W vsSchwartzman,14.0%,32.0%,73.8%,31.4%,12.1%,39.4%,79.3%,38.5%,84.6%,45.0%,0.0%,18.8%,18.8%,61.5%,10
2023 Australian Open R64,L vsBrooksby,26.3%,33.1%,38.3%,32.4%,31.3%,42.2%,45.6%,41.1%,44.7%,46.7%,60.0%,19.6%,19.6%,27.0%,42
2023 Australian Open R128,W vsMachac,29.3%,51.9%,59.3%,40.1%,31.0%,52.9%,55.0%,47.5%,51.5%,46.3%,25.0%,27.9%,53.5%,67.7%,20
2023 Auckland R16,L vsDjere,39.6%,49.5%,56.9%,44.7%,51.6%,62.9%,56.7%,59.2%,66.7%,42.9%,66.7%,16.0%,24.0%,57.1%,34
2023 United Cup RR,L vsBerrettini,26.9%,40.4%,55.3%,37.3%,31.7%,46.3%,64.3%,44.9%,36.8%,45.5%,0.0%,9.1%,18.2%,30.0%,-79
2022 Tour Finals F,L vsDjokovic,35.1%,42.1%,47.2%,40.9%,45.0%,52.5%,59.1%,53.3%,66.7%,59.1%,33.3%,12.5%,18.8%,28.6%,10
2022 Tour Finals SF,W vsRublev,41.3%,54.3%,59.3%,44.6%,54.3%,62.9%,50.0%,58.6%,53.3%,35.0%,0.0%,0.0%,27.3%,72.7%,-118
2022 Tour Finals RR,W vsFritz,40.9%,51.6%,63.5%,47.1%,50.0%,62.1%,75.8%,58.8%,50.0%,44.4%,50.0%,20.8%,29.2%,42.1%,86
2022 Tour Finals RR,W vsAuger Aliassime,31.3%,43.3%,66.7%,37.9%,37.2%,46.5%,63.0%,47.4%,42.1%,54.2%,-,21.7%,39.1%,72.2%,-16
2022 Tour Finals RR,L vsNadal,31.8%,43.9%,48.9%,39.7%,36.2%,53.2%,53.3%,47.2%,65.0%,25.9%,0.0%,21.1%,21.1%,40.0%,-79
2022 Paris R16,L vsMusetti,25.3%,37.4%,54.5%,32.2%,30.9%,47.3%,52.6%,42.4%,46.2%,55.2%,50.0%,17.6%,23.5%,57.1%,5
2022 Paris R32,W vsGasquet,33.9%,52.5%,65.8%,43.4%,38.9%,66.7%,77.3%,54.4%,55.6%,55.6%,0.0%,27.3%,31.8%,50.0%,-13
2022 Basel R32,L vsWawrinka,30.2%,39.5%,72.4%,36.5%,40.7%,51.9%,68.8%,50.7%,35.7%,46.2%,0.0%,13.3%,20.0%,76.9%,16
2022 Seoul QF,L vsNishioka,26.8%,43.9%,44.8%,35.6%,31.5%,53.7%,45.9%,44.8%,61.5%,35.7%,25.0%,19.2%,26.9%,42.9%,29
2022 Seoul R16,W vsJarry,35.7%,48.6%,60.5%,43.0%,40.8%,59.2%,65.5%,51.2%,61.9%,32.1%,100.0%,26.3%,26.3%,50.0%,65
2022 US Open F,L vsAlcaraz,24.8%,36.8%,55.8%,31.1%,29.6%,43.7%,52.0%,40.0%,61.3%,42.5%,85.7%,18.2%,27.3%,61.1%,-13
2022 US Open SF,W vsKhachanov,31.5%,41.7%,63.0%,40.0%,40.6%,55.1%,70.7%,53.9%,47.1%,34.3%,0.0%,15.8%,18.4%,53.1%,-40
2022 US Open QF,W vsBerrettini,23.7%,33.0%,56.9%,29.2%,27.0%,38.1%,65.2%,35.4%,44.8%,50.0%,33.3%,18.8%,25.0%,42.3%,10
2022 US Open R16,W vsMoutet,22.3%,38.8%,61.8%,33.5%,26.2%,44.0%,62.9%,42.3%,70.3%,38.3%,60.0%,15.6%,31.3%,59.3%,35
2022 US Open R32,W vsPaul,21.3%,37.5%,59.5%,29.6%,23.5%,39.8%,62.7%,37.1%,66.7%,45.8%,0.0%,19.3%,36.8%,54.3%,43
2022 US Open R64,W vsVan Rijthoven,35.6%,48.3%,63.9%,44.1%,41.7%,58.3%,65.3%,53.6%,23.7%,41.3%,66.7%,23.3%,26.7%,60.9%,59
2022 Cincinnati R32,L vsShelton,35.1%,47.4%,38.9%,41.6%,42.9%,54.8%,45.8%,51.7%,70.0%,36.4%,25.0%,14.3%,28.6%,25.0%,22
2022 Canada SF,L vsHurkacz,27.6%,43.4%,50.9%,38.8%,38.0%,60.0%,67.7%,55.0%,50.0%,61.5%,80.0%,8.3%,12.5%,27.3%,-33
2022 Canada QF,W vsAuger Aliassime,20.0%,26.7%,55.6%,30.0%,22.6%,32.3%,66.7%,37.1%,61.1%,53.8%,0.0%,14.3%,14.3%,33.3%,-79
2022 Gstaad F,W vsBerrettini,30.7%,45.5%,65.0%,39.0%,39.3%,58.9%,67.6%,52.3%,34.6%,43.3%,75.0%,16.1%,22.6%,61.5%,-32
2022 Gstaad SF,W vsRamos,30.2%,41.9%,60.7%,36.3%,38.5%,53.8%,68.8%,48.5%,80.0%,31.3%,-,20.0%,26.7%,50.0%,76
2022 Gstaad QF,W vsMunar,28.6%,39.3%,60.7%,35.6%,42.0%,56.0%,58.6%,53.8%,57.9%,51.6%,33.3%,10.0%,16.7%,63.0%,-21
2022 Gstaad R16,W vsLehecka,35.1%,52.6%,66.7%,41.6%,53.6%,71.4%,76.9%,66.8%,46.2%,80.0%,50.0%,17.9%,35.7%,60.9%,-27
2022 Roland Garros F,L vsNadal,11.3%,23.8%,38.6%,18.3%,15.7%,35.3%,44.2%,26.7%,71.4%,34.8%,11.1%,3.6%,3.6%,29.6%,-80
2022 Roland Garros SF,W vsCilic,33.0%,44.0%,53.4%,40.2%,38.0%,54.9%,54.5%,49.0%,51.7%,61.9%,75.0%,23.7%,23.7%,51.7%,-79
2022 Roland Garros QF,W vsRune,28.0%,40.7%,60.5%,35.1%,36.3%,51.2%,66.7%,46.8%,61.8%,52.2%,100.0%,11.8%,20.6%,50.0%,-2
2022 Roland Garros R16,W vsHurkacz,21.6%,34.0%,60.0%,29.9%,22.0%,39.0%,63.0%,35.6%,42.3%,54.5%,0.0%,21.6%,27.0%,55.2%,-39
2022 Roland Garros R128,W vsTsonga,21.8%,28.9%,62.7%,28.0%,25.5%,33.3%,67.1%,34.1%,25.7%,43.3%,75.0%,12.8%,17.9%,52.9%,-41
2022 Geneva F,W vsSousa,29.1%,45.3%,53.1%,37.4%,35.4%,49.4%,54.9%,47.7%,33.3%,69.8%,66.7%,16.7%,38.9%,50.0%,1
