Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Paris R16,L vsShapovalov,28.0%,41.9%,40.3%,36.3%,33.9%,54.2%,46.2%,47.1%,51.9%,31.3%,28.6%,20.7%,24.1%,30.4%,76
2019 Basel R32,L vsFritz,29.4%,50.0%,59.1%,38.5%,38.6%,61.4%,66.7%,52.7%,40.0%,58.6%,50.0%,15.0%,35.0%,47.1%,19
2019 Shanghai F,L vsMedvedev,29.2%,33.3%,32.3%,32.5%,45.2%,51.6%,35.3%,50.3%,75.0%,20.0%,-,0.0%,0.0%,28.6%,-118
2019 Shanghai SF,W vsBerrettini,46.8%,57.4%,75.0%,57.2%,52.6%,65.8%,77.8%,65.5%,47.1%,57.1%,-,25.0%,25.0%,66.7%,89
2019 Shanghai QF,W vsFederer,43.3%,58.9%,56.0%,49.7%,52.1%,64.8%,52.9%,60.1%,32.1%,48.8%,50.0%,15.8%,42.1%,62.5%,-3
2019 Shanghai R16,W vsRublev,44.3%,52.5%,48.1%,48.7%,57.5%,65.0%,47.1%,64.3%,50.0%,31.8%,40.0%,28.6%,42.9%,50.0%,91
2019 Shanghai R32,W vsChardy,50.6%,64.6%,52.8%,58.5%,60.3%,77.6%,56.5%,71.0%,35.0%,36.8%,0.0%,27.8%,33.3%,46.2%,137
2019 Beijing SF,L vsTsitsipas,21.0%,32.1%,45.2%,28.1%,26.7%,40.0%,43.2%,36.3%,36.0%,40.0%,20.0%,5.3%,10.5%,50.0%,-66
2019 Beijing QF,W vsQuerrey,24.6%,42.6%,69.6%,33.8%,26.7%,48.9%,75.8%,39.1%,37.5%,37.9%,0.0%,18.8%,25.0%,53.8%,-79
2019 Beijing R16,W vsAuger Aliassime,43.6%,51.3%,75.0%,52.3%,51.9%,59.3%,84.6%,64.4%,42.9%,30.8%,-,30.0%,40.0%,57.1%,157
2019 Beijing R32,W vsTiafoe,26.4%,45.3%,69.4%,36.2%,35.1%,56.8%,66.7%,49.2%,64.7%,45.0%,0.0%,7.7%,23.1%,75.0%,-49
2019 Laver Cup RR,W vsRaonic,43.4%,62.3%,61.5%,54.2%,48.8%,70.7%,61.9%,62.7%,46.7%,30.8%,0.0%,37.5%,50.0%,60.0%,157
2019 Laver Cup RR,L vsIsner,29.0%,45.2%,68.4%,36.6%,42.1%,60.5%,68.2%,54.5%,35.7%,12.5%,0.0%,11.1%,27.8%,68.8%,-18
2019 US Open R16,L vsSchwartzman,17.2%,27.3%,47.6%,24.6%,28.4%,45.9%,47.2%,41.2%,43.2%,48.6%,16.7%,3.3%,3.3%,48.3%,-94
2019 Cincinnati R32,L vsKecmanovic,27.7%,38.3%,62.5%,35.7%,40.0%,56.0%,66.7%,55.2%,52.2%,48.1%,66.7%,25.0%,33.3%,55.6%,32
2019 Canada QF,L vsKhachanov,30.2%,37.7%,48.3%,35.5%,41.2%,47.1%,50.0%,49.4%,36.8%,33.3%,66.7%,18.2%,36.4%,44.4%,-2
2019 Canada R16,W vsBasilashvili,38.0%,43.0%,50.0%,39.5%,52.2%,56.7%,43.8%,54.5%,40.7%,25.0%,66.7%,15.8%,26.3%,62.5%,-18
2019 Hamburg SF,L vsBasilashvili,30.7%,31.6%,45.7%,33.2%,40.6%,42.0%,51.2%,44.8%,50.0%,45.9%,33.3%,19.4%,19.4%,37.9%,53
2019 Wimbledon R128,L vsVesely,38.1%,47.8%,42.4%,44.6%,50.6%,63.6%,47.4%,60.3%,47.2%,29.3%,50.0%,12.5%,15.6%,35.7%,4
2019 Stuttgart R16,L vsBrown,51.9%,53.8%,38.9%,53.5%,63.9%,66.7%,50.0%,66.1%,55.9%,39.5%,16.7%,44.4%,44.4%,10.0%,157
2019 Geneva F,W vsJarry,29.4%,38.5%,60.9%,33.9%,35.2%,42.3%,60.9%,42.1%,53.1%,48.7%,100.0%,23.3%,40.0%,60.9%,85
2019 Rome R32,L vsBerrettini,29.3%,38.7%,48.9%,37.5%,44.7%,55.3%,61.5%,57.7%,50.0%,39.1%,33.3%,4.5%,13.6%,33.3%,-79
2019 Madrid R16,W vsHurkacz,30.8%,37.2%,47.8%,37.1%,35.2%,44.4%,51.4%,44.3%,60.9%,35.5%,0.0%,31.3%,31.3%,36.4%,111
2019 Madrid R32,W vsFerrer,30.6%,36.7%,62.1%,37.6%,40.0%,46.7%,61.1%,51.3%,73.3%,33.3%,-,21.4%,28.6%,63.6%,56
2019 Munich QF,L vsGarin,34.4%,37.6%,37.5%,37.4%,38.9%,41.7%,43.2%,42.8%,57.6%,38.5%,40.0%,25.0%,31.3%,16.7%,91
2019 Barcelona R32,L vsJarry,28.6%,35.7%,47.1%,32.8%,31.1%,40.5%,54.9%,37.4%,58.3%,39.5%,66.7%,32.1%,35.7%,26.3%,142
2019 Marrakech R16,L vsMunar,23.3%,33.3%,45.2%,31.1%,27.9%,41.0%,43.2%,39.3%,46.7%,35.5%,0.0%,18.2%,22.7%,50.0%,34
2019 Miami R64,L vsFerrer,29.0%,37.0%,45.8%,35.0%,38.2%,49.1%,50.0%,49.1%,53.8%,34.5%,42.9%,24.2%,30.3%,40.0%,77
2019 Indian Wells R32,L vsStruff,27.5%,31.4%,32.4%,32.9%,36.7%,43.3%,47.4%,46.0%,54.5%,47.4%,60.0%,16.7%,16.7%,13.3%,39
2019 Acapulco F,L vsKyrgios,32.7%,44.9%,46.9%,38.8%,37.8%,54.1%,56.5%,45.9%,50.0%,66.7%,50.0%,18.2%,18.2%,22.2%,47
2019 Acapulco SF,W vsNorrie,41.9%,53.2%,65.6%,44.5%,52.4%,57.1%,60.0%,56.2%,68.4%,56.5%,0.0%,25.0%,56.3%,75.0%,102
2019 Acapulco R16,W vsFerrer,40.3%,51.6%,61.3%,46.1%,45.9%,62.2%,60.0%,55.7%,50.0%,36.8%,0.0%,42.1%,47.4%,63.6%,234
2019 Australian Open R16,L vsRaonic,31.1%,35.6%,42.3%,35.4%,42.9%,48.2%,43.8%,49.8%,45.2%,36.0%,25.0%,16.7%,20.8%,40.0%,11
2019 Australian Open R128,W vsBedene,35.1%,45.5%,56.8%,42.6%,50.0%,67.4%,65.2%,62.6%,45.0%,30.8%,0.0%,16.0%,16.0%,47.6%,24
2018 Tour Finals F,W vsDjokovic,34.8%,45.7%,63.0%,44.1%,42.4%,57.6%,63.2%,55.5%,57.1%,36.8%,-,20.0%,20.0%,62.5%,51
2018 Tour Finals SF,W vsFederer,35.4%,44.6%,70.7%,43.8%,47.7%,59.1%,78.3%,60.2%,52.6%,52.0%,-,10.0%,15.0%,61.1%,-13
2018 Tour Finals RR,W vsIsner,46.9%,54.7%,62.5%,50.9%,56.3%,64.6%,66.7%,61.7%,33.3%,48.1%,100.0%,21.4%,28.6%,54.5%,88
2018 Tour Finals RR,W vsCilic,38.1%,40.5%,47.9%,42.9%,46.2%,50.0%,53.6%,53.8%,43.5%,51.7%,0.0%,28.6%,28.6%,40.0%,110
2018 Tour Finals RR,L vsDjokovic,26.0%,36.0%,40.0%,31.6%,43.3%,50.0%,41.2%,52.7%,92.9%,43.8%,50.0%,0.0%,16.7%,38.9%,-118
2018 Paris QF,L vsKhachanov,19.1%,27.9%,35.4%,26.3%,23.4%,34.0%,41.7%,33.8%,60.9%,33.3%,33.3%,14.3%,21.4%,16.7%,-13
2018 Paris R16,W vsSchwartzman,44.8%,58.6%,48.3%,52.9%,55.3%,73.7%,64.7%,67.6%,66.7%,50.0%,66.7%,29.4%,35.3%,25.0%,148
2018 Paris R32,W vsTiafoe,23.6%,37.5%,56.0%,31.0%,36.1%,55.6%,65.2%,50.8%,55.0%,37.5%,0.0%,12.9%,22.6%,48.1%,4
2018 Basel SF,L vsCopil,39.4%,44.7%,57.1%,43.9%,50.0%,58.6%,62.1%,57.4%,58.6%,41.4%,0.0%,28.6%,28.6%,50.0%,126
2018 Basel QF,W vsBautista Agut,38.2%,45.6%,47.2%,41.5%,63.2%,68.4%,50.0%,68.9%,47.1%,23.8%,50.0%,8.3%,20.8%,45.5%,-45
2018 Basel R16,W vsPopyrin,40.8%,59.2%,75.0%,46.9%,63.0%,85.2%,80.0%,74.1%,45.5%,31.3%,-,14.3%,28.6%,72.2%,-10
2018 Basel R32,W vsHaase,27.3%,31.2%,51.0%,36.2%,36.2%,42.6%,56.7%,50.9%,52.4%,46.2%,66.7%,16.0%,16.0%,42.9%,29
2018 Shanghai SF,L vsDjokovic,14.7%,26.5%,42.3%,22.6%,26.3%,42.1%,35.7%,40.5%,27.3%,50.0%,100.0%,0.0%,8.3%,50.0%,-118
2018 Shanghai QF,W vsEdmund,35.2%,48.1%,68.8%,43.0%,37.1%,54.3%,63.6%,49.1%,42.9%,42.9%,0.0%,37.5%,43.8%,80.0%,89
2018 Shanghai R16,W vsDe Minaur,38.5%,40.4%,63.3%,41.7%,50.0%,52.9%,64.7%,55.0%,46.2%,38.1%,0.0%,18.8%,18.8%,61.5%,65
2018 Shanghai R32,W vsBasilashvili,42.9%,44.4%,50.0%,46.5%,53.5%,55.8%,65.0%,58.8%,43.8%,37.0%,0.0%,20.0%,20.0%,31.3%,-79
2018 Beijing R16,L vsJaziri,28.9%,44.6%,57.9%,37.0%,34.0%,56.0%,66.7%,47.4%,41.7%,38.5%,100.0%,22.6%,29.0%,45.8%,13
2018 Beijing R32,W vsBautista Agut,27.8%,40.7%,58.3%,37.6%,38.2%,58.8%,61.9%,53.8%,50.0%,55.6%,100.0%,11.8%,11.8%,53.3%,-8
2018 US Open R32,L vsKohlschreiber,22.2%,31.6%,45.2%,26.0%,30.7%,36.0%,42.3%,36.5%,50.0%,54.3%,50.0%,8.6%,28.6%,50.0%,-39
2018 US Open R64,W vsMahut,43.8%,57.5%,60.5%,47.9%,52.4%,66.7%,55.0%,59.5%,43.8%,53.8%,0.0%,35.7%,50.0%,66.7%,67
2018 US Open R128,W vsPolansky,42.2%,54.7%,60.0%,47.8%,50.0%,65.0%,65.0%,59.0%,55.6%,45.5%,-,31.8%,40.9%,53.3%,47
2018 Cincinnati R32,L vsHaase,27.0%,42.7%,49.2%,34.7%,39.6%,58.3%,58.6%,54.0%,45.8%,54.2%,100.0%,13.5%,27.0%,40.6%,16
2018 Canada QF,L vsTsitsipas,32.9%,45.9%,47.1%,42.2%,41.7%,60.0%,51.4%,54.8%,47.6%,43.6%,0.0%,15.8%,15.8%,37.5%,14
2018 Canada R16,W vsMedvedev,45.0%,65.0%,81.8%,55.5%,56.5%,82.6%,90.0%,74.8%,41.7%,36.4%,-,29.4%,41.2%,75.0%,-79
2018 Canada R32,W vsKlahn,46.3%,53.7%,59.3%,49.3%,58.8%,64.7%,64.3%,63.5%,66.7%,42.1%,-,27.8%,38.9%,53.8%,72
2018 Washington F,W vsDe Minaur,37.5%,56.3%,73.1%,46.3%,53.3%,73.3%,78.6%,67.3%,42.9%,25.0%,-,14.3%,35.7%,66.7%,4
2018 Washington SF,W vsTsitsipas,45.1%,58.8%,65.2%,51.4%,62.5%,75.0%,58.3%,72.5%,40.0%,29.4%,-,21.4%,42.9%,72.7%,56
2018 Washington QF,W vsNishikori,41.7%,53.3%,55.9%,49.7%,46.7%,60.0%,58.3%,57.3%,52.0%,35.0%,0.0%,28.6%,35.7%,50.0%,22
2018 Washington R16,W vsZverev,26.2%,38.1%,52.6%,32.4%,35.4%,52.1%,61.3%,46.3%,60.0%,39.3%,33.3%,16.1%,22.6%,42.3%,35
2018 Wimbledon R32,L vsGulbis,35.4%,44.9%,53.2%,40.8%,45.0%,57.5%,50.0%,53.5%,57.9%,42.9%,0.0%,21.4%,26.2%,57.6%,82
2018 Wimbledon R64,W vsFritz,37.7%,48.6%,53.6%,42.5%,48.4%,62.1%,59.2%,55.9%,47.6%,41.5%,50.0%,20.5%,27.3%,45.7%,18
2018 Wimbledon R128,W vsDuckworth,46.0%,63.5%,72.7%,56.7%,55.8%,81.4%,84.2%,71.4%,52.6%,58.3%,-,26.3%,26.3%,57.1%,-3
2018 Halle R32,L vsCoric,28.3%,35.8%,33.3%,35.5%,33.3%,43.6%,38.5%,43.1%,61.1%,42.9%,40.0%,16.7%,16.7%,20.0%,39
2018 Roland Garros QF,L vsThiem,20.2%,33.7%,40.3%,28.7%,19.0%,33.3%,41.2%,31.0%,51.5%,53.3%,25.0%,27.3%,40.9%,37.5%,136
2018 Roland Garros R16,W vsKhachanov,28.3%,40.8%,54.3%,35.4%,37.5%,54.8%,58.5%,47.9%,54.5%,40.0%,44.4%,9.1%,11.4%,47.5%,-26
2018 Roland Garros R32,W vsDzumhur,17.3%,30.6%,50.7%,24.7%,23.9%,38.9%,47.7%,35.1%,39.7%,50.9%,75.0%,5.7%,17.0%,56.0%,-63
2018 Roland Garros R64,W vsLajovic,22.2%,34.1%,58.2%,32.8%,33.8%,50.6%,66.7%,52.3%,39.4%,43.2%,25.0%,7.8%,13.7%,48.9%,-42
2018 Roland Garros R128,W vsBerankis,57.7%,69.2%,63.6%,60.8%,67.7%,74.2%,60.0%,72.9%,60.0%,43.8%,-,42.9%,61.9%,66.7%,-79
2018 Rome F,L vsNadal,18.5%,26.2%,42.3%,26.0%,19.5%,31.7%,45.5%,31.5%,52.2%,50.0%,0.0%,17.4%,17.4%,36.8%,-16
2018 Rome SF,W vsCilic,32.5%,40.3%,60.8%,39.6%,34.5%,43.1%,63.2%,44.0%,50.0%,36.1%,100.0%,27.8%,33.3%,53.8%,1
2018 Rome QF,W vsGoffin,34.2%,42.5%,58.7%,43.3%,36.4%,47.3%,60.0%,48.4%,40.9%,42.4%,0.0%,31.3%,31.3%,54.5%,89
2018 Rome R16,W vsEdmund,27.4%,43.2%,52.2%,38.4%,30.1%,50.7%,56.9%,44.5%,31.3%,53.7%,20.0%,20.0%,20.0%,37.5%,59
2018 Rome R32,W vsBerrettini,28.3%,38.3%,60.5%,30.8%,39.4%,48.5%,60.0%,43.9%,52.6%,28.6%,100.0%,14.8%,25.9%,60.9%,-79
2018 Madrid F,W vsThiem,31.5%,55.6%,67.6%,40.0%,40.0%,62.9%,71.4%,53.1%,44.4%,47.1%,-,15.8%,42.1%,62.5%,-79
2018 Madrid SF,W vsShapovalov,57.1%,61.9%,52.9%,59.5%,73.1%,80.8%,57.1%,76.9%,58.3%,35.7%,-,33.3%,33.3%,50.0%,16
2018 Madrid QF,W vsIsner,37.3%,58.8%,81.3%,47.6%,40.0%,60.0%,71.4%,55.1%,52.9%,50.0%,-,31.3%,56.3%,100.0%,-79
2018 Madrid R16,W vsMayer,48.9%,66.7%,65.2%,58.0%,51.5%,72.7%,62.5%,63.9%,35.7%,42.1%,0.0%,41.7%,50.0%,71.4%,-79
2018 Madrid R32,W vsDonskoy,35.3%,52.9%,69.7%,46.7%,41.2%,64.7%,75.0%,58.2%,52.9%,47.1%,-,23.5%,29.4%,61.5%,-79
2018 Munich F,W vsKohlschreiber,35.3%,43.1%,50.0%,37.5%,42.1%,44.7%,45.5%,45.0%,35.3%,28.6%,0.0%,25.0%,62.5%,66.7%,-79
2018 Munich SF,W vsChung,31.3%,37.3%,47.6%,33.6%,41.9%,48.8%,40.0%,45.3%,26.3%,41.7%,0.0%,15.0%,20.0%,58.8%,19
2018 Munich QF,W vsStruff,43.1%,56.9%,46.4%,52.5%,47.5%,62.5%,47.6%,59.5%,31.3%,50.0%,0.0%,30.0%,40.0%,42.9%,59
2018 Munich R16,W vsHanfmann,36.3%,48.4%,51.8%,41.3%,41.8%,53.7%,48.7%,48.7%,45.5%,44.4%,-,22.7%,36.4%,58.8%,47
2018 Monte Carlo SF,L vsNishikori,21.8%,31.0%,50.8%,27.9%,34.1%,50.0%,69.0%,46.1%,70.8%,55.0%,33.3%,11.1%,13.9%,34.4%,-16
2018 Monte Carlo QF,W vsGasquet,18.0%,28.0%,44.9%,24.3%,23.6%,40.0%,47.6%,35.1%,50.0%,34.5%,50.0%,12.2%,14.6%,41.7%,4
2018 Monte Carlo R16,W vsStruff,21.7%,23.9%,38.5%,25.4%,31.5%,35.2%,40.5%,37.8%,37.0%,48.1%,50.0%,9.7%,9.7%,35.7%,-31
2018 Monte Carlo R32,W vsMuller,18.7%,32.0%,62.5%,29.3%,24.4%,48.8%,77.4%,43.9%,40.0%,57.1%,-,13.8%,13.8%,44.0%,11
2018 Davis Cup RR,W vsFerrer,22.5%,26.8%,47.1%,27.2%,26.2%,33.3%,38.7%,34.0%,66.7%,33.3%,0.0%,20.0%,20.0%,60.0%,72
2018 Davis Cup RR,L vsNadal,18.5%,29.6%,43.5%,25.1%,25.9%,38.9%,40.0%,35.7%,53.3%,37.5%,0.0%,4.3%,13.0%,50.0%,-77
2018 Miami F,L vsIsner,40.7%,44.4%,51.7%,44.4%,45.8%,50.0%,48.7%,51.2%,50.0%,35.0%,14.3%,36.7%,40.0%,57.9%,173
2018 Miami SF,W vsCarreno Busta,36.2%,53.4%,68.6%,46.2%,45.0%,65.0%,77.3%,59.5%,46.7%,44.0%,-,18.8%,31.3%,53.8%,65
2018 Miami QF,W vsCoric,32.1%,43.4%,66.7%,37.0%,43.2%,54.1%,71.4%,50.3%,55.6%,42.1%,0.0%,6.3%,18.8%,60.0%,-79
2018 Miami R16,W vsKyrgios,29.4%,39.2%,72.7%,36.9%,32.5%,42.5%,70.4%,42.0%,38.9%,36.4%,0.0%,25.0%,37.5%,83.3%,82
2018 Miami R32,W vsFerrer,31.8%,42.4%,48.8%,40.9%,45.2%,59.5%,56.5%,59.5%,52.4%,38.1%,-,9.1%,13.6%,40.0%,-26
2018 Miami R64,W vsMedvedev,29.7%,33.7%,50.0%,33.1%,40.0%,43.1%,53.8%,45.2%,57.6%,43.8%,66.7%,12.9%,19.4%,44.4%,4
2018 Indian Wells R64,L vsSousa,32.0%,44.0%,47.8%,36.6%,43.1%,56.9%,45.5%,51.0%,43.3%,32.1%,25.0%,17.1%,26.8%,50.0%,-43
2018 Acapulco SF,L vsdel Potro,33.9%,33.9%,37.8%,35.9%,48.6%,48.6%,50.0%,52.0%,52.6%,43.8%,75.0%,13.6%,13.6%,26.3%,19
2018 Acapulco QF,W vsHarrison,27.5%,43.1%,61.8%,35.3%,29.6%,59.3%,73.7%,44.4%,66.7%,46.7%,0.0%,28.6%,28.6%,46.7%,110
2018 Acapulco R16,W vsGojowczyk,28.7%,37.5%,52.8%,34.6%,45.8%,60.4%,61.5%,55.6%,47.1%,51.6%,40.0%,3.6%,3.6%,44.4%,-84
2018 Acapulco R32,W vsMcdonald,33.3%,46.0%,61.9%,40.0%,37.5%,52.5%,64.0%,48.0%,47.1%,52.2%,100.0%,26.1%,34.8%,58.8%,-79
2018 Rotterdam R16,L vsSeppi,21.1%,31.6%,40.9%,28.4%,27.5%,42.5%,41.4%,38.0%,42.1%,57.1%,50.0%,6.3%,6.3%,40.0%,-53
2018 Rotterdam R32,W vsFerrer,31.8%,40.9%,40.9%,38.3%,35.6%,46.7%,44.8%,45.1%,47.6%,45.8%,50.0%,25.0%,30.0%,33.3%,-7
2018 Davis Cup RR,W vsDe Minaur,33.5%,40.7%,55.8%,39.4%,45.2%,54.8%,57.9%,54.6%,46.9%,38.2%,20.0%,16.1%,19.6%,53.2%,39
2018 Davis Cup RR,W vsKyrgios,39.1%,47.8%,54.7%,44.3%,47.0%,56.1%,60.0%,54.2%,44.8%,35.1%,33.3%,21.7%,30.4%,44.4%,93
2018 Australian Open R32,L vsChung,35.3%,41.9%,50.0%,39.3%,49.4%,55.3%,41.9%,55.9%,41.9%,38.9%,0.0%,14.0%,23.3%,59.5%,19
2018 Australian Open R64,W vsGojowczyk,45.6%,50.5%,49.1%,49.9%,58.3%,63.9%,46.7%,64.4%,55.6%,44.4%,0.0%,16.7%,20.0%,52.0%,-30
2018 Australian Open R128,W vsFabbiano,37.2%,46.0%,40.7%,40.3%,51.4%,61.4%,35.3%,56.4%,48.4%,46.2%,57.1%,19.4%,29.0%,48.0%,70
2017 Tour Finals RR,L vsSock,27.0%,36.0%,50.0%,31.5%,32.8%,46.6%,48.7%,39.7%,41.4%,34.5%,25.0%,22.7%,22.7%,52.9%,65
2017 Tour Finals RR,W vsCilic,28.7%,38.3%,53.8%,35.6%,42.3%,55.8%,66.7%,54.8%,58.3%,53.6%,50.0%,12.5%,17.5%,42.9%,-7
2017 Vienna R16,W vsSimon,25.2%,35.0%,41.9%,30.2%,32.1%,48.2%,47.4%,41.3%,46.4%,50.0%,33.3%,18.2%,20.5%,36.1%,18
2017 Shanghai R16,L vsdel Potro,37.8%,53.1%,53.3%,46.2%,43.8%,61.6%,61.0%,55.2%,53.1%,51.2%,50.0%,20.8%,29.2%,36.8%,-19
2017 Beijing SF,L vsKyrgios,24.6%,35.1%,57.5%,30.0%,26.7%,43.3%,68.2%,37.0%,53.3%,33.3%,50.0%,25.0%,29.2%,44.4%,89
2017 Beijing QF,W vsRublev,29.9%,35.8%,53.5%,35.5%,38.1%,47.6%,53.8%,47.1%,52.6%,56.5%,33.3%,19.0%,19.0%,52.9%,58
2017 Shenzhen QF,L vsDzumhur,28.3%,35.0%,51.4%,33.7%,40.5%,51.4%,54.5%,49.2%,57.1%,39.1%,25.0%,11.8%,11.8%,46.7%,-22
2017 Canada F,W vsFederer,30.5%,50.8%,65.0%,40.2%,39.0%,61.0%,68.0%,52.9%,52.9%,37.5%,33.3%,11.8%,29.4%,60.0%,4
2017 Canada SF,W vsShapovalov,35.7%,42.9%,59.0%,39.4%,42.9%,52.4%,66.7%,49.0%,55.0%,31.8%,33.3%,31.8%,36.4%,46.7%,157
2017 Washington F,W vsAnderson,44.9%,57.1%,72.0%,49.0%,55.9%,67.6%,73.3%,61.8%,46.7%,47.4%,-,23.1%,38.5%,70.0%,102
2017 Halle F,L vsFederer,28.6%,34.7%,28.6%,33.1%,30.6%,36.1%,32.0%,36.7%,26.3%,29.4%,50.0%,23.1%,30.8%,20.0%,-79
2017 Halle SF,W vsGasquet,32.1%,39.7%,60.0%,40.6%,41.8%,50.9%,65.6%,54.0%,51.9%,32.1%,0.0%,10.0%,15.0%,50.0%,-22
2017 Halle R32,W vsLorenzi,33.3%,52.9%,63.6%,44.7%,50.0%,73.5%,70.6%,67.1%,66.7%,31.6%,50.0%,0.0%,12.5%,56.3%,-118
2017 Rome F,W vsDjokovic,42.2%,57.8%,70.8%,51.6%,50.0%,68.8%,68.8%,63.1%,50.0%,50.0%,-,27.3%,36.4%,75.0%,136
2017 Rome SF,W vsIsner,37.8%,47.6%,72.3%,44.4%,46.7%,56.7%,75.0%,55.7%,50.0%,38.2%,0.0%,16.7%,27.8%,66.7%,32
2017 Madrid QF,L vsCuevas,33.8%,44.2%,46.8%,41.3%,45.3%,60.4%,55.2%,56.2%,53.6%,48.0%,25.0%,10.0%,10.0%,33.3%,-26
2017 Madrid R32,W vsCilic,29.9%,37.6%,54.4%,35.0%,35.1%,44.2%,56.0%,42.7%,50.0%,53.5%,50.0%,21.6%,27.0%,51.7%,34
2017 Madrid R64,W vsVerdasco,36.1%,47.5%,48.4%,39.3%,47.5%,57.5%,38.1%,52.5%,68.2%,50.0%,-,23.1%,46.2%,70.0%,102
2017 Munich F,W vsPella,29.1%,50.9%,60.5%,35.5%,31.4%,51.4%,50.0%,41.4%,47.1%,33.3%,-,26.3%,52.6%,78.6%,-3
2017 Monte Carlo R16,L vsNadal,15.8%,28.1%,36.2%,21.2%,18.4%,31.6%,35.5%,26.6%,63.2%,52.6%,50.0%,11.1%,22.2%,37.5%,-2
2017 Miami QF,L vsKyrgios,23.3%,33.0%,60.8%,30.1%,25.0%,36.8%,62.7%,35.3%,48.4%,37.8%,0.0%,23.3%,30.0%,56.5%,102
2017 Miami R16,W vsWawrinka,38.4%,50.7%,58.1%,42.7%,52.4%,61.9%,50.0%,60.0%,27.8%,37.5%,0.0%,20.7%,37.9%,65.2%,19
2017 Indian Wells R32,L vsKyrgios,26.8%,37.5%,55.6%,32.5%,33.3%,48.1%,50.0%,45.2%,37.5%,18.2%,50.0%,25.0%,33.3%,61.1%,109
2017 Indian Wells R64,W vsBagnis,39.7%,47.9%,62.5%,44.9%,46.5%,55.8%,60.9%,55.3%,50.0%,39.1%,-,34.6%,42.3%,64.7%,123
2017 Rotterdam R32,L vsThiem,34.1%,40.0%,41.8%,36.6%,40.7%,45.8%,34.3%,44.2%,53.8%,33.3%,40.0%,20.0%,28.0%,55.0%,-21
2017 Montpellier F,W vsGasquet,26.4%,41.7%,59.2%,35.0%,37.0%,58.7%,69.0%,50.4%,38.9%,39.3%,-,9.1%,13.6%,45.0%,-33
2017 Australian Open R32,L vsNadal,26.6%,37.0%,50.0%,31.6%,37.5%,51.9%,53.8%,45.9%,42.6%,52.0%,87.5%,13.5%,19.2%,44.4%,2
2016 St. Petersburg F,W vsWawrinka,20.2%,30.3%,54.3%,28.0%,26.1%,42.0%,56.9%,38.4%,51.5%,38.9%,57.1%,11.8%,11.8%,50.0%,-8
2016 St. Petersburg R32,W vsKhachanov,30.8%,38.5%,61.9%,36.5%,39.0%,51.2%,60.0%,48.0%,56.3%,28.0%,-,19.0%,19.0%,64.7%,65
2016 Washington R32,W vsFritz,41.3%,50.8%,54.5%,49.4%,52.6%,60.5%,72.2%,66.1%,23.5%,14.3%,0.0%,28.6%,42.9%,33.3%,146
2016 Halle F,L vsMayer,34.2%,43.0%,45.7%,40.3%,47.1%,58.8%,51.9%,56.5%,50.0%,25.9%,100.0%,13.6%,18.2%,36.8%,0
2016 Roland Garros R32,L vsThiem,30.6%,42.1%,43.0%,34.7%,40.3%,54.2%,48.8%,47.2%,26.5%,50.0%,57.1%,18.2%,27.3%,36.1%,61
2016 Nice F,L vsThiem,21.2%,28.8%,41.9%,26.8%,26.3%,39.5%,42.9%,36.1%,58.8%,57.1%,50.0%,21.1%,21.1%,40.0%,39
2016 Rome R32,L vsFederer,27.8%,37.5%,42.0%,33.9%,30.2%,39.5%,43.3%,40.5%,42.9%,27.3%,0.0%,25.9%,37.0%,40.0%,25
2016 Rome R64,W vsDimitrov,38.3%,55.3%,62.1%,47.2%,41.2%,58.8%,60.0%,53.5%,35.3%,41.2%,-,30.8%,46.2%,66.7%,-79
2016 Monte Carlo R32,L vsGranollers,7.8%,14.4%,50.6%,15.1%,15.0%,30.0%,58.8%,31.5%,61.1%,45.5%,25.0%,2.2%,2.2%,44.4%,-96
2016 Miami R128,W vsMmoh,37.5%,45.0%,57.8%,42.1%,44.4%,53.7%,56.7%,51.3%,40.9%,25.0%,50.0%,28.6%,33.3%,60.0%,136
2016 Indian Wells R32,W vsSimon,25.0%,34.1%,66.7%,29.8%,32.0%,44.0%,70.6%,40.4%,54.5%,42.9%,100.0%,18.8%,25.0%,61.5%,56
2015 Bastad QF,W vsBellucci,16.2%,25.2%,50.6%,24.0%,18.3%,32.4%,58.6%,30.4%,50.0%,35.9%,77.8%,14.7%,14.7%,34.5%,19
2015 Nottingham R16,L vsBaghdatis,28.3%,41.5%,41.2%,34.0%,33.3%,53.3%,45.0%,43.3%,43.8%,28.6%,100.0%,26.3%,31.6%,35.7%,127
2015 Marseille R32,L vsMonfils,17.4%,26.1%,48.2%,21.9%,24.4%,36.6%,61.3%,32.0%,42.9%,40.7%,0.0%,7.4%,11.1%,32.0%,-39
2015 Rotterdam R32,L vsBautista Agut,29.4%,33.3%,30.6%,32.5%,40.6%,46.9%,31.6%,45.6%,26.7%,47.1%,33.3%,10.5%,10.5%,29.4%,-79
2014 Mons CH QF,L vsGoffin,21.5%,29.2%,35.7%,26.3%,35.5%,51.6%,40.0%,45.5%,60.0%,43.8%,33.3%,12.0%,12.0%,31.8%,4
