Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Roland Garros R128,W vsMochizuki,32.6%,48.6%,53.9%,40.5%,40.9%,59.1%,56.4%,52.6%,43.6%,46.3%,25.0%,17.1%,29.3%,50.0%,53
2024 Rome QF,L vsPaul,23.1%,34.1%,39.1%,27.6%,36.2%,51.1%,43.3%,44.9%,57.1%,53.8%,66.7%,9.3%,16.3%,35.9%,-45
2024 Rome R16,W vsBaez,29.4%,40.2%,52.9%,35.6%,46.6%,62.1%,71.0%,57.4%,59.3%,25.8%,-,7.1%,11.9%,38.5%,-43
2024 Rome R32,W vsEtcheverry,35.1%,48.1%,52.0%,40.6%,52.2%,63.0%,54.5%,61.5%,50.0%,50.0%,0.0%,9.7%,25.8%,50.0%,-79
2024 Rome R64,W vsNadal,39.3%,51.8%,57.6%,44.8%,53.3%,70.0%,64.3%,63.7%,63.2%,54.5%,33.3%,24.0%,32.0%,52.6%,-21
2024 Madrid R16,L vsFritz,38.9%,55.6%,48.8%,44.9%,49.0%,59.2%,40.0%,57.8%,50.0%,41.4%,50.0%,18.2%,50.0%,61.1%,-13
2024 Madrid R32,W vsAltmaier,28.8%,49.3%,50.0%,36.6%,42.2%,62.2%,46.2%,54.9%,68.8%,48.3%,60.0%,7.1%,28.6%,53.8%,-79
2024 Madrid R64,W vsDraper,35.8%,54.7%,64.7%,46.8%,38.7%,64.5%,73.7%,57.4%,46.2%,50.0%,-,31.8%,40.9%,53.3%,-79
2024 Monte Carlo R16,L vsRuud,22.2%,41.3%,45.8%,30.5%,32.4%,54.1%,48.0%,46.5%,60.0%,45.5%,40.0%,8.0%,24.0%,43.5%,-33
2024 Monte Carlo R32,W vsBautista Agut,35.4%,53.2%,51.0%,40.6%,50.0%,63.0%,55.6%,57.6%,59.1%,46.9%,0.0%,4.0%,32.0%,45.8%,-79
2024 Monte Carlo R64,W vsDraper,29.0%,40.9%,49.2%,37.2%,33.3%,46.0%,57.1%,45.4%,61.5%,67.6%,33.3%,20.7%,31.0%,34.8%,-29
2024 Estoril F,W vsMartinez,43.1%,54.9%,62.1%,48.4%,56.8%,64.9%,50.0%,64.1%,38.9%,63.2%,-,7.1%,28.6%,76.9%,-79
2024 Estoril SF,W vsGarin,26.2%,41.7%,53.3%,33.8%,35.8%,50.9%,58.8%,47.9%,55.2%,70.8%,100.0%,10.3%,27.6%,46.2%,-12
2024 Estoril QF,W vsLlamas Ruiz,21.6%,41.9%,63.2%,33.8%,26.5%,51.0%,63.9%,44.9%,66.7%,68.0%,60.0%,12.5%,25.0%,61.9%,-19
2024 Estoril R16,W vsChoinski,36.6%,46.5%,52.3%,42.0%,44.0%,52.0%,46.4%,51.6%,45.8%,50.0%,0.0%,20.0%,35.0%,62.5%,-7
2024 Miami R16,L vsDimitrov,30.0%,38.2%,52.0%,37.5%,34.4%,46.9%,64.3%,47.2%,50.0%,44.1%,0.0%,25.0%,27.3%,36.4%,-13
2024 Miami R32,W vsKorda,43.0%,56.0%,67.9%,48.1%,52.2%,65.2%,69.7%,59.6%,62.1%,42.5%,50.0%,23.3%,36.7%,65.2%,-30
2024 Miami R64,W vsShevchenko,52.9%,63.2%,52.5%,55.9%,65.1%,71.4%,45.5%,69.2%,51.9%,55.6%,-,21.7%,43.5%,61.1%,-16
2024 Indian Wells R64,L vsMonfils,17.3%,32.1%,43.8%,24.3%,19.5%,41.5%,51.5%,33.4%,36.8%,50.0%,66.7%,16.2%,24.3%,35.5%,34
2024 Dubai QF,L vsHumbert,38.9%,51.6%,50.9%,47.9%,47.7%,64.6%,61.8%,60.8%,50.0%,45.9%,66.7%,22.2%,25.9%,33.3%,72
2024 Dubai R16,W vsOconnell,49.2%,66.7%,59.4%,53.2%,70.3%,83.8%,63.6%,77.0%,46.7%,50.0%,-,19.2%,42.3%,57.1%,-79
2024 Dubai R32,W vsStruff,41.6%,51.8%,54.7%,46.6%,50.5%,61.3%,56.5%,57.8%,54.3%,58.6%,66.7%,25.6%,35.9%,51.7%,93
2024 Rotterdam R16,L vsGriekspoor,45.9%,62.4%,58.6%,53.6%,60.0%,77.1%,60.7%,72.0%,58.1%,38.5%,0.0%,21.1%,36.8%,56.7%,-40
2024 Rotterdam R32,W vsLehecka,50.0%,59.5%,52.6%,55.0%,62.0%,72.2%,56.7%,69.4%,54.3%,54.5%,0.0%,25.0%,33.3%,48.1%,-38
2024 Marseille SF,L vsHumbert,49.0%,58.8%,41.7%,52.9%,68.8%,81.3%,60.0%,75.0%,46.2%,42.1%,0.0%,17.6%,23.5%,28.6%,56
2024 Marseille QF,W vsMachac,51.0%,55.1%,68.2%,55.7%,71.0%,74.2%,66.7%,78.4%,50.0%,40.0%,-,18.8%,25.0%,69.2%,65
2024 Marseille R16,W vsShevchenko,36.2%,44.7%,58.6%,41.9%,59.3%,70.4%,54.5%,69.3%,46.7%,66.7%,66.7%,5.3%,10.5%,61.1%,-63
2024 Australian Open QF,L vsMedvedev,38.1%,52.5%,55.6%,45.3%,48.3%,64.0%,63.0%,59.6%,58.5%,39.6%,0.0%,22.2%,35.6%,45.7%,72
2024 Australian Open R16,W vsCazaux,47.1%,66.7%,73.3%,55.3%,55.6%,79.6%,79.2%,68.7%,55.0%,50.0%,0.0%,34.4%,46.9%,66.7%,-33
2024 Australian Open R32,W vsHumbert,40.8%,53.6%,45.1%,48.4%,55.1%,71.8%,57.1%,67.3%,47.2%,50.0%,0.0%,18.2%,25.0%,33.3%,18
2024 Australian Open R64,W vsMensik,42.2%,51.9%,57.9%,47.0%,50.5%,59.3%,64.4%,57.6%,65.8%,47.2%,33.3%,26.2%,38.1%,48.4%,-10
2024 Australian Open R128,W vsJasika,41.3%,56.5%,56.6%,48.6%,53.6%,73.2%,69.2%,65.5%,74.1%,62.1%,-,22.9%,31.4%,44.4%,-37
2024 United Cup F,L vsZverev,30.3%,42.0%,54.9%,35.4%,45.7%,61.4%,57.9%,54.4%,57.1%,57.1%,50.0%,8.3%,14.6%,52.3%,-48
2024 United Cup SF,W vsMannarino,41.4%,53.4%,61.8%,47.6%,55.6%,72.2%,68.8%,65.6%,66.7%,47.6%,-,18.2%,22.7%,55.6%,-79
2024 United Cup QF,W vsZhang,33.8%,47.7%,53.5%,44.8%,41.7%,56.3%,57.1%,56.5%,55.0%,50.0%,0.0%,11.8%,23.5%,46.7%,-79
2024 United Cup RR,L vsDavidovich Fokina,30.0%,47.5%,49.1%,39.9%,36.7%,55.0%,50.0%,49.8%,54.2%,50.0%,0.0%,11.8%,29.4%,46.7%,-8
2024 United Cup RR,W vsSeyboth Wild,40.7%,55.6%,55.6%,49.3%,46.2%,63.5%,53.6%,59.4%,54.5%,56.7%,-,34.6%,46.2%,58.8%,78
2023 Tour Finals RR,L vsDjokovic,43.8%,46.1%,38.6%,46.3%,69.2%,73.1%,50.0%,73.5%,50.0%,50.0%,0.0%,9.7%,9.7%,32.1%,-29
2023 Paris QF,L vsDimitrov,39.2%,50.0%,44.2%,45.8%,50.0%,60.9%,52.2%,60.7%,54.5%,50.0%,-,23.1%,34.6%,35.0%,29
2023 Paris R16,W vsCerundolo,40.0%,54.0%,48.3%,45.2%,54.8%,67.7%,35.7%,63.2%,50.0%,52.9%,100.0%,16.7%,33.3%,60.0%,1
2023 Paris R32,W vsBautista Agut,51.0%,66.7%,48.0%,56.9%,63.2%,78.9%,50.0%,71.1%,45.0%,55.6%,0.0%,15.4%,30.8%,45.5%,-79
2023 Paris R64,W vsKorda,40.0%,48.4%,52.8%,45.2%,57.7%,67.3%,54.5%,67.1%,52.6%,54.5%,-,20.5%,28.2%,51.6%,62
2023 Basel F,L vsAuger Aliassime,32.6%,45.7%,51.7%,41.8%,45.5%,65.5%,66.7%,60.9%,57.1%,50.0%,0.0%,14.3%,17.1%,36.7%,3
2023 Basel SF,W vsHumbert,40.2%,51.1%,51.9%,46.1%,54.1%,63.9%,64.3%,63.0%,50.0%,72.7%,100.0%,13.3%,26.7%,38.5%,-30
2023 Basel QF,W vsGriekspoor,48.5%,54.5%,51.0%,51.2%,65.6%,70.5%,52.4%,70.0%,56.7%,45.2%,0.0%,21.1%,28.9%,50.0%,-79
2023 Basel R16,W vsStruff,44.7%,61.7%,46.2%,52.1%,51.5%,72.7%,50.0%,62.1%,33.3%,44.4%,0.0%,28.6%,35.7%,40.0%,-79
2023 Basel R32,W vsLajovic,41.1%,50.7%,50.0%,48.8%,54.9%,62.7%,56.5%,65.9%,56.0%,53.8%,33.3%,9.5%,23.8%,42.1%,-18
2023 Tokyo R32,L vsZhang,25.5%,39.6%,47.4%,35.0%,32.8%,52.2%,55.6%,47.9%,52.0%,40.5%,25.0%,13.2%,18.4%,36.4%,-40
2023 Shanghai F,W vsRublev,47.3%,57.0%,49.0%,53.4%,60.0%,72.9%,53.6%,68.1%,44.4%,48.8%,0.0%,8.7%,8.7%,42.9%,-79
2023 Shanghai SF,W vsKorda,47.6%,58.7%,48.5%,54.1%,55.3%,70.2%,66.7%,64.0%,39.1%,50.0%,-,25.0%,25.0%,16.7%,-79
2023 Shanghai QF,W vsMarozsan,41.4%,54.3%,50.0%,48.0%,55.3%,72.3%,57.1%,65.1%,50.0%,60.0%,0.0%,13.6%,18.2%,42.1%,-13
2023 Shanghai R16,W vsZhang,37.2%,53.2%,62.7%,48.1%,46.2%,64.6%,77.1%,61.8%,55.6%,50.0%,100.0%,17.2%,27.6%,41.7%,-79
2023 Shanghai R32,W vsHsu,35.5%,50.0%,52.5%,41.1%,43.5%,58.7%,50.0%,51.1%,38.9%,60.7%,33.3%,12.5%,25.0%,57.1%,-79
2023 Shanghai R64,W vsKokkinakis,45.7%,54.3%,56.8%,52.6%,61.2%,73.5%,63.2%,71.0%,45.0%,58.6%,0.0%,10.0%,10.0%,50.0%,-13
2023 US Open R64,L vsDraper,22.3%,31.1%,43.8%,27.5%,37.9%,50.0%,47.2%,47.1%,47.1%,33.3%,33.3%,2.2%,6.7%,40.9%,-94
2023 US Open R128,W vsHuesler,39.0%,53.9%,52.4%,45.9%,50.5%,68.8%,60.9%,61.0%,53.7%,50.0%,100.0%,18.2%,27.3%,41.7%,47
2023 Cincinnati SF,L vsAlcaraz,42.1%,52.3%,41.0%,46.9%,51.5%,63.2%,45.5%,59.1%,42.4%,48.6%,50.0%,26.3%,34.2%,35.7%,-40
2023 Cincinnati QF,W vsPopyrin,53.6%,66.1%,68.0%,57.3%,66.7%,74.4%,76.9%,72.1%,35.7%,44.0%,-,25.0%,50.0%,58.3%,10
2023 Cincinnati R16,W vsTsitsipas,50.0%,65.4%,61.5%,58.1%,57.5%,72.5%,64.7%,68.0%,45.0%,55.0%,100.0%,25.0%,41.7%,55.6%,-79
2023 Cincinnati R32,W vsCoric,33.3%,42.5%,53.6%,37.2%,41.7%,45.8%,42.9%,48.8%,36.4%,50.0%,66.7%,26.3%,42.1%,64.3%,-3
2023 Cincinnati R64,W vsKokkinakis,29.5%,51.8%,63.2%,40.7%,34.3%,60.0%,69.6%,52.3%,37.1%,54.3%,50.0%,23.1%,41.0%,53.3%,29
2023 Canada R16,L vsAlcaraz,31.5%,42.3%,48.0%,37.1%,37.9%,55.2%,58.3%,48.6%,41.4%,51.7%,100.0%,25.0%,28.8%,38.5%,-51
2023 Canada R32,W vsKecmanovic,46.3%,58.5%,47.6%,53.4%,56.4%,70.9%,58.3%,66.9%,40.0%,33.3%,33.3%,28.0%,36.0%,33.3%,33
2023 Canada R64,W vsBublik,30.6%,50.0%,56.1%,40.6%,36.6%,61.0%,61.5%,51.7%,47.1%,41.7%,0.0%,21.1%,31.6%,46.7%,65
2023 Washington R32,L vsMmoh,31.3%,41.4%,47.7%,39.8%,36.7%,48.9%,49.1%,48.8%,42.5%,48.0%,28.6%,19.4%,25.0%,44.8%,1
2023 Wimbledon R16,L vsDjokovic,41.1%,52.7%,54.9%,48.7%,52.8%,67.0%,60.0%,63.3%,54.2%,39.7%,50.0%,11.1%,16.7%,46.9%,-8
2023 Wimbledon R32,W vsMusetti,54.7%,66.3%,45.0%,60.2%,59.4%,71.9%,50.0%,67.5%,39.3%,47.2%,33.3%,50.0%,60.7%,35.7%,67
2023 Wimbledon R64,W vsChoinski,50.0%,62.5%,58.1%,57.8%,57.6%,72.9%,64.0%,69.3%,58.3%,51.4%,50.0%,35.7%,42.9%,50.0%,-27
2023 Wimbledon R128,W vsRamos,45.0%,60.0%,55.8%,54.9%,48.1%,68.5%,67.9%,62.8%,46.2%,46.4%,0.0%,40.0%,44.0%,33.3%,-21
2023 Halle R16,L vsGriekspoor,37.5%,50.0%,45.8%,46.5%,38.1%,54.0%,51.3%,51.7%,48.1%,52.8%,100.0%,37.5%,43.8%,35.0%,-33
2023 Halle R32,W vsEubanks,46.9%,56.1%,60.4%,51.2%,64.2%,73.1%,70.8%,70.4%,50.0%,48.7%,-,11.1%,22.2%,50.0%,-12
2023 Stuttgart SF,L vsStruff,50.6%,59.3%,32.5%,55.8%,60.0%,70.0%,37.5%,67.0%,55.2%,45.2%,66.7%,23.8%,28.6%,25.0%,-79
2023 Stuttgart QF,W vsOconnell,50.9%,62.3%,53.8%,54.7%,67.6%,79.4%,72.7%,73.5%,52.4%,38.5%,-,21.1%,31.6%,40.0%,-79
2023 Stuttgart R16,W vsWatanuki,52.3%,62.2%,50.0%,57.6%,64.7%,75.0%,50.0%,73.4%,57.6%,68.6%,100.0%,36.8%,47.4%,50.0%,97
2023 Roland Garros R32,L vsVarillas,18.8%,33.6%,56.8%,28.4%,26.7%,47.8%,68.2%,42.6%,52.5%,46.0%,33.3%,7.1%,12.5%,42.3%,-43
2023 Roland Garros R64,W vsGriekspoor,28.1%,44.4%,60.0%,36.0%,37.9%,58.3%,70.3%,51.6%,44.7%,44.6%,75.0%,15.3%,26.4%,49.2%,-19
2023 Roland Garros R128,W vsGoffin,31.1%,39.2%,50.5%,37.2%,43.5%,56.5%,56.3%,54.2%,60.0%,28.9%,16.7%,15.5%,17.2%,44.9%,39
2023 Rome R64,L vsWolf,40.4%,53.8%,43.3%,45.2%,59.3%,77.8%,45.5%,68.5%,50.0%,26.7%,-,20.8%,29.2%,42.1%,-19
2023 Madrid R32,L vsCoric,30.0%,46.7%,61.0%,36.8%,29.7%,48.6%,65.4%,40.8%,52.9%,60.0%,100.0%,31.8%,45.5%,53.3%,-13
2023 Madrid R64,W vsGasquet,49.0%,64.3%,58.7%,52.1%,64.1%,71.9%,52.2%,68.9%,41.9%,54.5%,33.3%,23.3%,56.7%,65.2%,99
