Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
18,Francisco Cerundolo,3,33.3,58.9,62.3,2.7,7.0,17.1,58.9,67.9,46.1,55.6,69.0,33.3,33.3,5.6,2.8,26.8,47.4,10.3,23.1,13,0.45,2.2,4.3,0.5,1.0,52.6,0.66,3.2,6.3,1.5,3.0,46.3,100.0,33.3,39.7
19,Stefanos Tsitsipas,4,50.0,68.5,68.6,9.2,4.3,10.8,60.2,75.6,57.7,64.7,90.4,30.5,30.8,4.0,1.2,21.5,47.7,11.3,25.0,24,0.45,2.4,6.0,0.6,1.5,58.3,0.23,1.2,3.0,0.5,1.3,49.5,0.0,40.0,50.5
20,Tomas Machac,3,33.3,59.1,57.9,6.5,2.8,7.0,60.0,63.6,52.3,56.3,71.4,36.3,38.6,9.4,2.1,29.0,48.3,19.4,43.8,16,0.44,2.0,5.3,0.88,2.3,61.5,0.74,3.3,8.7,1.25,3.3,47.2,-,37.5,45.1
21,Jakub Mensik,2,50.0,54.7,53.3,4.7,1.6,4.2,62.5,61.3,43.8,45.7,63.6,35.0,36.1,6.0,1.7,27.1,46.8,19.0,66.7,6,0.29,1.2,3.0,0.8,2.0,52.9,0.77,3.4,8.5,1.6,4.0,45.3,-,40.0,41.9
22,Ugo Humbert,5,80.0,65.3,63.7,8.0,2.1,5.8,64.5,71.3,54.3,57.7,88.1,37.7,38.9,9.1,3.9,27.3,53.1,25.0,44.1,34,0.57,2.8,6.8,1.25,3.0,73.1,0.44,2.2,5.2,0.58,1.4,52.0,0.0,66.7,56.3
23,Sebastian Korda,5,40.0,62.4,61.4,7.5,3.1,7.4,58.6,70.5,50.8,54.9,77.1,36.6,38.0,7.5,2.4,30.3,47.2,18.8,47.4,19,0.4,1.9,3.8,0.9,1.8,65.6,0.67,3.2,6.4,1.1,2.2,48.7,0.0,40.0,47.9
24,Karen Khachanov,5,60.0,65.4,61.7,12.0,1.4,3.9,64.7,76.2,45.8,47.6,82.4,38.4,40.8,11.5,3.8,29.3,54.7,22.7,50.0,30,0.45,2.3,6.0,1.15,3.0,61.3,0.46,2.4,6.2,0.92,2.4,51.6,60.0,61.5,53.0
25,Alexei Popyrin,2,50.0,61.4,62.6,6.4,5.7,15.7,63.6,73.0,41.2,48.8,75.0,37.9,37.7,6.2,4.1,25.3,59.3,23.8,31.3,16,0.76,4.0,8.0,1.25,2.5,44.4,0.45,2.3,4.5,1.25,2.5,49.5,50.0,50.0,48.8
27,Felix Auger Aliassime,3,33.3,57.5,57.0,8.6,5.7,15.4,62.6,69.7,36.9,43.6,68.0,31.4,32.1,10.3,3.8,23.2,45.6,8.0,40.0,5,0.2,1.0,1.7,0.4,0.7,55.6,0.72,3.6,6.0,1.6,2.7,45.2,-,20.0,38.0
28,Denis Shapovalov,1,100.0,84.2,93.3,10.5,10.5,33.3,68.4,96.2,58.3,87.5,100.0,54.9,56.5,5.9,3.9,39.4,83.3,57.1,36.4,11,1.57,5.5,11.0,2.0,4.0,-,0.0,0.0,0.0,0.0,0.0,67.4,-,100.0,80.0
29,Brandon Nakashima,2,0.0,60.3,56.4,11.8,2.2,6.8,67.6,70.7,38.6,41.5,80.0,26.3,28.3,17.8,4.2,12.2,50.0,0.0,0.0,2,0.1,0.5,1.0,0.0,0.0,69.2,0.65,3.3,6.5,1.0,2.0,44.5,0.0,0.0,40.0
30,Matteo Berrettini,4,100.0,76.0,74.4,12.0,2.0,7.5,73.2,83.6,55.2,59.7,97.7,39.0,39.0,3.0,2.0,36.4,46.8,26.7,40.0,30,0.67,3.3,7.5,1.33,3.0,85.7,0.16,0.8,1.8,0.11,0.3,55.7,50.0,88.9,61.8
31,Hubert Hurkacz,4,75.0,71.2,66.8,17.0,1.9,5.5,65.5,81.5,51.6,54.7,91.3,33.0,34.5,6.5,1.1,25.9,50.0,13.6,33.3,18,0.41,2.0,4.5,0.67,1.5,69.2,0.28,1.4,3.3,0.44,1.0,51.6,100.0,66.7,53.3
32,Alex Michelsen,4,50.0,59.8,58.4,4.5,0.8,2.5,69.7,66.8,43.8,44.9,70.7,39.8,41.3,8.6,3.5,35.2,47.9,31.0,43.3,30,0.71,2.5,7.5,1.08,3.3,57.1,0.68,2.3,7.0,1.0,3.0,50.0,100.0,58.3,50.6
33,Sebastian Baez,4,50.0,60.4,59.1,3.8,0.4,1.5,72.5,65.5,47.0,47.7,73.7,42.0,42.3,3.3,1.8,39.5,45.8,28.2,42.3,26,0.67,2.9,6.5,1.22,2.8,60.0,0.66,2.8,6.3,1.11,2.5,50.6,-,55.6,50.6
34,Flavio Cobolli,2,50.0,64.0,64.0,8.1,4.7,11.6,59.9,73.8,49.3,55.7,82.8,33.3,34.3,8.6,3.1,26.7,45.6,21.4,54.5,11,0.39,1.8,5.5,1.0,3.0,64.3,0.48,2.3,7.0,0.83,2.5,49.1,0.0,50.0,52.6
35,Tallon Griekspoor,3,0.0,61.4,60.4,8.2,3.9,10.5,63.3,71.8,43.4,48.5,72.7,29.7,30.4,10.3,3.6,24.8,38.6,9.1,25.0,12,0.36,1.7,4.0,0.43,1.0,57.1,0.64,3.0,7.0,1.29,3.0,46.0,-,14.3,40.9
36,Giovanni Mpetshi Perricard,2,100.0,78.8,77.7,16.9,3.4,10.0,66.1,85.9,65.0,72.2,95.5,34.0,32.2,9.2,7.1,30.0,39.3,18.2,33.3,12,0.55,3.0,6.0,1.0,2.0,50.0,0.09,0.5,1.0,0.25,0.5,54.4,100.0,100.0,56.8
