Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
20,Tomas Machac,3,100.0,63.8,63.4,6.5,3.1,8.1,61.9,68.3,56.6,61.5,82.5,41.1,42.7,7.1,2.5,29.4,56.2,34.2,61.9,21,0.55,2.6,7.0,1.63,4.3,56.3,0.4,2.0,5.3,0.88,2.3,52.9,50.0,75.0,59.0
21,Jakub Mensik,5,80.0,66.2,64.7,12.1,4.3,10.4,59.1,75.6,52.6,58.7,86.8,36.4,37.0,8.7,4.1,28.0,51.0,21.9,36.8,38,0.59,2.7,7.6,1.0,2.8,70.0,0.44,2.1,6.0,0.64,1.8,51.8,0.0,64.3,55.3
22,Ugo Humbert,2,50.0,67.9,65.6,10.1,1.8,6.5,71.6,70.5,61.3,65.5,80.0,34.5,35.1,8.2,3.6,22.7,60.0,21.1,44.4,9,0.47,2.3,4.5,1.0,2.0,42.9,0.35,1.8,3.5,1.0,2.0,51.1,-,50.0,51.3
23,Sebastian Korda,4,50.0,71.7,69.1,11.5,1.3,3.6,62.7,82.1,54.3,56.3,90.2,30.0,32.5,17.7,4.7,20.3,49.0,9.1,17.1,35,0.53,2.9,8.8,0.5,1.5,64.7,0.28,1.4,4.3,0.5,1.5,49.6,40.0,50.0,48.0
24,Karen Khachanov,8,62.5,66.9,64.8,10.0,2.2,5.7,61.7,74.5,54.7,58.1,82.1,35.5,37.1,12.3,4.7,21.3,54.4,22.4,42.3,71,0.53,2.7,8.9,1.15,3.8,61.3,0.46,2.4,7.8,0.92,3.0,50.8,55.6,57.7,52.2
25,Alexei Popyrin,5,60.0,67.8,65.9,11.1,2.8,7.1,60.9,75.7,55.6,59.9,92.2,29.5,30.9,11.1,2.9,20.8,44.6,7.8,35.7,14,0.22,1.2,2.8,0.42,1.0,78.3,0.36,1.9,4.6,0.42,1.0,49.2,40.0,50.0,50.0
26,Alejandro Davidovich Fokina,2,0.0,60.0,59.0,5.7,2.3,6.5,64.6,65.5,50.0,53.4,66.7,40.7,41.7,5.6,2.3,30.9,62.7,27.6,33.3,24,0.83,4.0,12.0,1.33,4.0,28.6,0.47,2.3,7.0,1.67,5.0,49.4,0.0,33.3,47.5
27,Felix Auger Aliassime,5,40.0,65.4,64.8,9.9,4.5,11.4,60.4,73.2,53.4,60.3,84.1,35.7,36.6,10.8,4.8,27.9,50.3,20.0,42.4,33,0.47,2.4,6.6,1.0,2.8,70.3,0.54,2.6,7.4,0.79,2.2,50.4,0.0,42.9,51.8
28,Denis Shapovalov,7,71.4,69.9,73.9,9.5,8.8,22.5,60.7,81.8,51.5,66.5,89.4,36.2,37.2,7.8,3.0,30.0,46.8,22.1,37.5,56,0.59,2.9,8.0,1.11,3.0,71.4,0.37,1.8,5.0,0.53,1.4,52.2,60.0,68.4,55.6
29,Brandon Nakashima,10,80.0,68.6,66.1,11.3,2.0,5.7,65.8,76.2,54.1,57.4,87.8,36.3,35.4,7.3,5.3,28.5,47.4,22.3,40.3,62,0.55,2.7,6.2,1.09,2.5,70.8,0.42,2.1,4.8,0.61,1.4,52.5,100.0,73.9,55.5
30,Matteo Berrettini,4,100.0,75.7,73.4,10.8,0.8,2.6,69.3,82.8,59.7,61.3,95.2,34.2,34.0,5.8,3.3,31.8,38.4,21.4,50.0,18,0.43,2.3,4.5,1.13,2.3,77.8,0.21,1.1,2.3,0.25,0.5,54.0,100.0,100.0,58.3
31,Hubert Hurkacz,5,60.0,68.8,65.5,11.5,1.0,2.8,63.1,76.4,55.7,57.3,89.2,35.5,35.6,5.9,3.1,29.8,45.3,15.3,39.3,28,0.39,2.0,5.6,0.79,2.2,66.7,0.32,1.7,4.8,0.57,1.6,51.9,50.0,57.1,52.7
32,Alex Michelsen,6,100.0,70.1,69.0,8.7,2.4,8.6,72.5,73.0,62.6,68.5,91.5,37.3,37.8,7.1,3.4,30.7,48.1,21.3,58.6,29,0.36,1.8,4.8,1.06,2.8,63.2,0.23,1.2,3.2,0.44,1.2,53.8,60.0,75.0,56.8
