Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
66,Jaume Munar,3,33.3,63.4,7.9,6.6,16.5,60.3,76.0,44.3,53.1,75.5,36.8,10.1,2.5,27.5,51.2,18.8,27.3,33,0.69,3.3,11.0,0.9,3.0,55.6,0.55,2.7,9.0,1.2,4.0,49.5,0.0,40.0,47.4
67,Juncheng Shang,5,60.0,70.1,10.8,3.0,8.4,64.7,76.2,58.9,64.4,91.8,27.0,15.1,3.7,16.0,48.2,9.4,33.3,24,0.28,1.5,4.8,0.5,1.6,76.7,0.35,1.9,6.0,0.44,1.4,49.8,50.0,56.3,50.6
68,Mattia Bellucci,1,0.0,68.0,7.5,4.1,8.5,51.7,78.9,56.3,61.5,87.0,31.5,12.8,3.4,25.9,46.3,8.3,14.3,14,0.58,2.8,14.0,0.4,2.0,75.0,0.52,2.4,12.0,0.6,3.0,49.7,-,40.0,46.8
71,Daniel Altmaier,2,50.0,65.2,6.2,3.8,8.7,56.2,79.8,46.5,50.9,76.6,37.7,4.7,6.3,31.8,46.8,25.0,41.4,29,0.6,2.9,14.5,1.2,6.0,52.2,0.49,2.3,11.5,1.1,5.5,50.8,66.7,50.0,50.5
72,Hamad Medjedovic,2,50.0,68.9,24.2,6.8,23.9,71.4,79.1,43.5,57.1,91.7,31.4,17.3,5.8,20.4,50.0,12.5,42.9,7,0.29,1.4,3.5,0.6,1.5,84.6,0.54,2.6,6.5,0.4,1.0,50.5,0.0,40.0,52.1
74,Yoshihito Nishioka,5,60.0,67.1,3.5,1.9,5.3,64.7,70.0,61.6,65.0,84.3,33.9,16.5,5.1,23.7,50.0,18.3,38.2,34,0.48,2.3,6.8,0.87,2.6,65.6,0.46,2.1,6.4,0.73,2.2,50.0,33.3,53.3,51.1
75,Arthur Rinderknech,7,42.9,66.7,17.0,5.3,14.4,62.9,79.0,45.8,53.5,83.7,33.0,8.3,3.1,30.7,36.8,16.7,40.5,42,0.41,2.1,6.0,0.85,2.4,63.8,0.45,2.4,6.7,0.85,2.4,50.2,33.3,45.0,50.5
76,Alexander Bublik,8,50.0,69.1,22.6,6.2,16.9,63.1,82.5,46.0,55.3,86.4,34.5,9.8,4.6,25.0,49.6,13.8,25.0,60,0.55,2.6,7.5,0.65,1.9,60.5,0.35,1.7,4.8,0.65,1.9,50.8,60.0,52.2,50.2
77,Roman Safiullin,5,40.0,68.7,7.8,2.6,7.4,65.4,77.6,51.7,55.9,84.0,35.6,9.7,2.6,28.9,47.5,18.8,35.2,54,0.53,2.7,10.8,0.95,3.8,63.6,0.44,2.2,8.8,0.8,3.2,51.1,0.0,50.0,51.2
78,Hugo Gaston,1,0.0,55.0,1.8,1.8,4.3,56.9,62.9,44.7,46.7,64.7,39.6,5.4,0.9,37.8,44.8,29.4,41.7,12,0.71,4.0,12.0,1.67,5.0,40.0,0.59,3.3,10.0,2.0,6.0,47.3,0.0,0.0,47.1
79,Aleksandar Vukic,12,66.7,67.4,10.9,1.9,5.0,62.1,76.1,53.1,55.9,87.0,33.1,11.8,4.6,21.9,50.9,18.5,39.0,77,0.48,2.4,6.4,0.94,2.5,72.0,0.46,2.3,6.3,0.66,1.8,50.7,45.5,59.4,52.8
80,Aleksandar Kovacevic,4,50.0,65.9,11.5,2.7,7.1,62.2,73.9,52.7,56.7,83.7,32.1,14.6,6.2,28.1,38.8,8.0,25.0,16,0.32,1.6,4.0,0.4,1.0,52.9,0.35,1.7,4.3,0.8,2.0,48.7,100.0,40.0,45.5
81,Christopher Oconnell,1,0.0,51.1,3.4,2.3,6.3,63.6,58.9,37.5,40.0,58.3,15.9,28.6,3.2,5.3,32.0,0.0,0.0,2,0.15,0.7,2.0,0.0,0.0,37.5,0.67,2.7,8.0,1.67,5.0,36.4,-,0.0,28.0
82,Rinky Hijikata,8,37.5,60.5,4.9,3.7,9.4,60.6,71.3,43.8,48.3,72.9,37.9,7.7,4.0,29.8,49.7,17.8,27.9,68,0.64,3.1,8.5,0.86,2.4,58.0,0.64,3.1,8.6,1.32,3.6,48.9,75.0,40.9,45.3
84,Borna Coric,2,50.0,66.5,9.8,1.5,4.1,61.9,70.0,60.8,63.4,82.8,32.4,8.7,3.5,19.3,54.7,10.3,37.5,8,0.28,1.3,4.0,0.5,1.5,68.8,0.55,2.7,8.0,0.83,2.5,50.4,50.0,50.0,46.6
85,Botic Van De Zandschulp,3,33.3,59.9,9.0,8.4,18.9,55.9,77.2,37.9,46.7,69.6,38.4,3.2,5.4,31.4,49.1,26.7,38.7,31,0.69,3.1,10.3,1.2,4.0,63.2,0.83,3.8,12.7,1.4,4.7,49.5,0.0,40.0,48.4
