Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
44,Lorenzo Sonego,7,14.3,62.7,60.1,10.1,2.5,7.7,67.5,67.7,52.2,56.5,76.5,29.9,29.8,7.6,3.3,23.9,40.9,9.4,26.3,38,0.36,1.8,5.4,0.48,1.4,46.7,0.44,2.1,6.4,1.14,3.4,46.1,50.0,23.8,42.3
45,Marcos Giron,8,25.0,60.5,59.1,6.2,1.9,4.2,54.2,68.7,50.9,53.1,73.5,32.7,32.3,7.8,4.2,24.5,45.2,15.0,40.5,37,0.37,1.9,4.6,0.75,1.9,55.9,0.6,3.0,7.4,1.3,3.3,46.8,66.7,35.0,43.9
46,Luciano Darderi,8,25.0,61.8,61.6,5.8,3.3,7.9,58.8,69.5,50.9,55.2,81.0,30.5,31.8,12.9,4.1,23.8,42.6,12.9,40.6,32,0.32,1.6,4.0,0.65,1.6,71.2,0.66,3.3,8.3,0.95,2.4,47.4,40.0,30.0,46.8
47,Miomir Kecmanovic,11,45.5,61.9,61.1,6.9,3.1,7.4,57.8,70.8,49.8,53.7,72.8,36.6,37.6,9.7,4.2,29.3,49.9,19.9,32.7,98,0.61,2.9,8.9,0.94,2.9,46.9,0.51,2.4,7.4,1.26,3.9,48.9,75.0,44.1,46.1
48,David Goffin,5,80.0,59.2,59.8,5.4,4.6,11.9,60.9,67.3,46.5,52.8,69.9,41.9,43.0,6.0,2.7,33.1,55.6,35.1,40.0,65,0.88,4.3,13.0,1.73,5.2,64.5,0.85,4.1,12.4,1.47,4.4,50.9,50.0,60.0,52.4
49,Pedro Martinez,5,0.0,56.3,58.6,3.2,6.2,17.4,64.4,64.4,41.7,50.5,62.3,32.6,35.6,15.3,3.9,22.4,47.5,13.1,36.4,22,0.36,1.7,4.4,0.62,1.6,46.5,0.7,3.3,8.6,1.77,4.6,44.3,-,7.7,37.7
50,Zizou Bergs,6,50.0,65.9,66.5,9.4,5.7,14.5,60.7,74.3,52.8,61.7,81.6,37.8,37.2,6.0,4.4,29.7,49.4,19.3,39.5,43,0.49,2.3,7.2,0.89,2.8,60.0,0.46,2.1,6.7,0.84,2.7,51.3,50.0,52.6,50.3
51,Tomas Martin Etcheverry,13,76.9,66.0,64.5,7.2,1.7,5.0,66.4,70.8,56.5,59.5,85.5,37.2,37.5,8.6,4.6,27.3,51.5,23.7,36.6,123,0.65,3.2,9.5,1.18,3.5,68.2,0.46,2.2,6.5,0.71,2.1,51.6,44.4,63.2,54.3
52,Quentin Halys,3,33.3,66.3,62.2,15.3,2.8,7.1,60.6,81.4,42.9,46.2,85.7,29.8,29.8,9.0,3.8,23.3,40.4,8.2,36.4,11,0.22,1.1,3.7,0.4,1.3,76.7,0.61,3.0,10.0,0.7,2.3,48.9,0.0,30.0,46.9
53,Nicolas Jarry,10,30.0,63.7,62.8,9.8,4.3,10.4,58.6,73.1,50.4,56.3,79.7,32.0,31.9,7.6,3.6,22.5,47.9,14.0,30.5,59,0.46,2.4,5.9,0.72,1.8,67.5,0.63,3.2,8.0,1.04,2.6,48.2,55.6,40.0,46.7
54,Gabriel Diallo,2,50.0,66.3,66.0,10.0,4.7,12.2,61.1,73.3,55.4,63.1,87.5,34.5,35.6,7.6,2.5,28.2,42.5,15.6,38.5,13,0.41,2.2,6.5,0.83,2.5,42.9,0.22,1.2,3.5,0.67,2.0,50.1,0.0,50.0,51.6
55,Zhizhen Zhang,10,40.0,63.1,60.9,9.1,2.2,6.4,65.0,70.8,48.7,52.0,79.0,34.7,35.7,10.0,3.9,27.0,47.5,19.6,44.4,63,0.44,2.2,6.3,0.97,2.8,58.0,0.5,2.4,6.9,1.0,2.9,49.1,20.0,44.8,48.8
56,Roberto Bautista Agut,8,37.5,63.8,65.2,2.0,3.2,9.5,66.4,68.3,55.0,60.7,80.6,35.0,36.9,12.4,4.3,28.1,47.3,14.3,33.3,45,0.43,2.0,5.6,0.68,1.9,64.3,0.54,2.5,7.0,0.91,2.5,49.3,100.0,45.5,47.1
57,Jacob Fearnley,1,0.0,66.4,65.4,10.7,4.1,11.9,65.6,73.8,52.4,59.5,81.0,27.6,29.2,11.4,2.4,19.5,43.9,9.1,33.3,6,0.27,1.5,6.0,0.5,2.0,42.9,0.33,1.8,7.0,1.0,4.0,46.9,-,25.0,44.2
59,Roberto Carballes Baena,9,22.2,56.4,58.0,2.1,4.2,11.8,64.1,61.3,47.7,54.1,60.2,34.8,33.9,7.2,5.0,22.9,52.3,18.4,40.0,45,0.46,2.0,5.0,0.82,2.0,53.6,0.86,3.8,9.3,1.77,4.3,45.8,66.7,27.3,39.3
60,Camilo Ugo Carabelli,1,0.0,43.5,42.2,4.3,2.9,6.9,58.0,55.0,27.6,29.6,30.0,44.3,46.3,8.2,3.3,42.1,47.8,40.0,66.7,6,0.6,3.0,6.0,2.0,4.0,56.3,1.6,8.0,16.0,3.5,7.0,43.8,-,0.0,35.0
61,Fabian Marozsan,9,44.4,58.6,58.9,4.0,3.3,9.6,65.8,66.9,42.8,47.3,66.7,40.6,39.9,6.1,5.3,30.5,54.7,27.3,39.5,76,0.69,3.3,8.4,1.3,3.3,47.9,0.64,3.1,7.9,1.61,4.1,49.5,50.0,43.5,47.1
62,Kei Nishikori,4,25.0,64.1,65.2,0.7,2.1,7.0,70.3,67.6,55.8,60.0,80.0,32.8,32.4,8.8,4.9,23.5,50.9,10.6,22.7,22,0.47,2.4,5.5,0.56,1.3,57.1,0.47,2.3,5.3,1.0,2.3,47.5,0.0,22.2,44.6
63,Francisco Comesana,3,66.7,65.5,65.3,9.6,4.8,12.3,61.0,72.9,53.8,61.4,79.6,34.7,34.0,8.2,5.3,29.4,44.3,17.0,36.0,25,0.47,2.3,8.3,0.82,3.0,50.0,0.41,2.0,7.3,1.0,3.7,49.9,50.0,54.5,48.6
64,Laslo Djere,4,0.0,53.7,50.3,10.1,3.1,8.1,62.1,63.1,38.4,41.8,57.1,32.9,31.8,6.2,4.5,23.9,44.8,11.1,22.2,18,0.5,2.0,4.5,0.44,1.0,59.5,1.06,4.1,9.3,1.67,3.8,43.0,-,0.0,33.8
65,Joao Fonseca,1,0.0,59.2,57.8,6.1,2.0,7.1,71.4,65.7,42.9,46.2,62.5,24.1,21.6,1.9,3.7,15.8,43.8,0.0,0.0,4,0.44,2.0,4.0,0.0,0.0,40.0,0.63,2.5,5.0,1.5,3.0,40.8,-,0.0,29.4
66,Jaume Munar,11,9.1,57.3,58.6,4.8,5.7,15.0,62.0,64.8,45.0,53.0,65.7,36.6,37.0,6.5,3.1,31.2,45.1,20.7,35.4,82,0.59,2.7,7.5,0.97,2.6,54.7,0.76,3.5,9.6,1.6,4.4,47.1,0.0,23.3,43.2
67,Juncheng Shang,12,33.3,63.5,63.3,5.8,3.1,7.6,59.8,70.1,53.7,58.1,77.6,34.6,34.8,7.9,3.9,27.3,45.3,15.9,29.6,81,0.54,2.6,6.8,0.77,2.0,49.2,0.44,2.1,5.4,1.06,2.8,48.7,60.0,41.9,46.3
