Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Monte Carlo R32,W vsSafiullin,100% (8/8),63% (5/8),0/0,0% (0/7),- (0/0),3/3,0/0,0/0,0/0,0/0
2024 Indian Wells R32,L vsNardi,21% (3/14),67% (2/3),0/3,29% (4/14),25% (1/4),1/2,1/1,2/2,0/0,1/1
2024 Indian Wells R64,W vsVukic,53% (8/15),63% (5/8),0/1,21% (3/14),33% (1/3),4/4,1/1,1/2,0/0,0/0
2024 Australian Open SF,L vsSinner,0% (0/19),- (0/0),0/5,47% (8/17),38% (3/8),0/0,0/0,1/1,0/0,1/1
2024 Australian Open QF,W vsFritz,58% (11/19),36% (4/11),1/2,15% (3/20),33% (1/3),2/3,1/1,3/3,1/1,0/0
2024 Australian Open R16,W vsMannarino,70% (7/10),100% (7/7),0/0,18% (2/11),100% (2/2),5/5,1/1,0/0,1/1,0/0
2024 Australian Open R64,W vsPopyrin,32% (6/19),50% (3/6),0/1,14% (3/21),33% (1/3),2/3,2/2,3/4,1/1,0/0
2024 United Cup QF,L vsDe Minaur,0% (0/10),- (0/0),0/2,30% (3/10),33% (1/3),0/0,0/0,1/1,0/0,1/1
2024 United Cup RR,W vsZhang,63% (5/8),60% (3/5),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2024 United Cup RR,W vsLehecka,50% (6/12),100% (6/6),1/2,14% (2/14),0% (0/2),6/6,2/2,2/2,1/1,0/0
2023 Davis Cup RR,L vsSinner,36% (5/14),40% (2/5),0/3,21% (3/14),0% (0/3),1/1,0/0,1/1,0/0,0/0
2023 Tour Finals F,W vsSinner,56% (5/9),60% (3/5),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,0/0,0/0
2023 Tour Finals SF,W vsAlcaraz,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2023 Tour Finals RR,W vsHurkacz,21% (3/14),67% (2/3),0/1,7% (1/15),0% (0/1),2/2,1/1,3/3,1/1,0/0
2023 Tour Finals RR,W vsRune,25% (4/16),100% (4/4),2/3,24% (4/17),25% (1/4),3/4,1/1,2/2,1/1,0/0
2023 Tour Finals RR,L vsSinner,11% (2/18),50% (1/2),1/2,17% (3/18),33% (1/3),1/1,0/0,2/2,0/0,2/2
2023 Paris F,W vsDimitrov,40% (4/10),75% (3/4),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2023 Paris SF,W vsRublev,28% (5/18),40% (2/5),0/1,22% (4/18),50% (2/4),0/1,0/0,3/4,0/0,2/2
2023 Paris QF,W vsRune,24% (4/17),75% (3/4),1/1,6% (1/17),0% (0/1),2/2,1/1,0/0,1/1,0/0
2023 Paris R16,W vsGriekspoor,31% (5/16),60% (3/5),1/3,31% (5/16),40% (2/5),3/3,1/1,0/0,1/1,0/0
