Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2020 Roland Garros R64,W vsBerankis,55% (6/11),100% (6/6),0/0,8% (1/12),100% (1/1),6/6,3/3,0/0,1/1,0/0
2020 Roland Garros R128,W vsYmer,75% (9/12),100% (9/9),2/2,18% (2/11),0% (0/2),7/8,2/2,0/0,0/0,0/0
2020 Rome F,W vsSchwartzman,60% (6/10),83% (5/6),2/3,45% (5/11),40% (2/5),4/4,1/1,0/0,1/1,0/0
2020 Rome SF,W vsRuud,60% (6/10),50% (3/6),0/1,27% (3/11),67% (2/3),2/2,1/1,1/1,1/1,0/0
2020 US Open R32,W vsStruff,50% (6/12),83% (5/6),0/0,23% (3/13),100% (3/3),4/4,2/2,0/0,1/1,0/0
2020 US Open R64,W vsEdmund,37% (7/19),86% (6/7),1/2,15% (3/20),33% (1/3),4/6,3/4,2/2,1/1,0/0
2020 US Open R128,W vsDzumhur,75% (9/12),78% (7/9),0/1,42% (5/12),80% (4/5),5/6,2/2,0/0,0/0,0/0
2020 Cincinnati F,W vsRaonic,23% (3/13),100% (3/3),1/3,38% (5/13),40% (2/5),3/3,2/2,0/0,1/1,0/0
2020 Cincinnati SF,W vsBautista Agut,50% (8/16),75% (6/8),3/6,44% (7/16),14% (1/7),4/4,0/1,1/1,0/1,0/0
2020 Dubai F,W vsTsitsipas,33% (3/9),100% (3/3),0/1,20% (2/10),50% (1/2),2/3,2/2,0/0,1/1,0/0
2020 Australian Open F,W vsThiem,43% (10/23),50% (5/10),0/5,29% (7/24),29% (2/7),3/4,2/2,1/1,1/1,0/0
2020 Australian Open SF,W vsFederer,53% (8/15),50% (4/8),1/2,19% (3/16),33% (1/3),2/3,1/1,3/3,1/1,0/0
2020 Australian Open QF,W vsRaonic,40% (6/15),33% (2/6),0/0,13% (2/16),100% (2/2),1/1,1/1,2/2,0/0,0/0
2020 Australian Open R16,W vsSchwartzman,36% (5/14),80% (4/5),0/1,13% (2/15),50% (1/2),3/4,3/3,0/0,1/1,0/0
2020 Australian Open R32,W vsNishioka,50% (6/12),83% (5/6),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2020 Australian Open R64,W vsIto,58% (7/12),71% (5/7),0/0,0% (0/13),- (0/0),5/5,3/3,0/0,1/1,0/0
2020 Australian Open R128,W vsStruff,50% (9/18),78% (7/9),1/3,24% (4/17),0% (0/4),6/6,1/2,0/1,0/0,0/0
2020 Atp Cup F,W vsNadal,40% (4/10),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,1/1,2/2,0/0,0/0
2020 Atp Cup SF,W vsMedvedev,50% (7/14),71% (5/7),0/2,33% (5/15),40% (2/5),4/5,2/2,1/2,1/1,0/0
2019 Tour Finals RR,W vsBerrettini,71% (5/7),100% (5/5),1/1,13% (1/8),0% (0/1),3/4,1/1,0/0,1/1,0/0
2019 Tour Finals RR,L vsThiem,29% (5/17),60% (3/5),1/4,25% (4/16),0% (0/4),1/2,0/0,1/1,0/0,0/0
2019 Tour Finals RR,L vsFederer,11% (1/9),0% (0/1),0/2,50% (5/10),40% (2/5),0/0,0/0,1/2,0/0,0/1
2019 Paris F,W vsShapovalov,33% (3/9),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2019 Paris SF,W vsDimitrov,9% (1/11),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2019 Paris QF,W vsTsitsipas,71% (5/7),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2019 Shanghai QF,L vsTsitsipas,7% (1/15),100% (1/1),0/1,27% (4/15),50% (2/4),1/1,1/1,2/3,0/0,1/1
2019 Shanghai R32,W vsShapovalov,44% (4/9),75% (3/4),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,0/0,0/0
2019 Tokyo F,W vsMillman,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2019 US Open R32,W vsKudla,46% (6/13),67% (4/6),0/0,29% (4/14),100% (4/4),4/4,3/3,0/0,1/1,0/0
2019 US Open R64,W vsLondero,60% (9/15),100% (9/9),3/5,36% (5/14),0% (0/5),5/7,0/1,0/0,0/0,0/0
2019 US Open R128,W vsCarballes Baena,46% (6/13),67% (4/6),0/0,0% (0/14),- (0/0),3/3,2/2,0/0,1/1,0/0
2019 Cincinnati SF,L vsMedvedev,15% (2/13),50% (1/2),0/2,21% (3/14),0% (0/3),1/1,1/1,0/1,0/0,0/1
2019 Cincinnati QF,W vsPouille,40% (4/10),75% (3/4),0/0,15% (2/13),50% (1/2),1/2,2/3,0/0,1/1,0/0
2019 Cincinnati R32,W vsQuerrey,44% (4/9),100% (4/4),0/1,25% (3/12),0% (0/3),3/3,1/1,0/0,1/1,0/0
2019 Wimbledon F,W vsFederer,13% (4/32),75% (3/4),2/6,30% (10/33),30% (3/10),2/3,0/0,5/6,0/0,0/0
2019 Wimbledon SF,W vsBautista Agut,35% (6/17),83% (5/6),0/1,17% (3/18),67% (2/3),4/4,2/2,1/1,1/1,0/0
2019 Wimbledon QF,W vsGoffin,58% (7/12),100% (7/7),1/1,33% (4/12),75% (3/4),4/4,0/0,0/0,0/0,0/0
2019 Wimbledon R16,W vsHumbert,38% (5/13),100% (5/5),0/0,0% (0/13),- (0/0),4/4,2/2,0/0,0/0,0/0
2019 Wimbledon R32,W vsHurkacz,35% (7/20),57% (4/7),0/0,10% (2/21),100% (2/2),4/4,3/3,3/3,1/1,0/0
2019 Wimbledon R64,W vsKudla,75% (9/12),78% (7/9),1/2,15% (2/13),0% (0/2),6/7,3/4,0/0,1/1,0/0
2019 Wimbledon R128,W vsKohlschreiber,60% (9/15),67% (6/9),2/2,20% (3/15),33% (1/3),5/5,2/2,1/1,0/0,0/0
2019 Roland Garros SF,L vsThiem,38% (10/26),70% (7/10),2/7,48% (13/27),31% (4/13),5/7,2/2,3/5,0/0,2/3
2019 Roland Garros QF,W vsZverev,50% (7/14),86% (6/7),1/1,36% (5/14),80% (4/5),3/3,0/0,0/0,0/0,0/0
2019 Roland Garros R16,W vsStruff,50% (6/12),83% (5/6),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2019 Roland Garros R32,W vsCaruso,62% (8/13),63% (5/8),0/0,23% (3/13),100% (3/3),3/3,1/1,0/0,0/0,0/0
2019 Roland Garros R64,W vsLaaksonen,46% (6/13),100% (6/6),1/1,8% (1/13),0% (0/1),4/5,2/2,0/0,0/0,0/0
2019 Roland Garros R128,W vsHurkacz,54% (7/13),86% (6/7),1/1,8% (1/13),0% (0/1),5/6,3/3,0/0,1/1,0/0
2019 Rome F,L vsNadal,18% (2/11),50% (1/2),0/5,75% (9/12),33% (3/9),0/0,0/0,0/1,0/0,0/1
2019 Rome SF,W vsSchwartzman,29% (4/14),100% (4/4),2/2,13% (2/16),0% (0/2),3/4,2/2,2/2,1/1,0/0
2019 Rome QF,W vsdel Potro,44% (7/16),29% (2/7),0/2,19% (3/16),33% (1/3),2/2,1/2,1/1,1/1,0/0
2019 Madrid F,W vsTsitsipas,33% (3/9),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2019 Madrid SF,W vsThiem,29% (4/14),100% (4/4),1/2,38% (6/16),17% (1/6),2/3,0/2,3/4,0/2,0/0
2019 Madrid R16,W vsChardy,22% (2/9),100% (2/2),0/0,20% (2/10),100% (2/2),2/2,1/1,2/2,0/0,0/0
2019 Madrid R32,W vsFritz,33% (3/9),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2019 Monte Carlo QF,L vsMedvedev,15% (2/13),100% (2/2),1/3,50% (7/14),29% (2/7),1/2,1/1,0/2,0/0,0/1
2019 Monte Carlo R16,W vsFritz,75% (6/8),100% (6/6),1/1,14% (1/7),0% (0/1),3/4,0/1,0/0,0/0,0/0
2019 Monte Carlo R32,W vsKohlschreiber,50% (7/14),71% (5/7),3/3,53% (8/15),50% (4/8),2/5,2/2,0/1,1/1,0/0
2019 Miami R16,L vsBautista Agut,64% (9/14),44% (4/9),1/3,29% (4/14),0% (0/4),2/4,1/1,2/3,0/0,1/1
2019 Miami R32,W vsDelbonis,50% (7/14),71% (5/7),0/3,20% (3/15),0% (0/3),3/4,1/2,1/1,1/1,0/0
2019 Miami R64,W vsTomic,40% (4/10),75% (3/4),1/1,10% (1/10),0% (0/1),3/3,1/1,0/0,1/1,0/0
2019 Indian Wells R32,L vsKohlschreiber,40% (4/10),25% (1/4),1/3,40% (4/10),25% (1/4),1/1,0/0,2/2,0/0,1/1
2019 Indian Wells R64,W vsFratangelo,40% (4/10),75% (3/4),0/1,10% (1/10),0% (0/1),3/3,1/1,1/1,1/1,0/0
2019 Australian Open F,W vsNadal,46% (6/13),83% (5/6),0/0,8% (1/13),100% (1/1),4/4,2/2,0/0,0/0,0/0
2019 Australian Open SF,W vsPouille,64% (7/11),100% (7/7),0/0,0% (0/11),- (0/0),4/4,0/0,0/0,0/0,0/0
2019 Australian Open R16,W vsMedvedev,45% (9/20),78% (7/9),1/2,32% (6/19),67% (4/6),5/5,1/2,0/0,0/0,0/0
2019 Australian Open R32,W vsShapovalov,50% (9/18),89% (8/9),0/3,18% (3/17),0% (0/3),4/5,0/0,0/0,0/0,0/0
2019 Australian Open R64,W vsTsonga,33% (5/15),100% (5/5),2/2,25% (4/16),50% (2/4),4/5,3/4,0/0,1/1,0/0
2019 Australian Open R128,W vsKrueger,75% (9/12),67% (6/9),1/1,8% (1/13),0% (0/1),6/6,3/3,0/0,1/1,0/0
2019 Doha SF,L vsBautista Agut,20% (3/15),67% (2/3),0/2,31% (5/16),60% (3/5),1/2,1/1,3/3,0/0,1/1
2019 Doha QF,W vsBasilashvili,36% (5/14),80% (4/5),1/3,40% (6/15),50% (3/6),3/4,2/2,1/1,1/1,0/0
2019 Doha R16,W vsFucsovics,31% (4/13),100% (4/4),1/2,14% (2/14),0% (0/2),2/3,1/1,0/0,1/1,0/0
2019 Doha R32,W vsDzumhur,71% (5/7),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2018 Tour Finals F,L vsZverev,11% (1/9),100% (1/1),1/3,40% (4/10),0% (0/4),0/1,0/0,0/1,0/0,0/1
2018 Tour Finals SF,W vsAnderson,63% (5/8),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2018 Tour Finals RR,W vsIsner,60% (6/10),50% (3/6),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2018 Tour Finals RR,W vsZverev,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,1/1,0/0
2018 Tour Finals RR,W vsCilic,40% (4/10),50% (2/4),0/0,0% (0/10),- (0/0),2/2,1/1,0/0,1/1,0/0
2018 Paris F,L vsKhachanov,18% (2/11),50% (1/2),0/3,36% (4/11),25% (1/4),0/1,0/0,1/1,0/0,1/1
2018 Paris SF,W vsFederer,33% (6/18),0% (0/6),0/0,11% (2/18),50% (1/2),0/0,0/0,3/4,0/0,2/2
2018 Paris QF,W vsCilic,54% (7/13),57% (4/7),1/2,36% (5/14),60% (3/5),3/3,1/1,0/0,1/1,0/0
2018 Paris R32,W vsSousa,56% (5/9),80% (4/5),0/1,50% (5/10),80% (4/5),3/3,1/1,0/0,1/1,0/0
2018 Shanghai F,W vsCoric,44% (4/9),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2018 Shanghai SF,W vsZverev,57% (4/7),100% (4/4),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,1/1,0/0
2018 Shanghai QF,W vsAnderson,20% (2/10),50% (1/2),0/0,9% (1/11),100% (1/1),1/1,1/1,2/2,1/1,0/0
2018 Shanghai R16,W vsCecchinato,75% (6/8),67% (4/6),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2018 Shanghai R32,W vsChardy,27% (3/11),100% (3/3),0/0,0% (0/10),- (0/0),1/1,0/0,0/0,0/0,0/0
2018 US Open F,W vsdel Potro,36% (5/14),80% (4/5),0/2,19% (3/16),33% (1/3),3/4,2/2,2/2,1/1,0/0
2018 US Open SF,W vsNishikori,46% (6/13),67% (4/6),0/0,7% (1/14),100% (1/1),4/4,3/3,0/0,1/1,0/0
2018 US Open QF,W vsMillman,57% (8/14),50% (4/8),0/1,13% (2/15),50% (1/2),4/4,3/3,0/0,1/1,0/0
2018 US Open R16,W vsSousa,36% (5/14),100% (5/5),1/1,7% (1/14),0% (0/1),3/3,1/1,0/0,1/1,0/0
2018 US Open R32,W vsGasquet,54% (7/13),71% (5/7),0/0,23% (3/13),100% (3/3),3/3,1/1,0/0,0/0,0/0
2018 US Open R64,W vsSandgren,50% (9/18),78% (7/9),1/1,11% (2/18),50% (1/2),6/6,2/2,0/0,1/1,0/0
2018 US Open R128,W vsFucsovics,41% (7/17),86% (6/7),0/2,24% (4/17),50% (2/4),4/4,1/1,1/1,0/0,0/0
2018 Cincinnati F,W vsFederer,40% (4/10),75% (3/4),1/1,10% (1/10),0% (0/1),3/3,2/2,0/0,1/1,0/0
2018 Cincinnati SF,W vsCilic,36% (5/14),80% (4/5),1/3,43% (6/14),50% (3/6),3/4,2/2,1/1,1/1,0/0
2018 Cincinnati QF,W vsRaonic,33% (5/15),80% (4/5),1/3,19% (3/16),0% (0/3),3/3,1/1,2/2,1/1,0/0
2018 Cincinnati R16,W vsDimitrov,23% (3/13),100% (3/3),0/3,29% (4/14),25% (1/4),3/3,2/2,0/0,1/1,0/0
2018 Cincinnati R32,W vsMannarino,42% (5/12),100% (5/5),1/2,46% (6/13),67% (4/6),3/4,1/1,1/1,1/1,0/0
2018 Cincinnati R64,W vsJohnson,45% (5/11),60% (3/5),1/2,27% (3/11),33% (1/3),2/2,0/0,0/0,0/0,0/0
2018 Canada R16,L vsTsitsipas,6% (1/16),0% (0/1),0/2,29% (4/14),50% (2/4),0/0,0/0,2/2,0/0,1/1
2018 Canada R32,W vsPolansky,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2018 Canada R64,W vsBasic,40% (4/10),75% (3/4),0/1,18% (2/11),0% (0/2),1/3,1/2,1/1,0/1,0/0
2018 Wimbledon F,W vsAnderson,29% (4/14),100% (4/4),0/0,29% (4/14),100% (4/4),4/4,2/2,2/2,0/0,0/0
2018 Wimbledon SF,W vsNadal,40% (12/30),33% (4/12),1/4,21% (6/28),33% (2/6),2/3,1/1,1/1,0/0,0/0
2018 Wimbledon QF,W vsNishikori,59% (10/17),70% (7/10),1/3,24% (4/17),25% (1/4),4/5,1/1,1/1,0/0,0/0
2018 Wimbledon R16,W vsKhachanov,62% (8/13),88% (7/8),1/2,15% (2/13),0% (0/2),3/4,0/0,0/0,0/0,0/0
2018 Wimbledon R32,W vsEdmund,44% (8/18),50% (4/8),0/1,11% (2/19),50% (1/2),4/4,3/3,1/1,1/1,0/0
2018 Wimbledon R64,W vsZeballos,58% (7/12),86% (6/7),0/0,8% (1/12),100% (1/1),5/5,2/2,0/0,0/0,0/0
2018 Wimbledon R128,W vsSandgren,75% (9/12),78% (7/9),0/1,8% (1/12),0% (0/1),5/6,2/2,0/0,1/1,0/0
2018 Queen's Club F,L vsCilic,18% (3/17),33% (1/3),0/1,19% (3/16),67% (2/3),0/0,0/0,0/0,0/0,0/0
2018 Queen's Club SF,W vsChardy,27% (3/11),33% (1/3),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2018 Queen's Club QF,W vsMannarino,56% (5/9),80% (4/5),0/1,20% (2/10),50% (1/2),3/3,1/1,0/0,1/1,0/0
2018 Queen's Club R16,W vsDimitrov,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,1/1,0/0
2018 Queen's Club R32,W vsMillman,63% (5/8),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2018 Roland Garros QF,L vsCecchinato,38% (8/21),75% (6/8),1/4,37% (7/19),43% (3/7),4/5,0/1,1/1,0/0,0/0
2018 Roland Garros R16,W vsVerdasco,54% (7/13),71% (5/7),1/1,21% (3/14),67% (2/3),5/5,3/3,0/0,1/1,0/0
2018 Roland Garros R32,W vsBautista Agut,52% (11/21),73% (8/11),3/5,24% (5/21),0% (0/5),4/6,0/1,2/2,0/1,0/0
2018 Roland Garros R64,W vsMunar,31% (5/16),100% (5/5),1/3,25% (4/16),25% (1/4),4/5,2/3,0/0,1/1,0/0
2018 Roland Garros R128,W vsDutra Silva,64% (9/14),67% (6/9),2/3,33% (5/15),40% (2/5),6/6,3/3,0/0,1/1,0/0
2018 Rome SF,L vsNadal,20% (2/10),50% (1/2),0/2,27% (3/11),0% (0/3),1/1,0/0,3/4,0/0,0/1
2018 Rome QF,W vsNishikori,58% (7/12),86% (6/7),1/4,67% (8/12),50% (4/8),3/5,1/1,1/1,0/0,0/0
2018 Rome R16,W vsRamos,56% (5/9),80% (4/5),1/1,20% (2/10),50% (1/2),4/4,2/3,0/0,1/2,0/0
2018 Rome R32,W vsBasilashvili,44% (4/9),75% (3/4),0/0,11% (1/9),100% (1/1),1/1,0/0,0/0,0/0,0/0
2018 Rome R64,W vsDolgopolov,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,1/1,0/0
2018 Madrid R32,L vsEdmund,31% (4/13),75% (3/4),1/3,31% (4/13),0% (0/4),3/3,1/1,0/1,0/0,0/0
2018 Madrid R64,W vsNishikori,45% (5/11),60% (3/5),1/1,36% (4/11),75% (3/4),1/1,0/0,0/0,0/0,0/0
2018 Barcelona R32,L vsKlizan,25% (3/12),67% (2/3),0/3,25% (3/12),0% (0/3),2/2,1/1,1/1,0/0,0/0
2018 Monte Carlo R16,L vsThiem,21% (3/14),33% (1/3),0/4,40% (6/15),17% (1/6),1/1,0/0,3/4,0/0,0/1
2018 Monte Carlo R32,W vsCoric,50% (6/12),67% (4/6),2/3,42% (5/12),40% (2/5),3/4,1/2,0/0,1/2,0/0
2018 Monte Carlo R64,W vsLajovic,83% (5/6),100% (5/5),0/0,43% (3/7),100% (3/3),4/4,1/1,0/0,1/1,0/0
2018 Miami R64,L vsPaire,11% (1/9),100% (1/1),1/2,50% (5/10),20% (1/5),1/1,0/0,0/2,0/0,0/1
2018 Indian Wells R64,L vsDaniel,33% (5/15),40% (2/5),0/3,36% (5/14),40% (2/5),2/2,1/2,0/0,0/0,0/0
2018 Australian Open R16,L vsChung,44% (8/18),63% (5/8),1/5,50% (9/18),33% (3/9),4/5,0/0,4/5,0/0,2/2
2018 Australian Open R32,W vsRamos,46% (6/13),83% (5/6),0/0,23% (3/13),100% (3/3),3/3,1/1,0/0,0/0,0/0
2018 Australian Open R64,W vsMonfils,59% (10/17),70% (7/10),1/3,28% (5/18),40% (2/5),5/6,2/2,1/1,1/1,0/0
2018 Australian Open R128,W vsYoung,83% (10/12),60% (6/10),0/1,8% (1/13),0% (0/1),5/6,3/4,0/0,1/1,0/0
2017 Wimbledon R16,W vsMannarino,40% (6/15),67% (4/6),0/1,7% (1/15),0% (0/1),3/3,1/1,0/0,1/1,0/0
2017 Wimbledon R32,W vsGulbis,50% (7/14),57% (4/7),0/1,20% (3/15),67% (2/3),3/3,1/1,2/2,0/0,0/0
2017 Wimbledon R64,W vsPavlasek,67% (8/12),88% (7/8),0/0,9% (1/11),100% (1/1),6/6,2/2,0/0,0/0,0/0
2017 Eastbourne F,W vsMonfils,40% (4/10),75% (3/4),0/0,22% (2/9),100% (2/2),1/1,0/0,0/0,0/0,0/0
2017 Eastbourne SF,W vsMedvedev,40% (4/10),75% (3/4),0/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2017 Eastbourne QF,W vsYoung,50% (5/10),60% (3/5),1/1,20% (2/10),50% (1/2),2/2,0/0,0/0,0/0,0/0
2017 Eastbourne R16,W vsPospisil,44% (4/9),50% (2/4),0/0,20% (2/10),100% (2/2),1/1,1/1,0/0,1/1,0/0
2017 Roland Garros QF,L vsThiem,29% (4/14),50% (2/4),1/6,54% (7/13),14% (1/7),1/2,0/0,1/1,0/0,0/0
2017 Roland Garros R16,W vsRamos,57% (8/14),88% (7/8),0/3,36% (5/14),40% (2/5),4/6,1/1,0/0,1/1,0/0
2017 Roland Garros R32,W vsSchwartzman,45% (10/22),80% (8/10),1/4,23% (5/22),20% (1/5),6/7,2/2,0/0,0/0,0/0
2017 Roland Garros R64,W vsSousa,62% (8/13),75% (6/8),1/1,23% (3/13),67% (2/3),4/5,2/2,0/0,0/0,0/0
2017 Roland Garros R128,W vsGranollers,69% (9/13),89% (8/9),3/4,50% (7/14),43% (3/7),4/8,3/3,0/0,1/1,0/0
2017 Rome F,L vsZverev,0% (0/9),- (0/0),0/2,40% (4/10),25% (1/4),0/0,0/0,1/2,0/0,0/1
2017 Rome SF,W vsThiem,83% (5/6),100% (5/5),0/0,14% (1/7),100% (1/1),5/5,2/2,0/0,1/1,0/0
2017 Rome QF,W vsdel Potro,50% (4/8),100% (4/4),1/1,44% (4/9),75% (3/4),4/4,2/2,0/0,1/1,0/0
2017 Rome R16,W vsBautista Agut,30% (3/10),100% (3/3),0/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2017 Rome R32,W vsBedene,30% (3/10),100% (3/3),1/1,20% (2/10),50% (1/2),3/3,1/1,0/0,1/1,0/0
2017 Madrid SF,L vsNadal,22% (2/9),50% (1/2),0/4,56% (5/9),20% (1/5),0/1,0/0,2/2,0/0,1/1
2017 Madrid R16,W vsLopez,27% (3/11),67% (2/3),0/0,9% (1/11),100% (1/1),0/0,0/0,0/0,0/0,0/0
2017 Madrid R32,W vsAlmagro,50% (7/14),71% (5/7),1/2,27% (4/15),25% (1/4),5/5,2/2,1/2,1/1,1/1
2017 Monte Carlo QF,L vsGoffin,36% (5/14),40% (2/5),0/3,40% (6/15),33% (2/6),2/2,1/1,2/3,0/0,1/2
2017 Monte Carlo R16,W vsCarreno Busta,64% (9/14),67% (6/9),1/4,43% (6/14),33% (2/6),2/4,0/0,1/1,0/0,0/0
2017 Monte Carlo R32,W vsSimon,53% (8/15),75% (6/8),3/5,33% (5/15),0% (0/5),4/5,1/1,1/1,0/0,0/0
2017 Davis Cup RR,W vsRamos,38% (5/13),80% (4/5),0/0,7% (1/14),100% (1/1),4/4,3/3,0/0,1/1,0/0
2017 Indian Wells R16,L vsKyrgios,0% (0/11),- (0/0),0/1,36% (4/11),75% (3/4),0/0,0/0,1/1,0/0,0/0
2017 Indian Wells R32,W vsdel Potro,50% (7/14),71% (5/7),1/3,20% (3/15),0% (0/3),4/4,1/1,1/1,1/1,0/0
2017 Indian Wells R64,W vsEdmund,45% (5/11),60% (3/5),0/2,27% (3/11),33% (1/3),2/3,1/1,3/3,0/0,0/0
2017 Acapulco QF,L vsKyrgios,8% (1/12),0% (0/1),0/0,8% (1/12),0% (0/1),0/0,0/0,1/2,0/0,1/2
2017 Acapulco R16,W vsdel Potro,33% (5/15),100% (5/5),3/4,40% (6/15),33% (2/6),3/3,0/1,0/0,0/0,0/0
2017 Acapulco R32,W vsKlizan,40% (4/10),75% (3/4),1/2,36% (4/11),50% (2/4),3/3,1/1,2/2,0/0,0/0
2017 Australian Open R64,L vsIstomin,37% (10/27),60% (6/10),2/4,26% (7/27),43% (3/7),5/6,2/2,4/4,0/0,1/1
2017 Australian Open R128,W vsVerdasco,69% (9/13),67% (6/9),2/2,29% (4/14),50% (2/4),4/5,1/1,2/2,0/0,0/0
2017 Doha F,W vsMurray,20% (3/15),100% (3/3),0/1,31% (5/16),60% (3/5),3/3,2/3,0/1,1/2,0/0
2017 Doha SF,W vsVerdasco,38% (6/16),67% (4/6),0/3,33% (5/15),40% (2/5),2/3,0/0,0/0,0/0,0/0
2017 Doha QF,W vsStepanek,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),3/3,1/1,0/0,0/0,0/0
2017 Doha R16,W vsZeballos,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Doha R32,W vsStruff,55% (6/11),67% (4/6),0/2,30% (3/10),33% (1/3),3/3,0/0,2/2,0/0,0/0
2016 Tour Finals F,L vsMurray,10% (1/10),100% (1/1),1/3,44% (4/9),25% (1/4),1/1,0/0,1/1,0/0,1/1
2016 Tour Finals SF,W vsNishikori,86% (6/7),100% (6/6),1/1,29% (2/7),50% (1/2),4/5,1/1,0/0,0/0,0/0
2016 Tour Finals RR,W vsThiem,38% (5/13),100% (5/5),0/0,8% (1/13),100% (1/1),5/5,2/2,0/0,1/1,0/0
2016 Tour Finals RR,W vsRaonic,17% (2/12),100% (2/2),1/2,50% (6/12),67% (4/6),2/2,0/0,2/2,0/0,0/0
2016 Tour Finals RR,W vsGoffin,57% (4/7),100% (4/4),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2016 Paris QF,L vsCilic,36% (4/11),50% (2/4),1/2,45% (5/11),40% (2/5),1/2,0/1,1/2,0/0,1/1
2016 Paris R16,W vsDimitrov,31% (4/13),100% (4/4),1/2,21% (3/14),33% (1/3),2/3,1/1,1/1,1/1,0/0
2016 Paris R32,W vsMuller,33% (3/9),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2016 Shanghai SF,L vsBautista Agut,30% (3/10),67% (2/3),2/2,40% (4/10),0% (0/4),0/2,0/0,0/2,0/0,0/1
2016 Shanghai QF,W vsZverev,36% (5/14),60% (3/5),1/3,31% (5/16),20% (1/5),2/3,1/1,2/3,1/1,2/2
2016 Shanghai R16,W vsPospisil,30% (3/10),100% (3/3),0/1,10% (1/10),0% (0/1),3/3,2/2,0/0,1/1,0/0
2016 Shanghai R32,W vsFognini,44% (4/9),100% (4/4),0/1,33% (3/9),67% (2/3),2/3,1/1,0/0,0/0,0/0
2016 US Open F,L vsWawrinka,41% (9/22),33% (3/9),0/4,33% (7/21),14% (1/7),3/3,0/1,2/4,0/0,1/1
2016 US Open SF,W vsMonfils,71% (12/17),67% (8/12),1/4,41% (7/17),43% (3/7),6/7,2/3,1/1,0/0,0/0
2016 US Open QF,W vsTsonga,50% (4/8),100% (4/4),1/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2016 US Open R16,W vsEdmund,69% (9/13),89% (8/9),1/2,33% (4/12),50% (2/4),5/6,1/1,0/0,0/0,0/0
2016 US Open R128,W vsJanowicz,56% (10/18),70% (7/10),1/1,39% (7/18),71% (5/7),6/6,2/2,1/2,0/0,0/0
2016 Rio Olympics R64,L vsdel Potro,0% (0/12),- (0/0),0/0,33% (4/12),100% (4/4),0/0,0/0,2/2,0/0,2/2
2016 Canada F,W vsNishikori,40% (4/10),75% (3/4),0/1,9% (1/11),0% (0/1),3/3,2/2,1/1,1/1,0/0
2016 Canada SF,W vsMonfils,50% (4/8),100% (4/4),1/1,33% (3/9),67% (2/3),4/4,2/2,0/0,1/1,0/0
2016 Canada QF,W vsBerdych,27% (3/11),67% (2/3),0/1,36% (4/11),75% (3/4),2/2,1/2,0/0,1/1,0/0
2016 Canada R16,W vsStepanek,67% (6/9),67% (4/6),0/1,22% (2/9),50% (1/2),2/2,0/0,0/0,0/0,0/0
2016 Canada R32,W vsMuller,33% (4/12),75% (3/4),0/2,17% (2/12),0% (0/2),1/3,1/2,2/2,0/1,0/0
2016 Wimbledon R32,L vsQuerrey,35% (7/20),43% (3/7),0/4,35% (7/20),43% (3/7),2/3,1/3,1/1,0/0,1/1
