Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 s Hertogenbosch QF,L vsRuusuvuori,0% (0/10),- (0/0),0/2,44% (4/9),50% (2/4),0/0,0/0,2/2,0/0,1/1
2023 s Hertogenbosch R16,W vsBublik,56% (5/9),60% (3/5),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2023 Roland Garros R64,L vsAltmaier,33% (9/27),67% (6/9),1/5,21% (6/28),17% (1/6),4/6,1/2,4/4,0/1,1/1
2023 Roland Garros R128,W vsMuller,58% (7/12),86% (6/7),0/0,17% (2/12),100% (2/2),5/5,2/2,0/0,0/0,0/0
2023 Rome R16,L vsCerundolo,21% (3/14),100% (3/3),1/6,57% (8/14),13% (1/8),2/3,0/1,1/1,0/0,0/0
2023 Rome R32,W vsShevchenko,53% (8/15),75% (6/8),1/2,29% (4/14),50% (2/4),5/5,1/1,1/1,1/1,0/0
2023 Rome R64,W vsKokkinakis,50% (4/8),75% (3/4),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2023 Monte Carlo SF,L vsRune,27% (4/15),75% (3/4),0/1,38% (6/16),50% (3/6),3/3,1/1,3/5,0/0,1/2
2023 Monte Carlo QF,W vsMusetti,63% (5/8),80% (4/5),0/0,38% (3/8),100% (3/3),4/4,2/2,0/0,1/1,0/0
2023 Monte Carlo R16,W vsHurkacz,53% (8/15),50% (4/8),1/2,23% (3/13),33% (1/3),3/3,0/0,1/1,0/0,0/0
2023 Miami F,L vsMedvedev,18% (2/11),100% (2/2),1/3,50% (5/10),20% (1/5),0/2,0/0,2/3,0/0,1/1
2023 Miami SF,W vsAlcaraz,40% (6/15),100% (6/6),1/3,40% (6/15),50% (3/6),5/5,2/2,0/0,1/1,0/0
2023 Miami QF,W vsRuusuvuori,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,1/1,0/0
2023 Miami R16,W vsRublev,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2023 Miami R32,W vsDimitrov,60% (6/10),83% (5/6),1/2,22% (2/9),0% (0/2),2/3,0/0,0/0,0/0,0/0
2023 Miami R64,W vsDjere,67% (6/9),83% (5/6),2/2,33% (3/9),33% (1/3),3/3,0/0,0/0,0/0,0/0
2023 Indian Wells SF,L vsAlcaraz,18% (2/11),50% (1/2),0/2,30% (3/10),33% (1/3),1/1,0/0,1/1,0/0,1/1
2023 Indian Wells R32,W vsMannarino,9% (1/11),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2023 Indian Wells R64,W vsGasquet,20% (2/10),100% (2/2),0/1,18% (2/11),50% (1/2),2/2,1/1,2/2,0/0,0/0
2023 Rotterdam F,L vsMedvedev,29% (4/14),50% (2/4),0/5,43% (6/14),17% (1/6),1/1,0/0,1/1,0/0,0/0
2023 Rotterdam SF,W vsGriekspoor,8% (1/12),100% (1/1),0/0,0% (0/12),- (0/0),0/0,0/0,0/0,0/0,0/0
2023 Rotterdam QF,W vsWawrinka,63% (5/8),100% (5/5),0/1,25% (2/8),50% (1/2),3/4,1/1,0/0,1/1,0/0
2023 Rotterdam R16,W vsTsitsipas,40% (4/10),75% (3/4),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2023 Montpellier F,W vsCressy,20% (2/10),50% (1/2),0/0,9% (1/11),100% (1/1),1/1,1/1,2/2,1/1,0/0
2023 Montpellier SF,W vsFils,40% (4/10),75% (3/4),0/0,10% (1/10),100% (1/1),3/3,2/2,1/1,1/1,0/0
2023 Australian Open R16,L vsTsitsipas,42% (10/24),40% (4/10),1/5,29% (7/24),29% (2/7),3/4,2/2,1/1,0/0,1/1
2023 Australian Open R32,W vsFucsovics,50% (10/20),100% (10/10),2/5,38% (8/21),38% (3/8),10/10,3/3,1/1,1/1,0/0
2023 Australian Open R64,W vsEtcheverry,42% (5/12),100% (5/5),0/0,0% (0/13),- (0/0),5/5,3/3,0/0,1/1,0/0
2023 Australian Open R128,W vsEdmund,75% (9/12),78% (7/9),1/1,25% (3/12),67% (2/3),7/7,3/3,0/0,1/1,0/0
2023 Adelaide 1 QF,L vsKorda,22% (2/9),50% (1/2),0/4,50% (5/10),0% (0/5),1/1,0/0,0/1,0/0,0/1
2023 Adelaide 1 R16,W vsKokkinakis,18% (2/11),100% (2/2),0/1,36% (4/11),75% (3/4),1/2,1/2,0/0,1/1,0/0
2022 Vienna QF,L vsMedvedev,0% (0/9),- (0/0),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,0/0
2022 Vienna R32,W vsGarin,63% (5/8),60% (3/5),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2022 US Open QF,L vsAlcaraz,33% (9/27),78% (7/9),2/9,52% (14/27),21% (3/14),5/6,0/2,1/3,0/1,0/0
2022 US Open R16,W vsIvashka,65% (15/23),80% (12/15),4/6,39% (9/23),11% (1/9),8/11,2/2,1/3,0/0,0/0
2022 US Open R32,W vsNakashima,47% (8/17),75% (6/8),0/2,24% (4/17),50% (2/4),5/5,2/2,1/1,1/1,0/0
2022 US Open R64,W vsEubanks,40% (6/15),67% (4/6),0/1,20% (3/15),67% (2/3),3/3,1/2,2/2,0/0,0/0
2022 US Open R128,W vsAltmaier,38% (8/21),88% (7/8),1/3,18% (4/22),25% (1/4),6/6,2/2,1/1,1/1,0/0
2022 Cincinnati R16,L vsAuger Aliassime,36% (5/14),60% (3/5),0/3,31% (4/13),25% (1/4),1/2,0/0,0/0,0/0,0/0
2022 Canada R16,L vsCarreno Busta,0% (0/9),- (0/0),0/3,33% (3/9),0% (0/3),0/0,0/0,1/1,0/0,1/1
2022 Umag F,W vsAlcaraz,38% (5/13),100% (5/5),0/0,23% (3/13),100% (3/3),4/4,1/1,0/0,1/1,0/0
2022 Umag SF,W vsAgamenone,75% (6/8),83% (5/6),1/1,25% (2/8),50% (1/2),3/4,1/2,0/0,0/1,0/0
2022 Umag QF,W vsCarballes Baena,27% (3/11),67% (2/3),0/0,9% (1/11),0% (0/1),1/2,1/2,1/1,0/1,0/0
2022 Wimbledon QF,L vsDjokovic,26% (6/23),67% (4/6),0/6,41% (9/22),33% (3/9),4/4,2/2,3/3,0/0,0/0
2022 Wimbledon R16,W vsAlcaraz,33% (6/18),67% (4/6),0/0,20% (4/20),100% (4/4),4/4,3/3,2/2,1/1,0/0
2022 Wimbledon R32,W vsIsner,18% (3/17),67% (2/3),0/0,6% (1/18),100% (1/1),2/2,2/2,1/1,1/1,0/0
2022 Wimbledon R64,W vsYmer,53% (10/19),60% (6/10),1/2,20% (4/20),25% (1/4),4/5,2/2,1/2,1/1,0/0
2022 Wimbledon R128,W vsWawrinka,47% (9/19),56% (5/9),0/2,15% (3/20),33% (1/3),3/4,2/3,1/1,1/1,0/0
2022 Eastbourne R16,L vsPaul,21% (3/14),33% (1/3),0/2,15% (2/13),0% (0/2),1/1,1/1,0/0,0/0,0/0
2022 Rome QF,L vsTsitsipas,30% (3/10),33% (1/3),0/3,50% (5/10),40% (2/5),1/1,0/0,2/2,0/0,0/0
2022 Rome R64,W vsMartinez,33% (3/9),100% (3/3),1/1,20% (2/10),50% (1/2),2/2,1/2,0/0,1/1,0/0
2022 Madrid R16,L vsAuger Aliassime,0% (0/8),- (0/0),0/4,86% (6/7),33% (2/6),0/0,0/0,1/1,0/0,1/1
2022 Madrid R32,W vsDe Minaur,63% (5/8),100% (5/5),2/2,33% (3/9),33% (1/3),3/4,1/2,0/0,1/1,0/0
2022 Madrid R64,W vsPaul,31% (5/16),60% (3/5),0/2,18% (3/17),33% (1/3),3/3,1/2,3/3,1/1,3/3
2022 Monte Carlo R16,W vsRublev,71% (10/14),70% (7/10),2/4,36% (5/14),20% (1/5),4/6,1/1,1/1,0/0,0/0
2022 Monte Carlo R32,W vsRuusuvuori,45% (5/11),100% (5/5),1/2,50% (5/10),60% (3/5),3/4,1/1,1/1,0/0,0/0
2022 Monte Carlo R64,W vsCoric,38% (5/13),60% (3/5),0/2,38% (5/13),60% (3/5),2/2,1/1,0/0,1/1,0/0
2022 Miami R16,W vsKyrgios,27% (3/11),67% (2/3),0/0,20% (2/10),100% (2/2),1/1,0/0,0/0,0/0,0/0
2022 Miami R32,W vsCarreno Busta,28% (5/18),100% (5/5),0/3,50% (9/18),56% (5/9),4/5,2/3,3/4,1/1,3/3
2022 Miami R64,W vsRuusuvuori,13% (2/16),100% (2/2),0/2,33% (5/15),60% (3/5),2/2,1/1,2/2,0/0,1/1
