Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2016 Czech Republic F3 F,L vsMichalicka,40% (6/15),67% (4/6),1/3,31% (5/16),20% (1/5),4/4,1/1,2/3,0/0,2/2
2016 Czech Republic F3 SF,W vsMertl,44% (4/9),75% (3/4),0/1,40% (4/10),75% (3/4),1/2,1/1,0/0,1/1,0/0
2016 Le Gosier CH R16,L vsNishioka,29% (2/7),50% (1/2),1/6,86% (6/7),0% (0/6),0/1,0/0,0/0,0/0,0/0
2016 Le Gosier CH R32,W vsMilojevic,25% (4/16),100% (4/4),1/2,31% (5/16),60% (3/5),2/3,1/1,0/0,1/1,0/0
2016 USA F11 R32,L vsLaaksonen,40% (4/10),50% (2/4),1/4,60% (6/10),33% (2/6),2/2,0/0,3/3,0/0,2/2
2016 Davis Cup RR,L vsMayer,14% (2/14),0% (0/2),0/3,50% (7/14),43% (3/7),0/0,0/0,1/2,0/0,0/1
2016 Portugal F1 QF,L vsOrtega Olmedo,33% (3/9),67% (2/3),1/5,67% (6/9),17% (1/6),1/2,0/0,1/1,0/0,1/1
2016 Portugal F1 R32,W vsBoluda Purkiss,38% (6/16),67% (4/6),2/4,41% (7/17),29% (2/7),2/3,0/1,1/2,0/0,1/1
2016 Wroclaw CH R32,L vsLacko,13% (2/16),50% (1/2),0/3,38% (6/16),50% (3/6),1/1,0/0,4/4,0/0,1/1
2016 Great Britain F2 R16,W vsOakley,83% (5/6),100% (5/5),0/0,29% (2/7),100% (2/2),4/4,1/1,0/0,1/1,0/0
2016 Great Britain F2 R32,W vsCanter,56% (5/9),60% (3/5),1/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2015 France F21 R32,L vsArends,44% (7/16),71% (5/7),1/4,38% (6/16),17% (1/6),2/4,0/0,1/2,0/0,0/1
2015 Portugal F12 F,L vsVivero Gonzalez,27% (4/15),25% (1/4),0/1,40% (6/15),67% (4/6),1/1,1/1,2/3,0/0,1/1
2015 Portugal F12 SF,W vsRodriguez,55% (6/11),33% (2/6),1/1,18% (2/11),50% (1/2),2/2,1/1,0/0,1/1,0/0
2015 Portugal F12 QF,W vsRuano,63% (5/8),100% (5/5),1/1,25% (2/8),50% (1/2),4/5,2/2,0/0,1/1,0/0
2015 Portugal F12 R16,W vsDomingues,50% (6/12),50% (3/6),0/2,33% (4/12),50% (2/4),1/3,1/1,1/1,1/1,0/0
2015 Portugal F12 R32,W vsYamada,38% (3/8),100% (3/3),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,1/1,0/0
2015 Szczecin CH R16,L vsCarreno Busta,36% (5/14),40% (2/5),0/2,21% (3/14),0% (0/3),2/2,1/1,0/1,0/0,0/0
2015 Szczecin CH R32,W vsLamasine,44% (4/9),100% (4/4),1/1,44% (4/9),75% (3/4),2/3,1/1,0/0,1/1,0/0
2015 Poland F5 F,W vsStanek,36% (4/11),75% (3/4),0/2,45% (5/11),60% (3/5),2/2,0/0,0/0,0/0,0/0
2015 Poland F3 R32,L vsGomez Herrera,31% (4/13),75% (3/4),0/4,46% (6/13),17% (1/6),1/2,0/0,1/2,0/0,0/1
2015 Poznan CH R32,L vsGhem,14% (1/7),0% (0/1),0/4,75% (6/8),17% (1/6),0/0,0/0,0/1,0/0,0/1
2015 Sweden F3 SF,L vsMadaras,25% (4/16),75% (3/4),1/2,20% (3/15),33% (1/3),1/2,0/0,0/0,0/0,0/0
