Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Canada R16,W vsBasilashvili,35% (8/23),88% (7/8),3/4,25% (5/20),0% (0/5),3/5,2/4,0/1,0/0,0/0
2019 Hamburg SF,L vsBasilashvili,63% (10/16),40% (4/10),1/3,44% (7/16),43% (3/7),4/4,1/2,1/2,0/1,1/1
2019 Hamburg R16,W vsDelbonis,36% (4/11),75% (3/4),0/1,33% (4/12),50% (2/4),2/3,1/3,1/1,0/2,0/0
2019 Wimbledon R128,L vsVesely,16% (3/19),33% (1/3),0/2,25% (5/20),0% (0/5),0/0,0/0,1/4,0/0,1/2
2019 Halle QF,L vsGoffin,37% (7/19),71% (5/7),1/3,30% (6/20),17% (1/6),4/4,1/2,2/3,0/0,2/2
2019 Stuttgart R16,L vsBrown,25% (4/16),25% (1/4),0/3,33% (5/15),40% (2/5),1/1,0/1,1/1,0/0,0/0
2019 Roland Garros QF,L vsDjokovic,36% (5/14),20% (1/5),0/3,50% (7/14),14% (1/7),0/1,0/1,0/3,0/0,0/1
2019 Roland Garros R16,W vsFognini,42% (8/19),63% (5/8),0/2,33% (6/18),67% (4/6),3/3,0/0,0/0,0/0,0/0
2019 Roland Garros R32,W vsLajovic,43% (9/21),89% (8/9),2/6,45% (10/22),30% (3/10),5/6,1/1,1/2,1/1,0/0
2019 Roland Garros R64,W vsYmer,50% (7/14),71% (5/7),0/1,14% (2/14),50% (1/2),4/4,1/2,1/1,0/1,0/0
2019 Roland Garros R128,W vsMillman,50% (12/24),58% (7/12),2/6,31% (8/26),13% (1/8),5/7,2/3,3/4,1/1,0/0
2019 Geneva F,W vsJarry,35% (6/17),17% (1/6),0/1,17% (3/18),33% (1/3),1/1,1/1,3/5,0/0,2/2
2019 Geneva R16,W vsGulbis,71% (5/7),100% (5/5),1/1,33% (3/9),33% (1/3),4/4,1/1,0/0,1/1,0/0
2019 Rome R32,L vsBerrettini,25% (3/12),67% (2/3),0/2,42% (5/12),20% (1/5),2/2,0/0,2/4,0/0,1/2
2019 Madrid QF,L vsTsitsipas,21% (3/14),33% (1/3),0/2,33% (5/15),40% (2/5),1/1,1/1,0/1,0/0,0/1
2019 Madrid R16,W vsHurkacz,40% (6/15),83% (5/6),2/4,29% (4/14),0% (0/4),2/3,0/0,1/1,0/0,0/0
2019 Madrid R32,W vsFerrer,56% (5/9),100% (5/5),0/1,13% (1/8),0% (0/1),4/4,1/1,0/0,0/0,0/0
2019 Munich QF,L vsGarin,47% (8/17),75% (6/8),1/7,41% (7/17),0% (0/7),3/5,0/0,0/0,0/0,0/0
2019 Munich R16,W vsLondero,56% (5/9),100% (5/5),1/2,20% (2/10),0% (0/2),4/4,1/1,0/0,1/1,0/0
2019 Barcelona R32,L vsJarry,35% (6/17),83% (5/6),2/4,31% (5/16),20% (1/5),3/4,0/0,0/0,0/0,0/0
2019 Monte Carlo R16,L vsFognini,10% (1/10),100% (1/1),1/3,44% (4/9),25% (1/4),1/1,0/0,0/0,0/0,0/0
2019 Monte Carlo R32,W vsAuger Aliassime,67% (6/9),100% (6/6),1/2,25% (2/8),0% (0/2),3/4,0/0,0/0,0/0,0/0
2019 Marrakech R16,L vsMunar,36% (5/14),80% (4/5),1/3,33% (5/15),20% (1/5),2/3,0/0,3/4,0/0,0/1
2019 Marrakech R32,W vsIstomin,60% (6/10),33% (2/6),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2019 Miami R64,L vsFerrer,36% (5/14),80% (4/5),1/4,60% (9/15),44% (4/9),2/3,0/0,0/1,0/0,0/1
2019 Indian Wells R32,L vsStruff,25% (2/8),0% (0/2),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,0/1
2019 Acapulco F,L vsKyrgios,50% (5/10),20% (1/5),1/3,33% (3/9),0% (0/3),1/1,0/0,2/2,0/0,1/1
2019 Acapulco SF,W vsNorrie,30% (3/10),67% (2/3),0/1,18% (2/11),50% (1/2),2/2,1/2,1/1,1/1,0/0
2019 Acapulco QF,W vsDe Minaur,20% (2/10),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2019 Acapulco R16,W vsFerrer,56% (5/9),60% (3/5),0/1,20% (2/10),50% (1/2),3/3,1/1,2/2,1/1,0/0
2019 Acapulco R32,W vsPopyrin,56% (5/9),60% (3/5),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,1/1,0/0
2019 Davis Cup RR,W vsBorsos,33% (3/9),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2019 Davis Cup RR,W vsNagy,63% (5/8),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2019 Australian Open R16,L vsRaonic,8% (1/13),100% (1/1),0/5,54% (7/13),14% (1/7),0/1,0/0,2/3,0/0,2/2
2019 Australian Open R32,W vsBolt,54% (7/13),86% (6/7),1/1,31% (4/13),75% (3/4),5/5,2/2,0/0,1/1,0/0
2019 Australian Open R64,W vsChardy,31% (8/26),63% (5/8),1/2,22% (6/27),50% (3/6),5/5,2/2,3/4,1/1,0/0
2019 Australian Open R128,W vsBedene,54% (7/13),86% (6/7),1/2,21% (3/14),33% (1/3),4/5,2/2,0/0,1/1,0/0
2018 Tour Finals F,W vsDjokovic,40% (4/10),100% (4/4),1/1,11% (1/9),0% (0/1),2/3,1/1,0/0,0/0,0/0
2018 Tour Finals SF,W vsFederer,17% (2/12),100% (2/2),1/1,8% (1/12),0% (0/1),1/1,0/0,0/0,0/0,0/0
2018 Tour Finals RR,W vsCilic,42% (5/12),40% (2/5),1/2,33% (4/12),50% (2/4),2/2,0/0,3/3,0/0,0/0
2018 Tour Finals RR,L vsDjokovic,11% (1/9),0% (0/1),0/2,38% (3/8),0% (0/3),0/0,0/0,0/1,0/0,0/0
2018 Tour Finals RR,W vsIsner,10% (1/10),100% (1/1),0/0,9% (1/11),100% (1/1),1/1,1/1,2/2,1/1,0/0
2018 Paris QF,L vsKhachanov,14% (1/7),100% (1/1),1/4,88% (7/8),14% (1/7),0/1,0/0,0/2,0/0,0/1
2018 Paris R16,W vsSchwartzman,44% (4/9),75% (3/4),0/0,33% (3/9),100% (3/3),3/3,2/2,0/0,1/1,0/0
2018 Paris R32,W vsTiafoe,60% (6/10),67% (4/6),1/2,50% (5/10),60% (3/5),1/2,0/0,0/0,0/0,0/0
2018 Basel SF,L vsCopil,19% (3/16),0% (0/3),0/1,13% (2/15),0% (0/2),0/0,0/0,1/2,0/0,0/1
2018 Basel QF,W vsBautista Agut,64% (7/11),71% (5/7),0/2,30% (3/10),33% (1/3),4/4,1/1,1/1,0/0,0/0
2018 Basel R16,W vsPopyrin,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2018 Basel R32,W vsHaase,36% (4/11),100% (4/4),0/2,36% (4/11),50% (2/4),2/2,0/1,0/0,0/1,0/0
2018 Shanghai SF,L vsDjokovic,0% (0/8),- (0/0),0/3,57% (4/7),0% (0/4),0/0,0/0,0/1,0/0,0/0
2018 Shanghai QF,W vsEdmund,20% (2/10),100% (2/2),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2018 Shanghai R16,W vsDe Minaur,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2018 Shanghai R32,W vsBasilashvili,45% (5/11),60% (3/5),0/1,27% (3/11),67% (2/3),2/3,2/2,1/1,1/1,0/0
2018 Beijing R16,L vsJaziri,33% (5/15),80% (4/5),1/2,20% (3/15),0% (0/3),3/4,1/1,0/1,0/0,0/1
2018 Beijing R32,W vsBautista Agut,60% (6/10),67% (4/6),1/2,30% (3/10),33% (1/3),3/4,2/3,0/0,1/2,0/0
2018 US Open R32,L vsKohlschreiber,53% (10/19),30% (3/10),0/6,47% (9/19),11% (1/9),1/3,0/1,0/2,0/0,0/1
2018 US Open R64,W vsMahut,36% (5/14),100% (5/5),1/1,7% (1/14),0% (0/1),5/5,3/3,0/0,1/1,0/0
2018 US Open R128,W vsPolansky,64% (7/11),86% (6/7),0/0,0% (0/12),- (0/0),5/5,2/2,0/0,1/1,0/0
2018 Cincinnati R32,L vsHaase,47% (8/17),63% (5/8),1/6,35% (6/17),0% (0/6),4/4,0/0,1/1,0/0,0/0
2018 Canada QF,L vsTsitsipas,44% (7/16),71% (5/7),1/3,27% (4/15),0% (0/4),3/4,0/1,0/1,0/1,0/1
2018 Canada R16,W vsMedvedev,38% (3/8),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2018 Canada R32,W vsKlahn,20% (2/10),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2018 Washington F,W vsDe Minaur,56% (5/9),60% (3/5),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2018 Washington SF,W vsTsitsipas,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2018 Washington QF,W vsNishikori,46% (6/13),67% (4/6),0/2,15% (2/13),0% (0/2),3/4,2/3,1/1,1/2,0/0
2018 Washington R16,W vsZverev,30% (3/10),100% (3/3),0/1,27% (3/11),67% (2/3),2/3,2/2,1/1,1/1,0/0
2018 Washington R32,W vsJaziri,75% (6/8),100% (6/6),1/1,14% (1/7),0% (0/1),5/5,1/1,0/0,0/0,0/0
2018 Wimbledon R32,L vsGulbis,24% (6/25),50% (3/6),1/5,21% (5/24),0% (0/5),3/3,2/2,2/2,0/0,0/0
2018 Wimbledon R64,W vsFritz,38% (9/24),56% (5/9),0/0,16% (4/25),75% (3/4),5/5,3/3,3/4,1/1,0/0
2018 Wimbledon R128,W vsDuckworth,54% (7/13),86% (6/7),0/0,0% (0/13),- (0/0),6/6,3/3,1/1,1/1,0/0
2018 Halle R32,L vsCoric,44% (4/9),25% (1/4),0/4,63% (5/8),20% (1/5),1/1,0/0,2/2,0/0,2/2
2018 Roland Garros QF,L vsThiem,17% (2/12),0% (0/2),0/5,54% (7/13),14% (1/7),0/0,0/0,2/3,0/0,0/1
2018 Roland Garros R16,W vsKhachanov,38% (9/24),56% (5/9),0/4,29% (7/24),29% (2/7),3/4,1/2,2/3,0/0,0/0
2018 Roland Garros R32,W vsDzumhur,50% (13/26),69% (9/13),3/8,44% (11/25),27% (3/11),7/8,2/2,1/1,1/1,1/1
2018 Roland Garros R64,W vsLajovic,50% (11/22),64% (7/11),1/5,26% (6/23),17% (1/6),6/6,2/2,1/1,1/1,0/0
2018 Roland Garros R128,W vsBerankis,64% (7/11),100% (7/7),0/0,0% (0/11),- (0/0),5/5,1/1,0/0,0/0,0/0
2018 Rome F,L vsNadal,33% (4/12),100% (4/4),0/5,45% (5/11),0% (0/5),3/4,1/1,0/0,0/0,0/0
2018 Rome SF,W vsCilic,33% (4/12),50% (2/4),0/1,8% (1/12),0% (0/1),1/1,0/0,2/2,0/0,0/0
2018 Rome QF,W vsGoffin,29% (4/14),75% (3/4),1/2,14% (2/14),0% (0/2),3/3,2/2,0/0,1/1,0/0
2018 Rome R16,W vsEdmund,42% (5/12),60% (3/5),1/2,33% (4/12),50% (2/4),3/3,1/2,2/2,0/0,0/0
2018 Rome R32,W vsBerrettini,40% (4/10),75% (3/4),0/0,20% (2/10),100% (2/2),3/3,2/2,1/1,1/1,0/0
2018 Madrid F,W vsThiem,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2018 Madrid SF,W vsShapovalov,44% (4/9),100% (4/4),0/0,0% (0/8),- (0/0),3/3,1/1,0/0,0/0,0/0
2018 Madrid QF,W vsIsner,21% (3/14),100% (3/3),0/0,7% (1/15),100% (1/1),3/3,2/2,2/2,1/1,0/0
2018 Madrid R16,W vsMayer,44% (4/9),75% (3/4),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2018 Madrid R32,W vsDonskoy,50% (5/10),60% (3/5),0/0,0% (0/10),- (0/0),3/3,2/2,1/1,1/1,0/0
2018 Munich F,W vsKohlschreiber,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),3/3,1/1,0/0,1/1,0/0
2018 Munich SF,W vsChung,60% (6/10),83% (5/6),1/2,30% (3/10),33% (1/3),5/5,2/3,0/0,1/1,0/0
2018 Munich QF,W vsStruff,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),3/4,2/2,0/0,1/1,0/0
2018 Munich R16,W vsHanfmann,47% (7/15),71% (5/7),1/2,13% (2/15),0% (0/2),2/3,0/1,2/2,0/1,0/0
2018 Monte Carlo SF,L vsNishikori,36% (5/14),60% (3/5),0/2,36% (5/14),20% (1/5),2/2,0/0,0/2,0/0,0/1
2018 Monte Carlo QF,W vsGasquet,60% (9/15),100% (9/9),5/7,67% (10/15),30% (3/10),3/7,0/0,1/1,0/0,0/0
2018 Monte Carlo R16,W vsStruff,67% (10/15),80% (8/10),3/6,60% (9/15),22% (2/9),3/8,2/3,0/1,1/2,0/0
2018 Monte Carlo R32,W vsMuller,57% (8/14),63% (5/8),0/1,23% (3/13),33% (1/3),2/3,0/0,0/1,0/0,0/0
2018 Davis Cup RR,W vsFerrer,85% (11/13),91% (10/11),4/5,38% (5/13),0% (0/5),5/10,3/3,0/0,1/1,0/0
2018 Davis Cup RR,L vsNadal,21% (3/14),67% (2/3),2/6,46% (6/13),0% (0/6),2/2,0/0,2/2,0/0,1/1
2018 Miami F,L vsIsner,13% (2/16),0% (0/2),0/2,38% (6/16),67% (4/6),0/0,0/0,2/2,0/0,0/0
2018 Miami SF,W vsCarreno Busta,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,1/1,0/0,1/1,0/0
2018 Miami QF,W vsCoric,40% (4/10),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2018 Miami R16,W vsKyrgios,40% (4/10),75% (3/4),0/1,10% (1/10),0% (0/1),3/3,2/3,0/0,1/1,0/0
2018 Miami R32,W vsFerrer,46% (6/13),83% (5/6),1/3,31% (4/13),0% (0/4),4/5,2/2,0/1,1/1,0/0
2018 Miami R64,W vsMedvedev,33% (5/15),40% (2/5),1/3,36% (5/14),40% (2/5),2/2,1/1,0/0,0/0,0/0
2018 Indian Wells R64,L vsSousa,35% (6/17),50% (3/6),0/4,29% (5/17),20% (1/5),2/2,0/1,0/0,0/0,0/0
2018 Acapulco SF,L vsdel Potro,11% (1/9),0% (0/1),0/3,56% (5/9),40% (2/5),0/0,0/0,1/1,0/0,0/0
2018 Acapulco QF,W vsHarrison,44% (4/9),100% (4/4),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,0/0,0/0
2018 Acapulco R16,W vsGojowczyk,20% (2/10),100% (2/2),0/1,36% (4/11),75% (3/4),2/2,1/1,2/2,1/1,0/0
2018 Acapulco R32,W vsMcdonald,40% (4/10),50% (2/4),0/0,9% (1/11),100% (1/1),2/2,2/2,1/1,1/1,0/0
2018 Rotterdam R16,L vsSeppi,40% (4/10),50% (2/4),1/3,44% (4/9),0% (0/4),1/2,0/0,1/2,0/0,1/1
2018 Rotterdam R32,W vsFerrer,60% (6/10),83% (5/6),0/2,44% (4/9),50% (2/4),2/4,1/1,0/0,0/0,0/0
2018 Davis Cup RR,W vsDe Minaur,31% (8/26),50% (4/8),0/4,22% (6/27),33% (2/6),3/3,1/2,4/4,0/0,2/2
2018 Davis Cup RR,W vsKyrgios,36% (5/14),80% (4/5),0/0,14% (2/14),100% (2/2),3/3,1/1,2/2,0/0,0/0
2018 Australian Open R32,L vsChung,17% (4/24),75% (3/4),0/4,30% (7/23),43% (3/7),2/2,1/1,1/1,0/0,0/0
2018 Australian Open R64,W vsGojowczyk,47% (8/17),63% (5/8),0/1,11% (2/18),50% (1/2),4/4,2/2,1/1,1/1,0/0
2018 Australian Open R128,W vsFabbiano,47% (7/15),71% (5/7),2/2,25% (4/16),50% (2/4),4/4,1/1,2/2,0/0,0/0
2017 Tour Finals RR,W vsCilic,20% (3/15),100% (3/3),0/2,29% (4/14),50% (2/4),2/2,1/1,1/1,0/0,0/0
2017 Tour Finals RR,L vsFederer,33% (5/15),40% (2/5),0/3,38% (6/16),33% (2/6),1/1,0/0,2/3,0/0,0/1
2017 Tour Finals RR,L vsSock,38% (5/13),80% (4/5),0/3,36% (5/14),20% (1/5),3/4,1/1,1/2,0/0,0/1
2017 Paris R32,L vsHaase,8% (1/12),100% (1/1),0/2,54% (7/13),43% (3/7),1/1,1/1,0/2,0/0,0/1
2017 Vienna QF,L vsTsonga,20% (2/10),100% (2/2),0/3,50% (5/10),20% (1/5),1/2,0/0,0/1,0/0,0/1
2017 Vienna R16,W vsSimon,45% (5/11),100% (5/5),2/4,73% (8/11),50% (4/8),2/4,0/1,1/1,0/0,0/0
2017 Vienna R32,W vsTroicki,21% (3/14),100% (3/3),0/1,27% (4/15),50% (2/4),2/3,2/2,0/1,1/1,0/0
2017 Shanghai R16,L vsdel Potro,7% (1/15),100% (1/1),0/1,13% (2/16),50% (1/2),1/1,1/1,3/3,0/0,1/1
2017 Beijing SF,L vsKyrgios,9% (1/11),0% (0/1),0/2,40% (4/10),50% (2/4),0/0,0/0,0/0,0/0,0/0
2017 Beijing QF,W vsRublev,50% (4/8),100% (4/4),0/1,11% (1/9),0% (0/1),2/3,1/2,0/0,1/2,0/0
2017 Beijing R16,W vsFognini,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),4/4,2/2,0/0,1/1,0/0
2017 Beijing R32,W vsEdmund,55% (6/11),50% (3/6),1/1,10% (1/10),0% (0/1),2/2,0/0,0/0,0/0,0/0
2017 Shenzhen QF,L vsDzumhur,27% (3/11),67% (2/3),0/4,45% (5/11),20% (1/5),1/2,0/0,1/1,0/0,0/0
2017 Shenzhen R16,W vsDarcis,24% (4/17),75% (3/4),1/4,29% (5/17),20% (1/5),2/2,0/0,3/3,0/0,2/2
2017 US Open R64,L vsCoric,23% (5/22),20% (1/5),0/0,17% (4/23),75% (3/4),1/1,1/1,3/4,0/0,0/0
2017 US Open R128,W vsKing,47% (8/17),50% (4/8),0/2,29% (5/17),60% (3/5),3/4,2/3,1/1,1/1,0/0
2017 Cincinnati R32,L vsTiafoe,29% (4/14),100% (4/4),2/4,47% (7/15),14% (1/7),2/3,0/0,0/2,0/0,0/1
2017 Canada F,W vsFederer,44% (4/9),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2017 Canada SF,W vsShapovalov,27% (3/11),100% (3/3),0/1,27% (3/11),67% (2/3),2/3,2/2,1/1,1/1,0/0
2017 Canada QF,W vsAnderson,27% (3/11),100% (3/3),0/1,27% (3/11),67% (2/3),2/3,2/2,1/1,1/1,0/0
2017 Canada R16,W vsKyrgios,40% (4/10),75% (3/4),0/0,33% (3/9),100% (3/3),2/2,1/1,0/0,0/0,0/0
2017 Canada R32,W vsGasquet,33% (5/15),40% (2/5),0/1,31% (5/16),60% (3/5),2/2,1/2,1/2,0/1,1/1
2017 Washington F,W vsAnderson,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Washington SF,W vsNishikori,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Washington QF,W vsMedvedev,33% (3/9),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2017 Washington R16,W vsSandgren,50% (6/12),50% (3/6),0/1,17% (2/12),50% (1/2),2/3,2/2,2/2,1/1,0/0
2017 Washington R32,W vsThompson,31% (5/16),80% (4/5),1/2,27% (4/15),25% (1/4),3/3,0/0,0/1,0/0,0/0
2017 Wimbledon R16,L vsRaonic,27% (7/26),43% (3/7),0/3,24% (6/25),17% (1/6),3/3,2/2,2/4,0/0,0/0
2017 Wimbledon R32,W vsOfner,50% (7/14),100% (7/7),1/3,21% (3/14),0% (0/3),5/7,3/3,0/0,1/1,0/0
2017 Wimbledon R64,W vsTiafoe,29% (4/14),100% (4/4),0/0,7% (1/14),100% (1/1),3/3,2/2,0/0,0/0,0/0
2017 Wimbledon R128,W vsDonskoy,20% (3/15),100% (3/3),1/1,13% (2/16),50% (1/2),3/3,2/2,2/2,1/1,0/0
2017 Halle F,L vsFederer,13% (1/8),0% (0/1),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,1/1
2017 Halle SF,W vsGasquet,40% (6/15),67% (4/6),0/1,21% (3/14),33% (1/3),2/3,1/1,0/1,0/0,0/0
2017 Halle QF,W vsBautista Agut,25% (4/16),75% (3/4),0/0,0% (0/15),- (0/0),2/2,0/0,2/2,0/0,0/0
2017 Halle R16,W vsKohlschreiber,56% (5/9),40% (2/5),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Halle R32,W vsLorenzi,38% (3/8),100% (3/3),0/0,22% (2/9),100% (2/2),3/3,2/2,0/0,1/1,0/0
2017 s Hertogenbosch SF,L vsMuller,0% (0/10),- (0/0),0/2,40% (4/10),50% (2/4),0/0,0/0,2/2,0/0,0/0
2017 s Hertogenbosch QF,W vsBenneteau,63% (5/8),80% (4/5),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2017 s Hertogenbosch R16,W vsMannarino,56% (5/9),100% (5/5),1/1,25% (2/8),50% (1/2),3/4,1/1,0/0,0/0,0/0
2017 Roland Garros R128,L vsVerdasco,44% (8/18),63% (5/8),3/6,63% (12/19),33% (4/12),4/5,1/1,1/3,0/0,0/1
2017 Rome F,W vsDjokovic,40% (4/10),75% (3/4),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2017 Rome SF,W vsIsner,21% (3/14),100% (3/3),0/0,7% (1/15),100% (1/1),3/3,2/2,2/2,1/1,0/0
2017 Rome QF,W vsRaonic,44% (4/9),100% (4/4),0/1,20% (2/10),0% (0/2),2/4,1/2,1/1,1/1,0/0
2017 Rome R16,W vsFognini,56% (5/9),80% (4/5),1/1,22% (2/9),50% (1/2),3/3,1/2,0/0,0/1,0/0
2017 Rome R32,W vsTroicki,44% (4/9),50% (2/4),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Rome R64,W vsAnderson,27% (4/15),75% (3/4),0/1,27% (4/15),50% (2/4),2/3,2/2,1/2,1/1,0/0
2017 Madrid QF,L vsCuevas,8% (1/12),100% (1/1),0/2,31% (4/13),0% (0/4),1/1,1/1,0/2,0/0,0/1
2017 Madrid R16,W vsBerdych,40% (4/10),100% (4/4),1/2,20% (2/10),0% (0/2),3/4,2/2,0/0,1/1,0/0
2017 Madrid R32,W vsCilic,40% (6/15),50% (3/6),0/1,25% (4/16),75% (3/4),2/3,2/2,2/2,1/1,0/0
2017 Madrid R64,W vsVerdasco,50% (5/10),80% (4/5),1/2,18% (2/11),0% (0/2),1/3,1/2,0/0,1/1,0/0
2017 Munich F,W vsPella,44% (4/9),75% (3/4),0/1,20% (2/10),50% (1/2),2/2,1/1,0/0,1/1,0/0
2017 Munich SF,W vsBautista Agut,33% (4/12),75% (3/4),0/1,8% (1/12),0% (0/1),3/3,2/2,2/2,1/1,0/0
2017 Munich QF,W vsStruff,12% (2/17),50% (1/2),0/2,25% (4/16),50% (2/4),0/1,0/0,3/3,0/0,2/2
2017 Munich R16,W vsChardy,30% (3/10),100% (3/3),0/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2017 Barcelona R16,L vsChung,13% (1/8),100% (1/1),0/3,78% (7/9),29% (2/7),0/1,0/0,1/3,0/0,1/2
2017 Barcelona R32,W vsAlmagro,31% (5/16),80% (4/5),1/4,31% (5/16),20% (1/5),2/3,0/0,3/3,0/0,0/0
2017 Monte Carlo R16,L vsNadal,0% (0/7),- (0/0),0/4,86% (6/7),17% (1/6),0/0,0/0,0/1,0/0,0/1
2017 Monte Carlo R32,W vsLopez,88% (7/8),71% (5/7),1/1,13% (1/8),0% (0/1),5/5,2/2,0/0,1/1,0/0
2017 Miami QF,L vsKyrgios,0% (0/16),- (0/0),0/2,20% (3/15),33% (1/3),0/0,0/0,1/1,0/0,1/1
2017 Miami QF,L vsKyrgios,0% (0/16),- (0/0),0/2,20% (3/15),33% (1/3),0/0,0/0,1/1,0/0,1/1
2017 Miami R16,W vsWawrinka,46% (6/13),83% (5/6),0/0,25% (3/12),67% (2/3),4/4,1/1,0/1,0/0,0/0
2017 Miami R32,W vsIsner,6% (1/18),100% (1/1),1/1,11% (2/18),50% (1/2),1/1,0/0,4/4,0/0,2/2
2017 Miami R64,W vsLu,63% (5/8),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2017 Indian Wells R32,L vsKyrgios,0% (0/9),- (0/0),0/1,30% (3/10),0% (0/3),0/0,0/0,0/2,0/0,0/1
2017 Indian Wells R64,W vsBagnis,30% (3/10),33% (1/3),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,1/1,0/0
2017 Marseille R32,L vsMahut,17% (2/12),50% (1/2),0/1,8% (1/12),0% (0/1),1/1,0/0,2/2,0/0,0/0
2017 Rotterdam R32,L vsThiem,29% (4/14),75% (3/4),1/4,36% (5/14),20% (1/5),2/3,1/1,1/1,0/0,0/0
2017 Montpellier F,W vsGasquet,20% (2/10),100% (2/2),0/1,9% (1/11),0% (0/1),2/2,1/1,2/2,1/1,0/0
2017 Montpellier SF,W vsTsonga,33% (5/15),80% (4/5),1/1,20% (3/15),67% (2/3),2/2,0/0,2/2,0/0,0/0
2017 Montpellier QF,W vsChardy,43% (6/14),50% (3/6),0/1,7% (1/14),0% (0/1),1/1,0/0,1/1,0/0,0/0
2017 Montpellier R16,W vsBedene,47% (7/15),57% (4/7),1/3,50% (8/16),50% (4/8),2/3,1/1,0/1,1/1,0/0
2017 Davis Cup RR,L vsDarcis,25% (5/20),80% (4/5),0/2,30% (6/20),33% (2/6),3/4,1/1,2/4,0/0,2/2
2017 Davis Cup RR,W vsDe Greef,36% (5/14),80% (4/5),0/0,14% (2/14),100% (2/2),3/3,2/2,0/0,1/1,0/0
2017 Australian Open R32,L vsNadal,20% (5/25),40% (2/5),0/5,35% (8/23),38% (3/8),1/2,1/1,2/2,0/0,0/0
2017 Australian Open R64,W vsTiafoe,31% (4/13),100% (4/4),0/0,21% (3/14),100% (3/3),3/3,2/2,0/0,1/1,0/0
2017 Australian Open R128,W vsHaase,39% (9/23),78% (7/9),0/4,43% (10/23),60% (6/10),7/7,3/3,0/0,1/1,0/0
2016 Stockholm SF,L vsSock,24% (4/17),50% (2/4),0/2,29% (5/17),40% (2/5),2/2,0/0,2/3,0/0,0/1
2016 Stockholm QF,W vsKamke,45% (5/11),100% (5/5),1/3,50% (5/10),40% (2/5),2/4,0/0,1/1,0/0,0/0
2016 Stockholm R16,W vsMannarino,55% (6/11),50% (3/6),1/1,18% (2/11),50% (1/2),3/3,2/2,1/1,1/1,0/0
2016 Shanghai R16,L vsTsonga,25% (4/16),50% (2/4),0/5,44% (7/16),29% (2/7),2/2,0/1,2/2,0/0,0/0
2016 Shanghai R32,W vsCilic,31% (4/13),75% (3/4),0/1,23% (3/13),67% (2/3),3/3,2/2,0/0,1/1,0/0
2016 Beijing QF,L vsFerrer,40% (6/15),67% (4/6),1/6,63% (10/16),20% (2/10),1/4,0/0,3/5,0/0,1/2
2016 Beijing R16,W vsSock,33% (3/9),100% (3/3),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
