Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-04-07),3,6720,3,2143,3,2077,2,2102,2,2064,,,,
2024,3,7010,3,2156,3,2081,2,2112,2,2067,,,,
2023,2,8855,3,2149,3,2066,1,2094,2,2029,,,,
2022,1,6820,3,2125,3,2069,3,2071,8,1849,,,,
2021,32,1612,6,2031,6,1969,8,1932,27,1736,,,,
2020,141,464,51,1766,,,37,1742,,,,,,
2019,492,60,288,1450,367,1320,242,1445,,,,,,
