Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 US Open R128,W vsSugita,47,18,2.6,32.6%,12.5%,28,15,1.9,23.7%,12.7%,19.5%,4.2%,1.1,10.4%,9.7%
2021 Cincinnati Masters QF,L vsZverev,13,13,1.0,15.9%,15.9%,11,13,0.8,15.1%,17.8%,5.5%,1.4%,2.4,40.2%,17.1%
2021 Cincinnati Masters R16,W vsSchwartzman,17,12,1.4,16.7%,11.8%,12,12,1.0,12.5%,12.5%,11.5%,1.0%,0.7,18.6%,25.5%
2021 Canada Masters QF,L vsTsitsipas,21,20,1.1,22.6%,21.5%,19,19,1.0,23.5%,23.5%,8.6%,1.2%,2.5,34.4%,14.0%
2021 Canada Masters R16,W vsLajovic,14,17,0.8,14.1%,17.2%,9,16,0.6,10.1%,18.0%,6.7%,3.4%,0.5,13.1%,25.3%
2021 Kitzbuhel F,W vsMartinez,26,25,1.0,15.8%,15.2%,23,22,1.0,14.7%,14.1%,9.6%,5.1%,0.8,15.2%,20.0%
2021 Gstaad F,W vsGaston,23,21,1.1,15.2%,13.9%,20,16,1.3,14.1%,11.3%,10.6%,3.5%,1.1,15.9%,14.6%
2021 Gstaad QF,W vsPaire,29,24,1.2,16.7%,13.8%,16,21,0.8,12.4%,16.3%,10.1%,2.3%,0.9,21.8%,25.3%
2021 Bastad F,W vsCoria,28,24,1.2,25.0%,21.4%,25,23,1.1,23.8%,21.9%,18.1%,5.7%,0.4,8.0%,21.4%
2021 Wimbledon R128,L vsThompson,37,55,0.7,11.9%,17.6%,27,50,0.5,9.4%,17.4%,4.9%,3.5%,1.0,15.4%,15.1%
2021 Roland Garros R32,L vsDavidovich Fokina,53,46,1.2,14.7%,12.7%,53,46,1.2,15.5%,13.4%,,,1.0,15.8%,15.8%
2021 Roland Garros R64,W vsMajchrzak,34,22,1.5,19.9%,12.9%,34,22,1.5,21.5%,13.9%,,,0.8,13.5%,17.0%
2021 Roland Garros R128,W vsPaire,25,22,1.1,9.6%,8.5%,25,22,1.1,10.4%,9.2%,,,0.9,21.9%,24.2%
2021 Geneva F,W vsShapovalov,14,8,1.8,10.4%,6.0%,10,8,1.3,8.5%,6.8%,7.7%,0.9%,1.1,24.6%,22.4%
2021 Madrid Masters SF,L vsBerrettini,7,14,0.5,6.3%,12.6%,6,12,0.5,5.9%,11.8%,3.9%,2.0%,1.4,20.7%,14.4%
2021 Madrid Masters QF,W vsBublik,19,4,4.8,16.5%,3.5%,14,3,4.7,14.3%,3.1%,9.2%,5.1%,0.9,20.0%,21.7%
2021 Madrid Masters R16,W vsTsitsipas,17,22,0.8,13.1%,16.9%,13,21,0.6,11.1%,17.9%,8.5%,2.6%,1.0,22.3%,21.5%
2021 Madrid Masters R32,W vsNishioka,26,13,2.0,31.0%,15.5%,18,13,1.4,24.3%,17.6%,14.9%,0.0%,0.4,10.7%,29.8%
2021 Madrid Masters R64,W vsAuger Aliassime,16,16,1.0,13.3%,13.3%,11,14,0.8,10.5%,13.3%,9.5%,1.0%,0.4,13.3%,30.8%
2021 Monte Carlo Masters SF,L vsRublev,11,19,0.6,9.7%,16.8%,9,18,0.5,8.5%,17.0%,4.7%,2.8%,1.1,18.6%,16.8%
2021 Monte Carlo Masters R32,W vsSchwartzman,11,17,0.6,12.2%,18.9%,8,14,0.6,10.1%,17.7%,8.9%,1.3%,0.5,11.1%,24.4%
2021 Acapulco R32,W vsGalan,15,14,1.1,16.1%,15.1%,13,11,1.2,15.3%,12.9%,11.8%,3.5%,0.5,14.0%,25.8%
2021 Australian Open R16,L vsRublev,15,19,0.8,12.8%,16.2%,15,19,0.8,14.2%,17.9%,,,1.1,15.4%,14.5%
2021 Australian Open R32,W vsAlbot,36,36,1.0,15.7%,15.7%,36,36,1.0,17.3%,17.3%,,,0.8,13.0%,15.7%
2021 Australian Open R64,W vsPaul,24,31,0.8,9.7%,12.5%,24,31,0.8,10.7%,13.8%,,,0.8,18.5%,22.2%
2021 Australian Open R128,W vsThompson,23,15,1.5,17.4%,11.4%,23,15,1.5,19.2%,12.5%,,,0.4,8.3%,21.2%
2020 Roland Garros R32,L vsThiem,20,37,0.5,11.4%,21.1%,20,37,0.5,12.0%,22.2%,,,1.0,15.4%,14.9%
2020 Roland Garros R64,W vsPaul,26,21,1.2,10.9%,8.8%,26,21,1.2,11.7%,9.5%,,,1.4,25.2%,18.1%
2020 Roland Garros R128,W vsSugita,33,14,2.4,22.4%,9.5%,33,14,2.4,24.3%,10.3%,,,0.8,12.2%,16.3%
2020 Hamburg SF,L vsRublev,12,22,0.5,10.5%,19.3%,12,21,0.6,11.2%,19.6%,7.5%,2.8%,1.4,22.8%,16.7%
2020 Rome Masters SF,L vsDjokovic,26,29,0.9,16.0%,17.8%,24,28,0.9,16.3%,19.0%,12.9%,3.4%,1.5,22.1%,14.7%
2020 Rome Masters QF,W vsBerrettini,28,24,1.2,13.4%,11.5%,24,21,1.1,12.7%,11.1%,10.6%,2.1%,1.0,22.5%,22.5%
2020 US Open R32,L vsBerrettini,12,29,0.4,6.9%,16.7%,10,26,0.4,6.6%,17.1%,3.9%,1.3%,1.0,23.0%,23.0%
2020 US Open R64,W vsRuusuvuori,22,36,0.6,13.3%,21.8%,10,31,0.3,7.4%,23.0%,5.9%,1.5%,0.5,13.9%,25.5%
2020 US Open R128,W vsMcdonald,58,41,1.4,18.4%,13.0%,47,38,1.2,16.3%,13.2%,12.2%,2.8%,1.1,17.4%,15.5%
2020 Santiago F,L vsSeyboth Wild,23,26,0.9,12.5%,14.1%,19,21,0.9,12.3%,13.5%,8.4%,3.9%,1.2,20.7%,17.9%
2020 Santiago SF,W vsRamos,27,26,1.0,20.3%,19.5%,22,22,1.0,17.9%,17.9%,15.4%,1.6%,0.5,10.5%,20.3%
2020 Santiago R16,W vsTabilo,27,19,1.4,20.6%,14.5%,20,16,1.3,17.1%,13.7%,14.5%,2.6%,0.6,10.7%,17.6%
2020 Buenos Aires F,W vsSousa,23,12,1.9,23.7%,12.4%,20,12,1.7,22.2%,13.3%,18.9%,3.3%,0.7,12.4%,17.5%
2020 Buenos Aires SF,W vsLondero,33,14,2.4,21.9%,9.3%,22,13,1.7,16.5%,9.8%,12.8%,3.8%,0.9,18.5%,19.9%
2020 Australian Open R128,L vsGerasimov,52,42,1.2,15.9%,12.8%,52,42,1.2,18.2%,14.7%,,,1.0,16.2%,16.8%
2020 Atp Cup RR,W vsFognini,16,11,1.5,17.2%,11.8%,14,10,1.4,16.3%,11.6%,10.5%,2.3%,0.6,16.1%,25.8%
2019 NextGen Finals RR,L vsDe Minaur,13,9,1.4,15.1%,10.5%,11,9,1.2,13.6%,11.1%,9.9%,3.7%,3.0,27.9%,9.3%
2019 US Open R128,L vsStruff,17,22,0.8,8.9%,11.5%,13,14,0.9,8.4%,9.0%,5.8%,1.9%,2.5,31.4%,12.6%
2019 Hamburg R32,W vsHaase,32,21,1.5,20.8%,13.6%,28,18,1.6,20.0%,12.9%,17.9%,2.1%,1.4,22.7%,16.2%
2019 Wimbledon R128,L vsIsner,19,14,1.4,10.4%,7.7%,12,5,2.4,8.9%,3.7%,6.7%,2.2%,2.2,30.6%,14.2%
2019 Roland Garros R32,L vsFederer,26,20,1.3,12.7%,9.8%,26,20,1.3,14.3%,11.0%,,,1.2,20.1%,16.2%
2019 Roland Garros R64,W vsBerrettini,34,18,1.9,16.2%,8.6%,34,18,1.9,17.1%,9.0%,,,0.8,14.3%,17.6%
2019 Roland Garros R128,W vsGulbis,10,13,0.8,6.1%,7.9%,10,13,0.8,7.4%,9.6%,,,0.5,14.0%,26.8%
2019 Rome Masters R16,L vsdel Potro,23,20,1.2,18.5%,16.1%,21,18,1.2,19.1%,16.4%,15.5%,3.6%,1.0,22.6%,21.8%
2019 Houston F,L vsGarin,26,33,0.8,12.7%,16.2%,23,30,0.8,11.9%,15.5%,7.3%,3.6%,0.9,14.7%,15.7%
2019 Sao Paulo SF,L vsGarin,14,23,0.6,12.3%,20.2%,9,23,0.4,8.6%,21.9%,6.7%,1.0%,0.8,15.8%,20.2%
2019 Sao Paulo QF,W vsDellien,14,9,1.6,17.5%,11.3%,11,8,1.4,14.9%,10.8%,10.8%,2.7%,0.3,8.8%,30.0%
2019 Rio de Janeiro QF,L vsDjere,9,26,0.3,7.0%,20.3%,8,23,0.3,6.9%,19.8%,5.2%,1.7%,1.2,19.5%,16.4%
2018 Roland Garros R64,L vsRamos,23,35,0.7,12.8%,19.6%,23,35,0.7,13.4%,20.3%,,,1.3,17.9%,13.4%
2018 Roland Garros R128,W vsThompson,35,44,0.8,13.2%,16.5%,35,44,0.8,14.3%,18.0%,,,1.3,19.5%,15.4%
2018 Francavilla Al Mare CH R16,W vsAuger Aliassime,12,12,1.0,11.0%,11.0%,7,12,0.6,7.2%,12.4%,4.1%,3.1%,0.5,13.8%,25.7%
2018 Australian Open R64,L vsSchwartzman,19,41,0.5,10.8%,23.3%,19,41,0.5,12.3%,26.5%,,,1.0,12.5%,11.9%
2018 Australian Open R128,W vsHalys,56,55,1.0,13.3%,13.1%,56,55,1.0,15.4%,15.1%,,,0.9,12.4%,13.6%
2017 Washington R64,L vsPaul,24,39,0.6,16.1%,26.2%,18,34,0.5,14.0%,26.4%,10.1%,3.1%,1.1,13.4%,12.8%
2017 Lyon CH QF,L vsAuger Aliassime,21,33,0.6,10.1%,15.9%,15,28,0.5,8.4%,15.6%,6.1%,1.7%,0.8,17.4%,22.2%
2017 Roland Garros Q2,L vsJanvier,19,20,1.0,13.0%,13.7%,16,20,0.8,11.8%,14.7%,6.6%,4.4%,1.1,19.2%,17.8%
2017 Sao Paulo R32,W vsSantillan,13,16,0.8,10.6%,13.0%,11,12,0.9,10.7%,11.7%,10.7%,0.0%,0.7,17.9%,25.2%
