Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Barcelona R16,W vsThompson,20,10,2.0,21.1%,10.5%,19,10,1.9,21.3%,11.2%,12.4%,4.5%,0.8,17.9%,23.2%
2024 Barcelona R32,W vsMuller,25,17,1.5,19.8%,13.5%,22,15,1.5,18.8%,12.8%,17.1%,1.7%,0.7,15.9%,23.0%
2024 Monte Carlo Masters F,L vsTsitsipas,20,16,1.3,15.6%,12.5%,18,15,1.2,14.9%,12.4%,11.6%,3.3%,1.6,23.4%,14.8%
2024 Monte Carlo Masters SF,W vsDjokovic,23,19,1.2,14.6%,12.1%,19,15,1.3,13.2%,10.4%,6.9%,6.3%,1.1,19.1%,17.2%
2024 Monte Carlo Masters QF,W vsHumbert,28,24,1.2,17.8%,15.3%,24,20,1.2,16.4%,13.7%,14.4%,1.4%,0.8,20.4%,26.1%
2024 Monte Carlo Masters R16,W vsHurkacz,14,11,1.3,12.5%,9.8%,12,11,1.1,11.7%,10.7%,8.7%,2.9%,0.8,21.4%,25.9%
2024 Monte Carlo Masters R32,W vsTabilo,29,14,2.1,25.0%,12.1%,22,12,1.8,21.4%,11.7%,11.7%,5.8%,0.8,22.4%,29.3%
2024 Estoril SF,L vsMartinez,40,31,1.3,19.1%,14.8%,32,25,1.3,16.9%,13.2%,12.7%,3.7%,1.4,23.0%,16.3%
2024 Estoril QF,W vsFucsovics,27,12,2.3,27.8%,12.4%,26,11,2.4,27.7%,11.7%,13.8%,4.3%,0.8,22.7%,26.8%
2024 Miami Masters R16,L vsJarry,34,18,1.9,25.6%,13.5%,27,17,1.6,23.3%,14.7%,5.2%,3.4%,2.2,35.3%,15.8%
2024 Miami Masters R64,W vsVan Assche,27,25,1.1,18.0%,16.7%,20,24,0.8,14.7%,17.6%,11.0%,1.5%,1.7,18.0%,10.7%
2024 Indian Wells Masters QF,L vsPaul,21,27,0.8,11.7%,15.0%,18,27,0.7,10.6%,15.9%,7.6%,2.4%,1.0,21.7%,21.7%
2024 Indian Wells Masters R32,W vsFils,28,14,2.0,26.7%,13.3%,26,13,2.0,28.0%,14.0%,8.6%,2.2%,0.7,19.0%,27.6%
2024 Acapulco F,L vsDe Minaur,9,17,0.5,6.5%,12.3%,8,17,0.5,6.1%,13.0%,4.6%,0.8%,1.6,20.3%,13.0%
2024 Acapulco R16,W vsLajovic,23,16,1.4,19.7%,13.7%,18,14,1.3,16.7%,13.0%,13.0%,3.7%,1.3,15.4%,12.0%
2024 Acapulco R32,W vsEubanks,31,19,1.6,16.8%,10.3%,25,17,1.5,15.2%,10.4%,8.5%,4.3%,1.2,25.9%,21.6%
2024 Los Cabos F,L vsThompson,16,34,0.5,11.0%,23.4%,16,31,0.5,11.9%,23.1%,9.7%,1.5%,1.5,20.7%,13.8%
2024 Los Cabos SF,W vsTsitsipas,21,16,1.3,14.9%,11.3%,16,16,1.0,13.0%,13.0%,8.9%,3.3%,1.2,25.5%,21.3%
2024 Los Cabos QF,W vsBorges,25,16,1.6,27.5%,17.6%,21,15,1.4,26.3%,18.8%,8.8%,2.5%,0.8,17.6%,22.0%
2024 Australian Open R32,L vsNorrie,56,32,1.8,22.3%,12.7%,37,28,1.3,17.4%,13.1%,11.7%,3.3%,1.5,25.9%,16.7%
2024 Australian Open R64,W vsPurcell,42,22,1.9,12.5%,6.6%,20,17,1.2,7.3%,6.2%,5.8%,1.1%,1.5,26.9%,18.5%
2024 United Cup QF,W vsMannarino,28,17,1.6,28.3%,17.2%,18,16,1.1,21.7%,19.3%,13.3%,7.2%,0.4,7.1%,19.2%
2024 United Cup RR,W vsGriekspoor,16,8,2.0,15.1%,7.5%,10,6,1.7,11.0%,6.6%,9.9%,1.1%,1.4,20.8%,15.1%
2023 Paris Masters R32,L vsCerundolo,14,27,0.5,10.6%,20.5%,9,25,0.4,7.7%,21.4%,3.4%,3.4%,1.1,25.0%,22.7%
2023 Shanghai Masters R16,L vsMarozsan,49,27,1.8,20.8%,11.4%,35,24,1.5,16.5%,11.3%,11.3%,4.2%,1.5,25.0%,16.9%
2023 Shanghai Masters R32,W vsEubanks,20,7,2.9,19.8%,6.9%,19,5,3.8,21.3%,5.6%,6.7%,3.4%,0.8,26.7%,35.6%
2023 Shanghai Masters R64,W vsNishioka,30,6,5.0,30.3%,6.1%,21,6,3.5,24.1%,6.9%,16.1%,2.3%,0.9,24.2%,26.3%
2023 Beijing QF,L vsAlcaraz,18,32,0.6,13.6%,24.2%,17,28,0.6,14.2%,23.3%,5.0%,0.0%,1.2,27.3%,23.5%
2023 Beijing R32,W vsStruff,38,20,1.9,23.9%,12.6%,30,17,1.8,21.9%,12.4%,9.5%,4.4%,1.3,28.3%,22.0%
2023 US Open R64,L vsZhang,39,32,1.2,14.8%,12.1%,32,30,1.1,13.7%,12.8%,9.0%,3.8%,1.5,22.7%,15.5%
2023 US Open R128,W vsNava,27,21,1.3,10.2%,7.9%,23,18,1.3,9.5%,7.4%,5.8%,3.3%,1.5,27.1%,18.4%
