Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2016 Roland Garros R64,W vsRobert,26,33,0.8,13.1%,16.6%,21,31,0.7,12.1%,17.8%,5.2%,6.3%,0.7,18.6%,26.6%
2016 Nice F,L vsThiem,16,33,0.5,11.0%,22.6%,14,24,0.6,11.2%,19.2%,4.8%,4.8%,0.8,14.4%,18.5%
2016 Rome Masters R32,L vsFederer,13,16,0.8,9.9%,12.2%,9,14,0.6,7.3%,11.3%,2.4%,2.4%,1.8,19.1%,10.7%
2016 Rome Masters R64,W vsDimitrov,15,9,1.7,15.3%,9.2%,9,9,1.0,9.8%,9.8%,4.3%,5.4%,0.3,8.2%,25.5%
2016 Monte Carlo Masters R32,L vsGranollers,20,41,0.5,11.6%,23.7%,19,37,0.5,11.4%,22.2%,7.8%,3.6%,0.8,14.5%,19.1%
2016 Miami Masters R128,W vsMmoh,30,40,0.8,18.3%,24.4%,21,35,0.6,15.3%,25.5%,9.5%,2.9%,0.6,11.0%,18.9%
2016 Indian Wells Masters R32,W vsSimon,15,11,1.4,16.9%,12.4%,11,8,1.4,13.6%,9.9%,8.6%,4.9%,0.4,11.2%,30.3%
2016 Australian Open R128,L vsMurray,23,43,0.5,13.8%,25.7%,18,36,0.5,12.0%,24.0%,8.7%,2.0%,1.4,16.8%,12.0%
2015 Bastad QF,W vsBellucci,23,39,0.6,11.4%,19.3%,20,33,0.6,10.8%,17.7%,5.9%,4.3%,0.5,14.9%,27.7%
2015 Wimbledon R64,L vsKudla,42,41,1.0,16.4%,16.0%,28,33,0.8,12.8%,15.1%,6.4%,4.6%,1.2,16.0%,13.3%
2015 Wimbledon R128,W vsGabashvili,63,38,1.7,18.6%,11.2%,44,27,1.6,15.3%,9.4%,8.0%,5.2%,1.1,19.2%,16.8%
2015 Nottingham R16,L vsBaghdatis,19,23,0.8,19.8%,24.0%,17,20,0.9,19.8%,23.3%,7.0%,7.0%,5.3,21.9%,4.2%
2015 Marseille R32,L vsMonfils,14,22,0.6,11.4%,17.9%,12,21,0.6,10.7%,18.8%,6.3%,4.5%,0.9,17.9%,19.5%
2015 Rotterdam R32,L vsBautista Agut,15,22,0.7,15.6%,22.9%,8,22,0.4,9.2%,25.3%,3.4%,2.3%,1.6,21.9%,13.5%
2014 Mons CH QF,L vsGoffin,11,17,0.6,12.8%,19.8%,7,15,0.5,9.2%,19.7%,1.3%,3.9%,2.3,24.4%,10.5%
2014 Stuttgart R32,L vsRosol,21,37,0.6,11.7%,20.7%,16,29,0.6,10.0%,18.1%,4.4%,4.4%,0.6,16.2%,25.1%
