Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Beijing F,L vsThiem,34,23,1.5,20.1%,13.6%,27,22,1.2,17.5%,14.3%,13.0%,4.5%,1.9,21.3%,11.2%
2019 Beijing SF,W vsZverev,20,25,0.8,12.8%,16.0%,17,25,0.7,11.6%,17.1%,6.8%,4.8%,0.8,14.7%,19.2%
2019 Beijing QF,W vsIsner,25,7,3.6,22.1%,6.2%,17,6,2.8,17.7%,6.3%,9.4%,8.3%,1.3,20.4%,15.9%
2019 Beijing R32,W vsLajovic,30,29,1.0,17.2%,16.7%,25,24,1.0,15.8%,15.2%,9.5%,6.3%,0.7,14.4%,19.5%
2019 Laver Cup RR,W vsFritz,15,16,0.9,15.0%,16.0%,9,16,0.6,10.1%,18.0%,9.0%,1.1%,1.4,20.0%,14.0%
2019 US Open R128,L vsRublev,65,81,0.8,18.9%,23.5%,45,74,0.6,15.2%,24.9%,10.8%,4.4%,1.1,14.8%,13.7%
2019 Canada Masters R32,L vsHurkacz,23,22,1.0,14.5%,13.8%,14,20,0.7,10.1%,14.5%,8.0%,2.2%,1.0,18.9%,18.2%
2019 Washington SF,L vsKyrgios,43,13,3.3,23.8%,7.2%,29,12,2.4,20.3%,8.4%,10.5%,7.0%,2.6,27.6%,10.5%
2019 Washington R16,W vsThompson,12,14,0.9,8.7%,10.1%,9,13,0.7,7.0%,10.1%,4.7%,2.3%,0.7,13.8%,18.8%
2019 Washington R32,W vsPaul,22,21,1.0,16.8%,16.0%,15,18,0.8,12.9%,15.5%,11.2%,1.7%,1.3,16.8%,13.0%
2019 Wimbledon R128,L vsFabbiano,54,43,1.3,17.1%,13.6%,43,36,1.2,14.7%,12.3%,12.3%,2.0%,1.1,14.2%,12.7%
2019 Queen's Club QF,L vsAuger Aliassime,15,12,1.3,11.8%,9.4%,14,10,1.4,12.6%,9.0%,8.1%,4.5%,1.2,21.3%,18.1%
2019 Roland Garros R16,L vsWawrinka,58,42,1.4,14.9%,10.8%,58,42,1.4,16.1%,11.7%,,,0.9,11.8%,13.4%
2019 Roland Garros R32,W vsKrajinovic,55,47,1.2,18.5%,15.8%,55,47,1.2,19.9%,17.0%,,,0.7,12.1%,16.4%
2019 Roland Garros R64,W vsDellien,37,32,1.2,15.4%,13.3%,37,32,1.2,16.4%,14.2%,,,0.8,12.9%,15.4%
2019 Roland Garros R128,W vsMarterer,33,18,1.8,20.8%,11.3%,33,18,1.8,22.8%,12.4%,,,0.6,10.1%,16.4%
2019 Rome Masters SF,L vsNadal,17,23,0.7,15.2%,20.5%,10,22,0.5,9.8%,21.6%,7.8%,0.0%,1.8,21.4%,11.6%
2019 Madrid Masters F,L vsDjokovic,19,20,1.0,16.5%,17.4%,18,19,0.9,16.2%,17.1%,10.8%,4.5%,1.8,24.3%,13.9%
2019 Madrid Masters SF,W vsNadal,32,38,0.8,17.8%,21.1%,27,37,0.7,15.7%,21.5%,11.6%,4.1%,1.0,15.6%,16.1%
2019 Estoril F,W vsCuevas,19,34,0.6,12.6%,22.5%,15,33,0.5,10.4%,22.9%,6.9%,2.8%,0.6,9.9%,17.2%
2019 Monte Carlo Masters R16,L vsMedvedev,27,37,0.7,18.8%,25.7%,25,35,0.7,18.5%,25.9%,11.1%,6.7%,0.7,12.5%,17.4%
2019 Indian Wells Masters R64,L vsAuger Aliassime,12,17,0.7,11.0%,15.6%,9,17,0.5,9.4%,17.7%,6.3%,3.1%,1.1,17.4%,16.5%
2019 Dubai F,L vsFederer,17,24,0.7,15.6%,22.0%,13,22,0.6,13.3%,22.4%,10.2%,3.1%,1.7,22.0%,12.8%
2019 Dubai SF,W vsMonfils,48,43,1.1,18.0%,16.2%,43,36,1.2,17.8%,14.9%,13.6%,4.1%,1.3,18.0%,14.3%
2019 Dubai QF,W vsHurkacz,37,30,1.2,17.1%,13.9%,35,27,1.3,17.2%,13.2%,13.2%,3.9%,1.0,13.4%,13.4%
2019 Marseille F,W vsKukushkin,39,24,1.6,23.4%,14.4%,25,24,1.0,16.6%,15.9%,8.6%,7.3%,0.8,10.8%,14.4%
2019 Marseille SF,W vsGoffin,23,14,1.6,20.9%,12.7%,18,12,1.5,18.4%,12.2%,10.2%,7.1%,0.6,10.9%,18.2%
2019 Marseille R16,W vsHurkacz,18,9,2.0,17.0%,8.5%,16,9,1.8,16.7%,9.4%,12.5%,3.1%,0.8,12.3%,16.0%
2019 Rotterdam R32,L vsDzumhur,27,33,0.8,15.8%,19.3%,18,32,0.6,11.5%,20.5%,7.7%,3.8%,1.2,16.4%,14.0%
2019 Sofia QF,L vsMonfils,15,18,0.8,10.7%,12.9%,9,18,0.5,7.1%,14.3%,5.6%,1.6%,1.6,17.1%,10.7%
2019 Sofia R16,W vsStruff,22,23,1.0,15.1%,15.8%,12,19,0.6,9.9%,15.7%,7.4%,2.5%,0.6,17.8%,28.1%
2019 Australian Open SF,L vsNadal,16,25,0.6,12.7%,19.8%,11,23,0.5,9.6%,20.2%,6.1%,3.5%,1.9,22.2%,11.9%
2019 Australian Open QF,W vsBautista Agut,65,37,1.8,25.3%,14.4%,43,34,1.3,19.2%,15.2%,12.5%,4.9%,1.6,19.1%,12.1%
2019 Australian Open R16,W vsFederer,57,38,1.5,16.6%,11.0%,37,37,1.0,11.9%,11.9%,7.7%,3.5%,1.1,16.9%,14.8%
2019 Australian Open R32,W vsBasilashvili,34,26,1.3,13.0%,10.0%,16,25,0.6,7.2%,11.3%,3.2%,3.2%,0.9,20.7%,23.0%
2019 Australian Open R128,W vsBerrettini,38,48,0.8,14.6%,18.4%,23,44,0.5,10.2%,19.6%,8.0%,1.8%,0.7,14.2%,19.5%
2019 Sydney QF,L vsSeppi,37,50,0.7,20.2%,27.3%,22,43,0.5,13.8%,27.0%,7.5%,1.9%,1.0,15.3%,15.3%
2018 NextGen Finals F,W vsDe Minaur,24,18,1.3,16.1%,12.1%,14,18,0.8,10.4%,13.4%,5.2%,3.7%,0.9,15.4%,17.4%
2018 NextGen Finals RR,W vsHurkacz,17,15,1.1,17.9%,15.8%,11,12,0.9,12.9%,14.1%,8.2%,4.7%,0.8,13.7%,16.8%
2018 Stockholm F,W vsGulbis,13,13,1.0,12.4%,12.4%,6,12,0.5,6.9%,13.8%,4.6%,1.1%,0.8,21.9%,28.6%
2018 Tokyo R16,W vsDe Minaur,24,29,0.8,12.7%,15.3%,20,28,0.7,11.2%,15.7%,6.7%,3.9%,0.8,15.3%,19.0%
2018 US Open R64,L vsMedvedev,27,64,0.4,13.1%,31.1%,23,58,0.4,12.4%,31.2%,7.0%,4.3%,0.8,10.7%,12.6%
2018 Canada Masters F,L vsNadal,16,26,0.6,13.4%,21.8%,13,26,0.5,11.8%,23.6%,9.1%,1.8%,2.3,23.5%,10.1%
2018 Canada Masters SF,W vsAnderson,40,25,1.6,17.8%,11.1%,33,23,1.4,16.4%,11.4%,9.5%,4.5%,1.6,21.8%,13.8%
2018 Canada Masters QF,W vsZverev,28,36,0.8,13.7%,17.6%,23,30,0.8,12.6%,16.4%,9.8%,2.2%,1.0,17.6%,17.6%
2018 Canada Masters R16,W vsDjokovic,42,27,1.6,22.2%,14.3%,31,25,1.2,19.3%,15.5%,15.5%,2.5%,1.0,16.9%,16.4%
2018 Washington SF,L vsZverev,16,17,0.9,12.7%,13.5%,14,13,1.1,12.7%,11.8%,8.2%,2.7%,2.0,19.0%,9.5%
2018 Wimbledon R16,L vsIsner,40,12,3.3,19.1%,5.7%,22,7,3.1,13.6%,4.3%,6.8%,5.6%,2.7,25.8%,9.6%
2018 Wimbledon R32,W vsFabbiano,25,16,1.6,17.5%,11.2%,14,13,1.1,11.3%,10.5%,6.5%,4.0%,0.6,10.5%,16.8%
2018 Wimbledon R64,W vsDonaldson,62,23,2.7,21.3%,7.9%,44,20,2.2,17.4%,7.9%,11.5%,4.0%,1.2,14.4%,12.4%
2018 Wimbledon R128,W vsBarrere,45,20,2.3,17.4%,7.7%,28,14,2.0,12.2%,6.1%,7.0%,2.6%,1.1,17.4%,15.4%
2018 Halle R16,L vsKudla,16,21,0.8,12.5%,16.4%,12,18,0.7,10.6%,15.9%,6.2%,3.5%,1.6,17.2%,10.9%
