Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 Hamburg F,L vsMusetti,31,39,0.8,15.9%,20.0%,29,36,0.8,15.5%,19.3%,10.7%,4.3%,0.8,12.8%,16.4%
2022 Hamburg SF,W vsMolcan,31,20,1.6,24.6%,15.9%,29,19,1.5,24.4%,16.0%,20.2%,4.2%,0.9,14.3%,15.9%
2022 Hamburg R32,W vsKuhn,29,36,0.8,15.6%,19.4%,28,35,0.8,15.5%,19.3%,11.6%,2.2%,0.7,12.4%,18.3%
2022 Wimbledon R16,L vsSinner,33,39,0.8,12.5%,14.8%,24,36,0.7,9.9%,14.8%,8.2%,1.6%,0.9,13.3%,15.5%
2022 Wimbledon R32,W vsOtte,37,8,4.6,23.7%,5.1%,34,5,6.8,24.6%,3.6%,17.4%,5.8%,1.1,11.5%,10.9%
2022 Wimbledon R64,W vsGriekspoor,39,20,2.0,21.1%,10.8%,30,16,1.9,18.3%,9.8%,11.0%,6.1%,2.0,15.1%,7.6%
2022 Wimbledon R128,W vsStruff,73,40,1.8,19.2%,10.5%,43,33,1.3,13.9%,10.6%,6.8%,5.8%,1.6,16.3%,10.5%
2022 Roland Garros QF,L vsZverev,44,48,0.9,16.7%,18.3%,42,45,0.9,17.1%,18.4%,11.8%,4.9%,1.5,16.3%,11.0%
2022 Roland Garros R64,W vsRamos,73,83,0.9,20.7%,23.6%,64,81,0.8,19.0%,24.0%,11.6%,7.4%,0.4,8.0%,17.9%
2022 Madrid Masters F,W vsZverev,17,14,1.2,20.0%,16.5%,16,14,1.1,21.1%,18.4%,11.8%,3.9%,0.4,12.9%,34.1%
2022 Madrid Masters SF,W vsDjokovic,51,50,1.0,19.2%,18.9%,48,46,1.0,19.4%,18.5%,12.9%,5.6%,1.0,8.7%,9.1%
