Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Australian Open F,W vsNadal,34,9,3.8,23.9%,6.3%,26,9,2.9,20.2%,7.0%,10.1%,9.3%,0.7,14.1%,19.7%
2019 Australian Open SF,W vsPouille,23,7,3.3,18.1%,5.5%,17,7,2.4,14.9%,6.1%,9.6%,5.3%,0.6,14.2%,25.2%
2019 Australian Open QF,W vsNishikori,14,11,1.3,18.4%,14.5%,12,10,1.2,17.1%,14.3%,8.6%,7.1%,0.2,6.6%,31.6%
2019 Australian Open R16,W vsMedvedev,42,53,0.8,15.7%,19.8%,36,48,0.8,15.5%,20.6%,11.6%,3.9%,0.7,13.8%,19.4%
2019 Australian Open R32,W vsShapovalov,16,33,0.5,8.2%,16.8%,11,29,0.4,6.3%,16.5%,4.0%,2.3%,0.4,10.7%,30.1%
2019 Doha SF,L vsBautista Agut,44,45,1.0,21.8%,22.3%,35,42,0.8,19.1%,23.0%,11.5%,7.1%,1.2,13.9%,11.4%
2019 Doha QF,W vsBasilashvili,15,21,0.7,8.9%,12.5%,8,18,0.4,5.3%,11.9%,3.3%,0.7%,0.6,15.5%,24.4%
2018 Tour Finals F,L vsZverev,8,23,0.3,7.8%,22.3%,7,22,0.3,8.0%,25.0%,5.7%,1.1%,1.2,19.4%,16.5%
2018 Tour Finals SF,W vsAnderson,17,13,1.3,17.2%,13.1%,12,12,1.0,13.8%,13.8%,10.3%,2.3%,0.4,10.1%,27.3%
2018 Tour Finals RR,W vsIsner,22,6,3.7,20.4%,5.6%,16,5,3.2,18.6%,5.8%,11.6%,7.0%,0.9,21.3%,25.0%
2018 Tour Finals RR,W vsZverev,11,13,0.8,10.8%,12.7%,10,10,1.0,11.5%,11.5%,9.2%,2.3%,0.6,19.6%,31.4%
2018 Paris Masters F,L vsKhachanov,18,22,0.8,13.1%,16.1%,13,21,0.6,10.8%,17.5%,7.5%,3.3%,1.3,22.6%,17.5%
2018 Paris Masters SF,W vsFederer,31,30,1.0,12.3%,11.9%,24,30,0.8,10.6%,13.2%,6.6%,2.2%,1.2,21.0%,18.3%
2018 Shanghai Masters F,W vsCoric,17,16,1.1,13.7%,12.9%,10,16,0.6,8.8%,14.2%,6.2%,2.7%,0.6,16.1%,25.8%
2018 Shanghai Masters SF,W vsZverev,7,10,0.7,8.8%,12.5%,7,9,0.8,9.5%,12.2%,6.8%,1.4%,0.4,8.8%,23.8%
2018 US Open F,W vsdel Potro,32,38,0.8,15.5%,18.4%,31,36,0.9,15.7%,18.3%,12.7%,2.5%,0.7,15.0%,22.7%
2018 US Open SF,W vsNishikori,17,29,0.6,9.5%,16.2%,14,27,0.5,8.2%,15.9%,6.5%,1.8%,0.4,12.3%,28.5%
2018 US Open QF,W vsMillman,30,53,0.6,14.9%,26.4%,29,49,0.6,15.3%,25.9%,9.5%,5.3%,0.5,11.9%,22.9%
2018 US Open R16,W vsSousa,23,18,1.3,14.8%,11.6%,14,17,0.8,10.3%,12.5%,5.9%,4.4%,0.8,13.5%,18.1%
2018 US Open R32,W vsGasquet,32,25,1.3,17.8%,13.9%,29,23,1.3,18.0%,14.3%,10.6%,7.5%,0.5,13.9%,26.1%
2018 US Open R64,W vsSandgren,31,30,1.0,12.8%,12.3%,25,27,0.9,11.4%,12.3%,7.3%,3.7%,0.9,18.1%,21.0%
2018 US Open R128,W vsFucsovics,30,32,0.9,14.2%,15.2%,26,29,0.9,13.3%,14.8%,7.7%,5.6%,0.8,15.6%,19.0%
2018 Cincinnati Masters F,W vsFederer,11,18,0.6,8.5%,13.8%,7,16,0.4,6.4%,14.7%,4.6%,1.8%,0.6,16.9%,29.2%
2018 Cincinnati Masters SF,W vsCilic,24,21,1.1,12.9%,11.3%,17,17,1.0,10.7%,10.7%,8.8%,1.9%,1.0,21.5%,21.0%
2018 Canada Masters R16,L vsTsitsipas,32,31,1.0,16.9%,16.4%,21,27,0.8,13.0%,16.8%,7.5%,4.3%,1.6,22.2%,14.3%
2018 Wimbledon F,W vsAnderson,20,13,1.5,11.5%,7.5%,14,9,1.6,9.4%,6.0%,6.0%,2.0%,0.8,14.9%,18.4%
2018 Wimbledon SF,W vsNadal,73,42,1.7,18.9%,10.9%,50,38,1.3,14.5%,11.0%,8.4%,4.9%,1.7,18.9%,10.9%
