Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2016 Madrid Masters QF,W vsRaonic,11,16,0.7,8.3%,12.0%,10,13,0.8,8.1%,10.6%,4.9%,2.4%,0.6,17.3%,27.8%
2016 Madrid Masters R32,W vsCoric,15,12,1.3,15.5%,12.4%,13,8,1.6,14.9%,9.2%,11.5%,3.4%,0.5,10.3%,22.7%
2016 Monte Carlo Masters R32,L vsVesely,29,35,0.8,17.3%,20.8%,26,32,0.8,16.9%,20.8%,7.8%,8.4%,0.8,14.3%,19.0%
2016 Miami Masters F,W vsNishikori,13,23,0.6,11.9%,21.1%,13,21,0.6,12.7%,20.6%,6.9%,5.9%,0.3,9.2%,26.6%
2016 Miami Masters SF,W vsGoffin,20,32,0.6,12.7%,20.4%,13,30,0.4,9.4%,21.7%,5.8%,2.9%,0.9,16.6%,19.1%
2016 Indian Wells Masters F,W vsRaonic,15,5,3.0,14.9%,5.0%,13,4,3.3,14.1%,4.3%,9.8%,4.3%,0.5,14.9%,27.7%
2016 Indian Wells Masters SF,W vsNadal,24,27,0.9,15.7%,17.6%,22,24,0.9,15.1%,16.4%,9.6%,5.5%,0.4,7.8%,20.3%
2016 Australian Open F,W vsMurray,33,34,1.0,14.9%,15.3%,26,31,0.8,13.3%,15.9%,7.7%,4.1%,0.6,18.0%,27.9%
2016 Australian Open SF,W vsFederer,33,20,1.7,16.8%,10.2%,23,19,1.2,12.8%,10.6%,6.1%,5.6%,0.7,17.3%,25.9%
2016 Australian Open QF,W vsNishikori,22,27,0.8,12.7%,15.6%,16,25,0.6,10.5%,16.4%,4.6%,3.9%,0.6,17.9%,31.2%
2016 Australian Open R16,W vsSimon,62,100,0.6,16.8%,27.1%,53,99,0.5,15.0%,28.0%,9.6%,4.2%,0.5,8.7%,18.4%
2016 Australian Open R32,W vsSeppi,34,37,0.9,17.1%,18.6%,25,35,0.7,13.7%,19.1%,9.3%,2.7%,0.8,14.6%,19.1%
2016 Australian Open R64,W vsHalys,42,14,3.0,25.6%,8.5%,33,14,2.4,23.6%,10.0%,15.0%,8.6%,1.0,20.1%,20.7%
2016 Australian Open R128,W vsChung,40,27,1.5,25.3%,17.1%,30,24,1.3,21.7%,17.4%,16.7%,4.3%,0.6,10.1%,18.4%
2016 Doha F,W vsNadal,29,13,2.2,33.3%,14.9%,25,12,2.1,32.1%,15.4%,28.2%,3.8%,0.8,10.3%,12.6%
2016 Doha SF,W vsBerdych,16,22,0.7,13.0%,17.9%,13,21,0.6,11.3%,18.3%,7.0%,4.3%,0.5,12.2%,24.4%
2016 Doha QF,W vsMayer,17,11,1.5,14.2%,9.2%,15,11,1.4,13.6%,10.0%,10.0%,3.6%,0.8,16.7%,20.0%
2016 Doha R32,W vsBrown,10,9,1.1,10.8%,9.7%,8,9,0.9,9.3%,10.5%,5.8%,3.5%,0.5,11.8%,23.7%
2015 Tour Finals F,W vsFederer,15,14,1.1,13.0%,12.2%,11,14,0.8,10.7%,13.6%,5.8%,2.9%,0.7,16.5%,25.2%
2015 Tour Finals SF,W vsNadal,27,17,1.6,27.3%,17.2%,23,16,1.4,25.3%,17.6%,12.1%,11.0%,0.7,10.1%,15.2%
2015 Tour Finals RR,L vsFederer,12,27,0.4,10.1%,22.7%,10,26,0.4,9.3%,24.1%,4.6%,4.6%,0.8,16.0%,21.0%
2015 Tour Finals RR,W vsBerdych,16,17,0.9,12.6%,13.4%,15,17,0.9,12.8%,14.5%,6.0%,2.6%,0.8,20.5%,24.4%
2015 Tour Finals RR,W vsNishikori,16,14,1.1,17.4%,15.2%,10,13,0.8,12.7%,16.5%,5.1%,7.6%,0.4,10.9%,28.3%
2015 Paris Masters F,W vsMurray,10,11,0.9,8.7%,9.6%,8,11,0.7,7.5%,10.3%,6.5%,0.9%,0.5,16.5%,30.4%
2015 Paris Masters SF,W vsWawrinka,25,24,1.0,16.4%,15.8%,21,24,0.9,15.0%,17.1%,9.3%,5.0%,0.7,17.1%,25.0%
2015 Paris Masters QF,W vsBerdych,18,22,0.8,10.7%,13.0%,14,20,0.7,9.0%,12.9%,5.8%,1.9%,0.9,20.7%,23.1%
2015 Paris Masters R16,W vsSimon,19,27,0.7,15.1%,21.4%,17,24,0.7,14.2%,20.0%,11.7%,1.7%,0.4,7.9%,19.8%
2015 Paris Masters R32,W vsBellucci,25,17,1.5,18.9%,12.9%,23,16,1.4,18.1%,12.6%,15.0%,3.1%,0.6,9.8%,17.4%
2015 Shanghai Masters F,W vsTsonga,18,9,2.0,16.4%,8.2%,16,9,1.8,15.8%,8.9%,10.9%,4.0%,0.6,15.5%,25.5%
2015 Shanghai Masters SF,W vsMurray,18,5,3.6,20.9%,5.8%,13,5,2.6,17.3%,6.7%,5.3%,10.7%,0.4,10.5%,26.7%
2015 Shanghai Masters QF,W vsTomic,27,19,1.4,18.8%,13.2%,17,18,0.9,13.7%,14.5%,9.7%,4.0%,0.8,17.4%,22.9%
2015 Shanghai Masters R16,W vsLopez,22,13,1.7,19.3%,11.4%,17,13,1.3,16.3%,12.5%,5.8%,9.6%,0.7,13.2%,19.3%
2015 Shanghai Masters R32,W vsKlizan,12,17,0.7,12.5%,17.7%,8,17,0.5,9.6%,20.5%,4.8%,1.2%,0.3,10.4%,30.2%
2015 Beijing F,W vsNadal,23,17,1.4,21.9%,16.2%,16,17,0.9,16.5%,17.5%,9.3%,7.2%,0.3,6.7%,20.0%
2015 Beijing SF,W vsFerrer,14,24,0.6,13.2%,22.6%,13,22,0.6,13.1%,22.2%,8.1%,4.0%,0.3,7.5%,28.3%
2015 Beijing QF,W vsIsner,11,9,1.2,12.9%,10.6%,9,9,1.0,11.3%,11.3%,6.3%,5.0%,0.5,10.6%,22.4%
2015 Beijing R16,W vsZhang,27,17,1.6,31.0%,19.5%,24,15,1.6,30.8%,19.2%,14.1%,7.7%,0.6,9.2%,16.1%
2015 Beijing R32,W vsBolelli,22,15,1.5,21.4%,14.6%,16,15,1.1,17.2%,16.1%,6.5%,6.5%,0.5,11.7%,23.3%
2015 US Open F,W vsFederer,35,37,0.9,12.0%,12.7%,32,32,1.0,11.9%,11.9%,6.3%,4.5%,1.0,19.2%,18.5%
2015 US Open SF,W vsCilic,16,13,1.2,13.1%,10.7%,13,12,1.1,11.9%,11.0%,5.5%,4.6%,0.3,9.0%,30.3%
2015 US Open QF,W vsLopez,36,17,2.1,15.5%,7.3%,27,17,1.6,13.2%,8.3%,7.4%,5.9%,0.8,15.5%,20.6%
2015 US Open R16,W vsBautista Agut,42,37,1.1,17.5%,15.4%,34,35,1.0,15.1%,15.6%,10.7%,3.1%,1.2,14.2%,11.7%
2015 US Open R32,W vsSeppi,37,31,1.2,18.5%,15.5%,26,28,0.9,14.6%,15.7%,9.6%,3.4%,1.1,19.0%,17.0%
2015 US Open R64,W vsHaider Maurer,27,19,1.4,20.3%,14.3%,21,17,1.2,18.1%,14.7%,12.1%,6.0%,0.2,5.3%,24.8%
2015 US Open R128,W vsSouza,24,7,3.4,22.0%,6.4%,16,7,2.3,16.7%,7.3%,9.4%,6.3%,0.4,9.2%,24.8%
2015 Cincinnati Masters F,L vsFederer,17,23,0.7,12.1%,16.4%,12,19,0.6,9.8%,15.6%,6.6%,3.3%,1.6,22.1%,13.6%
2015 Cincinnati Masters SF,W vsDolgopolov,14,38,0.4,7.3%,19.9%,6,32,0.2,3.6%,19.4%,2.4%,1.2%,0.6,18.8%,31.9%
2015 Canada Masters F,L vsMurray,35,40,0.9,15.2%,17.4%,30,38,0.8,14.3%,18.1%,10.0%,3.8%,0.8,16.5%,20.0%
2015 Canada Masters SF,W vsChardy,10,13,0.8,8.5%,11.0%,6,11,0.5,5.6%,10.3%,3.7%,1.9%,0.6,13.6%,23.7%
2015 Canada Masters QF,W vsGulbis,24,35,0.7,12.6%,18.4%,14,30,0.5,8.8%,18.9%,5.7%,2.5%,0.5,13.7%,26.8%
2015 Canada Masters R16,W vsSock,19,10,1.9,21.8%,11.5%,16,10,1.6,19.5%,12.2%,11.0%,7.3%,0.3,6.9%,24.1%
2015 Canada Masters R32,W vsBellucci,26,32,0.8,16.3%,20.0%,24,31,0.8,15.8%,20.4%,9.9%,3.3%,0.6,9.4%,16.3%
2015 Wimbledon F,W vsFederer,46,16,2.9,16.1%,5.6%,33,15,2.2,12.9%,5.9%,8.2%,3.1%,1.7,20.3%,12.2%
2015 Wimbledon SF,W vsGasquet,46,22,2.1,21.8%,10.4%,34,20,1.7,18.4%,10.8%,9.2%,9.2%,1.9,17.1%,9.0%
2015 Wimbledon QF,W vsCilic,27,12,2.3,16.5%,7.3%,23,11,2.1,15.2%,7.3%,9.3%,5.3%,1.5,18.3%,12.2%
2015 Wimbledon R16,W vsAnderson,43,19,2.3,12.7%,5.6%,30,15,2.0,11.0%,5.5%,6.2%,4.4%,1.7,21.0%,12.1%
2015 Wimbledon R32,W vsTomic,38,12,3.2,23.3%,7.4%,23,11,2.1,16.9%,8.1%,10.3%,6.6%,1.1,15.3%,13.5%
2015 Wimbledon R64,W vsNieminen,38,13,2.9,23.8%,8.1%,30,12,2.5,20.4%,8.2%,14.3%,5.4%,0.8,9.4%,11.3%
2015 Wimbledon R128,W vsKohlschreiber,36,21,1.7,19.3%,11.2%,24,20,1.2,14.6%,12.2%,6.1%,8.5%,1.1,13.4%,11.8%
2015 Roland Garros F,L vsWawrinka,30,41,0.7,11.8%,16.1%,24,41,0.6,10.2%,17.4%,3.8%,5.9%,1.3,23.6%,17.7%
2015 Roland Garros SF,W vsMurray,56,48,1.2,19.3%,16.6%,48,46,1.0,18.0%,17.2%,13.1%,4.5%,0.8,12.4%,16.6%
2015 Roland Garros QF,W vsNadal,45,30,1.5,26.0%,17.3%,42,30,1.4,25.5%,18.2%,17.0%,8.5%,0.5,9.2%,17.3%
2015 Roland Garros R16,W vsGasquet,47,25,1.9,27.0%,14.4%,43,25,1.7,26.1%,15.2%,10.3%,15.8%,0.8,14.9%,17.8%
2015 Roland Garros R32,W vsKokkinakis,34,12,2.8,21.7%,7.6%,30,12,2.5,21.1%,8.5%,14.1%,6.3%,1.0,17.2%,17.8%
2015 Roland Garros R64,W vsMuller,35,18,1.9,22.2%,11.4%,32,17,1.9,22.2%,11.8%,12.5%,9.0%,0.9,14.6%,16.5%
2015 Roland Garros R128,W vsNieminen,40,31,1.3,22.1%,17.1%,34,30,1.1,19.8%,17.4%,12.8%,5.8%,1.2,12.2%,9.9%
2015 Rome Masters F,W vsFederer,18,9,2.0,15.7%,7.8%,13,8,1.6,12.9%,7.9%,8.9%,4.0%,0.9,20.9%,24.3%
2015 Rome Masters SF,W vsFerrer,26,22,1.2,21.0%,17.7%,22,22,1.0,18.6%,18.6%,15.3%,3.4%,1.0,12.9%,12.9%
2015 Rome Masters QF,W vsNishikori,19,25,0.8,12.8%,16.9%,16,23,0.7,11.8%,16.9%,7.4%,2.2%,0.6,12.8%,22.3%
2015 Monte Carlo Masters F,W vsBerdych,23,45,0.5,11.0%,21.4%,20,40,0.5,10.0%,19.9%,6.0%,4.0%,0.5,13.8%,25.7%
2015 Monte Carlo Masters SF,W vsNadal,23,20,1.2,18.7%,16.3%,22,20,1.1,18.8%,17.1%,12.8%,6.0%,0.8,16.3%,20.3%
2015 Miami Masters F,W vsMurray,28,37,0.8,14.1%,18.7%,24,33,0.7,13.4%,18.4%,9.5%,3.9%,0.7,15.7%,22.7%
2015 Miami Masters SF,W vsIsner,25,8,3.1,17.9%,5.7%,15,7,2.1,12.6%,5.9%,5.0%,6.7%,0.9,20.7%,22.9%
2015 Indian Wells Masters F,W vsFederer,29,32,0.9,14.6%,16.1%,21,27,0.8,11.9%,15.3%,7.3%,2.8%,0.7,15.6%,22.1%
2015 Indian Wells Masters SF,W vsMurray,14,21,0.7,12.7%,19.1%,13,19,0.7,12.9%,18.8%,8.9%,4.0%,0.2,6.4%,26.4%
2015 Indian Wells Masters R32,W vsRamos,17,29,0.6,14.2%,24.2%,16,26,0.6,14.5%,23.6%,11.8%,2.7%,0.2,5.0%,21.7%
2015 Dubai F,L vsFederer,19,16,1.2,13.5%,11.3%,18,14,1.3,14.3%,11.1%,8.7%,4.0%,1.2,24.1%,19.9%
2015 Dubai QF,W vsIlhan,13,11,1.2,15.7%,13.3%,6,10,0.6,8.5%,14.1%,8.5%,0.0%,0.2,4.8%,31.3%
2015 Australian Open F,W vsMurray,53,40,1.3,20.9%,15.7%,45,39,1.2,19.4%,16.8%,12.1%,6.0%,0.8,16.1%,19.3%
2015 Australian Open SF,W vsWawrinka,27,49,0.6,9.2%,16.7%,22,46,0.5,8.1%,17.0%,6.3%,1.5%,0.6,14.3%,23.5%
2015 Australian Open QF,W vsRaonic,33,17,1.9,18.6%,9.6%,25,15,1.7,16.7%,10.0%,11.3%,4.0%,0.9,19.2%,20.3%
2015 Australian Open R16,W vsMuller,47,16,2.9,23.9%,8.1%,34,12,2.8,19.7%,6.9%,11.6%,6.4%,1.2,18.8%,16.2%
2015 Australian Open R32,W vsVerdasco,43,24,1.8,20.1%,11.2%,32,24,1.3,17.6%,13.2%,12.1%,3.3%,0.8,17.8%,23.4%
2015 Australian Open R64,W vsKuznetsov,28,19,1.5,20.4%,13.9%,20,17,1.2,16.4%,13.9%,13.1%,2.5%,0.3,7.3%,24.8%
2015 Australian Open R128,W vsBedene,30,29,1.0,17.9%,17.3%,22,26,0.8,15.5%,18.3%,10.6%,4.2%,0.6,13.1%,21.4%
2015 Doha R32,W vsLajovic,25,20,1.3,26.9%,21.5%,22,18,1.2,25.6%,20.9%,20.9%,4.7%,0.4,8.6%,19.4%
2014 Tour Finals SF,W vsNishikori,14,10,1.4,11.2%,8.0%,11,8,1.4,9.9%,7.2%,6.3%,2.7%,0.6,13.6%,24.0%
2014 Tour Finals RR,W vsBerdych,21,9,2.3,22.8%,9.8%,20,8,2.5,23.0%,9.2%,11.5%,4.6%,0.5,8.7%,18.5%
2014 Tour Finals RR,W vsCilic,13,13,1.0,15.7%,15.7%,9,12,0.8,12.0%,16.0%,8.0%,4.0%,0.3,8.4%,30.1%
2014 Paris Masters F,W vsRaonic,16,10,1.6,14.3%,8.9%,12,10,1.2,12.4%,10.3%,7.2%,4.1%,1.0,25.0%,25.0%
2014 Paris Masters SF,W vsNishikori,17,15,1.1,17.7%,15.6%,9,15,0.6,10.8%,18.1%,6.0%,4.8%,0.4,8.3%,20.8%
2014 Paris Masters QF,W vsMurray,12,23,0.5,9.8%,18.9%,11,22,0.5,9.9%,19.8%,6.3%,3.6%,0.6,16.4%,27.0%
2014 Paris Masters R16,W vsMonfils,19,16,1.2,14.6%,12.3%,17,11,1.5,15.9%,10.3%,12.1%,1.9%,0.9,22.3%,24.6%
2014 Shanghai Masters SF,L vsFederer,32,25,1.3,21.5%,16.8%,27,25,1.1,19.9%,18.4%,11.0%,6.6%,1.8,22.1%,12.1%
2014 Shanghai Masters R32,W vsThiem,17,11,1.5,13.3%,8.6%,10,10,1.0,8.9%,8.9%,7.1%,0.9%,1.0,20.3%,19.5%
2014 Beijing F,W vsBerdych,16,13,1.2,18.4%,14.9%,12,12,1.0,15.2%,15.2%,5.1%,8.9%,0.4,9.2%,21.8%
2014 Beijing SF,W vsMurray,19,23,0.8,15.8%,19.2%,15,23,0.7,13.6%,20.9%,9.1%,4.5%,0.3,5.8%,23.3%
2014 US Open SF,L vsNishikori,38,35,1.1,16.0%,14.8%,25,31,0.8,11.8%,14.7%,7.1%,2.8%,1.1,15.6%,14.3%
2014 US Open QF,W vsMurray,46,48,1.0,16.1%,16.8%,38,45,0.8,14.6%,17.2%,8.8%,3.1%,0.7,16.5%,22.8%
2014 US Open R16,W vsKohlschreiber,34,19,1.8,20.0%,11.2%,28,19,1.5,18.1%,12.3%,11.6%,6.5%,0.8,15.9%,21.2%
2014 US Open R32,W vsQuerrey,25,19,1.3,17.1%,13.0%,20,18,1.1,15.4%,13.8%,8.5%,6.2%,0.5,12.3%,22.6%
2014 US Open R64,W vsMathieu,33,16,2.1,24.6%,11.9%,20,16,1.3,18.2%,14.5%,10.0%,8.2%,0.5,11.9%,23.1%
2014 US Open R128,W vsSchwartzman,24,27,0.9,16.4%,18.5%,17,24,0.7,13.0%,18.3%,9.9%,1.5%,0.4,6.8%,16.4%
2014 Canada Masters R16,L vsTsonga,11,19,0.6,11.2%,19.4%,9,18,0.5,10.6%,21.2%,7.1%,1.2%,1.3,22.4%,17.3%
2014 Wimbledon F,W vsFederer,68,27,2.5,18.6%,7.4%,55,24,2.3,17.4%,7.6%,9.2%,6.6%,2.6,20.5%,7.9%
2014 Wimbledon SF,W vsDimitrov,45,26,1.7,16.3%,9.4%,28,24,1.2,12.0%,10.3%,8.1%,3.0%,1.5,17.4%,12.0%
2014 Wimbledon QF,W vsCilic,32,32,1.0,11.0%,11.0%,22,29,0.8,8.4%,11.0%,3.8%,3.8%,0.9,14.4%,16.4%
2014 Wimbledon R16,W vsTsonga,44,11,4.0,23.8%,5.9%,30,11,2.7,20.0%,7.3%,8.7%,8.0%,3.1,20.0%,6.5%
2014 Wimbledon R32,W vsSimon,31,23,1.3,16.9%,12.6%,24,21,1.1,14.4%,12.6%,9.0%,5.4%,0.8,12.6%,15.3%
2014 Wimbledon R64,W vsStepanek,54,24,2.3,18.8%,8.3%,36,22,1.6,14.0%,8.6%,6.6%,6.6%,1.9,17.7%,9.4%
2014 Wimbledon R128,W vsGolubev,34,14,2.4,22.8%,9.4%,27,14,1.9,19.6%,10.1%,10.1%,8.0%,0.7,10.1%,14.8%
2014 Roland Garros F,L vsNadal,43,49,0.9,17.5%,19.9%,32,46,0.7,14.2%,20.4%,9.3%,4.9%,1.2,17.9%,15.4%
2014 Roland Garros SF,W vsGulbis,30,25,1.2,13.9%,11.6%,21,24,0.9,11.2%,12.8%,6.9%,3.2%,0.9,18.5%,20.4%
2014 Roland Garros QF,W vsRaonic,37,19,1.9,17.5%,9.0%,33,18,1.8,18.1%,9.9%,9.9%,7.7%,1.2,23.1%,18.9%
2014 Roland Garros R16,W vsTsonga,18,18,1.0,13.1%,13.1%,17,17,1.0,13.3%,13.3%,8.6%,4.7%,0.4,11.7%,27.7%
2014 Roland Garros R32,W vsCilic,33,37,0.9,12.0%,13.5%,28,34,0.8,10.9%,13.2%,6.2%,4.3%,0.7,15.3%,23.3%
2014 Roland Garros R64,W vsChardy,31,16,1.9,21.4%,11.0%,29,15,1.9,21.3%,11.0%,12.5%,8.8%,0.5,13.1%,24.1%
2014 Roland Garros R128,W vsSousa,40,33,1.2,23.5%,19.4%,31,30,1.0,19.9%,19.2%,10.9%,8.3%,0.7,9.4%,13.5%
2014 Rome Masters F,W vsNadal,44,27,1.6,26.7%,16.4%,37,27,1.4,23.7%,17.3%,15.4%,8.3%,0.8,9.1%,12.1%
2014 Rome Masters SF,W vsRaonic,29,22,1.3,12.3%,9.4%,26,21,1.2,12.3%,10.0%,5.2%,7.1%,0.8,20.0%,24.7%
2014 Monte Carlo Masters SF,L vsFederer,15,26,0.6,12.9%,22.4%,13,25,0.5,11.9%,22.9%,10.1%,0.9%,0.9,15.5%,18.1%
2014 Miami Masters F,W vsNadal,20,11,1.8,19.8%,10.9%,16,11,1.5,17.0%,11.7%,9.6%,7.4%,0.8,13.9%,17.8%
2014 Miami Masters QF,W vsMurray,18,18,1.0,14.3%,14.3%,12,15,0.8,10.8%,13.5%,7.2%,3.6%,0.6,12.7%,23.0%
2014 Indian Wells Masters F,W vsFederer,28,36,0.8,14.2%,18.3%,22,31,0.7,12.5%,17.6%,8.5%,1.7%,0.9,16.8%,19.3%
2014 Indian Wells Masters SF,W vsIsner,34,27,1.3,16.7%,13.2%,27,25,1.1,14.6%,13.5%,5.4%,5.9%,0.6,16.2%,25.5%
2014 Dubai SF,L vsFederer,27,36,0.8,16.6%,22.1%,22,34,0.6,14.8%,22.8%,4.7%,6.0%,1.0,17.8%,17.2%
2014 Australian Open QF,L vsWawrinka,45,60,0.8,14.3%,19.1%,38,59,0.6,13.4%,20.8%,,,0.9,16.2%,19.1%
2014 Australian Open R16,W vsFognini,33,21,1.6,21.9%,13.9%,26,19,1.4,19.7%,14.4%,,,0.5,13.2%,29.1%
2014 Australian Open R32,W vsIstomin,31,23,1.3,18.9%,14.0%,25,22,1.1,16.6%,14.6%,,,0.5,8.5%,15.9%
2014 Australian Open R64,W vsMayer,30,11,2.7,19.7%,7.2%,18,9,2.0,14.1%,7.0%,,,0.4,9.2%,25.7%
2014 Australian Open R128,W vsLacko,40,30,1.3,23.4%,17.5%,30,30,1.0,19.4%,19.4%,,,0.6,9.9%,17.0%
2013 Davis Cup RR,W vsBerdych,29,21,1.4,15.2%,11.0%,17,20,0.9,10.1%,11.9%,7.1%,3.0%,0.9,19.4%,20.4%
2013 Tour Finals F,W vsNadal,22,25,0.9,18.5%,21.0%,17,25,0.7,15.5%,22.7%,5.5%,6.4%,0.3,6.7%,25.2%
2013 Tour Finals SF,W vsWawrinka,11,18,0.6,9.9%,16.2%,9,18,0.5,8.6%,17.1%,3.8%,4.8%,0.4,15.3%,36.0%
2013 Tour Finals RR,W vsGasquet,29,41,0.7,15.0%,21.2%,23,38,0.6,13.5%,22.2%,8.2%,5.3%,0.9,14.0%,15.0%
2013 Tour Finals RR,W vsFederer,30,35,0.9,14.8%,17.2%,21,33,0.6,11.5%,18.1%,4.9%,4.9%,0.7,13.8%,21.2%
2013 Paris Masters F,W vsFerrer,34,35,1.0,22.8%,23.5%,30,33,0.9,21.3%,23.4%,12.1%,8.5%,0.5,10.1%,19.5%
2013 Paris Masters SF,W vsFederer,23,32,0.7,12.7%,17.7%,16,27,0.6,10.0%,16.9%,7.5%,2.5%,0.7,12.2%,17.7%
2013 Paris Masters QF,W vsWawrinka,20,19,1.1,17.7%,16.8%,18,19,0.9,17.0%,17.9%,9.4%,7.5%,0.6,12.4%,22.1%
2013 Paris Masters R16,W vsIsner,36,19,1.9,19.6%,10.3%,25,18,1.4,15.8%,11.4%,8.2%,7.6%,0.8,15.2%,18.5%
2013 Shanghai Masters F,W vsdel Potro,47,28,1.7,24.9%,14.8%,37,28,1.3,21.6%,16.4%,11.7%,8.8%,1.2,16.9%,14.3%
2013 Shanghai Masters SF,W vsTsonga,20,19,1.1,15.2%,14.4%,15,17,0.9,12.7%,14.4%,6.8%,5.9%,0.7,15.9%,23.5%
2013 Shanghai Masters R32,W vsGranollers,24,16,1.5,26.1%,17.4%,18,14,1.3,22.5%,17.5%,10.0%,12.5%,0.3,7.6%,22.8%
2013 Beijing F,W vsNadal,19,15,1.3,17.9%,14.2%,15,14,1.1,15.5%,14.4%,12.4%,3.1%,0.4,8.5%,22.6%
2013 US Open F,L vsNadal,46,53,0.9,20.6%,23.8%,40,51,0.8,18.8%,23.9%,,,1.4,12.1%,9.0%
2013 US Open SF,W vsWawrinka,38,46,0.8,11.5%,13.9%,29,40,0.7,9.6%,13.3%,,,0.8,17.2%,20.8%
2013 US Open QF,W vsYouzhny,32,45,0.7,15.8%,22.3%,27,44,0.6,14.2%,23.2%,,,0.5,7.4%,15.3%
2013 US Open R16,W vsGranollers,34,15,2.3,27.9%,12.3%,32,15,2.1,27.6%,12.9%,,,0.4,6.6%,16.4%
2013 US Open R32,W vsSousa,34,26,1.3,23.0%,17.6%,31,24,1.3,22.5%,17.4%,,,0.4,6.8%,18.2%
2013 US Open R64,W vsBecker,40,26,1.5,22.9%,14.9%,27,24,1.1,18.0%,16.0%,,,0.5,10.9%,20.6%
2013 US Open R128,W vsBerankis,28,9,3.1,19.9%,6.4%,18,8,2.3,14.6%,6.5%,,,0.6,11.3%,19.1%
2013 Cincinnati Masters R16,W vsGoffin,14,5,2.8,17.3%,6.2%,9,3,3.0,13.0%,4.3%,8.7%,4.3%,0.5,12.3%,24.7%
2013 Canada Masters SF,L vsNadal,25,40,0.6,13.0%,20.8%,17,33,0.5,10.1%,19.5%,5.9%,4.1%,0.7,10.9%,15.6%
2013 Canada Masters QF,W vsGasquet,26,10,2.6,31.3%,12.0%,16,10,1.6,24.6%,15.4%,15.4%,9.2%,0.6,12.0%,20.5%
2013 Canada Masters R32,W vsMayer,20,15,1.3,21.1%,15.8%,17,14,1.2,19.5%,16.1%,11.5%,8.0%,0.5,6.3%,11.6%
2013 Wimbledon F,L vsMurray,31,40,0.8,14.8%,19.0%,27,36,0.8,14.1%,18.8%,,,1.7,17.1%,10.0%
2013 Wimbledon SF,W vsdel Potro,80,48,1.7,21.7%,13.0%,58,46,1.3,17.3%,13.7%,,,1.3,13.0%,10.1%
2013 Wimbledon QF,W vsBerdych,36,13,2.8,19.1%,6.9%,20,12,1.7,12.4%,7.5%,,,1.2,16.5%,13.3%
2013 Wimbledon R16,W vsHaas,40,16,2.5,20.4%,8.2%,27,13,2.1,15.5%,7.5%,,,1.0,12.8%,13.3%
2013 Wimbledon R32,W vsChardy,38,3,12.7,25.9%,2.0%,30,2,15.0,23.4%,1.6%,,,1.3,12.2%,9.5%
2013 Wimbledon R64,W vsReynolds,41,12,3.4,21.1%,6.2%,29,12,2.4,17.2%,7.1%,,,1.3,12.9%,9.8%
2013 Wimbledon R128,W vsMayer,40,20,2.0,20.5%,10.3%,35,20,1.8,18.7%,10.7%,,,2.1,12.8%,6.2%
2013 Roland Garros SF,L vsNadal,54,75,0.7,16.1%,22.4%,49,73,0.7,15.4%,22.9%,,,1.4,18.2%,13.1%
2013 Roland Garros QF,W vsHaas,0,1,0.0,0.0%,25.0%,0,1,0.0,0.0%,25.0%,,,,0.0%,0.0%
2013 Roland Garros R16,W vsKohlschreiber,38,42,0.9,14.8%,16.3%,36,40,0.9,14.6%,16.3%,,,1.0,18.7%,18.7%
2013 Roland Garros R32,W vsDimitrov,13,22,0.6,8.4%,14.2%,11,22,0.5,7.3%,14.6%,,,0.4,11.6%,31.0%
2013 Roland Garros R64,W vsPella,29,26,1.1,19.2%,17.2%,28,24,1.2,19.6%,16.8%,,,0.3,6.6%,22.5%
2013 Roland Garros R128,W vsGoffin,26,31,0.8,12.2%,14.6%,21,31,0.7,10.6%,15.6%,,,0.8,15.0%,17.8%
2013 Monte Carlo Masters F,W vsNadal,25,15,1.7,21.6%,12.9%,23,15,1.5,20.9%,13.6%,12.7%,8.2%,0.7,14.7%,20.7%
2013 Monte Carlo Masters SF,W vsFognini,11,3,3.7,13.8%,3.8%,8,3,2.7,11.1%,4.2%,5.6%,5.6%,0.5,12.5%,23.8%
2013 Miami Masters R16,L vsHaas,9,34,0.3,8.1%,30.6%,7,33,0.2,6.5%,30.6%,3.7%,0.9%,0.8,14.4%,18.9%
2013 Miami Masters R32,W vsDevvarman,17,20,0.9,17.0%,20.0%,13,18,0.7,14.6%,20.2%,10.1%,4.5%,0.5,8.0%,16.0%
2013 Miami Masters R64,W vsRosol,18,7,2.6,19.4%,7.5%,14,7,2.0,17.5%,8.8%,13.8%,3.8%,0.8,12.9%,16.1%
2013 Indian Wells Masters SF,L vsdel Potro,34,41,0.8,16.9%,20.4%,29,39,0.7,15.5%,20.9%,10.2%,5.3%,0.6,11.4%,17.9%
2013 Indian Wells Masters R32,W vsDimitrov,7,16,0.4,6.3%,14.4%,5,13,0.4,5.3%,13.7%,3.2%,2.1%,0.6,9.9%,16.2%
2013 Dubai F,W vsBerdych,21,31,0.7,15.6%,23.0%,15,29,0.5,12.6%,24.4%,7.6%,0.8%,0.5,14.8%,28.9%
2013 Dubai SF,W vsdel Potro,31,31,1.0,20.3%,20.3%,21,30,0.7,15.6%,22.2%,10.4%,5.2%,0.8,15.7%,19.6%
