Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
20,Tomas Machac[CZE],35,51.4,62.6,5.6,3.2,9.1,65.6,67.3,53.6,58.9,77.7,36.5,8.5,3.4,29.9,48.8,21.9,40.3,238,0.54,2.6,6.8,1.04,2.7,58.7,0.54,2.6,6.7,1.05,2.8,49.6,53.3,51.1,49.7
21,Jakub Mensik[CZE],27,48.1,62.0,11.0,4.5,11.0,59.3,72.8,46.2,52.0,79.1,34.4,9.4,3.8,26.0,49.7,17.7,38.5,161,0.46,2.1,6.0,0.83,2.3,63.3,0.57,2.7,7.4,0.97,2.7,48.8,57.9,48.0,48.3
22,Ugo Humbert[FRA],35,54.3,65.6,8.1,2.1,5.9,64.2,72.6,53.2,56.5,84.5,35.4,8.2,3.9,26.5,50.4,20.5,41.1,209,0.5,2.3,6.0,0.97,2.5,65.1,0.44,2.1,5.4,0.74,1.9,50.9,30.8,55.1,52.8
23,Sebastian Korda[USA],26,46.2,63.4,9.4,2.0,5.1,60.3,72.2,50.1,52.8,78.2,34.6,7.5,3.5,26.1,48.7,18.6,35.9,153,0.52,2.5,5.9,0.9,2.1,61.7,0.57,2.7,6.4,1.05,2.5,49.0,41.7,44.3,48.2
24,Karen Khachanov[RUS],32,56.3,65.1,8.8,1.9,5.5,64.7,73.0,50.7,53.7,79.7,36.8,9.5,3.5,27.7,52.1,22.2,38.7,212,0.57,2.9,6.6,1.11,2.6,58.6,0.49,2.4,5.7,1.01,2.3,50.7,64.7,54.1,51.0
25,Alexei Popyrin[AUS],31,54.8,65.3,11.3,4.0,10.8,63.1,75.3,48.3,54.2,82.7,34.2,9.5,4.2,26.0,47.4,18.1,34.3,204,0.53,2.6,6.6,0.89,2.3,66.2,0.51,2.5,6.3,0.84,2.1,49.9,56.3,53.2,50.2
26,Alejandro Davidovich Fokina[ESP],19,15.8,60.5,5.2,3.5,10.6,67.5,66.0,49.1,55.0,76.2,34.8,10.5,3.4,26.1,47.9,17.5,36.8,114,0.48,2.3,6.0,0.84,2.2,63.5,0.65,3.1,8.2,1.14,3.0,48.0,0.0,28.0,46.8
27,Felix Auger Aliassime[CAN],26,42.3,64.7,10.4,5.8,15.1,61.9,74.7,48.5,57.1,80.4,34.4,6.7,3.1,29.7,43.6,17.6,41.7,120,0.42,2.0,4.6,0.83,1.9,59.7,0.49,2.3,5.3,0.93,2.2,49.6,50.0,45.0,49.1
28,Denis Shapovalov[CAN],24,50.0,67.8,10.2,7.3,19.1,61.6,77.2,52.7,65.1,87.0,35.0,6.6,3.5,30.4,43.9,18.1,36.4,154,0.5,2.5,6.4,0.92,2.3,69.9,0.43,2.2,5.5,0.66,1.7,51.3,46.7,55.7,52.4
29,Brandon Nakashima[USA],29,48.3,66.9,10.8,1.3,3.7,65.2,73.5,54.7,56.8,86.6,32.7,10.4,3.4,24.4,47.2,13.9,29.4,180,0.47,2.3,6.2,0.68,1.8,70.5,0.45,2.2,6.0,0.65,1.8,49.8,55.0,52.6,50.3
30,Matteo Berrettini[ITA],15,46.7,67.2,14.0,1.9,6.0,68.4,74.9,50.6,53.9,88.0,30.0,7.6,1.9,23.8,40.5,13.0,36.8,68,0.35,1.8,4.5,0.68,1.7,75.3,0.49,2.5,6.2,0.62,1.5,49.2,50.0,51.4,50.4
31,Hubert Hurkacz[POL],30,43.3,68.1,14.7,2.0,5.6,63.9,76.8,52.8,55.9,86.8,31.7,7.9,2.5,24.6,44.6,12.5,31.7,164,0.39,2.1,5.5,0.65,1.7,66.7,0.4,2.1,5.6,0.7,1.9,49.7,41.4,45.0,50.0
32,Alex Michelsen[USA],24,33.3,61.1,5.3,3.5,10.4,65.9,68.0,47.6,53.1,75.9,35.6,9.3,3.9,26.1,49.9,19.5,35.4,161,0.55,2.7,6.7,0.95,2.4,56.2,0.55,2.7,6.8,1.18,3.0,48.6,23.1,35.0,47.8
33,Sebastian Baez[ARG],23,21.7,56.8,2.2,2.6,9.7,72.9,60.5,46.8,51.9,65.8,36.1,9.2,3.9,27.8,48.4,21.4,39.2,153,0.54,2.6,6.7,1.0,2.6,58.7,0.83,3.8,9.8,1.55,4.0,46.7,28.6,30.0,43.2
34,Flavio Cobolli[ITA],32,40.6,62.1,7.3,3.7,8.5,55.9,72.0,49.6,54.2,77.9,33.0,8.0,3.8,23.6,48.0,16.4,39.1,179,0.42,2.0,5.6,0.79,2.2,66.3,0.65,3.1,8.7,1.06,2.9,48.3,41.2,40.4,47.2
35,Tallon Griekspoor[NED],33,36.4,65.7,11.1,3.7,10.5,65.1,73.2,51.7,57.8,82.9,30.1,11.5,2.8,23.0,43.4,11.6,32.5,151,0.36,1.7,4.6,0.56,1.5,64.4,0.48,2.3,6.1,0.83,2.2,48.4,36.4,40.2,47.2
36,Giovanni Mpetshi Perricard[FRA],16,56.3,69.6,20.4,7.1,19.2,63.1,79.8,52.2,64.6,87.5,26.5,9.2,2.8,22.0,34.8,8.7,37.5,48,0.23,1.2,3.0,0.44,1.1,67.9,0.39,2.0,5.3,0.66,1.7,49.0,60.0,51.2,48.9
37,Matteo Arnaldi[ITA],27,37.0,60.6,7.5,4.0,9.4,57.0,70.2,48.0,52.9,72.9,36.4,6.0,3.1,28.9,49.0,20.3,37.5,192,0.54,2.6,7.1,0.97,2.7,55.7,0.61,3.0,8.1,1.31,3.6,48.4,56.3,41.9,46.8
38,Jiri Lehecka[CZE],24,45.8,66.1,11.3,3.4,8.9,62.0,75.1,51.3,56.4,82.8,32.5,9.3,3.4,25.3,43.5,13.7,30.0,120,0.46,2.3,5.0,0.69,1.5,66.2,0.51,2.6,5.5,0.87,1.9,49.4,66.7,48.1,48.3
39,Alexandre Muller[FRA],15,40.0,59.1,3.6,1.8,4.8,63.0,64.7,49.7,52.2,71.8,36.4,10.5,3.5,26.2,50.5,21.3,33.0,112,0.64,3.1,7.5,1.03,2.5,57.8,0.67,3.2,7.7,1.36,3.3,48.1,50.0,36.1,46.6
40,Nuno Borges[POR],20,35.0,60.9,6.7,3.7,9.9,62.8,69.6,46.2,51.3,73.6,34.3,7.5,4.2,25.0,49.6,16.8,39.3,107,0.43,2.1,5.4,0.82,2.1,57.2,0.62,3.0,7.6,1.27,3.3,47.9,38.5,35.3,45.0
41,Jordan Thompson[AUS],29,51.7,64.9,8.9,1.5,3.5,58.1,72.2,54.7,56.7,79.9,34.2,7.8,4.1,26.4,46.8,16.7,36.2,163,0.46,2.3,5.6,0.82,2.0,59.0,0.49,2.4,6.0,0.99,2.4,49.6,73.3,51.4,48.3
42,Alejandro Tabilo[CHI],24,33.3,64.6,9.8,3.2,9.0,64.4,73.2,49.1,54.0,82.7,31.9,13.9,4.2,22.6,47.5,12.4,33.0,115,0.37,1.9,4.8,0.62,1.6,68.8,0.56,2.8,7.1,0.87,2.2,48.7,40.9,37.7,47.5
43,Gael Monfils[FRA],24,41.7,63.2,10.7,5.9,15.1,61.0,73.3,47.3,55.7,79.2,33.4,4.3,3.0,28.7,41.4,17.1,38.7,142,0.44,2.1,5.9,0.82,2.3,60.9,0.53,2.6,7.3,1.01,2.8,48.7,40.0,40.3,48.4
44,Lorenzo Sonego[ITA],27,25.9,64.6,8.5,2.5,7.6,66.7,71.9,49.9,54.0,81.4,30.7,5.8,2.7,24.7,41.1,10.4,27.7,137,0.37,1.9,5.1,0.52,1.4,59.6,0.46,2.3,6.1,0.92,2.5,47.7,50.0,35.6,45.7
45,Marcos Giron[USA],24,33.3,63.3,5.2,1.8,4.5,60.5,70.7,52.1,54.5,78.5,33.9,9.6,3.0,27.4,45.2,16.4,37.5,128,0.44,2.1,5.3,0.8,2.0,54.4,0.47,2.3,5.7,1.03,2.6,48.4,50.0,41.7,47.2
46,Luciano Darderi[ITA],25,32.0,61.5,6.2,3.0,7.4,58.9,68.8,51.0,55.0,77.4,33.7,10.7,4.0,26.0,48.3,16.6,35.5,138,0.47,2.3,5.5,0.82,2.0,64.7,0.64,3.2,7.6,1.12,2.7,48.3,42.9,35.0,47.1
47,Miomir Kecmanovic[SRB],25,44.0,62.8,6.1,2.6,6.9,61.8,71.0,49.5,53.2,76.1,35.2,10.5,4.0,26.7,49.7,17.7,35.1,168,0.5,2.4,6.7,0.84,2.4,52.7,0.51,2.4,6.7,1.13,3.2,48.8,57.1,42.9,46.7
48,David Goffin[BEL],17,47.1,58.9,6.4,4.6,11.6,59.9,68.4,44.7,50.5,70.4,38.5,8.8,3.6,30.1,50.7,25.2,38.1,155,0.66,3.2,9.1,1.2,3.5,61.9,0.78,3.7,10.6,1.41,4.1,48.9,44.4,44.9,47.8
49,Pedro Martinez[ESP],18,27.8,58.5,3.3,5.5,16.5,66.7,65.1,45.3,54.2,69.3,34.9,13.0,3.6,22.8,52.5,16.5,37.5,88,0.44,2.0,4.9,0.77,1.8,54.5,0.67,3.1,7.4,1.42,3.4,46.8,33.3,25.6,42.9
50,Zizou Bergs[BEL],16,37.5,61.8,9.0,3.9,10.5,62.6,69.6,48.8,54.5,76.2,37.5,5.5,3.7,29.8,50.6,21.3,37.8,127,0.56,2.7,7.9,1.02,3.0,61.9,0.62,3.0,8.7,1.13,3.3,49.6,20.0,42.6,48.7
51,Tomas Martin Etcheverry[ARG],24,33.3,63.4,9.1,2.1,5.8,64.0,71.9,48.3,51.3,78.0,34.5,8.8,3.6,25.4,49.2,17.4,33.0,179,0.53,2.6,7.5,0.87,2.5,56.2,0.5,2.5,7.0,1.09,3.1,48.9,50.0,42.6,47.6
52,Quentin Halys[FRA],7,28.6,66.2,18.4,3.6,9.0,60.1,81.1,43.8,48.1,85.6,30.1,9.5,4.4,21.3,43.5,7.7,32.0,25,0.24,1.2,3.6,0.38,1.1,73.7,0.55,2.7,8.1,0.71,2.1,48.7,40.0,33.3,46.6
53,Nicolas Jarry[CHI],17,47.1,64.7,10.7,3.1,8.3,62.4,74.9,47.9,52.2,82.0,31.7,8.5,3.5,23.8,46.6,14.0,33.0,91,0.42,2.2,5.4,0.73,1.8,63.9,0.5,2.6,6.4,0.95,2.3,48.7,50.0,43.9,48.1
54,Gabriel Diallo[CAN],7,42.9,60.8,8.5,2.4,7.5,68.3,67.8,45.8,49.5,78.2,35.4,6.9,3.5,29.1,45.7,19.0,41.3,46,0.46,2.3,6.6,0.95,2.7,61.4,0.56,2.9,8.1,1.1,3.1,48.5,25.0,45.0,48.8
55,Zhizhen Zhang[CHN],27,40.7,63.7,9.4,3.0,8.4,64.1,72.6,47.7,52.1,78.5,32.0,12.4,3.3,24.3,46.0,15.1,43.8,112,0.34,1.6,4.1,0.72,1.8,54.1,0.47,2.2,5.5,1.0,2.5,48.1,44.4,39.7,46.4
56,Roberto Bautista Agut[ESP],22,45.5,63.5,3.0,1.8,5.7,68.5,67.9,54.0,57.3,79.5,34.4,15.8,3.1,24.3,50.9,15.1,33.1,124,0.46,2.2,5.6,0.73,1.9,53.3,0.44,2.1,5.5,1.0,2.5,49.2,62.5,44.6,47.4
57,Jacob Fearnley[GBR],2,0.0,61.8,7.0,5.5,14.3,61.3,70.5,48.1,56.1,78.1,27.5,12.9,2.2,18.3,46.6,9.4,42.9,7,0.22,1.2,3.5,0.5,1.5,58.8,0.53,2.8,8.5,1.17,3.5,45.6,0.0,16.7,43.8
58,Benjamin Bonzi[FRA],4,75.0,67.7,9.4,2.1,6.2,65.9,73.9,55.8,59.4,82.1,40.6,4.6,3.1,35.7,50.4,27.3,44.1,34,0.62,3.1,8.5,1.36,3.8,56.5,0.41,2.1,5.8,0.91,2.5,53.1,33.3,63.6,55.0
59,Roberto Carballes Baena[ESP],20,20.0,59.2,3.4,3.3,8.9,63.0,64.8,49.7,54.5,66.8,32.6,9.1,2.9,23.5,47.9,12.0,27.5,91,0.44,2.0,4.6,0.56,1.3,54.4,0.73,3.3,7.5,1.51,3.4,45.9,100.0,24.4,39.1
60,Camilo Ugo Carabelli[ARG],3,0.0,48.5,3.1,7.9,18.0,55.9,58.3,36.0,43.9,47.1,37.0,5.8,4.3,24.8,55.4,22.9,47.1,17,0.49,2.4,5.7,1.14,2.7,50.0,1.06,5.1,12.0,2.57,6.0,43.0,-,0.0,34.8
61,Fabian Marozsan[HUN],25,36.0,60.2,5.6,3.1,8.8,65.1,68.2,45.3,49.7,71.8,34.5,10.7,4.3,24.1,50.1,17.1,40.2,132,0.43,2.0,5.3,0.82,2.1,56.2,0.64,3.1,8.0,1.35,3.5,47.8,66.7,36.9,44.5
62,Kei Nishikori[JPN],11,36.4,63.4,1.2,1.3,4.1,68.2,67.5,54.7,57.1,79.8,34.9,9.9,3.3,25.8,50.5,17.5,35.0,60,0.5,2.5,5.5,0.88,1.9,63.1,0.55,2.7,5.9,1.0,2.2,49.1,0.0,37.5,48.5
63,Francisco Comesana[ARG],6,33.3,62.5,7.4,2.7,7.5,63.4,69.5,50.2,54.3,77.1,33.7,5.7,4.1,28.0,42.7,15.0,39.5,38,0.38,1.9,6.3,0.75,2.5,62.7,0.61,3.0,9.8,1.1,3.7,48.2,66.7,40.0,45.4
64,Laslo Djere[SRB],7,28.6,58.7,8.2,4.5,11.2,60.0,67.6,45.3,51.1,73.1,37.7,6.4,7.0,23.9,55.3,25.3,40.0,50,0.63,2.8,7.1,1.11,2.9,68.2,0.85,3.7,9.4,1.17,3.0,48.4,0.0,27.8,49.0
65,Joao Fonseca[BRA],6,50.0,66.2,6.8,2.4,7.1,66.2,71.0,56.8,61.1,81.4,34.5,11.8,3.6,25.4,52.5,19.7,37.8,37,0.52,1.9,6.2,0.74,2.3,60.6,0.47,1.7,5.5,0.68,2.2,50.1,37.5,47.4,50.4
66,Jaume Munar[ESP],17,17.6,58.3,4.0,5.6,16.0,65.0,65.6,44.7,53.3,69.4,37.5,5.2,2.6,32.1,46.4,21.0,35.0,123,0.6,2.8,7.2,0.98,2.5,57.4,0.72,3.4,8.7,1.43,3.7,48.0,0.0,29.5,45.3
67,Juncheng Shang[CHN],25,48.0,63.2,4.7,2.9,7.6,61.2,69.0,54.2,58.6,78.2,33.7,11.4,3.4,25.0,49.0,15.8,31.0,171,0.51,2.5,6.8,0.78,2.1,58.6,0.53,2.6,7.0,1.06,2.9,48.6,64.7,47.1,46.8
68,Mattia Bellucci[ITA],6,16.7,63.5,10.4,4.3,10.7,59.9,73.8,48.1,53.9,79.8,28.8,12.2,2.1,22.1,41.8,5.6,20.8,24,0.27,1.3,4.0,0.26,0.8,71.4,0.71,3.3,10.5,0.95,3.0,47.3,100.0,31.6,42.5
69,Damir Dzumhur[BIH],1,0.0,56.5,0.0,3.2,8.0,59.7,64.9,44.0,47.8,60.0,34.9,6.3,3.2,32.6,41.2,11.1,12.5,8,0.89,4.0,8.0,0.5,1.0,42.9,0.7,3.5,7.0,2.0,4.0,45.6,-,0.0,36.8
70,Learner Tien[USA],5,80.0,62.7,3.7,2.2,6.2,65.1,67.2,54.3,57.9,78.1,36.5,10.7,3.0,25.0,58.0,21.9,43.2,37,0.51,1.8,7.4,0.76,3.2,63.6,0.6,2.1,8.8,0.76,3.2,49.6,71.4,57.1,50.0
