Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],4,100.0,66.2,10.1,3.5,8.4,57.9,75.7,53.3,58.2,87.7,44.7,6.8,4.9,36.9,57.9,35.5,48.9,45,0.73,3.2,11.3,1.57,5.5,78.9,0.58,2.7,9.5,0.57,2.0,55.3,-,85.7,62.2
2,Alexander Zverev[GER],4,100.0,71.8,16.2,3.2,10.6,69.9,78.2,56.9,63.6,93.9,41.6,5.3,2.6,39.5,45.6,28.4,33.9,56,0.84,4.0,14.0,1.36,4.8,87.5,0.48,2.3,8.0,0.29,1.0,55.9,66.7,85.7,60.9
3,Carlos Alcaraz[ESP],4,100.0,71.6,7.6,3.5,10.0,64.8,76.5,62.5,69.4,89.7,48.6,2.9,2.9,43.1,58.5,43.9,41.7,60,1.05,4.6,15.0,1.92,6.3,68.4,0.33,1.5,4.8,0.46,1.5,59.1,100.0,92.3,67.0
4,Taylor Fritz[USA],4,100.0,66.7,11.7,2.1,5.3,60.7,75.5,53.0,55.9,84.6,46.7,2.2,4.6,37.4,59.5,42.9,58.7,46,0.73,3.1,11.5,1.8,6.8,63.0,0.42,1.8,6.8,0.67,2.5,56.4,-,80.0,64.1
5,Jack Draper[GBR],8,75.0,66.1,9.9,3.6,8.6,58.0,76.5,51.7,56.5,81.0,41.4,7.4,3.3,32.1,53.8,33.3,47.1,87,0.71,3.1,10.9,1.46,5.1,52.0,0.4,1.8,6.3,0.86,3.0,53.3,100.0,64.3,57.4
6,Novak Djokovic[SRB],4,100.0,71.3,9.4,4.3,10.7,60.2,76.9,62.9,70.4,90.2,45.2,4.8,5.1,37.1,60.6,39.0,41.8,55,0.93,4.2,13.8,1.77,5.8,53.8,0.21,1.0,3.3,0.46,1.5,57.2,50.0,92.3,65.0
7,Casper Ruud[NOR],4,100.0,74.8,13.5,4.9,13.8,64.3,83.7,58.6,68.0,94.7,45.0,7.7,1.9,37.1,57.0,35.2,42.2,45,0.83,3.8,11.3,1.58,4.8,83.3,0.32,1.5,4.5,0.25,0.8,58.7,100.0,100.0,65.8
8,Alex De Minaur[AUS],4,100.0,66.7,9.1,5.9,11.3,47.7,76.7,57.5,64.9,86.9,44.4,5.0,2.8,38.7,52.3,31.7,38.8,49,0.82,3.8,12.3,1.46,4.8,70.4,0.44,2.1,6.8,0.62,2.0,54.8,75.0,84.6,59.5
9,Lorenzo Musetti[ITA],4,100.0,65.4,6.2,2.5,6.2,60.0,72.0,55.4,59.1,82.4,41.0,7.4,3.8,30.6,56.2,29.7,45.8,48,0.65,3.2,12.0,1.47,5.5,59.4,0.43,2.1,8.0,0.87,3.3,53.0,100.0,80.0,56.1
10,Holger Rune[DEN],4,75.0,67.9,11.2,3.7,8.5,56.9,78.9,53.3,58.3,88.5,37.0,4.8,3.3,28.6,49.1,18.0,26.8,41,0.67,3.2,10.3,0.85,2.8,70.8,0.39,1.8,6.0,0.54,1.8,52.2,100.0,69.2,53.3
11,Daniil Medvedev[RUS],4,100.0,66.6,9.9,5.4,14.3,61.9,76.0,51.3,59.8,86.6,43.4,5.4,4.0,34.6,58.1,35.4,46.9,49,0.75,3.3,12.3,1.53,5.8,60.9,0.34,1.5,5.8,0.6,2.3,54.4,-,80.0,61.4
12,Tommy Paul[USA],4,100.0,68.9,8.5,2.5,6.0,59.0,77.3,56.7,60.3,90.2,45.4,3.5,4.6,38.9,56.5,42.6,59.1,44,0.72,3.1,11.0,1.86,6.5,75.0,0.39,1.7,6.0,0.43,1.5,57.0,-,85.7,66.4
13,Ben Shelton[USA],4,100.0,69.6,11.6,3.1,10.7,71.2,76.5,52.5,58.7,88.9,39.7,3.4,3.6,33.5,48.7,27.1,44.2,43,0.61,2.9,10.8,1.27,4.8,77.1,0.49,2.3,8.8,0.53,2.0,53.8,100.0,80.0,58.5
14,Arthur Fils[FRA],6,66.7,65.8,8.9,1.8,5.0,64.2,74.7,49.8,52.4,81.5,38.5,4.9,4.1,31.2,49.3,25.8,39.3,61,0.66,3.1,10.2,1.2,4.0,60.5,0.47,2.2,7.2,0.85,2.8,52.1,100.0,60.0,53.5
15,Grigor Dimitrov[BUL],4,100.0,70.8,11.9,5.3,12.6,58.1,85.6,50.3,57.6,89.1,42.8,4.3,2.8,36.6,52.2,32.3,41.7,48,0.77,3.7,12.0,1.54,5.0,66.7,0.33,1.6,5.3,0.54,1.8,56.1,100.0,92.3,61.1
16,Frances Tiafoe[USA],4,100.0,66.2,10.1,3.1,7.4,58.1,77.2,50.8,54.9,86.2,37.4,12.7,4.1,26.6,54.5,21.8,40.4,47,0.54,2.6,11.8,1.06,4.8,63.6,0.38,1.8,8.3,0.67,3.0,52.3,33.3,66.7,54.0
17,Andrey Rublev[RUS],4,75.0,69.5,11.7,3.5,8.5,58.7,79.3,55.5,60.6,89.4,39.0,8.5,3.6,30.6,51.4,17.9,27.8,54,0.64,3.4,13.5,0.94,3.8,62.5,0.28,1.5,6.0,0.56,2.3,52.8,50.0,62.5,53.8
18,Francisco Cerundolo[ARG],4,75.0,65.4,6.7,4.7,12.8,63.2,72.0,54.0,62.0,84.1,36.6,5.3,4.1,32.2,43.5,23.2,42.2,45,0.55,2.6,11.3,1.12,4.8,63.9,0.44,2.1,9.0,0.76,3.3,51.3,100.0,64.7,53.7
19,Stefanos Tsitsipas[GRE],4,75.0,67.3,8.6,3.6,8.8,59.1,76.0,54.7,60.0,88.7,38.1,7.2,3.1,29.2,48.2,25.7,39.1,46,0.66,3.3,11.5,1.29,4.5,68.0,0.35,1.8,6.3,0.57,2.0,52.0,66.7,71.4,57.4
20,Tomas Machac[CZE],7,100.0,62.3,4.1,3.0,8.1,62.5,69.6,50.2,54.6,76.2,46.1,4.3,4.1,36.6,59.7,40.0,49.4,85,0.81,3.9,12.1,1.91,6.0,51.9,0.5,2.4,7.4,1.14,3.6,53.9,100.0,81.8,58.1
21,Jakub Mensik[CZE],7,71.4,64.4,9.7,4.8,10.8,55.9,75.7,50.0,56.1,83.8,37.9,10.8,5.0,27.6,54.8,22.7,39.3,56,0.58,2.8,8.0,1.1,3.1,76.5,0.69,3.4,9.7,0.8,2.3,52.1,100.0,70.0,53.6
22,Ugo Humbert[FRA],4,75.0,69.0,9.7,2.4,6.1,60.0,77.5,56.4,60.0,87.5,37.3,7.0,4.3,31.4,46.8,24.0,32.7,55,0.73,3.4,13.8,1.13,4.5,69.7,0.41,2.1,8.3,0.63,2.5,52.6,50.0,62.5,56.8
23,Sebastian Korda[USA],4,75.0,70.1,8.4,2.6,6.6,60.6,79.4,55.7,59.6,88.3,38.5,12.9,5.1,27.8,56.3,23.1,36.0,50,0.64,3.1,12.5,1.13,4.5,59.1,0.29,1.4,5.5,0.56,2.3,53.2,66.7,68.8,55.5
24,Karen Khachanov[RUS],4,75.0,66.1,9.3,3.1,8.1,61.5,74.5,52.6,57.2,84.1,38.2,4.9,4.2,28.0,53.8,25.0,37.0,54,0.68,3.4,13.5,1.25,5.0,69.8,0.52,2.7,10.8,0.81,3.3,51.9,62.5,68.8,54.9
25,Alexei Popyrin[AUS],7,57.1,69.6,14.0,3.4,9.9,65.8,77.4,54.7,60.7,86.3,35.3,8.2,5.7,27.4,47.6,22.5,51.1,45,0.44,2.1,6.4,1.1,3.3,58.8,0.33,1.6,4.9,0.67,2.0,52.0,33.3,61.9,54.4
26,Alejandro Davidovich Fokina[ESP],4,75.0,62.4,5.8,3.2,10.4,69.1,66.1,54.2,60.5,77.6,39.2,7.0,3.7,33.0,49.4,29.9,47.6,42,0.63,3.2,10.5,1.54,5.0,63.4,0.61,3.2,10.3,1.15,3.8,51.3,75.0,69.2,53.7
27,Felix Auger Aliassime[CAN],6,66.7,69.6,11.9,5.5,14.8,63.0,79.0,53.5,62.8,87.6,37.1,6.8,3.1,29.4,51.0,17.1,36.0,50,0.48,2.4,8.3,0.86,3.0,67.5,0.38,1.9,6.7,0.62,2.2,52.3,0.0,57.1,52.4
28,Denis Shapovalov[CAN],9,66.7,65.3,8.5,7.6,19.0,59.8,76.4,48.9,60.4,83.7,37.3,4.0,3.6,29.9,48.2,21.3,35.5,76,0.6,3.0,8.4,1.08,3.0,58.0,0.39,2.0,5.6,0.84,2.3,51.1,60.0,60.0,52.7
29,Brandon Nakashima[USA],7,57.1,71.8,11.9,0.7,2.3,67.8,76.8,61.4,62.8,92.3,37.3,6.5,3.8,31.7,46.4,20.7,31.6,57,0.66,3.0,8.1,0.95,2.6,79.4,0.37,1.8,4.9,0.37,1.0,54.0,33.3,63.2,57.3
30,Matteo Berrettini[ITA],4,75.0,70.4,11.9,1.6,4.2,62.9,79.3,55.2,57.7,89.7,34.8,7.1,2.5,32.2,38.7,20.0,37.5,32,0.53,2.7,8.0,1.0,3.0,77.8,0.47,2.3,6.8,0.5,1.5,52.4,100.0,75.0,54.2
31,Hubert Hurkacz[POL],4,100.0,70.1,21.0,2.8,7.4,61.8,81.6,51.4,55.6,90.7,39.6,2.0,5.1,33.0,49.0,22.2,40.0,40,0.56,2.7,10.0,1.07,4.0,63.2,0.25,1.3,4.8,0.47,1.8,54.3,100.0,80.0,57.1
32,Alex Michelsen[USA],9,55.6,60.9,4.8,2.3,7.6,69.4,65.9,49.6,53.7,71.6,38.8,9.3,4.0,31.0,50.5,28.1,50.8,63,0.55,2.4,7.0,1.23,3.6,56.6,0.66,2.9,8.4,1.27,3.7,50.4,50.0,57.7,50.0
33,Sebastian Baez[ARG],4,75.0,60.5,3.5,1.6,6.0,72.9,62.6,54.9,58.4,77.1,42.7,8.6,3.7,36.0,51.0,32.9,48.9,47,0.67,2.9,11.8,1.44,5.8,69.8,0.76,3.3,13.3,1.0,4.0,52.0,50.0,56.3,55.0
