Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
22,Ugo Humbert[FRA],42,69.0,67.6,9.4,2.4,6.8,63.9,74.0,56.3,60.4,87.6,37.0,8.1,3.7,27.5,52.1,23.1,39.4,297,0.59,2.8,7.1,1.08,2.8,68.0,0.39,1.9,4.8,0.59,1.5,52.4,23.1,64.8,55.7
23,Sebastian Korda[USA],30,63.3,65.3,11.9,2.7,6.7,60.0,74.7,51.2,54.8,81.6,37.7,8.2,4.5,28.3,53.1,23.8,41.2,199,0.58,2.7,6.6,1.11,2.7,60.7,0.47,2.2,5.4,0.86,2.1,51.1,42.9,56.8,52.7
24,Karen Khachanov[RUS],43,65.1,66.7,10.5,2.0,5.7,64.1,74.7,52.5,55.7,82.7,36.7,10.8,3.5,26.6,53.6,22.5,40.5,294,0.56,2.8,6.8,1.12,2.8,60.8,0.44,2.2,5.4,0.86,2.1,51.3,68.0,61.3,52.5
25,Alexei Popyrin[AUS],32,65.6,66.6,12.4,3.8,10.1,62.2,76.2,50.8,56.5,85.6,36.1,9.3,4.6,27.8,49.7,20.2,34.3,233,0.59,2.9,7.3,1.0,2.5,69.5,0.47,2.3,5.8,0.71,1.8,51.3,55.0,61.3,52.8
26,Alejandro Davidovich Fokina[ESP],32,50.0,63.4,6.6,3.1,9.4,66.9,69.4,51.5,56.8,80.0,37.2,9.8,3.8,27.8,50.6,22.4,41.3,213,0.54,2.7,6.7,1.1,2.8,63.6,0.55,2.7,6.8,0.99,2.5,50.3,33.3,50.0,51.3
27,Felix Auger Aliassime[CAN],30,50.0,65.3,11.7,6.0,16.0,62.1,74.1,50.9,60.6,82.7,36.6,7.3,4.1,29.5,48.5,19.9,39.3,183,0.51,2.4,6.1,0.96,2.4,62.3,0.46,2.2,5.6,0.84,2.1,50.7,33.3,50.7,51.4
28,Denis Shapovalov[CAN],33,54.5,67.5,12.4,7.5,19.3,61.0,78.6,50.2,62.2,86.7,37.7,5.5,3.8,31.5,49.1,22.4,37.6,229,0.6,3.0,6.9,1.12,2.6,65.3,0.38,1.9,4.5,0.66,1.5,52.1,33.3,55.8,54.6
29,Brandon Nakashima[USA],30,53.3,68.1,12.1,1.4,4.3,66.5,74.4,55.7,58.2,87.3,32.9,10.3,3.6,24.3,47.1,15.7,36.3,157,0.43,2.1,5.2,0.76,1.9,68.1,0.4,1.9,4.8,0.61,1.5,50.4,50.0,54.7,51.5
30,Matteo Berrettini[ITA],19,57.9,67.1,13.0,1.7,4.8,65.5,76.7,48.8,51.3,86.5,34.3,6.5,2.5,27.8,44.7,18.4,38.9,108,0.47,2.3,5.7,0.91,2.2,69.0,0.44,2.2,5.3,0.67,1.6,50.7,50.0,58.7,52.5
31,Hubert Hurkacz[POL],34,61.8,69.8,15.3,2.4,6.3,62.1,78.8,55.0,58.7,88.8,33.9,8.9,2.7,25.5,48.7,15.6,35.6,208,0.44,2.2,6.1,0.77,2.2,69.8,0.37,1.9,5.4,0.57,1.6,51.6,51.6,58.3,52.8
32,Alex Michelsen[USA],45,57.8,63.8,6.5,3.3,9.8,66.2,70.7,50.4,55.8,80.6,37.9,7.9,4.0,29.9,50.5,25.1,43.1,306,0.58,2.6,6.8,1.14,2.9,62.2,0.51,2.4,6.1,0.9,2.3,51.1,48.3,56.0,53.2
33,Sebastian Baez[ARG],19,26.3,57.3,2.5,2.5,8.8,71.3,61.0,48.2,52.9,66.7,36.3,10.2,3.9,26.7,49.3,18.8,35.0,120,0.54,2.4,6.3,0.86,2.2,57.6,0.79,3.5,9.1,1.49,3.8,47.0,75.0,32.7,42.5
34,Flavio Cobolli[ITA],37,59.5,61.6,6.9,4.3,9.5,54.5,72.1,49.1,54.2,76.8,35.8,7.6,4.3,26.1,50.4,20.8,41.4,239,0.5,2.4,6.5,0.98,2.7,65.2,0.67,3.1,8.5,1.08,2.9,49.1,70.6,51.5,48.7
35,Tallon Griekspoor[NED],40,52.5,68.0,12.5,3.7,11.0,65.8,76.6,51.4,57.8,86.0,31.0,11.5,3.2,23.6,44.3,13.5,38.1,181,0.35,1.8,4.5,0.68,1.7,63.4,0.38,1.9,4.9,0.7,1.8,49.6,50.0,51.5,49.6
36,Giovanni Mpetshi Perricard[FRA],16,50.0,70.8,24.4,7.9,20.4,61.1,81.7,53.6,67.3,90.1,24.9,10.4,2.9,20.1,32.7,6.6,35.1,37,0.19,1.0,2.3,0.34,0.8,64.9,0.28,1.5,3.6,0.53,1.3,48.7,56.3,47.4,48.8
37,Matteo Arnaldi[ITA],33,54.5,62.3,8.5,3.7,8.4,56.4,72.0,49.8,54.4,78.0,36.5,5.2,2.9,29.8,47.5,21.1,38.6,233,0.55,2.7,7.1,1.03,2.7,58.5,0.53,2.6,6.9,1.09,2.9,49.6,61.1,54.0,49.7
38,Jiri Lehecka[CZE],44,59.1,65.7,10.9,3.5,9.1,61.2,74.7,51.4,56.5,82.9,34.8,8.1,3.1,27.8,46.2,18.5,36.0,278,0.51,2.5,6.3,0.9,2.3,66.9,0.52,2.5,6.3,0.83,2.1,50.3,63.2,55.0,50.6
39,Alexandre Muller[FRA],21,42.9,62.2,5.4,2.4,6.9,65.2,68.7,50.1,53.8,75.8,37.1,11.4,4.1,26.7,53.0,23.6,44.0,134,0.54,2.6,6.4,1.16,2.8,57.6,0.57,2.8,6.9,1.2,2.9,50.0,45.5,45.1,49.8
40,Nuno Borges[POR],29,44.8,62.7,8.0,4.0,10.1,60.9,71.4,49.1,54.6,75.7,37.2,7.8,4.4,26.4,53.9,19.9,36.0,203,0.55,2.7,7.0,0.96,2.5,56.7,0.56,2.7,7.0,1.16,3.0,49.7,52.9,46.1,47.6
41,Jordan Thompson[AUS],44,63.6,66.0,10.1,1.4,3.5,59.7,74.3,53.7,55.7,81.9,37.5,6.6,4.4,30.1,49.4,21.9,39.1,297,0.56,2.7,6.8,1.05,2.6,64.3,0.51,2.4,6.1,0.87,2.2,51.4,75.0,60.9,51.9
