Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
21,Jakub Mensik[CZE],5,40.0,63.4,12.4,3.9,10.3,62.0,76.4,42.3,47.1,82.8,33.2,6.7,3.0,23.6,49.3,13.3,47.1,17,0.28,1.4,3.4,0.67,1.6,66.7,0.52,2.5,6.0,0.83,2.0,49.0,100.0,50.0,47.5
22,Ugo Humbert[FRA],7,71.4,62.7,6.7,2.1,6.6,68.0,67.2,53.3,57.0,76.6,38.2,6.9,3.6,28.5,57.6,27.3,35.0,60,0.78,3.5,8.6,1.24,3.0,48.6,0.45,2.1,5.0,1.06,2.6,50.4,100.0,64.7,51.9
23,Sebastian Korda[USA],6,83.3,67.2,9.9,2.0,5.0,60.5,78.4,50.0,52.6,85.3,39.0,5.3,5.1,25.6,57.9,24.6,40.0,40,0.62,2.9,6.7,1.14,2.7,56.5,0.34,1.6,3.8,0.71,1.7,52.9,33.3,71.4,55.6
24,Karen Khachanov[RUS],7,71.4,68.5,7.4,0.6,2.0,69.1,72.8,59.0,60.2,85.5,39.0,12.3,3.1,25.7,60.5,30.9,41.5,41,0.75,3.2,5.9,1.31,2.4,63.6,0.4,1.7,3.1,0.62,1.1,53.7,-,69.2,58.2
25,Alexei Popyrin[AUS],2,100.0,66.5,8.1,4.3,11.3,61.5,73.7,54.8,61.8,84.6,41.5,6.5,4.0,31.9,55.6,22.2,22.2,27,1.0,5.4,13.5,1.2,3.0,66.7,0.46,2.4,6.0,0.8,2.0,52.6,100.0,80.0,52.8
26,Alejandro Davidovich Fokina[ESP],3,0.0,58.2,2.3,3.8,12.1,69.0,61.9,50.0,56.9,71.0,29.6,15.8,2.0,23.1,40.0,8.8,37.5,8,0.24,1.1,2.7,0.43,1.0,69.0,0.94,4.1,9.7,1.29,3.0,44.5,0.0,14.3,38.5
27,Felix Auger Aliassime[CAN],5,40.0,65.8,12.8,4.8,13.9,65.8,71.1,55.5,64.4,85.9,35.5,5.7,3.0,31.6,43.1,18.0,33.3,33,0.54,2.8,6.6,0.92,2.2,64.0,0.39,2.1,5.0,0.75,1.8,50.5,0.0,41.7,52.8
28,Denis Shapovalov[CAN],3,33.3,72.3,10.3,6.7,19.5,65.6,81.0,55.8,69.4,94.4,33.2,12.2,3.1,28.9,42.7,13.5,33.3,15,0.41,2.5,5.0,0.83,1.7,81.8,0.31,1.8,3.7,0.33,0.7,51.2,33.3,50.0,53.4
29,Brandon Nakashima[USA],2,50.0,71.2,11.0,3.4,11.1,69.2,76.2,60.0,67.5,91.3,34.0,4.7,2.0,28.4,45.8,13.6,30.0,10,0.45,2.5,5.0,0.75,1.5,75.0,0.35,2.0,4.0,0.5,1.0,52.4,0.0,50.0,53.3
30,Matteo Berrettini[ITA],5,80.0,73.9,11.2,3.4,12.1,71.7,81.8,53.8,61.3,94.3,32.8,5.4,3.1,27.4,42.0,7.7,17.4,23,0.44,2.3,4.6,0.4,0.8,84.2,0.36,1.9,3.8,0.3,0.6,52.4,100.0,80.0,51.4
31,Hubert Hurkacz[POL],9,44.4,65.8,10.7,2.2,5.8,61.9,75.1,50.9,54.0,83.3,36.8,6.6,3.6,30.3,49.3,20.0,32.9,70,0.61,3.0,7.8,1.0,2.6,71.0,0.57,3.0,7.7,0.87,2.2,51.1,40.0,56.5,52.3
