Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner[ITA],25,92.0,69.9,9.1,2.7,6.8,60.5,78.5,56.5,60.7,89.7,42.2,6.8,3.8,33.2,58.2,30.7,46.4,265,0.66,3.0,10.6,1.41,4.9,70.4,0.35,1.6,5.7,0.48,1.7,55.4,83.3,83.9,60.4
2,Alexander Zverev[GER],22,81.8,69.7,11.8,2.8,10.2,72.3,76.8,51.1,57.0,87.8,38.5,5.4,2.4,31.7,50.0,24.5,39.1,266,0.63,3.1,12.1,1.2,4.7,66.7,0.37,1.8,7.1,0.6,2.4,53.3,65.0,70.1,56.1
3,Carlos Alcaraz[ESP],21,90.5,66.8,6.2,2.8,8.3,65.5,71.9,57.2,62.4,83.2,42.5,3.9,3.4,36.1,54.2,33.3,44.3,262,0.75,3.4,12.5,1.53,5.5,57.6,0.39,1.8,6.6,0.78,2.8,54.2,81.8,76.3,58.4
4,Taylor Fritz[USA],21,81.0,69.3,12.3,2.4,6.3,61.7,77.7,55.9,59.7,87.6,37.9,6.9,4.2,28.3,53.4,23.9,41.7,218,0.57,2.7,10.4,1.11,4.3,66.0,0.37,1.8,6.9,0.6,2.3,53.2,54.5,67.1,56.3
5,Jack Draper[GBR],11,63.6,63.8,9.7,4.8,10.7,54.7,75.0,50.3,56.3,81.2,40.2,7.8,4.3,31.6,52.7,31.7,50.0,116,0.63,2.9,10.5,1.45,5.3,62.4,0.5,2.3,8.5,0.88,3.2,52.3,25.0,60.0,56.6
6,Novak Djokovic[SRB],19,84.2,68.3,9.3,3.5,9.7,63.9,75.8,54.9,60.9,87.0,40.3,7.3,3.1,33.0,52.7,27.0,39.7,214,0.68,3.1,11.3,1.25,4.5,63.5,0.36,1.7,6.1,0.62,2.2,54.0,70.0,73.5,57.4
7,Casper Ruud[NOR],14,71.4,66.7,9.4,3.6,10.5,65.9,74.1,52.5,58.7,82.9,38.7,9.6,4.0,29.9,52.7,23.3,34.9,172,0.67,3.1,12.3,1.09,4.3,66.7,0.51,2.4,9.4,0.8,3.1,52.3,80.0,61.8,53.1
8,Alex De Minaur[AUS],17,82.4,64.4,6.1,4.1,8.7,52.5,71.3,56.7,62.1,81.5,44.7,4.8,4.6,37.1,55.0,36.1,43.8,226,0.82,3.8,13.3,1.68,5.8,64.0,0.51,2.4,8.2,0.85,2.9,54.0,66.7,72.9,58.7
9,Lorenzo Musetti[ITA],14,71.4,65.0,5.0,2.1,5.9,63.6,71.0,54.3,57.8,80.5,38.1,6.4,3.3,30.0,51.1,23.2,39.9,163,0.58,2.8,11.6,1.12,4.6,56.7,0.45,2.2,9.1,0.95,3.9,51.3,66.7,60.3,52.0
10,Holger Rune[DEN],11,63.6,66.2,8.1,3.9,9.0,57.0,74.4,55.4,60.9,84.4,34.9,8.6,3.3,26.7,47.8,17.4,32.1,109,0.54,2.6,9.9,0.83,3.2,68.4,0.49,2.3,8.9,0.74,2.8,50.6,57.1,57.1,50.7
11,Daniil Medvedev[RUS],22,81.8,64.6,9.2,5.2,14.0,62.6,73.7,49.3,57.3,81.6,39.6,5.7,3.3,31.8,51.9,27.6,44.4,243,0.62,2.9,11.0,1.3,4.9,61.3,0.47,2.2,8.5,0.87,3.3,52.1,78.6,67.5,54.7
