Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
24,Karen Khachanov[RUS],12,66.7,64.8,7.2,1.9,5.4,64.0,72.4,51.3,54.2,82.1,39.4,5.0,3.8,33.6,49.1,25.2,44.3,88,0.57,2.8,7.3,1.26,3.3,61.1,0.46,2.3,6.0,0.9,2.3,51.8,50.0,64.5,53.7
25,Alexei Popyrin[AUS],12,33.3,62.8,8.7,3.7,10.1,63.3,70.1,50.3,56.0,77.4,32.9,7.3,3.0,26.3,42.9,16.3,37.3,59,0.44,2.0,4.9,0.76,1.8,55.2,0.5,2.3,5.6,1.03,2.5,48.0,25.0,37.9,46.6
26,Alejandro Davidovich Fokina[ESP],7,28.6,60.2,3.4,2.5,8.4,70.5,62.8,53.9,58.9,73.2,38.5,6.6,2.7,33.6,48.6,25.0,38.1,63,0.66,3.2,9.0,1.2,3.4,57.4,0.63,3.1,8.7,1.3,3.7,49.5,20.0,40.0,49.2
27,Felix Auger Aliassime[CAN],25,68.0,67.3,9.3,4.6,12.4,62.8,76.9,51.0,58.2,85.4,39.1,3.9,3.0,34.2,48.4,25.5,42.6,162,0.6,2.7,6.5,1.17,2.8,64.9,0.42,1.9,4.6,0.68,1.6,53.0,60.0,64.4,55.6
28,Denis Shapovalov[CAN],11,45.5,62.5,7.5,7.8,18.8,58.7,72.0,49.0,60.4,81.2,34.3,3.7,2.6,32.6,37.7,18.7,44.4,63,0.42,2.1,5.7,0.93,2.5,69.6,0.62,3.1,8.4,0.93,2.5,48.9,42.9,50.0,49.8
29,Brandon Nakashima[USA],10,50.0,68.7,9.7,1.4,4.0,64.3,74.9,57.7,60.1,90.5,34.4,6.8,3.8,28.7,43.2,14.8,24.0,75,0.61,3.0,7.5,0.72,1.8,77.8,0.43,2.2,5.4,0.48,1.2,51.6,37.5,52.0,53.2
30,Matteo Berrettini[ITA],16,93.8,73.0,10.4,2.1,7.7,73.1,79.8,54.6,59.1,92.4,37.7,4.8,2.7,32.3,47.6,22.5,39.0,100,0.58,2.9,6.3,1.15,2.4,72.9,0.28,1.4,3.0,0.38,0.8,54.1,90.9,88.2,57.3
31,Hubert Hurkacz[POL],18,77.8,67.2,13.0,1.2,3.4,63.3,75.3,53.4,55.2,86.9,37.9,4.2,3.0,33.1,46.1,21.1,40.0,125,0.53,2.6,6.9,1.04,2.8,70.1,0.44,2.2,5.9,0.67,1.8,52.3,69.2,66.7,54.5
32,Alex Michelsen[USA],9,33.3,57.0,3.3,2.9,10.3,71.6,59.9,49.5,55.2,63.1,36.0,5.8,3.3,30.9,43.3,18.0,41.7,48,0.43,2.0,5.3,0.83,2.2,52.3,0.77,3.6,9.6,1.71,4.6,47.0,75.0,37.5,40.5
33,Sebastian Baez[ARG],37,70.3,62.1,3.1,2.3,8.1,72.0,65.6,52.9,57.6,77.5,41.6,4.4,2.8,36.0,51.3,31.6,43.0,335,0.73,3.5,9.1,1.5,3.9,63.8,0.62,2.9,7.6,1.06,2.8,51.9,50.0,63.5,54.5
34,Flavio Cobolli[ITA],18,55.6,64.4,7.0,3.4,8.2,57.9,73.9,51.3,55.9,82.6,38.5,3.8,3.4,30.3,51.8,24.2,38.7,142,0.63,3.0,7.9,1.17,3.1,65.2,0.5,2.4,6.4,0.85,2.2,51.4,10.0,53.2,53.6
35,Tallon Griekspoor[NED],16,50.0,65.0,7.7,4.2,11.1,61.9,72.0,53.8,60.4,80.0,36.0,6.2,3.5,29.9,48.1,18.7,40.2,97,0.46,2.1,6.1,0.85,2.4,60.9,0.51,2.4,6.9,0.93,2.7,50.6,42.9,50.0,49.8
36,Giovanni Mpetshi Perricard[FRA],5,80.0,65.4,12.3,3.2,9.9,67.3,72.2,51.3,56.9,79.2,36.0,5.5,4.7,29.0,47.7,20.8,44.1,34,0.47,2.3,6.8,1.0,3.0,62.8,0.56,2.9,8.6,1.07,3.2,50.6,100.0,66.7,51.0
37,Matteo Arnaldi[ITA],17,52.9,60.1,8.0,3.9,9.0,56.5,69.7,47.7,52.5,73.9,40.3,3.6,2.5,35.4,49.1,28.8,42.0,143,0.69,3.3,8.4,1.4,3.5,63.8,0.72,3.5,8.9,1.28,3.2,50.3,42.9,53.5,51.6
38,Jiri Lehecka[CZE],5,80.0,76.1,10.7,2.1,6.8,68.4,86.3,54.1,58.0,97.6,35.9,6.7,2.2,29.8,47.8,17.1,33.3,21,0.51,3.0,4.2,1.0,1.4,83.3,0.15,0.9,1.2,0.14,0.2,54.6,100.0,100.0,57.3
39,Alexandre Muller[FRA],14,50.0,60.5,3.1,2.7,7.0,62.2,66.6,50.5,54.4,73.5,39.4,8.2,4.1,27.7,55.2,24.8,33.3,117,0.75,3.7,8.4,1.22,2.8,54.9,0.59,2.8,6.5,1.28,2.9,49.5,60.0,46.9,49.0
40,Nuno Borges[POR],17,64.7,61.5,3.9,2.9,8.2,64.5,67.4,50.9,55.5,74.1,40.0,4.1,3.3,32.9,52.3,24.6,43.8,112,0.56,2.7,6.6,1.2,2.9,59.1,0.63,3.1,7.5,1.27,3.1,50.6,70.0,56.1,49.5
41,Jordan Thompson[AUS],8,37.5,58.9,4.4,1.7,4.4,61.1,64.3,50.4,52.7,71.9,33.5,3.7,2.6,28.6,43.5,13.3,26.5,49,0.5,2.5,6.1,0.65,1.6,71.3,0.98,4.7,11.8,1.35,3.4,47.0,66.7,35.0,42.3
42,Alejandro Tabilo[CHI],21,52.4,63.9,7.1,2.4,6.8,64.9,72.3,48.4,51.9,81.5,37.0,9.4,3.7,29.3,51.9,22.2,39.4,137,0.56,2.7,6.5,1.06,2.6,62.9,0.5,2.4,5.9,0.9,2.2,50.5,50.0,54.9,52.2
43,Gael Monfils[FRA],9,33.3,58.7,6.4,3.6,9.5,62.2,65.2,47.8,52.8,69.7,34.9,4.0,2.7,29.5,43.0,21.4,45.3,53,0.47,2.3,5.9,1.04,2.7,49.2,0.6,2.8,7.2,1.43,3.7,46.8,0.0,34.8,45.2
44,Lorenzo Sonego[ITA],14,42.9,66.1,5.3,2.8,8.2,65.9,72.3,54.2,59.0,83.1,32.9,5.0,2.3,26.1,45.2,15.2,34.6,81,0.44,2.2,5.8,0.76,2.0,62.0,0.45,2.1,5.6,0.81,2.1,49.2,33.3,45.9,48.5
45,Marcos Giron[USA],10,30.0,60.3,5.7,1.5,3.7,58.7,68.3,49.0,50.9,74.8,36.2,5.9,4.2,29.4,45.7,21.3,35.1,77,0.61,3.0,7.7,1.04,2.7,60.5,0.64,3.1,8.1,1.23,3.2,48.5,0.0,38.5,48.0
46,Luciano Darderi[ITA],31,64.5,63.1,6.2,2.3,5.7,58.9,69.6,53.8,57.0,78.6,40.1,6.6,3.5,32.0,53.3,27.6,44.5,211,0.62,2.9,6.8,1.27,3.0,61.9,0.56,2.7,6.4,1.01,2.4,51.7,60.0,56.8,53.4
47,Miomir Kecmanovic[SRB],13,46.2,61.7,5.6,2.0,5.7,64.3,68.9,48.6,51.5,74.5,37.2,6.8,3.0,30.1,50.8,23.3,39.1,87,0.6,2.7,6.7,1.06,2.6,55.4,0.57,2.6,6.4,1.16,2.8,49.4,0.0,46.9,48.8
48,David Goffin[BEL],6,33.3,63.1,5.3,3.9,8.4,54.2,74.5,49.6,54.1,76.9,35.4,9.1,2.4,28.6,47.3,15.9,34.2,38,0.46,2.2,6.3,0.76,2.2,47.1,0.44,2.0,5.7,1.06,3.0,49.0,0.0,35.3,45.6
49,Pedro Martinez[ESP],23,60.9,60.8,1.7,4.1,14.0,70.8,66.2,47.8,55.6,75.2,39.7,7.6,3.4,32.2,52.0,25.4,38.7,194,0.66,3.2,8.4,1.23,3.3,60.8,0.63,3.1,8.2,1.21,3.2,50.3,66.7,54.1,50.4
50,Zizou Bergs[BEL],9,33.3,63.2,8.7,3.5,10.1,65.5,69.2,51.7,57.5,77.1,39.0,4.2,3.3,31.3,52.8,22.4,36.1,83,0.62,3.0,9.2,1.07,3.3,64.3,0.64,3.0,9.3,1.07,3.3,50.8,50.0,46.4,49.4
51,Tomas Martin Etcheverry[ARG],30,60.0,62.9,5.7,1.9,5.6,65.2,69.2,51.1,54.2,79.2,39.6,5.1,3.4,33.0,50.5,27.3,39.5,233,0.69,3.2,7.8,1.28,3.1,63.5,0.57,2.6,6.3,0.96,2.3,51.0,45.5,56.9,53.0
52,Quentin Halys[FRA],5,80.0,68.2,13.7,7.7,14.8,48.2,83.5,54.0,63.4,89.5,32.8,4.4,4.7,23.3,46.8,14.8,29.6,27,0.5,2.5,5.4,0.73,1.6,68.4,0.33,1.7,3.8,0.55,1.2,51.1,75.0,72.7,53.2
53,Nicolas Jarry[CHI],18,50.0,63.8,8.7,2.2,6.0,63.7,70.3,52.4,55.7,81.3,34.4,4.5,3.0,27.5,46.5,17.4,33.6,113,0.52,2.6,6.3,0.86,2.1,68.2,0.59,2.9,7.2,0.93,2.3,49.2,40.0,45.5,49.4
54,Gabriel Diallo[CAN],1,0.0,53.4,7.9,2.6,9.4,72.3,58.0,41.5,45.8,76.9,52.8,0.5,1.4,55.3,46.8,30.8,57.1,14,0.54,2.8,14.0,1.6,8.0,66.7,0.69,3.6,18.0,1.2,6.0,53.1,0.0,40.0,53.8
55,Zhizhen Zhang[CHN],16,56.3,63.7,7.5,2.4,6.3,62.5,70.8,51.8,55.3,78.3,36.9,7.5,2.7,28.9,49.5,22.0,44.0,91,0.5,2.3,5.7,1.03,2.5,56.7,0.5,2.3,5.6,1.0,2.4,50.4,100.0,53.8,50.0
56,Roberto Bautista Agut[ESP],10,50.0,61.6,2.4,1.8,5.6,67.8,64.9,54.8,58.1,75.4,39.3,7.4,2.2,32.9,49.8,25.0,46.2,65,0.54,2.6,6.5,1.2,3.0,53.8,0.53,2.6,6.5,1.2,3.0,50.4,66.7,48.0,50.4
58,Benjamin Bonzi[FRA],1,0.0,51.9,0.0,0.0,0.0,61.5,65.6,30.0,30.0,55.6,29.3,1.7,1.7,25.6,36.8,11.1,16.7,6,0.67,3.0,6.0,0.5,1.0,33.3,0.67,3.0,6.0,2.0,4.0,40.0,-,0.0,33.3
59,Roberto Carballes Baena[ESP],26,53.8,61.2,1.8,2.3,7.4,68.3,65.1,52.8,57.0,74.2,39.4,5.0,3.8,32.7,50.4,24.8,38.3,196,0.65,3.0,7.5,1.15,2.9,58.9,0.63,2.9,7.3,1.2,3.0,50.2,55.6,49.2,49.4
60,Camilo Ugo Carabelli[ARG],6,33.3,55.1,2.8,3.8,9.9,61.9,65.2,38.7,43.0,65.2,39.4,3.1,4.1,28.6,53.9,27.3,60.0,30,0.45,2.3,5.0,1.38,3.0,70.1,1.17,5.9,12.8,1.77,3.8,48.2,50.0,38.5,46.2
61,Fabian Marozsan[HUN],13,38.5,60.6,3.7,2.7,7.2,63.3,67.1,49.4,53.2,71.5,37.0,5.8,3.3,29.0,50.6,20.3,38.7,75,0.52,2.4,5.8,0.94,2.2,48.8,0.56,2.6,6.2,1.32,3.2,48.9,66.7,41.9,46.0
62,Kei Nishikori[JPN],3,33.3,51.9,0.3,1.7,6.5,73.6,52.1,51.1,54.7,71.1,39.8,8.3,3.4,34.4,55.4,15.2,28.0,25,0.54,2.8,8.3,0.78,2.3,48.0,0.56,2.8,8.3,1.44,4.3,46.1,50.0,33.3,42.9
63,Francisco Comesana[ARG],4,0.0,57.0,4.2,3.0,8.2,63.0,63.5,45.9,50.0,60.5,35.4,3.8,2.8,32.3,41.2,18.2,33.3,24,0.55,2.4,6.0,0.8,2.0,46.9,0.74,3.2,8.0,1.7,4.3,45.8,0.0,20.0,39.1
64,Laslo Djere[SRB],12,33.3,62.8,4.6,2.2,6.0,63.3,69.4,51.3,54.6,77.9,36.5,4.2,2.7,29.8,49.2,21.3,42.9,70,0.5,2.4,5.8,1.03,2.5,60.8,0.56,2.7,6.6,1.07,2.6,49.8,42.9,41.4,49.5
65,Joao Fonseca[BRA],10,50.0,62.1,3.3,3.1,8.3,63.0,66.1,55.2,60.2,75.9,39.6,3.2,2.3,32.9,55.9,28.2,42.3,78,0.67,3.3,7.8,1.38,3.3,50.9,0.49,2.4,5.7,1.17,2.8,50.8,60.0,54.2,51.9
66,Jaume Munar[ESP],23,43.5,59.6,3.6,4.5,13.3,66.2,64.8,49.4,57.0,70.6,42.4,3.0,2.6,38.4,49.4,29.9,38.2,199,0.78,3.7,8.7,1.41,3.3,59.8,0.73,3.4,8.0,1.37,3.2,50.8,50.0,48.1,50.2
67,Juncheng Shang[CHN],4,25.0,59.2,0.9,2.4,6.8,65.2,63.5,51.3,55.0,66.7,36.7,4.2,2.0,30.8,46.3,18.0,27.3,33,0.66,3.3,8.3,0.9,2.3,55.6,0.75,3.6,9.0,1.6,4.0,47.6,66.7,30.0,41.8
68,Mattia Bellucci[ITA],1,0.0,66.0,11.1,7.2,17.5,58.8,84.4,39.7,48.1,84.0,31.1,9.3,1.3,23.2,40.6,8.0,66.7,3,0.12,0.6,3.0,0.4,2.0,69.2,0.52,2.6,13.0,0.8,4.0,48.7,100.0,40.0,46.0
