Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
45,Marcos Giron[USA],10,60.0,65.2,8.3,1.6,4.1,60.3,73.5,52.5,54.8,82.4,34.4,8.7,3.3,26.3,48.7,17.6,32.8,64,0.54,2.6,6.4,0.84,2.1,58.0,0.42,2.0,5.0,0.84,2.1,49.6,75.0,56.0,50.0
46,Luciano Darderi[ITA],9,55.6,62.8,6.0,1.9,4.9,61.3,68.5,53.7,56.5,74.3,38.0,8.8,3.3,29.3,50.8,22.2,43.1,51,0.52,2.4,5.7,1.05,2.4,56.7,0.59,2.9,6.7,1.24,2.9,50.3,100.0,47.6,48.5
47,Miomir Kecmanovic[SRB],9,33.3,64.7,5.5,2.1,5.5,61.3,69.4,57.3,60.6,83.5,32.8,10.7,3.1,23.2,50.2,13.8,33.3,48,0.41,2.1,5.3,0.7,1.8,63.5,0.45,2.3,5.8,0.83,2.1,49.0,16.7,39.1,48.5
48,David Goffin[BEL],6,50.0,61.0,4.3,3.0,8.2,63.0,68.3,48.6,53.0,76.7,35.7,10.6,1.5,26.3,50.7,18.0,26.8,41,0.67,3.2,6.8,0.85,1.8,57.6,0.55,2.5,5.5,1.08,2.3,48.4,100.0,46.2,47.1
49,Pedro Martinez[ESP],8,75.0,60.7,4.4,4.4,14.1,68.9,68.1,44.5,51.8,72.9,40.0,8.4,1.9,33.9,51.1,28.4,32.9,82,0.86,4.3,10.3,1.42,3.4,60.6,0.69,3.5,8.3,1.37,3.3,50.2,66.7,63.2,50.8
50,Zizou Bergs[BEL],5,40.0,60.9,5.0,3.8,9.4,59.2,70.0,47.8,52.8,75.0,36.7,3.3,4.2,28.6,53.2,20.4,36.7,30,0.56,2.7,6.0,1.0,2.2,67.5,0.77,3.6,8.0,1.18,2.6,48.9,-,45.5,47.2
51,Tomas Martin Etcheverry[ARG],8,75.0,63.1,8.5,2.1,6.2,65.4,72.9,44.6,47.5,82.6,39.2,5.2,1.8,33.7,48.5,29.1,42.4,59,0.69,3.3,7.4,1.39,3.1,66.7,0.52,2.5,5.6,0.83,1.9,51.2,33.3,66.7,55.8
52,Quentin Halys[FRA],3,66.7,66.7,17.0,7.6,17.2,56.1,81.8,47.4,57.3,90.0,35.8,8.0,4.0,25.3,54.0,17.9,41.2,17,0.44,2.1,5.7,0.88,2.3,77.8,0.45,2.3,6.0,0.5,1.3,50.9,0.0,50.0,54.4
53,Nicolas Jarry[CHI],7,85.7,69.8,14.3,2.0,5.9,65.8,79.0,52.2,55.4,88.5,35.8,8.0,2.4,27.3,50.9,20.0,35.8,53,0.56,2.9,7.6,1.06,2.7,64.5,0.32,1.7,4.4,0.61,1.6,52.5,62.5,72.2,54.5
54,Gabriel Diallo[CAN],1,100.0,73.1,11.9,3.0,10.5,71.6,83.3,47.4,52.9,100.0,32.9,4.3,1.4,38.3,21.7,9.1,25.0,4,0.36,2.0,4.0,0.5,1.0,100.0,0.18,1.0,2.0,0.0,0.0,52.6,100.0,100.0,54.5
55,Zhizhen Zhang[CHN],6,83.3,69.3,9.4,3.2,8.8,63.4,77.3,55.6,61.0,90.0,38.1,10.2,5.2,27.3,54.3,23.5,44.4,36,0.53,2.6,6.0,1.14,2.7,66.7,0.3,1.5,3.5,0.5,1.2,53.3,75.0,78.6,57.2
56,Roberto Bautista Agut[ESP],10,30.0,61.1,3.0,2.0,6.6,69.6,65.6,50.7,54.3,71.6,33.2,17.5,2.6,25.5,45.4,15.7,38.3,47,0.41,2.0,4.7,0.75,1.8,45.9,0.53,2.5,6.1,1.38,3.3,47.1,33.3,33.3,43.7
57,Jacob Fearnley[GBR],1,0.0,54.5,1.3,7.8,17.1,54.5,64.3,42.9,51.7,72.7,27.3,16.4,1.8,15.8,52.9,10.0,100.0,1,0.1,0.5,1.0,0.5,1.0,70.0,0.91,5.0,10.0,1.5,3.0,43.2,0.0,0.0,42.9
58,Benjamin Bonzi[FRA],1,100.0,76.4,12.7,0.0,0.0,70.9,84.6,56.3,56.3,100.0,37.1,9.7,6.5,31.8,50.0,20.0,40.0,5,0.5,2.5,5.0,1.0,2.0,100.0,0.1,0.5,1.0,0.0,0.0,55.6,-,100.0,60.0
59,Roberto Carballes Baena[ESP],10,40.0,62.8,3.1,3.2,8.5,62.2,69.5,51.7,56.5,77.3,36.1,5.9,2.8,29.1,46.4,15.6,30.4,56,0.51,2.4,5.6,0.74,1.7,63.2,0.62,3.0,6.8,1.09,2.5,49.1,33.3,39.1,46.6
60,Camilo Ugo Carabelli[ARG],2,0.0,48.0,4.1,7.4,21.6,65.5,56.7,31.4,40.0,47.6,40.9,1.5,5.3,27.4,64.6,28.6,46.2,13,0.62,3.3,6.5,1.5,3.0,56.0,1.19,6.3,12.5,2.75,5.5,44.6,-,0.0,38.1
61,Fabian Marozsan[HUN],9,33.3,62.1,5.4,2.4,7.2,67.0,69.2,47.6,51.3,74.7,32.3,10.7,3.3,24.5,47.9,15.2,46.9,32,0.32,1.5,3.6,0.71,1.7,56.1,0.58,2.7,6.3,1.19,2.8,48.0,100.0,38.1,44.9
62,Kei Nishikori[JPN],2,100.0,63.1,2.5,4.1,11.4,63.9,69.2,52.3,59.0,83.3,47.5,5.9,4.0,40.4,56.8,50.0,75.0,12,0.67,3.0,6.0,2.25,4.5,75.0,0.67,3.0,6.0,0.75,1.5,56.1,-,100.0,66.7
64,Laslo Djere[SRB],7,14.3,61.1,6.5,1.8,4.9,63.8,67.5,49.7,52.3,74.7,32.1,5.0,1.2,26.8,43.0,15.2,41.4,29,0.37,1.8,4.1,0.75,1.7,58.3,0.61,3.0,6.9,1.25,2.9,46.9,25.0,25.0,44.9
65,Joao Fonseca[BRA],2,100.0,66.1,4.0,1.6,4.8,66.1,67.1,64.3,67.5,85.0,41.8,4.1,6.6,29.5,63.6,35.0,53.8,13,0.65,3.3,6.5,1.75,3.5,40.0,0.25,1.3,2.5,0.75,1.5,54.1,100.0,100.0,60.0
66,Jaume Munar[ESP],4,50.0,58.8,2.9,3.2,8.6,62.9,63.5,50.9,55.7,68.8,44.1,5.1,2.2,36.7,58.7,34.8,57.1,28,0.61,2.8,7.0,1.6,4.0,68.8,1.0,4.8,12.0,1.5,3.8,52.0,-,60.0,52.1
67,Juncheng Shang[CHN],4,100.0,65.7,4.9,3.1,7.8,60.3,72.4,55.6,60.3,86.4,34.7,12.8,1.5,26.5,48.4,20.7,52.2,23,0.4,2.1,5.8,1.09,3.0,65.2,0.39,2.1,5.8,0.73,2.0,51.1,75.0,72.7,53.8
68,Mattia Bellucci[ITA],2,50.0,62.6,12.3,3.4,9.5,64.8,70.7,47.6,52.6,78.3,28.1,11.9,0.7,22.6,40.5,4.3,16.7,6,0.26,1.2,3.0,0.2,0.5,77.3,0.96,4.4,11.0,1.0,2.5,47.8,100.0,40.0,41.3
70,Learner Tien[USA],1,100.0,68.3,1.6,1.6,7.1,77.8,67.3,71.4,76.9,90.0,42.9,0.0,1.6,37.5,52.2,33.3,30.0,10,1.11,5.0,10.0,1.5,3.0,66.7,0.3,1.5,3.0,0.5,1.0,55.6,-,100.0,63.2
71,Daniel Altmaier[GER],5,20.0,59.7,8.4,3.1,7.9,60.3,71.0,42.5,46.2,70.2,28.1,9.0,3.1,20.8,39.1,4.3,14.3,14,0.3,1.4,2.8,0.2,0.4,58.8,0.72,3.4,6.8,1.4,2.8,44.7,100.0,20.0,37.2
72,Hamad Medjedovic[SRB],3,33.3,71.4,17.3,3.8,13.2,71.4,78.0,54.7,63.0,90.0,29.4,21.0,4.7,19.7,48.6,3.1,12.5,8,0.25,1.3,2.7,0.17,0.3,70.0,0.33,1.7,3.3,0.5,1.0,48.9,33.3,33.3,45.2
73,Bu Yunchaokete[CHN],3,100.0,71.5,12.1,1.9,5.0,61.4,79.5,58.8,61.8,86.1,38.7,13.1,3.2,30.1,52.3,25.7,47.4,19,0.54,2.7,6.3,1.29,3.0,44.4,0.25,1.3,3.0,0.71,1.7,54.5,100.0,85.7,56.3
74,Yoshihito Nishioka[JPN],6,33.3,57.5,2.4,2.4,6.2,61.7,63.2,48.5,51.6,66.7,31.1,18.3,4.0,22.9,45.8,15.8,42.9,21,0.37,1.6,3.5,0.69,1.5,40.6,0.56,2.5,5.3,1.46,3.2,44.5,0.0,30.8,41.2
75,Arthur Rinderknech[FRA],11,27.3,67.8,14.7,3.4,9.3,63.8,78.0,49.8,54.9,86.2,27.3,12.7,1.7,17.3,43.3,8.4,32.4,34,0.26,1.4,3.1,0.44,1.0,73.9,0.53,2.8,6.3,0.72,1.6,48.2,37.5,36.0,47.1
76,Alexander Bublik[KAZ],11,63.6,65.9,16.1,7.9,19.6,59.7,76.9,49.7,61.9,84.5,35.4,10.0,3.8,27.8,47.2,18.4,34.3,67,0.54,2.6,6.1,0.88,2.1,64.3,0.43,2.2,5.1,0.77,1.8,50.8,66.7,57.7,52.0
77,Roman Safiullin[RUS],7,14.3,63.2,9.8,3.8,9.8,61.2,71.9,49.5,54.9,76.7,32.5,10.0,3.5,22.5,52.2,11.5,24.4,41,0.47,2.3,5.9,0.56,1.4,64.3,0.65,3.1,8.0,1.11,2.9,47.9,33.3,27.8,43.9
78,Hugo Gaston[FRA],6,50.0,59.6,3.3,2.5,5.9,57.9,67.6,48.5,51.6,71.4,37.4,5.4,1.5,31.1,47.3,26.9,40.4,52,0.67,3.3,8.7,1.31,3.5,52.2,0.6,2.9,7.7,1.38,3.7,48.6,66.7,50.0,49.0
79,Aleksandar Vukic[AUS],9,55.6,65.2,10.9,1.7,3.9,56.9,75.1,52.1,54.3,77.5,32.5,10.5,4.0,23.8,47.1,15.2,32.0,50,0.48,2.4,5.6,0.76,1.8,59.6,0.56,2.7,6.3,1.1,2.6,48.8,100.0,52.4,45.9
80,Aleksandar Kovacevic[USA],6,33.3,64.2,12.1,2.9,7.4,60.9,75.5,46.6,50.3,83.1,33.6,10.2,3.5,27.2,43.9,16.9,28.6,49,0.59,3.1,8.2,0.88,2.3,62.2,0.45,2.3,6.2,0.88,2.3,48.6,0.0,37.5,50.0
81,Christopher Oconnell[AUS],7,28.6,63.2,9.4,1.7,4.2,59.6,75.0,45.8,47.8,78.6,33.8,7.7,2.6,27.2,46.7,18.1,40.6,32,0.44,2.1,4.6,0.87,1.9,61.5,0.56,2.6,5.6,1.0,2.1,48.8,33.3,33.3,47.9
82,Rinky Hijikata[AUS],8,50.0,62.1,5.3,3.3,8.3,60.8,68.8,51.6,56.3,77.1,36.2,11.7,3.7,27.4,51.3,17.0,34.7,49,0.49,2.5,6.1,0.85,2.1,66.2,0.68,3.3,8.1,1.1,2.8,49.1,75.0,45.0,46.4
83,Corentin Moutet[FRA],5,60.0,60.1,1.5,1.7,6.5,73.2,66.7,42.3,45.2,73.6,40.2,4.4,3.8,35.6,51.7,29.6,41.2,51,0.72,3.4,10.2,1.4,4.2,60.4,0.67,3.2,9.6,1.27,3.8,49.8,25.0,46.7,51.7
84,Borna Coric[CRO],3,33.3,65.5,8.4,0.9,2.5,64.2,66.2,64.2,65.8,88.2,34.8,8.5,4.5,28.5,46.3,17.6,35.3,17,0.5,2.4,5.7,0.86,2.0,69.2,0.38,1.9,4.3,0.57,1.3,50.2,0.0,42.9,52.9
85,Botic Van De Zandschulp[NED],7,0.0,57.7,5.7,4.9,13.4,63.0,66.1,43.3,50.0,67.1,34.2,7.0,2.3,25.6,48.0,13.8,34.4,32,0.4,2.0,4.6,0.69,1.6,51.0,0.67,3.2,7.3,1.56,3.6,45.8,20.0,12.5,39.7
87,Jan Lennard Struff[GER],9,44.4,66.1,11.9,4.2,9.8,56.9,74.5,54.9,60.9,84.8,34.6,7.6,3.2,28.3,45.6,12.3,26.4,53,0.46,2.5,5.9,0.67,1.6,67.9,0.47,2.5,5.9,0.81,1.9,49.9,60.0,52.4,48.2
88,Adam Walton[AUS],2,0.0,63.5,9.4,2.1,5.7,63.5,73.8,45.7,48.5,70.6,16.7,21.9,4.2,5.9,42.9,0.0,-,0,0.0,0.0,0.0,0.0,0.0,50.0,0.59,2.5,5.0,1.25,2.5,40.1,0.0,0.0,33.3
90,James Duckworth[AUS],5,60.0,70.7,13.4,3.5,9.8,64.1,79.5,54.9,60.9,91.3,28.0,19.5,3.4,18.7,45.5,6.0,20.0,20,0.3,1.5,4.0,0.31,0.8,53.8,0.19,1.0,2.6,0.46,1.2,49.7,80.0,53.8,49.3
91,Cameron Norrie[GBR],7,57.1,64.3,6.6,2.3,5.8,61.0,71.9,52.4,55.7,82.8,38.0,7.8,2.5,30.4,53.8,27.2,45.5,55,0.6,2.8,7.9,1.25,3.6,64.4,0.48,2.3,6.4,0.8,2.3,51.3,0.0,55.0,55.1
93,Jesper De Jong[NED],1,0.0,64.9,14.9,2.7,6.9,60.8,75.6,48.3,51.9,90.9,21.3,11.5,1.6,22.5,19.0,0.0,-,0,0.0,0.0,0.0,0.0,0.0,83.3,0.55,3.0,6.0,0.5,1.0,45.2,0.0,0.0,45.5
94,Reilly Opelka[USA],2,50.0,70.3,23.6,2.7,7.0,61.5,84.6,47.4,50.9,85.2,28.9,3.9,2.0,28.7,29.5,7.7,25.0,8,0.31,1.6,4.0,0.4,1.0,69.2,0.48,2.6,6.5,0.8,2.0,49.3,-,40.0,47.2
95,Luca Nardi[ITA],2,0.0,57.1,1.9,3.8,10.7,64.1,66.0,41.1,46.0,68.2,31.0,9.5,2.4,18.4,50.0,9.5,33.3,6,0.29,1.5,3.0,0.5,1.0,66.7,0.95,5.3,10.5,1.75,3.5,45.4,-,0.0,39.5
96,Mackenzie Mcdonald[USA],3,33.3,64.4,6.4,2.7,7.6,64.9,70.5,53.0,57.4,82.1,36.7,7.2,5.8,29.5,47.1,16.1,41.7,12,0.39,2.0,4.0,0.83,1.7,64.3,0.5,2.3,4.7,0.83,1.7,49.9,0.0,33.3,47.5
97,Alexander Shevchenko[KAZ],9,33.3,61.2,6.7,2.5,6.5,61.5,71.8,44.2,47.3,73.8,30.9,10.4,2.2,23.0,43.5,15.0,36.4,44,0.41,1.9,4.9,0.7,1.8,52.5,0.55,2.6,6.6,1.22,3.1,46.5,33.3,34.8,44.4
98,Pablo Carreno Busta[ESP],2,50.0,64.2,5.6,6.2,17.9,65.4,73.6,46.4,56.5,76.9,38.3,11.1,5.6,27.2,49.4,26.9,53.8,13,0.5,2.6,6.5,1.4,3.5,64.7,0.65,3.4,8.5,1.2,3.0,51.2,0.0,40.0,51.9
99,Mariano Navone[ARG],6,66.7,62.6,2.9,4.4,12.6,65.3,68.5,51.5,58.9,76.4,42.2,3.1,3.7,33.5,58.9,31.9,48.9,47,0.65,3.1,7.8,1.53,3.8,66.7,0.71,3.4,8.5,1.13,2.8,52.3,50.0,60.0,54.2
