Player,RiP%,RiP W%_x,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1_x,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2_x,RetWnr%.2,RDI.2,Slice%.2,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100,Unret%,<=3 W%,RiP W%_y,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1_y,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2_y,2ndAgg,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,77.2,47.3,1.8,,2.2,15.9,72.7,42.5,1.0,2.2,23.7,91.6,53.7,3.4,2.3,1.8,4.4,3.9,4.8,54.2,53.6,47.1,50.4,51.2,9.8,6.8,5.1,3.7,3.2,36.2,46.9,55.6,43.0,44.1,55.7,58.2,53.6,50.4,45.6,18.1,28.2,50.1,38.1,2.4,11.9,62.8,12.3,14.1,13.3,9.1,28.1,0.8,-58.3,-30.1,42.8,61.8,21.5,24.1,42.1,92.7,95.5,80.6,100.0,100.0,76.1,39.1,67.8,80.6,54.5,33.1,23.3,62.4,36.0,1.0,1.5,48.6,4.2,15.9,70.2,10.5,68.4,38.7,39.8,37.9,28.3,1.5,21.8,15.4,28.1,25.1,1.2,17.9,15.2,8.0,5.6,1.1,18.5,18.2
AndreyRublev,66.3,54.1,3.6,,2.3,19.4,61.2,55.5,0.9,2.2,28.7,80.1,52.4,9.5,2.5,5.1,3.5,3.4,3.6,53.0,58.0,59.1,57.5,52.3,6.3,23.1,23.9,2.8,3.8,32.8,48.8,61.3,42.8,39.3,60.2,69.4,54.0,52.9,52.6,21.5,27.9,41.9,39.2,1.7,8.8,74.6,29.8,33.4,16.0,10.8,23.7,0.5,56.3,22.3,39.5,71.5,34.0,22.3,41.8,87.5,100.0,100.0,100.0,100.0,69.8,41.0,57.1,86.7,63.4,38.9,0.0,71.0,14.0,1.1,1.7,45.8,3.0,11.2,73.5,9.1,69.2,36.4,39.2,43.8,23.8,2.1,28.3,14.5,36.2,21.0,1.9,26.6,14.5,13.6,4.4,1.8,22.6,13.4
CarlosAlcaraz,74.9,56.5,3.6,,2.2,5.8,73.9,52.2,4.6,2.2,8.0,86.2,64.8,2.0,2.2,0.0,4.3,4.2,4.3,53.1,58.0,53.8,57.4,49.7,12.1,15.4,12.5,3.6,2.7,22.4,36.4,55.8,32.0,26.0,43.1,57.0,39.6,47.2,68.0,15.6,23.2,52.7,-28.3,6.8,12.6,74.5,19.8,21.9,23.8,8.3,33.8,3.5,-4.0,-24.0,57.3,73.1,42.7,29.1,31.2,84.0,86.7,100.0,85.7,100.0,67.9,44.2,70.8,76.7,61.1,29.2,0.0,68.3,75.7,1.1,1.5,39.9,3.0,3.9,64.9,1.9,63.8,50.1,44.5,38.8,29.1,1.5,22.4,15.6,36.3,26.8,1.5,22.3,15.3,13.2,5.1,0.8,15.4,19.4
CasperRuud,77.1,50.9,2.8,,2.2,8.8,75.6,49.8,1.4,2.2,13.5,86.5,52.8,6.1,2.3,0.6,4.5,4.7,4.3,53.2,55.5,51.1,54.0,55.8,11.4,13.4,9.7,1.7,2.8,22.0,35.1,58.0,30.4,26.1,42.5,60.8,39.3,48.6,61.4,15.0,22.7,53.9,-30.8,0.7,10.0,73.0,16.0,21.1,15.3,7.7,28.2,1.0,-51.5,-45.6,45.8,72.2,25.0,30.3,32.1,81.2,90.0,75.0,87.5,50.0,69.8,48.4,81.9,80.3,57.4,31.0,0.0,67.0,50.0,1.1,1.4,47.1,2.7,6.6,66.0,3.3,65.0,43.2,41.5,26.1,21.8,1.3,17.7,14.3,22.3,20.1,1.2,16.7,14.3,12.4,3.3,1.0,19.6,21.5
DaniilMedvedev,92.2,54.2,1.6,,2.3,17.6,89.4,52.4,0.0,2.2,33.3,100.0,58.8,5.9,2.3,0.0,6.8,6.3,7.2,55.6,70.4,43.8,65.4,41.4,10.2,0.5,0.4,11.5,6.3,24.0,30.0,70.6,28.8,25.0,25.0,77.8,35.0,57.1,23.5,27.3,40.9,62.5,136.0,0.0,9.6,72.7,3.4,5.1,0.0,4.2,25.0,0.6,-158.0,-157.0,67.0,67.0,0.0,11.0,0.0,100.0,100.0,,100.0,,62.0,40.0,100.0,100.0,50.0,,,,,0.9,1.6,48.4,2.3,0.0,74.1,0.0,69.6,47.1,53.3,17.0,18.0,0.9,14.9,15.8,17.0,14.0,1.2,15.7,13.0,5.6,4.6,0.5,18.4,40.4
HolgerRune,61.0,40.5,6.4,,2.1,7.5,55.2,33.6,5.2,2.1,11.2,76.3,48.9,8.9,2.1,2.1,3.9,4.4,3.2,42.2,49.4,46.9,32.6,51.1,18.9,6.4,1.5,1.1,-1.8,19.8,33.2,50.4,28.1,25.1,39.9,54.1,38.9,41.2,47.7,12.9,26.3,46.3,5.4,5.2,12.1,63.4,13.9,15.6,13.1,9.1,34.3,4.1,-1.6,-19.6,16.8,36.6,5.7,47.2,42.4,86.7,66.7,55.0,,50.0,63.8,23.6,61.3,50.0,64.4,41.7,53.3,58.7,34.0,1.0,0.7,57.9,3.5,3.8,53.9,3.9,60.9,30.4,23.9,33.3,34.4,0.9,16.2,17.4,29.0,31.1,0.9,15.6,17.4,8.4,5.2,1.7,22.2,14.7
HubertHurkacz,76.3,43.7,3.3,,2.3,13.1,75.2,42.3,3.6,2.3,23.2,84.3,44.6,3.4,2.3,4.4,4.4,3.8,5.0,57.3,45.5,44.5,43.3,51.0,13.8,-0.4,0.5,-2.8,-2.9,32.1,47.2,51.8,39.1,43.4,59.5,55.5,54.6,54.5,49.8,13.9,28.5,48.0,-36.3,8.4,17.2,70.6,12.4,17.9,12.0,5.5,12.5,1.9,-16.3,8.9,30.9,70.6,15.0,29.2,48.5,86.2,88.9,93.8,83.3,100.0,66.8,50.4,70.5,77.8,65.4,55.7,57.5,78.4,47.0,1.0,1.2,49.7,3.6,15.4,66.8,11.4,66.1,36.0,37.5,33.8,33.5,1.2,19.9,18.9,22.1,32.4,0.8,14.8,20.6,10.9,3.9,1.0,14.6,16.5
JannikSinner,73.3,52.3,2.6,,2.2,18.6,71.9,49.9,2.7,2.1,27.3,87.3,56.8,3.5,2.3,5.0,4.2,4.2,4.2,54.0,59.8,58.7,58.2,49.2,5.4,15.1,11.7,5.3,5.0,28.5,41.9,61.8,35.9,38.5,54.3,69.3,50.2,40.2,60.8,14.9,24.5,52.8,-21.0,1.6,10.8,78.6,18.8,19.1,20.2,8.0,29.6,2.2,-26.3,-12.8,43.9,75.7,27.1,19.0,57.2,95.5,96.7,83.3,83.3,50.0,74.3,51.4,74.4,87.0,65.3,29.7,33.3,85.5,27.0,1.1,1.7,41.1,3.4,6.1,70.7,5.8,72.6,42.9,42.9,29.5,23.2,1.5,18.4,14.1,24.8,20.8,1.4,17.0,14.0,12.2,4.3,0.8,14.5,20.4
NovakDjokovic,77.4,52.7,3.9,,2.2,15.6,77.0,49.5,1.6,2.2,23.6,85.3,56.3,9.0,2.3,2.1,4.8,4.6,5.0,54.5,58.1,56.8,59.0,49.2,14.7,13.0,9.1,7.7,6.9,24.8,37.8,58.8,33.2,29.7,45.4,60.9,42.8,50.5,54.2,16.5,25.4,55.1,-8.6,4.9,17.4,70.4,13.0,16.1,9.8,10.1,25.0,3.9,-41.8,-27.7,48.6,85.2,40.7,28.4,26.2,75.2,87.5,61.1,100.0,0.0,79.6,56.1,73.5,94.4,47.6,36.7,33.3,68.5,44.5,1.0,1.5,42.6,4.0,4.4,66.8,6.3,68.3,46.5,42.3,26.2,21.8,1.4,16.2,13.2,22.4,20.2,1.3,14.5,12.9,7.9,6.6,1.2,17.1,17.2
StefanosTsitsipas,74.7,52.6,2.6,,2.3,5.7,69.9,52.3,1.5,2.2,9.0,89.6,51.6,5.7,2.4,0.6,4.3,4.0,4.7,54.2,53.5,50.5,58.7,54.3,14.6,16.2,12.7,0.3,1.0,22.9,39.3,59.7,32.7,28.4,48.4,60.1,43.8,56.2,51.3,13.8,24.6,58.0,-19.7,5.7,13.2,71.0,20.0,24.1,11.2,6.8,27.4,2.7,-4.1,-10.6,45.1,82.8,33.3,26.9,38.4,88.8,88.9,75.0,83.3,66.7,70.5,48.9,67.9,74.1,65.2,47.0,25.0,61.0,43.3,1.1,1.5,45.3,3.3,4.7,65.7,5.0,67.8,40.4,43.5,26.7,23.0,1.3,20.0,16.3,23.2,20.2,1.2,18.9,15.6,11.9,4.4,1.0,15.6,17.6
