Player,RiP%,RiP W%_x,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1_x,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2_x,RetWnr%.2,RDI.2,Slice%.2,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100,Unret%,<=3 W%,RiP W%_y,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1_y,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2_y,2ndAgg,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,70.9,48.0,2.1,,2.2,21.3,65.0,44.2,1.8,2.2,30.0,87.8,54.0,3.1,2.3,4.8,4.2,3.9,4.4,53.3,55.6,52.1,53.9,51.7,10.7,5.4,5.6,5.4,5.4,35.7,47.6,59.9,43.4,42.5,55.8,62.5,53.3,52.0,44.4,21.1,30.8,55.3,13.6,2.2,12.3,68.0,13.8,17.2,17.5,10.3,28.0,0.7,-38.0,-24.6,34.6,67.0,17.1,17.4,47.0,92.6,91.1,91.3,88.9,84.6,74.3,44.4,65.8,79.0,61.2,36.9,22.2,65.3,35.9,1.1,1.9,47.8,4.1,14.5,74.0,11.6,71.2,36.8,37.9,36.7,26.9,1.6,22.3,15.1,26.7,24.3,1.3,18.7,15.7,8.5,5.3,1.1,18.2,17.4
AndreyRublev,61.9,54.0,4.1,,2.3,21.9,54.0,51.9,2.2,2.3,36.9,81.8,56.9,8.3,2.4,3.2,3.6,3.7,3.5,51.2,55.0,56.8,56.9,53.2,9.4,16.0,15.8,2.4,3.2,33.5,47.1,56.1,40.9,41.3,57.5,61.1,53.0,51.9,50.7,21.1,30.7,49.4,-3.9,1.0,6.3,68.3,23.0,25.8,19.4,9.0,24.3,0.2,18.4,-5.5,34.2,60.8,18.9,20.9,45.3,88.9,91.4,94.4,92.3,90.0,71.5,38.0,54.5,68.8,64.6,36.5,19.8,62.9,37.7,1.0,1.4,47.6,3.0,10.4,70.2,11.5,69.2,36.3,37.8,36.3,24.1,1.9,23.9,14.4,27.9,21.8,1.6,21.5,15.3,11.4,3.3,1.5,23.4,16.6
CarlosAlcaraz,71.0,54.3,3.9,,2.3,12.7,70.0,49.4,3.8,2.2,18.2,81.2,62.6,4.8,2.4,3.9,4.0,3.8,4.1,53.1,57.7,55.5,59.2,53.2,17.1,12.1,11.2,3.0,4.0,28.7,42.6,58.7,37.1,34.6,51.4,61.5,47.5,48.4,48.4,19.9,29.0,54.5,6.2,6.6,13.0,72.1,19.9,25.8,17.1,8.9,26.3,2.7,10.4,0.1,45.6,71.1,24.3,22.9,47.5,90.8,92.1,86.0,93.4,68.2,70.4,43.7,70.0,77.0,65.3,37.3,20.8,64.1,45.3,1.1,1.6,43.5,2.9,7.0,69.3,6.9,68.7,43.6,41.9,35.4,25.5,1.5,23.1,15.8,30.5,23.2,1.4,21.8,15.9,12.5,4.7,0.9,15.7,17.9
CasperRuud,71.5,47.6,3.5,,2.3,12.6,68.5,43.2,2.4,2.2,17.4,82.8,53.5,6.3,2.4,3.2,4.2,4.2,4.1,51.8,52.9,48.8,52.9,55.1,16.6,10.6,9.0,0.9,1.6,26.8,40.1,56.3,35.1,32.3,48.8,60.5,44.9,47.1,53.6,17.2,24.8,49.4,-17.4,1.6,10.5,71.3,16.8,19.1,13.2,8.2,25.4,1.0,-42.4,-33.0,34.4,67.4,19.5,27.0,40.0,81.9,93.9,81.3,95.7,92.3,67.7,44.8,74.0,77.1,59.2,35.9,15.0,72.1,33.1,1.1,1.3,45.7,3.1,8.2,67.8,5.4,64.7,37.0,37.5,29.0,22.9,1.4,18.2,14.1,23.0,20.6,1.2,16.5,14.3,10.6,3.3,1.3,21.5,18.4
DaniilMedvedev,72.9,50.1,2.9,,2.2,20.5,68.5,47.2,1.7,2.2,31.2,88.1,54.7,5.7,2.3,5.1,4.9,4.7,5.1,50.8,54.2,52.4,57.0,44.3,7.4,5.8,5.0,5.6,3.5,28.7,36.9,56.5,34.0,36.9,47.2,59.7,45.5,52.6,45.5,18.7,23.8,52.6,32.8,1.2,9.4,67.2,10.2,13.2,8.6,6.0,20.6,0.9,-94.3,-77.8,40.4,67.7,20.3,26.9,35.0,84.4,80.7,72.7,97.4,89.3,66.0,44.5,69.2,75.2,60.9,34.6,28.7,69.4,43.2,1.0,1.4,46.7,3.6,8.9,68.7,8.2,63.2,38.5,40.9,29.7,27.8,1.3,17.6,15.5,22.0,22.9,1.2,15.1,14.4,6.5,4.2,1.0,19.3,22.3
HolgerRune,64.3,44.4,4.7,,2.2,13.6,59.0,38.0,3.5,2.2,19.8,78.3,53.1,7.8,2.3,5.5,3.9,4.0,3.7,45.1,50.7,50.7,44.5,52.3,16.0,6.7,4.4,0.7,0.3,25.0,37.2,51.9,32.1,31.9,46.4,55.3,43.9,51.9,45.0,16.0,26.2,47.5,4.7,4.5,12.3,63.7,15.8,17.9,11.7,8.9,27.2,2.1,3.8,-3.5,25.3,41.1,12.2,35.4,33.3,91.1,89.3,72.9,88.9,66.7,66.8,26.1,55.2,81.8,53.5,38.4,44.0,62.1,31.9,1.0,0.9,48.7,4.3,6.8,65.1,6.6,60.3,30.7,32.7,31.5,29.1,1.1,17.5,16.9,25.3,26.0,1.0,16.0,17.0,9.6,4.6,1.4,19.0,14.5
HubertHurkacz,70.2,44.0,3.2,,2.2,17.3,66.1,39.4,3.3,2.2,27.2,83.0,49.8,3.7,2.3,6.7,3.9,3.4,4.3,55.0,48.1,41.1,45.9,52.3,17.7,1.7,1.5,-2.1,-2.5,37.9,51.3,52.7,44.5,49.4,63.5,55.9,59.7,52.0,51.7,18.7,31.7,49.0,-12.2,5.3,13.8,71.2,14.1,18.8,14.7,7.4,17.2,1.6,-11.7,26.3,25.7,58.1,11.3,22.1,50.6,89.2,92.0,90.5,97.0,87.5,73.4,38.6,66.2,73.5,66.6,36.6,31.6,73.8,36.2,1.0,1.3,53.2,3.6,17.5,68.9,14.7,70.5,32.6,35.2,32.4,28.7,1.3,19.3,16.9,19.4,27.0,0.8,13.4,18.4,9.1,4.0,1.1,15.1,15.9
JannikSinner,71.1,54.1,2.9,,2.2,16.1,65.9,49.5,1.7,2.1,26.2,88.2,60.8,5.7,2.3,4.6,4.2,4.1,4.3,55.5,58.4,54.8,59.4,51.1,7.0,13.1,10.5,6.7,6.1,32.6,44.9,60.9,39.4,43.1,58.3,65.3,54.1,48.2,54.4,17.6,25.8,55.7,-7.3,2.2,9.6,76.5,16.4,21.5,19.4,9.0,30.0,1.2,-32.7,-16.7,42.3,71.6,26.8,17.2,58.4,95.1,97.7,90.4,96.8,71.4,75.3,46.6,73.0,78.0,72.8,39.6,33.3,77.7,47.9,1.1,1.7,42.2,2.9,10.0,72.3,9.8,72.2,41.0,42.7,30.0,23.2,1.5,18.9,14.0,22.4,21.3,1.2,16.0,14.5,10.0,4.3,0.8,15.3,20.5
NovakDjokovic,71.3,52.1,3.0,,2.2,17.6,68.1,48.2,1.9,2.2,26.8,85.0,57.3,5.6,2.2,2.8,4.5,4.3,4.7,54.7,56.6,54.8,56.0,49.8,15.5,11.6,9.2,7.7,7.1,30.6,42.9,58.9,38.1,37.7,52.2,61.9,49.2,49.8,49.5,18.4,27.1,53.5,-0.5,4.5,13.5,70.7,13.8,16.5,14.5,10.6,25.2,2.0,-43.8,-28.7,42.5,70.9,28.2,19.6,37.4,86.1,93.9,84.8,100.0,66.7,74.0,46.1,74.2,81.4,59.6,36.2,30.6,70.0,41.8,1.0,1.6,41.4,2.7,9.5,70.4,9.5,69.8,40.7,41.8,27.1,21.5,1.5,17.8,13.2,20.0,19.2,1.2,14.9,13.4,7.8,5.0,1.1,18.0,17.7
StefanosTsitsipas,67.4,48.0,4.2,,2.3,11.5,62.4,45.7,2.4,2.2,18.9,82.2,51.2,8.1,2.4,1.8,3.8,3.6,4.0,51.6,49.4,51.0,50.1,53.5,23.2,12.1,11.1,-1.6,-2.8,28.9,43.7,54.6,37.1,36.5,54.9,58.2,49.9,52.5,49.7,18.3,28.3,49.8,9.5,4.8,11.2,68.8,20.4,26.3,11.7,7.7,24.5,1.9,8.9,5.5,31.6,68.3,15.4,28.2,37.1,84.3,88.1,88.3,91.2,76.5,70.7,45.5,70.2,79.7,61.0,32.8,15.5,62.4,32.1,1.0,1.2,48.2,2.9,8.9,65.5,8.0,66.7,34.9,36.2,30.2,24.8,1.3,20.5,16.5,23.5,21.8,1.2,18.3,16.4,10.4,3.7,1.4,18.7,15.5
