Date        ;Tournament                      ;Surface ;Rd   ;Rk  ;vRk ;                                               ;Score                        ;More ;DR   ;A%    ;DF%   ;1stIn ;1st%  ;2nd%  ;BPSvd  ;Time
2‑May‑2022  ;Madrid Masters                  ;Clay    ;R16  ; 12 ; 10 ;(8)Felix Auger Aliassime [CAN] d. (10)Sinner   ;6-1 6-2                      ;(ch) ;0.38 ;1.6%  ;1.6%  ;67.7% ;47.6% ;50.0% ;04-ago ;1:19
2‑May‑2022  ;Madrid Masters                  ;Clay    ;R32  ; 12 ; 22 ;(10)Sinner d. Alex De Minaur [AUS]             ;6-4 6-1                      ;(ch) ;1.50 ;2.0%  ;6.0%  ;60.0% ;70.0% ;55.0% ;02-abr ;1:14
2‑May‑2022  ;Madrid Masters                  ;Clay    ;R64  ; 12 ; 35 ;(10)Sinner d. Tommy Paul [USA]                 ;6-7(4) 7-6(4) 6-3            ;(ch) ;1.22 ;7.4%  ;2.8%  ;59.3% ;71.9% ;65.9% ;02-abr ;3:00
11‑Apr‑2022 ;Monte Carlo Masters             ;Clay    ;QF   ; 12 ;  3 ;(2)Alexander Zverev [GER] d. (9)Sinner         ;5-7 6-3 7-6(5)               ;     ;0.91 ;3.0%  ;3.0%  ;55.0% ;72.7% ;37.8% ;03-ago ;3:07
11‑Apr‑2022 ;Monte Carlo Masters             ;Clay    ;R16  ; 12 ;  8 ;(9)Sinner d. (5)Andrey Rublev [RUS]            ;5-7 6-1 6-3                  ;(ch) ;1.30 ;7.1%  ;2.4%  ;56.5% ;70.8% ;51.4% ;06-oct ;2:20
11‑Apr‑2022 ;Monte Carlo Masters             ;Clay    ;R32  ; 12 ; 81 ;(9)Sinner d. (Q)Emil Ruusuvuori [FIN]          ;7-5 6-3                      ;(ch) ;1.03 ;3.9%  ;3.9%  ;53.9% ;65.9% ;48.6% ;06-ago ;1:43
11‑Apr‑2022 ;Monte Carlo Masters             ;Clay    ;R64  ; 12 ;198 ;(9)Sinner d. (PR)Borna Coric [CRO]             ;6-3 2-6 6-3                  ;(ch) ;1.22 ;5.6%  ;6.7%  ;55.6% ;78.0% ;50.0% ;07-sep ;2:27
21‑Mar‑2022 ;Miami Masters                   ;Hard    ;QF   ; 11 ;103 ;Francisco Cerundolo [ARG] d. (9)Sinner         ;4-1 RET                      ;(ch) ;0.65 ;7.7%  ;0.0%  ;46.2% ;66.7% ;42.9% ;0/1    ;0:22
21‑Mar‑2022 ;Miami Masters                   ;Hard    ;R16  ; 11 ;102 ;(9)Sinner d. (WC)Nick Kyrgios [AUS]            ;7-6(3) 6-3                   ;(ch) ;1.27 ;11.4% ;5.7%  ;65.7% ;82.6% ;45.8% ;02-feb ;1:39
21‑Mar‑2022 ;Miami Masters                   ;Hard    ;R32  ; 11 ; 19 ;(9)Sinner d. (17)Pablo Carreno Busta [ESP]     ;5-7 7-5 7-5                  ;(ch) ;0.98 ;10.7% ;0.7%  ;60.7% ;67.1% ;49.1% ;13/17  ;3:11
21‑Mar‑2022 ;Miami Masters                   ;Hard    ;R64  ; 11 ; 71 ;(9)Sinner d. Emil Ruusuvuori [FIN]             ;6-4 3-6 7-6(8)               ;(ch) ;0.95 ;3.0%  ;2.0%  ;62.4% ;77.8% ;39.5% ;06-ago ;2:40
7‑Mar‑2022  ;Indian Wells Masters            ;Hard    ;R16  ; 10 ;132 ;(WC)Nick Kyrgios [AUS] d. (10)Sinner           ;W/O                          ;     ;     ;      ;      ;      ;      ;      ;       ;
7‑Mar‑2022  ;Indian Wells Masters            ;Hard    ;R32  ; 10 ; 62 ;(10)Sinner d. Benjamin Bonzi [FRA]             ;7-6(5) 3-6 6-4               ;     ;0.96 ;10.6% ;0.9%  ;61.9% ;71.4% ;41.9% ;06-oct ;2:37
7‑Mar‑2022  ;Indian Wells Masters            ;Hard    ;R64  ; 10 ; 52 ;(10)Sinner d. Laslo Djere [SRB]                ;6-3 6-3                      ;     ;1.50 ;3.6%  ;5.5%  ;45.5% ;76.0% ;63.3% ;05-jun ;1:28
4‑Mar‑2022  ;Davis Cup QLS R1: ITA vs SVK    ;Hard    ;RR   ; 11 ;110 ;Sinner d. Norbert Gombos [SVK]                 ;6-4 4-6 6-4                  ;     ;1.04 ;11.0% ;1.2%  ;72.0% ;76.3% ;47.8% ;0/2    ;2:00
4‑Mar‑2022  ;Davis Cup QLS R1: ITA vs SVK    ;Hard    ;RR   ; 11 ;203 ;Sinner d. Filip Horansky [SVK]                 ;7-5 6-4                      ;     ;1.88 ;11.5% ;0.0%  ;63.5% ;81.8% ;73.7% ;0/1    ;1:31
21‑Feb‑2022 ;Dubai                           ;Hard    ;QF   ; 10 ; 11 ;(5)Hubert Hurkacz [POL] d. (4)Sinner           ;6-3 6-3                      ;(ch) ;0.64 ;6.7%  ;1.7%  ;70.0% ;71.4% ;27.8% ;05-ago ;1:24
21‑Feb‑2022 ;Dubai                           ;Hard    ;R16  ; 10 ; 89 ;(4)Sinner d. (WC)Andy Murray [GBR]             ;7-5 6-2                      ;     ;1.51 ;7.0%  ;1.8%  ;70.2% ;82.5% ;41.2% ;0/0    ;1:43
21‑Feb‑2022 ;Dubai                           ;Hard    ;R32  ; 10 ; 43 ;(4)Sinner d. Alejandro Davidovich Fokina [ESP] ;4-6 7-6(6) 6-3               ;     ;1.26 ;5.4%  ;2.2%  ;63.4% ;78.0% ;58.8% ;0/2    ;2:31
17‑Jan‑2022 ;Australian Open                 ;Hard    ;QF   ; 10 ;  4 ;(4)Stefanos Tsitsipas [GRE] d. (11)Sinner      ;6-3 6-4 6-2                  ;(ch) ;0.77 ;6.1%  ;1.5%  ;63.6% ;71.4% ;54.2% ;0/4    ;2:06
17‑Jan‑2022 ;Australian Open                 ;Hard    ;R16  ; 10 ; 42 ;(11)Sinner d. (32)Alex De Minaur [AUS]         ;7-6(3) 6-3 6-4               ;     ;1.22 ;8.1%  ;0.0%  ;62.2% ;75.4% ;61.9% ;07-ago ;2:35
17‑Jan‑2022 ;Australian Open                 ;Hard    ;R32  ; 10 ;120 ;(11)Sinner d. (Q)Taro Daniel [JPN]             ;6-4 1-6 6-3 6-1              ;     ;1.23 ;10.5% ;2.1%  ;73.7% ;74.3% ;32.0% ;02-jun ;2:41
17‑Jan‑2022 ;Australian Open                 ;Hard    ;R64  ; 10 ;104 ;(11)Sinner d. Steve Johnson [USA]              ;6-2 6-4 6-3                  ;(ch) ;1.90 ;15.5% ;2.8%  ;63.4% ;82.2% ;69.2% ;01-ene ;1:41
17‑Jan‑2022 ;Australian Open                 ;Hard    ;R128 ; 10 ;140 ;(11)Sinner d. (LL)Joao Sousa [POR]             ;6-4 7-5 6-1                  ;     ;1.54 ;3.4%  ;2.3%  ;64.8% ;73.7% ;58.1% ;0/2    ;2:07
3‑Jan‑2022  ;Atp Cup                         ;Hard    ;RR   ; 10 ;167 ;Sinner d. Roman Safiullin [RUS]                ;7-6(6) 6-3                   ;(ch) ;1.02 ;12.2% ;2.2%  ;61.1% ;70.9% ;48.6% ;11-dic ;1:56
3‑Jan‑2022  ;Atp Cup                         ;Hard    ;RR   ; 10 ; 58 ;Sinner d. Arthur Rinderknech [FRA]             ;6-3 7-6(3)                   ;     ;1.59 ;4.9%  ;4.9%  ;57.4% ;85.7% ;61.5% ;01-feb ;1:36
3‑Jan‑2022  ;Atp Cup                         ;Hard    ;RR   ; 10 ;176 ;Sinner d. Max Purcell [AUS]                    ;6-1 6-3                      ;     ;2.25 ;14.6% ;0.0%  ;73.2% ;83.3% ;54.5% ;0/1    ;1:03
29‑Nov‑2021 ;Davis Cup Finals QF: ITA vs CRO ;Hard    ;RR   ; 10 ; 30 ;Sinner d. Marin Cilic [CRO]                    ;3-6 7-6(4) 6-3               ;     ;1.19 ;3.3%  ;2.2%  ;62.6% ;68.4% ;52.9% ;04-ago ;2:41
27‑Nov‑2021 ;Davis Cup Finals RR: ITA vs COL ;Hard    ;RR   ; 10 ;111 ;Sinner d. Daniel Elahi Galan [COL]             ;7-5 6-0                      ;     ;1.58 ;2.0%  ;0.0%  ;49.0% ;72.0% ;57.7% ;0/2    ;1:18
26‑Nov‑2021 ;Davis Cup Finals RR: USA vs ITA ;Hard    ;RR   ; 10 ; 24 ;Sinner d. John Isner [USA]                     ;6-2 6-0                      ;     ;3.90 ;2.9%  ;5.9%  ;70.6% ;87.5% ;80.0% ;03-mar ;1:02
15‑Nov‑2021 ;Tour Finals                     ;Hard    ;RR   ; 11 ;  9 ;(9)Sinner d. (7)Hubert Hurkacz [POL]           ;6-2 6-2                      ;(ch) ;1.41 ;7.2%  ;0.0%  ;56.5% ;74.4% ;50.0% ;05-may ;1:25
15‑Nov‑2021 ;Tour Finals                     ;Hard    ;RR   ; 11 ;  2 ;(2)Daniil Medvedev [RUS] d. (9)Sinner          ;6-0 6-7(5) 7-6(8)            ;(ch) ;0.78 ;4.8%  ;1.9%  ;61.5% ;71.9% ;50.0% ;06-nov ;2:29
8‑Nov‑2021  ;Stockholm                       ;Hard    ;R16  ; 10 ;143 ;(WC)Andy Murray [GBR] d. (1)Sinner             ;7-6(4) 6-3                   ;     ;0.78 ;8.0%  ;1.3%  ;48.0% ;75.0% ;51.3% ;04-jun ;2:15
1‑Nov‑2021  ;Paris Masters                   ;Hard    ;R32  ;  9 ; 35 ;Carlos Alcaraz [ESP] d. (8)Sinner              ;7-6(1) 7-5                   ;(ch) ;0.76 ;5.9%  ;2.4%  ;63.5% ;61.1% ;58.1% ;09-nov ;2:07
25‑Oct‑2021 ;Vienna                          ;Hard    ;SF   ; 11 ; 49 ;(Q)Frances Tiafoe [USA] d. (7)Sinner           ;3-6 7-5 6-2                  ;(ch) ;0.94 ;9.4%  ;3.5%  ;63.5% ;68.5% ;41.9% ;05-sep ;2:18
25‑Oct‑2021 ;Vienna                          ;Hard    ;QF   ; 11 ;  8 ;(7)Sinner d. (4)Casper Ruud [NOR]              ;7-5 6-1                      ;(ch) ;1.37 ;16.1% ;0.0%  ;67.7% ;76.2% ;40.0% ;04-may ;1:37
25‑Oct‑2021 ;Vienna                          ;Hard    ;R16  ; 11 ;116 ;(7)Sinner d. (WC)Dennis Novak [AUT]            ;6-4 6-2                      ;     ;1.19 ;3.4%  ;5.1%  ;62.7% ;75.7% ;54.5% ;06-jun ;1:16
25‑Oct‑2021 ;Vienna                          ;Hard    ;R32  ; 11 ; 27 ;(7)Sinner d. Reilly Opelka [USA]               ;6-4 6-2                      ;(ch) ;2.80 ;2.4%  ;2.4%  ;69.0% ;93.1% ;69.2% ;0/0    ;1:03
18‑Oct‑2021 ;Antwerp                         ;Hard    ;F    ; 16 ; 13 ;(1)Sinner d. (2)Diego Schwartzman [ARG]        ;6-2 6-2                      ;(ch) ;2.33 ;18.2% ;4.5%  ;52.3% ;91.3% ;61.9% ;02-feb ;1:16
18‑Oct‑2021 ;Antwerp                         ;Hard    ;SF   ; 16 ; 32 ;(1)Sinner d. (7)Lloyd Harris [RSA]             ;6-2 6-2                      ;     ;1.76 ;3.5%  ;0.0%  ;61.4% ;77.1% ;59.1% ;03-mar ;1:26
18‑Oct‑2021 ;Antwerp                         ;Hard    ;QF   ; 16 ; 65 ;(1)Sinner d. Arthur Rinderknech [FRA]          ;6-4 6-2                      ;(ch) ;2.01 ;8.9%  ;2.2%  ;64.4% ;82.8% ;68.8% ;02-mar ;1:18
18‑Oct‑2021 ;Antwerp                         ;Hard    ;R16  ; 16 ; 69 ;(1)Sinner d. Lorenzo Musetti [ITA]             ;7-5 6-2                      ;     ;1.87 ;3.8%  ;1.9%  ;47.2% ;80.0% ;75.0% ;01-ene ;1:34
4‑Oct‑2021  ;Indian Wells Masters            ;Hard    ;R16  ; 14 ; 39 ;(31)Taylor Fritz [USA] d. (10)Sinner           ;6-4 6-3                      ;     ;0.83 ;0.0%  ;6.2%  ;50.8% ;60.6% ;34.4% ;07-dic ;1:40
4‑Oct‑2021  ;Indian Wells Masters            ;Hard    ;R32  ; 14 ; 23 ;(10)Sinner d. (20)John Isner [USA]             ;W/O                          ;     ;     ;      ;      ;      ;      ;      ;       ;
4‑Oct‑2021  ;Indian Wells Masters            ;Hard    ;R64  ; 14 ; 90 ;(10)Sinner d. John Millman [AUS]               ;6-2 6-2                      ;     ;2.55 ;7.5%  ;2.5%  ;52.5% ;85.7% ;73.7% ;0/0    ;1:14
27‑Sep‑2021 ;Sofia                           ;Hard    ;F    ; 14 ; 20 ;(1)Sinner d. (2)Gael Monfils [FRA]             ;6-3 6-4                      ;(ch) ;1.50 ;3.7%  ;1.9%  ;50.0% ;92.6% ;63.0% ;02-feb ;1:17
27‑Sep‑2021 ;Sofia                           ;Hard    ;SF   ; 14 ; 37 ;(1)Sinner d. (5)Filip Krajinovic [SRB]         ;6-3 7-5                      ;     ;1.54 ;12.5% ;1.8%  ;53.6% ;76.7% ;61.5% ;01-mar ;1:46
27‑Sep‑2021 ;Sofia                           ;Hard    ;QF   ; 14 ; 56 ;(1)Sinner d. James Duckworth [AUS]             ;7-6(4) 6-4                   ;     ;1.09 ;6.9%  ;4.6%  ;56.3% ;75.5% ;36.8% ;02-may ;1:54
