Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
19,Stefanos Tsitsipas,6,50.0,62.5,63.2,6.6,4.9,12.8,61.7,70.8,49.2,56.4,80.3,6.9,31.8,30.4,4.5,4.0,22.4,48.6,5.8,41.5,62.7,44.4,27,0.4,1.9,4.5,0.86,2.0,66.7,0.59,3.0,7.0,1.0,2.3,48.8,100.0,50.0
20,Tomas Machac,9,33.3,59.5,59.5,6.6,4.5,11.7,61.6,66.2,48.8,55.2,70.2,6.6,34.8,35.3,8.4,3.9,28.3,44.7,6.5,25.0,151.0,28.3,53,0.56,2.4,5.9,0.68,1.7,58.2,0.71,3.0,7.4,1.27,3.1,47.3,100.0,40.9
21,Jakub Mensik,7,28.6,66.4,65.4,14.3,6.0,14.2,57.8,78.2,50.2,58.5,82.8,6.1,35.8,36.2,7.3,3.4,27.2,51.2,6.5,122.0,161.9,34.1,41,0.47,2.1,5.9,0.7,2.0,58.3,0.41,1.8,5.1,0.75,2.1,50.6,25.0,45.0
22,Ugo Humbert,6,66.7,62.6,60.9,8.0,2.3,6.7,65.3,69.5,49.7,53.2,79.2,6.2,41.5,41.3,4.7,3.6,33.3,57.1,6.3,71.0,88.3,32.9,70,0.93,4.1,11.7,1.35,3.8,56.8,0.48,2.2,6.2,0.94,2.7,52.1,-,64.7
23,Sebastian Korda,1,100.0,68.2,68.8,3.5,2.4,5.6,57.6,77.6,55.6,58.8,92.3,6.5,49.4,46.9,1.1,5.7,40.4,60.0,7.3,69.0,69.0,46.2,13,1.08,4.3,13.0,2.0,6.0,85.7,0.54,2.3,7.0,0.33,1.0,58.7,100.0,100.0
24,Karen Khachanov,4,25.0,58.5,55.0,10.5,2.3,6.0,62.2,66.7,45.1,48.0,70.6,6.9,38.3,39.7,7.6,2.7,28.4,52.6,6.6,24.0,24.5,42.3,26,0.52,2.9,6.5,1.22,2.8,57.1,0.69,3.9,8.8,1.67,3.8,48.8,50.0,33.3
25,Alexei Popyrin,6,83.3,70.6,68.7,11.4,2.4,7.7,69.5,75.3,59.9,64.9,89.6,6.1,36.4,36.8,5.1,2.4,33.7,41.8,6.5,70.5,84.0,37.5,40,0.53,2.5,6.7,0.94,2.5,68.0,0.32,1.6,4.2,0.5,1.3,53.0,50.0,68.8
26,Alejandro Davidovich Fokina,4,50.0,64.9,63.8,8.6,3.2,9.9,67.4,71.8,50.5,56.1,81.8,6.3,35.6,37.6,8.5,1.9,28.4,48.9,6.3,67.5,70.0,50.0,16,0.37,1.8,4.0,0.89,2.0,69.2,0.59,2.9,6.5,0.89,2.0,50.5,0.0,55.6
27,Felix Auger Aliassime,10,70.0,70.4,69.6,11.8,4.1,10.7,61.9,78.6,57.0,63.8,92.7,6.2,39.6,39.3,3.4,2.7,35.2,48.3,6.8,64.5,57.6,39.2,79,0.63,3.0,7.9,1.19,3.1,67.9,0.23,1.1,2.8,0.35,0.9,54.1,42.9,69.2
28,Denis Shapovalov,9,44.4,65.2,67.1,10.4,7.8,20.2,61.2,76.3,47.7,59.8,83.3,6.3,34.3,34.0,4.5,2.8,29.1,45.0,6.0,47.0,48.4,43.8,48,0.45,2.2,5.3,0.95,2.3,71.4,0.58,2.9,7.0,0.82,2.0,50.2,50.0,50.0
