Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
40,Nuno Borges,10,60.0,63.1,62.5,9.7,4.9,12.5,60.5,73.8,46.6,53.3,79.4,6.8,39.0,38.7,7.3,5.1,28.0,55.2,6.8,49.5,49.5,41.3,104,0.62,3.0,10.4,1.23,4.3,65.7,0.6,2.9,10.2,1.0,3.5,51.0,44.4,57.1
41,Jordan Thompson,9,55.6,64.4,62.2,8.5,1.7,4.3,59.4,72.4,52.6,55.0,80.3,6.3,35.2,35.3,6.9,3.6,28.1,45.1,6.3,53.0,49.8,35.4,82,0.52,2.5,9.1,0.88,3.2,64.0,0.55,2.6,9.6,0.94,3.4,49.8,60.0,51.5
42,Alejandro Tabilo,6,33.3,63.9,61.7,11.3,3.5,9.5,63.1,74.1,46.3,51.2,79.1,6.7,33.7,34.6,12.5,5.3,25.3,45.9,6.5,69.0,67.2,33.3,51,0.44,2.2,8.5,0.74,2.8,64.2,0.58,2.9,11.2,1.04,4.0,49.0,42.9,39.1
43,Gael Monfils,9,55.6,66.2,65.1,12.7,5.1,12.5,58.9,77.3,50.3,57.4,82.8,6.1,35.6,35.9,3.9,1.8,32.1,42.0,6.3,32.0,61.4,36.3,80,0.53,2.6,8.9,0.94,3.2,57.4,0.4,2.0,6.8,0.84,2.9,50.6,50.0,51.6
44,Lorenzo Sonego,7,42.9,66.1,64.6,9.5,2.9,9.3,68.7,71.2,54.9,60.5,82.7,6.2,33.9,33.8,6.1,3.2,26.0,46.6,6.6,32.0,36.9,24.3,70,0.52,2.6,10.0,0.63,2.4,54.9,0.38,1.9,7.3,0.85,3.3,49.4,80.0,48.1
45,Marcos Giron,5,20.0,59.4,58.4,5.8,2.3,5.6,58.6,68.9,46.0,48.7,71.6,6.4,36.4,36.8,9.8,5.0,26.5,48.0,6.4,55.0,150.6,34.0,50,0.53,2.5,10.0,0.85,3.4,56.5,0.65,3.1,12.4,1.35,5.4,47.9,0.0,35.0
46,Luciano Darderi,5,40.0,62.7,62.8,7.7,4.7,11.7,60.2,70.8,50.6,57.3,78.2,6.6,35.3,35.6,6.0,2.8,30.7,45.6,6.8,25.0,65.0,25.4,67,0.68,3.4,13.4,0.85,3.4,62.1,0.57,2.9,11.6,1.1,4.4,49.0,60.0,45.0
47,Miomir Kecmanovic,11,63.6,63.1,62.7,6.0,2.8,7.4,61.4,71.0,50.6,54.6,74.9,6.1,37.7,39.1,9.0,3.5,29.3,52.1,6.6,25.0,36.9,35.5,121,0.59,2.7,11.0,0.96,3.9,50.0,0.5,2.3,9.5,1.16,4.7,50.1,100.0,51.1
48,David Goffin,7,42.9,60.5,61.2,7.0,5.6,12.9,57.1,71.4,46.0,52.8,70.8,6.5,39.2,40.4,8.2,3.6,32.1,49.4,6.5,39.0,33.0,38.5,91,0.69,3.4,13.0,1.3,5.0,58.2,0.7,3.4,13.0,1.41,5.4,49.8,33.3,44.4
49,Pedro Martinez,5,40.0,59.1,61.8,3.5,6.7,19.6,65.9,67.2,43.3,53.8,68.5,6.2,35.8,37.2,8.6,2.9,28.0,48.6,6.0,28.0,70.0,56.3,32,0.35,1.6,6.4,0.9,3.6,50.0,0.63,2.9,11.6,1.45,5.8,47.6,50.0,35.0
50,Zizou Bergs,7,42.9,63.5,63.2,7.9,4.2,10.9,61.6,71.9,50.0,56.1,75.2,6.4,38.8,39.0,6.5,3.8,28.7,53.3,6.9,31.0,47.3,42.1,76,0.52,2.5,10.9,1.07,4.6,59.3,0.61,2.9,12.3,1.17,5.0,50.6,66.7,46.7
51,Tomas Martin Etcheverry,11,63.6,65.5,63.4,8.8,1.8,5.3,65.7,73.4,50.4,53.2,81.6,6.2,38.8,39.8,9.1,4.3,28.6,56.2,6.5,47.0,43.7,37.0,135,0.73,3.3,12.3,1.22,4.5,52.1,0.38,1.7,6.5,0.83,3.1,51.8,0.0,58.5
52,Quentin Halys,6,50.0,68.1,65.1,16.7,4.3,11.1,61.2,81.3,47.3,53.2,87.4,6.5,29.7,30.7,10.6,3.4,24.5,39.0,5.8,44.0,69.5,37.9,29,0.25,1.2,4.8,0.46,1.8,77.6,0.56,2.8,11.2,0.63,2.5,50.1,80.0,50.0
53,Nicolas Jarry,4,0.0,60.6,59.7,6.9,3.1,8.4,63.0,69.6,45.2,49.3,70.8,6.2,31.1,32.0,8.9,2.8,22.7,42.7,5.8,93.5,96.8,38.1,21,0.29,1.3,5.3,0.5,2.0,65.0,0.83,3.8,15.0,1.31,5.3,46.2,-,25.0
54,Gabriel Diallo,4,50.0,57.3,55.0,9.7,3.8,10.9,65.2,65.3,42.2,47.3,75.0,6.9,44.0,43.7,3.7,3.4,41.8,47.8,7.0,54.0,118.0,42.4,59,0.67,3.5,14.8,1.47,6.3,58.5,0.6,3.1,13.3,1.29,5.5,50.6,25.0,52.9
