Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
19,Stefanos Tsitsipas,4,75.0,67.3,66.8,8.6,3.6,8.8,59.1,76.0,54.7,60.0,88.7,6.2,38.1,39.0,7.2,3.1,29.2,48.2,6.9,85.0,88.3,39.1,46,0.66,3.3,11.5,1.29,4.5,68.0,0.35,1.8,6.3,0.57,2.0,52.0,66.7,71.4
20,Tomas Machac,7,100.0,62.3,62.7,4.1,3.0,8.1,62.5,69.6,50.2,54.6,76.2,6.3,46.1,45.9,4.3,4.1,36.6,59.7,6.8,71.0,216.0,49.4,85,0.81,3.9,12.1,1.91,6.0,51.9,0.5,2.4,7.4,1.14,3.6,53.9,100.0,81.8
21,Jakub Mensik,7,71.4,64.4,63.9,9.7,4.8,10.8,55.9,75.7,50.0,56.1,83.8,6.8,37.9,39.1,10.8,5.0,27.6,54.8,6.0,58.0,77.9,39.3,56,0.58,2.8,8.0,1.1,3.1,76.5,0.69,3.4,9.7,0.8,2.3,52.1,100.0,70.0
22,Ugo Humbert,4,75.0,69.0,67.5,9.7,2.4,6.1,60.0,77.5,56.4,60.0,87.5,5.7,37.3,37.2,7.0,4.3,31.4,46.8,6.5,66.0,73.3,32.7,55,0.73,3.4,13.8,1.13,4.5,69.7,0.41,2.1,8.3,0.63,2.5,52.6,50.0,62.5
23,Sebastian Korda,4,75.0,70.1,69.3,8.4,2.6,6.6,60.6,79.4,55.7,59.6,88.3,6.0,38.5,40.7,12.9,5.1,27.8,56.3,6.8,95.5,95.3,36.0,50,0.64,3.1,12.5,1.13,4.5,59.1,0.29,1.4,5.5,0.56,2.3,53.2,66.7,68.8
24,Karen Khachanov,4,75.0,66.1,64.8,9.3,3.1,8.1,61.5,74.5,52.6,57.2,84.1,6.7,38.2,37.4,4.9,4.2,28.0,53.8,7.1,97.0,107.0,37.0,54,0.68,3.4,13.5,1.25,5.0,69.8,0.52,2.7,10.8,0.81,3.3,51.9,62.5,68.8
25,Alexei Popyrin,7,57.1,69.6,67.3,14.0,3.4,9.9,65.8,77.4,54.7,60.7,86.3,5.8,35.3,34.4,8.2,5.7,27.4,47.6,6.2,100.0,128.1,51.1,45,0.44,2.1,6.4,1.1,3.3,58.8,0.33,1.6,4.9,0.67,2.0,52.0,33.3,61.9
26,Alejandro Davidovich Fokina,4,75.0,62.4,62.3,5.8,3.2,10.4,69.1,66.1,54.2,60.5,77.6,7.0,39.2,39.7,7.0,3.7,33.0,49.4,6.4,102.0,95.5,47.6,42,0.63,3.2,10.5,1.54,5.0,63.4,0.61,3.2,10.3,1.15,3.8,51.3,75.0,69.2
27,Felix Auger Aliassime,6,66.7,69.6,69.8,11.9,5.5,14.8,63.0,79.0,53.5,62.8,87.6,5.9,37.1,37.7,6.8,3.1,29.4,51.0,6.7,85.0,91.3,36.0,50,0.48,2.4,8.3,0.86,3.0,67.5,0.38,1.9,6.7,0.62,2.2,52.3,0.0,57.1
28,Denis Shapovalov,9,66.7,65.3,67.8,8.5,7.6,19.0,59.8,76.4,48.9,60.4,83.7,6.2,37.3,36.4,4.0,3.6,29.9,48.2,6.5,74.0,71.8,35.5,76,0.6,3.0,8.4,1.08,3.0,58.0,0.39,2.0,5.6,0.84,2.3,51.1,60.0,60.0
29,Brandon Nakashima,7,57.1,71.8,68.6,11.9,0.7,2.3,67.8,76.8,61.4,62.8,92.3,6.0,37.3,37.4,6.5,3.8,31.7,46.4,6.7,44.0,62.1,31.6,57,0.66,3.0,8.1,0.95,2.6,79.4,0.37,1.8,4.9,0.37,1.0,54.0,33.3,63.2
30,Matteo Berrettini,4,75.0,70.4,67.6,11.9,1.6,4.2,62.9,79.3,55.2,57.7,89.7,6.6,34.8,35.7,7.1,2.5,32.2,38.7,6.6,70.5,81.3,37.5,32,0.53,2.7,8.0,1.0,3.0,77.8,0.47,2.3,6.8,0.5,1.5,52.4,100.0,75.0
