Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
68,Mattia Bellucci,4,50.0,63.4,17.4,2.3,7.2,67.6,68.1,53.6,57.8,75.7,36.0,11.1,2.0,32.4,43.4,23.1,36.0,25,0.64,2.8,6.3,1.0,2.3,50.0,0.49,2.0,4.5,1.0,2.3,48.5,0.0,44.4,48.7
69,Damir Dzumhur,2,0.0,56.7,1.3,3.8,10.3,63.1,65.7,41.4,46.2,68.0,35.9,7.2,3.3,28.2,45.6,24.0,60.0,10,0.4,2.0,5.0,1.2,3.0,38.5,0.52,2.6,6.5,1.6,4.0,46.5,0.0,20.0,46.0
70,Learner Tien,1,100.0,61.9,3.1,0.0,0.0,72.2,62.9,59.3,59.3,75.0,45.1,4.4,6.2,33.8,66.7,37.5,42.9,14,0.88,4.7,14.0,2.0,6.0,55.6,0.56,3.0,9.0,1.33,4.0,52.9,50.0,66.7,56.3
71,Daniel Altmaier,14,35.7,62.2,7.7,2.8,7.2,60.9,68.7,52.2,56.3,79.0,33.8,4.5,2.8,28.6,41.7,16.3,42.2,64,0.39,1.9,4.6,0.82,1.9,60.2,0.53,2.7,6.3,1.06,2.5,48.5,60.0,42.4,47.7
72,Hamad Medjedovic,5,60.0,69.2,11.0,3.3,10.7,69.2,75.8,54.4,60.9,89.7,36.7,9.6,3.4,29.9,48.0,16.9,34.2,38,0.49,2.5,7.6,0.87,2.6,69.2,0.33,1.7,5.2,0.53,1.6,52.2,25.0,53.3,53.5
73,Bu Yunchaokete,3,100.0,70.5,11.9,1.4,3.6,60.0,74.6,64.3,66.7,86.5,40.0,7.7,2.1,34.5,47.9,30.6,40.7,27,0.75,3.9,9.0,1.57,3.7,58.3,0.32,1.7,4.0,0.71,1.7,54.4,50.0,85.7,58.9
74,Yoshihito Nishioka,10,80.0,67.4,2.9,1.4,3.8,63.4,72.6,58.5,60.8,86.1,41.0,11.3,4.1,30.7,56.8,28.2,36.7,90,0.77,3.6,9.0,1.32,3.3,65.2,0.4,1.8,4.6,0.64,1.6,53.5,80.0,72.0,56.9
75,Arthur Rinderknech,15,73.3,66.1,12.9,3.3,9.4,64.7,76.9,46.2,50.9,83.5,37.7,6.2,4.8,30.1,47.6,25.5,43.6,94,0.58,2.9,6.3,1.28,2.7,62.3,0.44,2.2,4.6,0.81,1.7,51.7,66.7,62.5,54.2
76,Alexander Bublik,10,50.0,62.8,12.8,9.3,22.5,58.9,77.4,41.9,54.1,76.7,34.8,6.1,2.7,27.4,46.5,16.2,40.4,47,0.4,1.9,4.7,0.76,1.9,64.0,0.65,3.0,7.5,1.08,2.7,48.8,75.0,48.0,46.4
77,Roman Safiullin,16,43.8,64.7,9.6,3.0,7.6,60.0,74.8,49.6,53.7,81.0,35.5,7.6,2.7,30.3,44.6,19.4,38.0,108,0.51,2.5,6.8,0.95,2.6,64.3,0.53,2.6,7.0,0.93,2.5,49.9,33.3,48.8,50.2
78,Hugo Gaston,11,54.5,60.1,3.5,2.5,5.5,55.2,66.0,52.8,55.8,70.3,36.8,9.7,4.2,31.2,46.3,20.3,36.7,79,0.55,2.7,7.2,1.0,2.6,57.8,0.7,3.5,9.3,1.48,3.9,48.7,85.7,48.3,45.5
79,Aleksandar Vukic,16,56.3,64.9,13.7,1.8,4.5,59.1,75.5,49.5,51.9,80.8,36.4,8.1,4.1,25.7,52.2,20.4,47.9,71,0.43,2.0,4.4,0.97,2.1,63.2,0.52,2.5,5.4,0.91,2.0,50.8,85.7,54.3,50.6
