Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],14,14-0,100.0%,74.3%,72.6%,113,11.9%,21,2.2%,6.0%,63.0%,81.3%,62.2%,66.2%,96.4%,5.7,1.5,Jannik Sinner[ITA],14,42.7%,44.4%,6.5%,2.1%,32.2%,59.8%,33.7%,6.8,2.9,44.5,48.8,Jannik Sinner[ITA],14,42.6%,55,129,0.79,3.6,9.2,1.53,3.9,87.0%,40,46,0.28,1.3,3.3,0.17,0.4,Jannik Sinner[ITA],14,1.66,2061,57.3%,2,0-2,0.0%,5.6%,36,32-4,88.9%,330,216-114,65.5%,1:41,39.4,41.3
2,Alexander Zverev[GER],18,17-1,94.4%,71.8%,69.8%,167,12.3%,33,2.4%,8.5%,71.4%,78.1%,56.1%,61.3%,90.7%,6.0,1.7,Alexander Zverev[GER],18,40.1%,41.0%,6.3%,2.9%,32.1%,54.7%,26.6%,6.6,2.7,41.0,91.2,Alexander Zverev[GER],18,40.7%,59,145,0.65,3.2,8.1,1.28,3.3,67.2%,43,64,0.28,1.4,3.6,0.46,1.2,Alexander Zverev[GER],18,1.42,2825,55.3%,10,9-1,90.0%,21.7%,46,39-7,84.8%,447,263-184,58.8%,1:41,39.5,38.5
3,Carlos Alcaraz[ESP],13,11-2,84.6%,71.2%,70.8%,64,8.0%,22,2.7%,8.1%,66.1%,75.6%,62.6%,68.1%,92.0%,5.8,1.7,Carlos Alcaraz[ESP],13,41.8%,40.8%,6.1%,5.8%,31.6%,56.2%,31.3%,6.5,2.7,46.0,92.5,Carlos Alcaraz[ESP],13,52.5%,42,80,0.60,2.7,6.2,1.40,3.2,73.2%,30,41,0.30,1.4,3.2,0.37,0.8,Carlos Alcaraz[ESP],13,1.45,1678,55.9%,5,4-1,80.0%,16.7%,30,26-4,86.7%,272,169-103,62.1%,1:20,34.8,37.3
4,Taylor Fritz[USA],14,10-4,71.4%,71.5%,69.2%,163,14.3%,36,3.2%,8.5%,63.0%,79.0%,58.6%,64.1%,92.7%,6.0,1.7,Taylor Fritz[USA],14,36.9%,37.9%,7.7%,3.1%,32.3%,44.9%,22.4%,6.4,2.4,27.0,64.7,Taylor Fritz[USA],14,38.0%,41,108,0.59,2.8,7.7,1.05,2.9,77.8%,49,63,0.33,1.6,4.5,0.36,1.0,Taylor Fritz[USA],14,1.29,2318,53.9%,5,1-4,20.0%,12.8%,39,27-12,69.2%,374,218-156,58.3%,1:28,31.7,32.0
5,Jack Draper[GBR],13,10-3,76.9%,69.6%,69.2%,95,10.3%,37,4.0%,10.2%,60.6%,80.8%,52.5%,58.5%,86.5%,5.9,1.8,Jack Draper[GBR],13,37.8%,38.4%,8.0%,4.1%,30.5%,49.6%,24.7%,6.6,2.5,44.0,56.5,Jack Draper[GBR],13,44.3%,39,88,0.56,2.8,6.8,1.22,3.0,56.3%,27,48,0.31,1.5,3.7,0.66,1.6,Jack Draper[GBR],13,1.25,1959,52.7%,7,5-2,71.4%,21.9%,32,23-9,71.9%,314,174-140,55.4%,1:41,41.1,40.3
6,Novak Djokovic[SRB],9,6-3,66.7%,68.7%,68.2%,71,9.7%,28,3.8%,10.2%,62.7%,77.9%,53.3%,59.3%,84.0%,5.9,1.8,Novak Djokovic[SRB],9,41.3%,42.9%,7.8%,3.1%,33.1%,56.5%,27.6%,6.6,2.7,32.0,58.2,Novak Djokovic[SRB],9,37.8%,34,90,0.73,3.3,10.0,1.26,3.8,50.0%,20,40,0.32,1.5,4.4,0.74,2.2,Novak Djokovic[SRB],9,1.32,1546,54.3%,3,2-1,66.7%,11.1%,27,17-10,63.0%,248,139-109,56.0%,1:37,32.3,33.8
7,Casper Ruud[NOR],15,10-5,66.7%,66.2%,65.8%,93,7.7%,41,3.4%,10.4%,67.1%,73.0%,52.3%,58.3%,83.1%,6.2,2.1,Casper Ruud[NOR],15,38.3%,39.5%,8.0%,3.2%,30.4%,51.0%,26.5%,6.3,2.4,34.0,54.7,Casper Ruud[NOR],15,39.7%,52,131,0.67,3.1,8.7,1.24,3.5,62.9%,56,89,0.46,2.1,5.9,0.79,2.2,Casper Ruud[NOR],15,1.13,2434,52.1%,6,1-5,16.7%,14.3%,42,25-17,59.5%,391,214-177,54.7%,1:42,36.5,37.8
8,Alex De Minaur[AUS],13,12-1,92.3%,65.8%,66.2%,57,5.6%,34,3.4%,7.1%,52.9%,74.7%,55.9%,60.2%,86.1%,6.4,2.2,Alex De Minaur[AUS],13,44.6%,44.1%,5.9%,5.5%,33.7%,59.0%,38.0%,7.0,3.1,40.5,106.7,Alex De Minaur[AUS],13,43.2%,60,139,0.88,4.0,10.7,1.71,4.6,69.0%,49,71,0.45,2.0,5.5,0.63,1.7,Alex De Minaur[AUS],13,1.31,2117,54.7%,4,2-2,50.0%,11.4%,35,28-7,80.0%,316,196-120,62.0%,1:47,39.9,39.5
9,Lorenzo Musetti[ITA],18,10-8,55.6%,64.6%,64.7%,59,3.9%,33,2.2%,5.9%,62.7%,70.3%,55.2%,58.7%,81.0%,6.4,2.3,Lorenzo Musetti[ITA],18,35.7%,36.9%,7.6%,2.5%,27.8%,50.0%,18.8%,6.7,2.4,48.0,48.6,Lorenzo Musetti[ITA],18,32.8%,42,128,0.57,2.8,7.1,0.91,2.3,60.0%,66,110,0.47,2.4,6.1,0.96,2.4,Lorenzo Musetti[ITA],18,1.01,2999,50.2%,13,6-7,46.2%,28.3%,46,25-21,54.3%,455,230-225,50.5%,1:47,41.8,38.5
10,Holger Rune[DEN],17,14-3,82.4%,69.3%,69.1%,104,8.0%,43,3.3%,8.6%,61.3%,75.4%,59.6%,65.2%,89.4%,6.0,1.8,Holger Rune[DEN],17,36.6%,36.5%,7.8%,4.6%,27.8%,51.3%,23.0%,6.4,2.3,39.0,104.9,Holger Rune[DEN],17,42.6%,49,115,0.54,2.6,6.8,1.09,2.9,69.3%,52,75,0.35,1.7,4.4,0.51,1.4,Holger Rune[DEN],17,1.19,2654,52.5%,7,5-2,71.4%,15.6%,45,33-12,73.3%,429,242-187,56.4%,1:42,38.5,39.2
