Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],9,6-3,66.7%,63.6%,64.9%,53,6.5%,44,5.4%,14.1%,61.7%,75.0%,45.4%,52.8%,82.5%,6.8,2.5,Daniil Medvedev[RUS],9,34.4%,35.2%,8.0%,3.1%,22.7%,52.3%,19.5%,6.0,2.1,9.0,14.3,Daniil Medvedev[RUS],9,42.6%,23,54,0.46,2.2,6.0,0.92,2.6,69.1%,47,68,0.57,2.7,7.6,0.84,2.3,Daniil Medvedev[RUS],9,0.95,1527,50.0%,4,3-1,75.0%,16.0%,25,15-10,60.0%,238,122-116,51.3%,2:08,45.9,45.1
12,Tommy Paul[USA],10,6-4,60.0%,60.0%,59.7%,40,4.9%,23,2.8%,7.1%,60.2%,67.4%,48.8%,52.5%,70.2%,6.7,2.7,Tommy Paul[USA],10,38.5%,39.5%,5.5%,2.0%,30.4%,51.6%,28.0%,6.4,2.4,28.5,30.0,Tommy Paul[USA],10,46.5%,33,71,0.60,2.8,7.1,1.32,3.3,60.0%,54,90,0.74,3.6,9.0,1.44,3.6,Tommy Paul[USA],10,0.96,1559,49.6%,2,1-1,50.0%,8.0%,25,13-12,52.0%,239,118-121,49.4%,1:43,41.3,39.8
13,Ben Shelton[USA],9,5-4,55.6%,66.6%,65.1%,91,9.5%,27,2.8%,9.3%,69.7%,71.4%,55.5%,61.2%,91.0%,7.2,2.4,Ben Shelton[USA],9,28.9%,28.5%,7.9%,3.7%,21.4%,44.2%,12.2%,6.1,1.8,44.0,75.2,Ben Shelton[USA],9,36.4%,16,44,0.34,1.9,4.9,0.70,1.8,85.7%,72,84,0.63,3.7,9.3,0.52,1.3,Ben Shelton[USA],9,0.87,1759,49.4%,9,4-5,44.4%,39.1%,23,13-10,56.5%,264,137-127,51.9%,2:09,50.7,39.7
14,Arthur Fils[FRA],8,4-4,50.0%,66.5%,67.0%,51,8.4%,30,4.9%,12.2%,59.6%,77.1%,50.8%,57.9%,82.5%,6.3,2.1,Arthur Fils[FRA],8,33.9%,35.8%,7.7%,1.3%,28.1%,46.3%,16.0%,6.4,2.2,17.0,33.9,Arthur Fils[FRA],8,35.6%,16,45,0.45,2.1,5.6,0.76,2.0,51.4%,18,35,0.36,1.7,4.4,0.81,2.1,Arthur Fils[FRA],8,1.01,1244,49.8%,6,5-1,83.3%,28.6%,21,12-9,57.1%,197,96-101,48.7%,1:57,44.5,45.1
15,Grigor Dimitrov[BUL],8,5-3,62.5%,66.1%,65.9%,57,9.6%,28,4.7%,12.5%,62.4%,78.4%,45.5%,52.0%,83.2%,6.3,2.1,Grigor Dimitrov[BUL],8,33.0%,35.0%,10.8%,2.7%,25.0%,44.7%,15.4%,6.2,2.0,39.0,73.0,Grigor Dimitrov[BUL],8,41.2%,14,34,0.37,1.7,4.3,0.70,1.8,64.4%,29,45,0.47,2.3,5.6,0.80,2.0,Grigor Dimitrov[BUL],8,0.97,1159,50.0%,4,3-1,75.0%,20.0%,20,11-9,55.0%,186,93-93,50.0%,1:27,35.0,36.2
16,Frances Tiafoe[USA],10,5-5,50.0%,67.2%,65.8%,69,10.1%,21,3.1%,7.7%,60.3%,74.4%,56.3%,61.0%,86.9%,6.4,2.1,Frances Tiafoe[USA],10,32.3%,34.6%,13.5%,3.6%,23.8%,45.7%,15.5%,6.3,2.0,53.5,59.0,Frances Tiafoe[USA],10,37.8%,17,45,0.41,2.0,4.5,0.77,1.7,71.4%,35,49,0.46,2.2,4.9,0.64,1.4,Frances Tiafoe[USA],10,0.99,1376,49.7%,6,2-4,33.3%,27.3%,22,11-11,50.0%,217,110-107,50.7%,1:37,43.9,42.1
17,Andrey Rublev[RUS],13,5-8,38.5%,66.1%,64.7%,93,8.7%,27,2.5%,6.8%,62.7%,75.6%,50.1%,53.8%,84.5%,6.3,2.1,Andrey Rublev[RUS],13,35.0%,36.5%,10.1%,3.5%,24.2%,50.9%,15.1%,6.6,2.3,31.0,48.9,Andrey Rublev[RUS],13,28.3%,26,92,0.53,2.7,7.1,0.76,2.0,66.7%,52,78,0.46,2.3,6.0,0.76,2.0,Andrey Rublev[RUS],13,1.03,2195,50.1%,8,2-6,25.0%,23.5%,34,13-21,38.2%,340,168-172,49.4%,1:56,44.4,41.3
18,Francisco Cerundolo[ARG],7,3-4,42.9%,60.8%,62.3%,10,1.8%,20,3.6%,10.8%,66.5%,65.5%,51.4%,57.6%,73.0%,6.2,2.4,Francisco Cerundolo[ARG],7,36.2%,37.2%,4.3%,0.9%,33.0%,43.4%,21.6%,6.1,2.2,54.0,63.3,Francisco Cerundolo[ARG],7,45.2%,19,42,0.48,2.2,6.0,1.00,2.7,63.1%,41,65,0.73,3.4,9.3,1.26,3.4,Francisco Cerundolo[ARG],7,0.92,1086,48.7%,1,1-0,100.0%,5.3%,19,9-10,47.4%,177,84-93,47.5%,1:59,43.9,46.1
19,Stefanos Tsitsipas[GRE],12,4-8,33.3%,63.0%,63.5%,60,6.6%,41,4.5%,11.5%,60.8%,72.3%,48.6%,54.9%,77.6%,6.4,2.3,Stefanos Tsitsipas[GRE],12,32.8%,33.4%,7.4%,2.7%,27.4%,42.7%,17.5%,5.9,1.9,18.5,29.3,Stefanos Tsitsipas[GRE],12,41.4%,24,58,0.42,2.1,4.8,0.86,2.0,60.0%,48,80,0.56,2.9,6.7,1.14,2.7,Stefanos Tsitsipas[GRE],12,0.89,1715,48.8%,5,2-3,40.0%,17.9%,28,10-18,35.7%,280,135-145,48.2%,1:27,37.4,36.6
20,Tomas Machac[CZE],6,3-3,50.0%,63.9%,62.9%,34,7.8%,13,3.0%,7.6%,60.5%,72.6%,50.6%,54.7%,81.3%,6.8,2.5,Tomas Machac[CZE],6,31.9%,33.5%,10.5%,2.9%,24.9%,47.1%,12.5%,6.0,1.9,13.0,24.2,Tomas Machac[CZE],6,30.8%,8,26,0.41,2.0,4.3,0.62,1.3,64.7%,22,34,0.53,2.6,5.7,0.92,2.0,Tomas Machac[CZE],6,0.88,817,49.0%,3,3-0,100.0%,23.1%,13,7-6,53.8%,128,60-68,46.9%,1:36,44.5,42.4
21,Jakub Mensik[CZE],5,2-3,40.0%,63.4%,60.9%,51,12.4%,16,3.9%,10.3%,62.0%,76.4%,42.3%,47.1%,82.8%,7.1,2.6,Jakub Mensik[CZE],5,33.2%,33.4%,6.7%,3.0%,23.6%,49.3%,13.3%,6.2,2.1,10.0,40.4,Jakub Mensik[CZE],5,47.1%,8,17,0.28,1.4,3.4,0.67,1.6,66.7%,20,30,0.52,2.5,6.0,0.83,2.0,Jakub Mensik[CZE],5,0.91,781,49.0%,3,3-0,100.0%,25.0%,12,6-6,50.0%,118,56-62,47.5%,1:52,46.6,42.9
22,Ugo Humbert[FRA],7,5-2,71.4%,62.7%,61.4%,32,6.7%,10,2.1%,6.6%,68.0%,67.2%,53.3%,57.0%,76.6%,6.2,2.3,Ugo Humbert[FRA],7,38.2%,38.6%,6.9%,3.6%,28.5%,57.6%,27.3%,6.2,2.4,24.0,55.7,Ugo Humbert[FRA],7,35.0%,21,60,0.78,3.5,8.6,1.24,3.0,48.6%,17,35,0.45,2.1,5.0,1.06,2.6,Ugo Humbert[FRA],7,1.02,952,50.4%,2,2-0,100.0%,11.8%,17,11-6,64.7%,154,80-74,51.9%,1:40,41.3,44.2
