Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],7,6-1,85.7%,64.2%,64.5%,40,7.7%,24,4.6%,12.1%,61.7%,74.5%,47.7%,54.3%,78.8%,6.1,2.2,Daniil Medvedev[RUS],7,44.9%,45.2%,5.0%,3.6%,38.8%,55.4%,38.4%,7.0,3.2,44.0,56.0,Daniil Medvedev[RUS],7,45.2%,33,73,0.85,4.1,10.4,1.83,4.7,57.1%,24,42,0.49,2.3,6.0,1.00,2.6,Daniil Medvedev[RUS],7,1.26,1123,53.9%,2,2-0,100.0%,11.1%,18,14-4,77.8%,171,100-71,58.5%,1:32,35.8,34.5
12,Tommy Paul[USA],14,10-4,71.4%,65.9%,64.6%,77,8.1%,23,2.4%,6.8%,64.5%,72.2%,54.6%,58.5%,82.6%,6.2,2.1,Tommy Paul[USA],14,39.5%,40.5%,6.0%,2.3%,30.3%,54.9%,25.7%,6.5,2.6,53.5,74.5,Tommy Paul[USA],14,34.5%,38,110,0.74,3.4,7.9,1.19,2.7,56.5%,35,62,0.40,1.9,4.4,0.84,1.9,Tommy Paul[USA],14,1.16,1917,52.6%,3,2-1,66.7%,9.4%,32,22-10,68.8%,303,166-137,54.8%,1:32,40.2,40.3
13,Ben Shelton[USA],8,6-2,75.0%,68.8%,67.4%,83,9.4%,22,2.5%,8.8%,71.8%,73.5%,57.0%,62.6%,88.7%,6.2,1.9,Ben Shelton[USA],8,35.6%,33.5%,3.9%,5.1%,29.3%,45.8%,19.7%,6.7,2.4,95.5,97.0,Ben Shelton[USA],8,33.3%,27,81,0.59,3.0,10.1,1.00,3.4,71.4%,40,56,0.39,2.1,7.0,0.59,2.0,Ben Shelton[USA],8,1.14,1800,51.9%,6,2-4,33.3%,22.2%,27,16-11,59.3%,279,153-126,54.8%,2:06,37.2,33.5
14,Arthur Fils[FRA],12,7-5,58.3%,67.9%,67.6%,91,9.3%,40,4.1%,10.6%,61.7%,78.4%,50.8%,56.8%,85.2%,6.1,2.0,Arthur Fils[FRA],12,36.6%,37.7%,8.4%,3.3%,28.5%,51.8%,17.4%,6.9,2.5,76.0,99.2,Arthur Fils[FRA],12,26.9%,28,104,0.65,3.1,8.7,0.82,2.3,58.6%,34,58,0.36,1.7,4.8,0.71,2.0,Arthur Fils[FRA],12,1.14,2090,51.3%,7,3-4,42.9%,20.6%,34,18-16,52.9%,323,166-157,51.4%,2:01,42.9,41.8
15,Grigor Dimitrov[BUL],9,8-1,88.9%,74.8%,74.5%,102,16.1%,33,5.2%,13.3%,60.9%,85.0%,58.9%,67.9%,93.7%,5.7,1.4,Grigor Dimitrov[BUL],9,35.9%,37.1%,10.5%,4.2%,26.3%,51.2%,21.1%,6.7,2.4,44.0,83.8,Grigor Dimitrov[BUL],9,36.5%,23,63,0.58,2.9,7.0,1.05,2.6,70.8%,17,24,0.22,1.1,2.7,0.32,0.8,Grigor Dimitrov[BUL],9,1.42,1364,54.0%,6,4-2,66.7%,27.3%,22,17-5,77.3%,220,127-93,57.7%,1:49,44.7,43.2
16,Frances Tiafoe[USA],11,3-8,27.3%,64.0%,62.9%,88,8.2%,33,3.1%,7.9%,61.0%,68.7%,56.8%,61.7%,81.0%,6.4,2.3,Frances Tiafoe[USA],11,31.5%,32.7%,14.0%,5.0%,24.9%,42.3%,11.4%,6.3,2.0,53.0,73.9,Frances Tiafoe[USA],11,23.5%,19,81,0.49,2.5,7.4,0.58,1.7,59.5%,47,79,0.47,2.4,7.2,0.97,2.9,Frances Tiafoe[USA],11,0.88,2107,48.0%,6,2-4,33.3%,18.2%,33,12-21,36.4%,334,155-179,46.4%,1:40,33.2,31.2
17,Andrey Rublev[RUS],5,4-1,80.0%,71.6%,69.7%,53,13.9%,13,3.4%,9.5%,63.9%,78.6%,59.1%,65.3%,90.2%,6.2,1.8,Andrey Rublev[RUS],5,38.7%,40.6%,9.2%,3.2%,33.6%,49.6%,20.7%,7.1,2.7,87.0,89.5,Andrey Rublev[RUS],5,32.4%,12,37,0.64,3.1,7.4,1.00,2.4,75.0%,18,24,0.39,2.0,4.8,0.50,1.2,Andrey Rublev[RUS],5,1.36,791,54.5%,3,3-0,100.0%,25.0%,12,9-3,75.0%,119,67-52,56.3%,1:47,44.7,40.7
18,Francisco Cerundolo[ARG],9,5-4,55.6%,63.9%,64.4%,26,4.0%,19,2.9%,9.5%,69.3%,68.9%,52.7%,58.2%,81.4%,6.4,2.3,Francisco Cerundolo[ARG],9,40.3%,40.5%,4.6%,2.8%,34.7%,48.7%,29.0%,6.5,2.6,96.0,76.1,Francisco Cerundolo[ARG],9,47.5%,29,61,0.61,2.9,6.8,1.38,3.2,63.5%,33,52,0.51,2.5,5.8,0.90,2.1,Francisco Cerundolo[ARG],9,1.12,1307,52.1%,5,1-4,20.0%,23.8%,21,12-9,57.1%,202,112-90,55.4%,1:30,38.5,37.1
19,Stefanos Tsitsipas[GRE],6,3-3,50.0%,62.5%,63.2%,32,6.6%,24,4.9%,12.8%,61.7%,70.8%,49.2%,56.4%,80.3%,6.9,2.6,Stefanos Tsitsipas[GRE],6,31.8%,30.4%,4.5%,4.0%,22.4%,48.6%,17.6%,5.8,1.9,41.5,62.7,Stefanos Tsitsipas[GRE],6,44.4%,12,27,0.40,1.9,4.5,0.86,2.0,66.7%,28,42,0.59,3.0,7.0,1.00,2.3,Stefanos Tsitsipas[GRE],6,0.85,884,48.8%,2,2-0,100.0%,14.3%,14,7-7,50.0%,139,69-70,49.6%,1:48,46.3,44.0
20,Tomas Machac[CZE],9,3-6,33.3%,59.5%,59.5%,41,6.6%,28,4.5%,11.7%,61.6%,66.2%,48.8%,55.2%,70.2%,6.6,2.7,Tomas Machac[CZE],9,34.8%,35.3%,8.4%,3.9%,28.3%,44.7%,15.8%,6.5,2.3,25.0,151.0,Tomas Machac[CZE],9,28.3%,15,53,0.56,2.4,5.9,0.68,1.7,58.2%,39,67,0.71,3.0,7.4,1.27,3.1,Tomas Machac[CZE],9,0.86,1242,47.3%,1,1-0,100.0%,4.5%,22,9-13,40.9%,189,81-108,42.9%,1:38,39.9,42.4
