Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],43,28-15,65.1%,63.5%,64.8%,203,6.9%,166,5.7%,14.5%,61.1%,72.6%,49.3%,57.7%,78.6%,6.5,2.4,Daniil Medvedev[RUS],43,40.2%,40.9%,5.9%,2.9%,33.0%,53.4%,28.4%,6.6,2.7,31.0,33.3,Daniil Medvedev[RUS],43,44.4%,131,295,0.64,3.1,6.9,1.38,3.0,61.1%,151,247,0.55,2.6,5.7,1.01,2.2,Daniil Medvedev[RUS],43,1.10,5996,51.7%,14,9-5,64.3%,14.7%,95,59-36,62.1%,911,484-427,53.1%,1:36,43.3,41.1
12,Tommy Paul[USA],49,34-15,69.4%,65.4%,64.2%,241,6.9%,73,2.1%,5.6%,62.6%,71.5%,55.1%,58.3%,82.3%,6.4,2.2,Tommy Paul[USA],49,40.3%,40.7%,5.0%,2.9%,33.3%,52.6%,26.4%,6.8,2.7,34.0,55.4,Tommy Paul[USA],49,38.0%,140,368,0.69,3.3,7.5,1.24,2.9,65.1%,179,275,0.51,2.4,5.6,0.85,2.0,Tommy Paul[USA],49,1.16,7101,52.6%,17,12-5,70.6%,15.0%,113,76-37,67.3%,1072,586-486,54.7%,1:36,41.7,39.8
13,Ben Shelton[USA],54,32-22,59.3%,69.5%,68.8%,472,10.9%,171,4.0%,12.8%,69.0%,76.2%,54.8%,62.8%,89.7%,6.3,1.9,Ben Shelton[USA],54,31.3%,31.3%,7.7%,3.6%,23.5%,44.9%,13.6%,6.3,2.0,54.0,75.1,Ben Shelton[USA],54,33.5%,92,275,0.41,2.1,5.1,0.70,1.7,74.2%,201,271,0.40,2.1,5.0,0.53,1.3,Ben Shelton[USA],54,1.03,8539,50.6%,39,17-22,43.6%,29.8%,131,73-58,55.7%,1357,704-653,51.9%,1:51,45.7,42.0
14,Arthur Fils[FRA],54,32-22,59.3%,65.7%,65.6%,310,8.1%,162,4.3%,11.0%,61.2%,75.8%,49.6%,55.7%,84.0%,6.4,2.2,Arthur Fils[FRA],54,36.4%,37.7%,7.8%,2.6%,29.1%,49.2%,20.0%,6.5,2.4,55.5,69.8,Arthur Fils[FRA],54,40.1%,119,297,0.50,2.4,5.5,0.98,2.2,65.8%,183,278,0.47,2.3,5.1,0.78,1.8,Arthur Fils[FRA],54,1.06,7663,51.0%,24,13-11,54.2%,19.7%,122,69-53,56.6%,1189,619-570,52.1%,1:42,45.3,43.3
15,Grigor Dimitrov[BUL],47,33-14,70.2%,69.7%,69.3%,382,11.4%,153,4.6%,12.0%,62.0%,79.5%,53.6%,60.9%,87.9%,6.1,1.8,Grigor Dimitrov[BUL],47,36.6%,38.4%,9.9%,3.1%,27.3%,51.7%,19.8%,6.7,2.4,44.0,51.4,Grigor Dimitrov[BUL],47,36.4%,108,297,0.54,2.7,6.3,0.96,2.3,68.2%,144,211,0.38,1.9,4.5,0.60,1.4,Grigor Dimitrov[BUL],47,1.20,6983,52.5%,24,17-7,70.8%,21.4%,112,74-38,66.1%,1097,593-504,54.1%,1:50,46.4,44.6
16,Frances Tiafoe[USA],44,23-21,52.3%,66.1%,64.0%,352,10.5%,90,2.7%,6.5%,58.9%,74.8%,53.6%,57.4%,84.1%,6.5,2.2,Frances Tiafoe[USA],44,34.8%,37.1%,13.3%,4.1%,26.7%,48.6%,16.6%,6.6,2.3,59.5,70.4,Frances Tiafoe[USA],44,34.4%,87,253,0.48,2.5,5.8,0.84,2.0,66.0%,159,241,0.47,2.3,5.5,0.80,1.9,Frances Tiafoe[USA],44,1.03,6782,50.2%,29,16-13,55.2%,28.2%,103,53-50,51.5%,1040,522-518,50.2%,1:49,46.4,42.3
17,Andrey Rublev[RUS],56,34-22,60.7%,67.7%,66.4%,400,9.8%,123,3.0%,8.0%,62.3%,75.8%,54.3%,59.0%,86.4%,6.2,2.0,Andrey Rublev[RUS],56,36.9%,38.7%,10.3%,3.5%,27.7%,51.7%,19.7%,6.5,2.4,49.0,61.2,Andrey Rublev[RUS],56,36.9%,129,350,0.53,2.7,6.3,0.98,2.3,67.6%,188,278,0.42,2.1,5.0,0.69,1.6,Andrey Rublev[RUS],56,1.14,8356,52.0%,27,13-14,48.1%,20.6%,131,76-55,58.0%,1316,700-616,53.2%,1:39,42.4,39.9
18,Francisco Cerundolo[ARG],57,30-27,52.6%,62.0%,62.8%,169,4.0%,157,3.7%,10.5%,64.7%,67.7%,51.5%,57.6%,77.1%,6.7,2.5,Francisco Cerundolo[ARG],57,38.3%,38.7%,4.7%,2.3%,31.3%,50.9%,25.4%,6.5,2.5,54.0,76.1,Francisco Cerundolo[ARG],57,43.3%,159,367,0.59,2.8,6.4,1.20,2.8,60.7%,224,369,0.58,2.8,6.5,1.10,2.5,Francisco Cerundolo[ARG],57,1.01,8338,50.3%,30,14-16,46.7%,22.7%,132,70-62,53.0%,1260,648-612,51.4%,1:42,44.0,41.8
19,Stefanos Tsitsipas[GRE],55,37-18,67.3%,66.4%,66.2%,331,8.4%,156,4.0%,10.1%,60.6%,74.3%,54.3%,60.3%,85.5%,6.4,2.2,Stefanos Tsitsipas[GRE],55,35.6%,36.4%,7.0%,2.8%,28.4%,48.2%,22.3%,6.2,2.2,41.0,71.2,Stefanos Tsitsipas[GRE],55,40.4%,134,332,0.55,2.7,6.0,1.08,2.4,68.3%,192,281,0.46,2.3,5.1,0.72,1.6,Stefanos Tsitsipas[GRE],55,1.06,7631,51.4%,21,13-8,61.9%,16.9%,124,78-46,62.9%,1214,659-555,54.3%,1:33,41.5,40.4
20,Tomas Machac[CZE],44,25-19,56.8%,63.6%,63.3%,207,6.5%,104,3.3%,8.9%,63.3%,70.6%,51.7%,56.7%,80.0%,6.5,2.4,Tomas Machac[CZE],44,35.4%,37.1%,9.0%,2.6%,28.2%,48.0%,21.1%,6.2,2.2,36.0,68.9,Tomas Machac[CZE],44,44.4%,104,234,0.47,2.3,5.3,1.01,2.4,62.7%,165,263,0.54,2.6,6.0,0.95,2.2,Tomas Machac[CZE],44,0.97,6245,49.8%,18,12-6,66.7%,17.5%,103,57-46,55.3%,985,497-488,50.5%,1:38,41.8,41.4
