Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],41,29-12,70.7%,63.5%,64.4%,280,8.2%,204,6.0%,15.1%,60.3%,73.2%,48.7%,57.4%,79.5%,6.5,2.4,Daniil Medvedev[RUS],41,40.6%,41.0%,5.7%,3.3%,32.9%,53.6%,29.9%,6.6,2.7,30.0,32.6,Daniil Medvedev[RUS],41,42.6%,160,376,0.70,3.4,9.2,1.43,3.9,61.7%,174,282,0.54,2.5,6.9,0.96,2.6,Daniil Medvedev[RUS],41,1.11,6935,51.9%,15,11-4,73.3%,13.4%,112,73-39,65.2%,1062,579-483,54.5%,2:04,45.3,43.9
12,Tommy Paul[USA],38,25-13,65.8%,64.7%,63.5%,221,7.5%,69,2.3%,5.9%,60.1%,71.9%,53.8%,57.2%,82.0%,6.5,2.3,Tommy Paul[USA],38,40.5%,41.0%,5.4%,2.9%,33.2%,52.0%,27.7%,6.7,2.7,53.5,66.2,Tommy Paul[USA],38,40.7%,124,305,0.68,3.1,8.0,1.28,3.3,65.7%,155,236,0.52,2.4,6.2,0.84,2.1,Tommy Paul[USA],38,1.15,5946,52.5%,15,8-7,53.3%,15.5%,97,63-34,64.9%,899,494-405,54.9%,1:53,44.3,43.4
13,Ben Shelton[USA],47,29-18,61.7%,69.7%,68.3%,459,11.6%,132,3.3%,11.0%,69.6%,76.0%,55.2%,62.0%,89.2%,6.3,1.9,Ben Shelton[USA],47,32.1%,32.1%,7.3%,3.4%,24.2%,45.3%,14.8%,6.3,2.0,50.0,74.1,Ben Shelton[USA],47,35.8%,92,257,0.41,2.1,5.5,0.77,2.0,73.2%,186,254,0.40,2.1,5.4,0.57,1.4,Ben Shelton[USA],47,1.06,7881,51.0%,37,20-17,54.1%,30.8%,120,71-49,59.2%,1250,652-598,52.2%,1:58,46.4,42.3
14,Arthur Fils[FRA],37,22-15,59.5%,67.2%,66.6%,285,10.2%,120,4.3%,10.9%,60.7%,78.3%,49.9%,56.0%,85.1%,6.2,2.1,Arthur Fils[FRA],37,35.6%,37.0%,9.0%,3.1%,27.0%,50.0%,18.4%,6.6,2.3,49.0,72.4,Arthur Fils[FRA],37,34.6%,82,237,0.53,2.5,6.4,0.86,2.2,64.4%,121,188,0.42,2.0,5.1,0.71,1.8,Arthur Fils[FRA],37,1.08,5736,51.0%,23,13-10,56.5%,24.2%,95,53-42,55.8%,895,464-431,51.8%,1:52,43.4,43.2
15,Grigor Dimitrov[BUL],46,34-12,73.9%,69.6%,69.2%,414,11.6%,164,4.6%,12.2%,62.1%,80.5%,51.6%,58.8%,87.5%,6.1,1.9,Grigor Dimitrov[BUL],46,36.9%,38.6%,9.8%,3.4%,27.7%,51.9%,20.6%,6.7,2.5,45.0,52.5,Grigor Dimitrov[BUL],46,35.9%,118,329,0.57,2.7,7.2,0.98,2.6,68.1%,156,229,0.39,1.9,5.0,0.61,1.6,Grigor Dimitrov[BUL],46,1.21,7368,52.7%,25,19-6,76.0%,20.8%,120,80-40,66.7%,1157,629-528,54.4%,1:58,45.4,44.3
16,Frances Tiafoe[USA],41,24-17,58.5%,65.9%,64.0%,355,10.4%,100,2.9%,7.0%,58.3%,75.0%,53.2%,57.2%,82.9%,6.4,2.2,Frances Tiafoe[USA],41,35.7%,38.4%,13.6%,4.1%,27.0%,49.8%,19.1%,6.5,2.3,54.0,65.3,Frances Tiafoe[USA],41,36.7%,102,278,0.52,2.6,6.8,0.94,2.5,63.3%,157,248,0.47,2.3,6.0,0.84,2.2,Frances Tiafoe[USA],41,1.05,6886,50.7%,26,14-12,53.8%,24.1%,108,59-49,54.6%,1066,542-524,50.8%,1:60,45.5,42.8
17,Andrey Rublev[RUS],50,32-18,64.0%,68.5%,66.6%,454,11.3%,116,2.9%,7.7%,62.3%,77.1%,54.3%,58.8%,87.6%,6.2,1.9,Andrey Rublev[RUS],50,36.9%,38.9%,11.1%,3.8%,27.3%,52.3%,19.9%,6.6,2.4,46.0,57.4,Andrey Rublev[RUS],50,35.1%,129,367,0.57,2.8,7.3,0.99,2.6,69.7%,186,267,0.41,2.1,5.3,0.62,1.6,Andrey Rublev[RUS],50,1.17,8272,52.3%,29,15-14,51.7%,22.3%,130,79-51,60.8%,1299,700-599,53.9%,1:49,42.1,39.7
18,Francisco Cerundolo[ARG],29,14-15,48.3%,62.4%,63.2%,126,5.3%,103,4.3%,10.9%,60.5%,70.1%,50.6%,56.8%,78.8%,6.7,2.5,Francisco Cerundolo[ARG],29,36.2%,36.8%,7.4%,3.3%,27.1%,51.0%,21.2%,6.4,2.3,58.0,75.2,Francisco Cerundolo[ARG],29,42.6%,75,176,0.50,2.4,6.1,1.03,2.6,62.9%,129,205,0.57,2.8,7.1,1.04,2.6,Francisco Cerundolo[ARG],29,0.96,4667,49.6%,19,9-10,47.4%,26.0%,73,36-37,49.3%,713,358-355,50.2%,1:54,45.3,42.5
19,Stefanos Tsitsipas[GRE],35,21-14,60.0%,66.1%,65.0%,275,9.9%,103,3.7%,8.9%,58.2%,75.4%,53.1%,58.2%,86.1%,6.4,2.2,Stefanos Tsitsipas[GRE],35,34.5%,35.3%,7.7%,3.0%,26.4%,46.7%,19.4%,6.1,2.1,49.0,86.9,Stefanos Tsitsipas[GRE],35,39.4%,82,208,0.49,2.4,5.9,0.94,2.3,70.1%,141,201,0.47,2.3,5.7,0.69,1.7,Stefanos Tsitsipas[GRE],35,1.02,5358,50.9%,15,8-7,53.3%,17.2%,87,50-37,57.5%,854,454-400,53.2%,1:52,45.1,43.9
20,Tomas Machac[CZE],39,23-16,59.0%,65.1%,64.9%,216,7.3%,107,3.6%,9.3%,61.4%,73.4%,51.9%,57.2%,82.8%,6.4,2.2,Tomas Machac[CZE],39,36.0%,37.5%,9.5%,3.3%,27.5%,48.9%,21.5%,6.3,2.3,27.0,71.3,Tomas Machac[CZE],39,41.8%,100,239,0.51,2.5,6.1,1.04,2.6,64.3%,144,224,0.48,2.3,5.7,0.83,2.1,Tomas Machac[CZE],39,1.03,5905,50.7%,19,11-8,57.9%,19.8%,96,58-38,60.4%,930,485-445,52.2%,1:48,44.0,43.0
