Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
89,Kamil Majchrzak[POL],8,4-4,50.0%,67.2%,66.5%,27,6.2%,9,2.1%,5.9%,64.7%,74.6%,53.6%,56.9%,82.2%,5.9,1.9
90,James Duckworth[AUS],20,5-15,25.0%,63.0%,62.4%,118,7.2%,55,3.4%,8.1%,58.7%,71.3%,51.3%,55.9%,80.5%,6.5,2.4
91,Cameron Norrie[GBR],34,16-18,47.1%,64.0%,63.1%,194,6.7%,72,2.5%,7.6%,67.3%,70.9%,50.1%,54.2%,80.8%,6.5,2.3
92,Vit Kopriva[CZE],7,2-5,28.6%,55.0%,56.1%,17,3.2%,24,4.5%,11.3%,60.4%,61.6%,44.8%,50.5%,62.7%,7.1,3.2
93,Jesper De Jong[NED],11,5-6,45.5%,62.7%,62.0%,66,7.9%,31,3.7%,8.5%,56.1%,71.5%,51.5%,56.3%,76.0%,6.4,2.4
94,Reilly Opelka[USA],34,18-16,52.9%,69.3%,64.6%,593,21.4%,120,4.3%,12.1%,64.4%,79.4%,51.2%,58.3%,89.1%,6.3,1.9
95,Luca Nardi[ITA],20,5-15,25.0%,55.7%,57.4%,55,3.5%,90,5.7%,13.7%,58.7%,65.8%,41.3%,47.9%,64.3%,6.9,3.1
96,Mackenzie Mcdonald[USA],22,9-13,40.9%,60.2%,60.1%,89,5.0%,54,3.0%,8.7%,65.2%,65.1%,51.2%,56.1%,72.2%,6.4,2.5
97,Alexander Shevchenko[KAZ],38,14-24,36.8%,58.9%,58.6%,173,6.2%,106,3.8%,9.7%,61.0%,65.8%,48.1%,53.3%,69.1%,6.6,2.7
98,Pablo Carreno Busta[ESP],26,11-15,42.3%,63.4%,63.7%,92,4.6%,62,3.1%,8.6%,64.0%,70.0%,51.7%,56.6%,78.0%,6.4,2.3
99,Mariano Navone[ARG],46,16-30,34.8%,59.4%,59.7%,131,3.7%,107,3.0%,8.4%,64.2%,64.2%,50.7%,55.4%,71.1%,6.6,2.7
100,Nishesh Basavareddy[USA],12,4-8,33.3%,62.3%,62.0%,55,6.0%,30,3.3%,8.4%,61.2%,71.5%,47.8%,52.1%,77.2%,6.3,2.4
,Average,,,44.1%,63.1%,62.2%,,8.0%,,3.4%,9.0%,62.6%,71.0%,49.9%,54.9%,78.4%,6.5,2.4
